17:9:001:1	Jew dine'é bi'ana'í nideistseed
17:9:001:0	Íídą́ą́' naakits'áadah nídízídígíí Éídar wolyéii binih, táá'ts'áadahgóó yoołkáałgo, aláahgo naat'áanii yee haadzíi'ii áádóó bibee haz'áanii bi'doolnííł k'adę́ę baa hoolzhíishgo t'áá éí bijį́ Jew dine'é bi'ana'í danilíinii bee bidziilii yee ak'idiyaa dadooleełgo bił chodahoo'į́ (nidi t'áá éí bijį́ łahgo ályaago Jew dine'é bee bidziilii yee bi'ana'í dabijoołáhígíí yik'idiyaa daazlį́į́'). 
17:9:002:0	Aláahgo naat'áanii Ahazawííras bee bóhólnííh bił nahaz'ą́ą́góó t'áá át'é Jew dine'é hakin hadaas'áagi hodadiilkaalii nidazdoołtsił biniyé áłah dzizlį́į́'. Áko doo ła'da hodiilkaal da; jó, t'óó hak'e'íyé'ígi át'éego diné bik'idiyaa dajílį́į́ nít'éé'. 
17:9:003:0	Áko bee óhólnííh bił nahaz'ą́ą́góó naat'áanii danilíinii áádóó akéé'dóó bídahólníihii áádóó aląąjį' naazíinii índa aláahgo naat'áanii yikéé' góne' naazíinii éí Jew dine'é yíká anájah nít'éé', háálá Mórdiikai éí ayóó át'éego yik'ee bił daayéé' nít'éé'. 
17:9:004:0	Háálá Mórdiikai éí aláahgo naat'áanii bikin góne' ayóó át'éii jílį́į́ nít'éé', áádóó bee óhólnííh bił nahaz'ą́ą́góó t'áá át'é hwéého'dílzin, háálá díí diné Mórdiikai nilíinii t'óó wózhǫ́ bidziil yileeł. 
17:9:005:0	Kót'éego Jew dine'é danilíinii bi'ana'í ałtso diltłish yee yił nidadziił haał índa nideiłtseedgo dabijoołáhígíí t'áá bí danízinígi ádayííł'įįd. 
17:9:006:0	Shúshan kin haal'áagi Jew dine'é bi'ana'í nideistseed índa ashdladi neeznádiingo ádeisdįįd. 
17:9:007:0	Héíman haye'ké neeznált'é éí Parshandéítha, Dálfan, Aspéítha, 
17:9:008:0	Poréítha, Adalíya, Arídatha, 
17:9:009:0	Parmáshta, Árisai, Arídai índa Vaizéítha, díí ałtso nidaho'diztseed. 
17:9:010:0	Hamiidéítha biye' Héíman, Jew dine'é bi'ana'í jílíinii éí haye'ké neeznált'é ałtso nidabi'diztseed, nidi binaalye'é t'áadoo yaa nídaast'įįd da. 
17:9:011:0	Éí bijį́ Shúshan kin haal'áagi nidabi'diztseedígíí ánéelą́'ígíí aláahgo naat'áanii bił hóóne'. 
17:9:012:0	Áko aláahgo naat'áanii éí asdzą́ą́ naat'ááh Esther áyidííniid, Jew dine'é éí Shúshangi ashdladi neeznádiingo diné nideistseedgo ádeisdįįd índa Héíman biye'ké neeznált'éhígíí ałdó' dayííghą́ą́'. Ákohgo aláahgo naat'áanii bee bóhólnííh nahaz'ą́ą́góó haashą' dáát'įįd? K'adshą' ha'át'íí baa nínáá'iinikąąhgo éí naa didoot'ááł? Índa ha'át'íísh yííníkeedgo éí ná bihoolnííł dooleeł? 
17:9:013:0	Áko Esther ázhdííniid, Aláahgo naat'áanii bił hóshǫ́ǫ́ ládą́ą́', háni' Jew dine'é Shúshangi kéédahat'ínígíí díí jį́ bee haz'ánígíí bik'ehgo yiską́ągo ałdó' badi'díí'ááł, áádóó Héíman biye'ké neeznált'éhígíí bits'íís tsin bąąhjį' dah dahididoodloh. 
17:9:014:0	Ákohgo aláahgo naat'áanii Shúshangi t'áá ákódoolníiłgo yee haadzíí', áko Héíman biye'ké neeznált'éhígíí bits'íís tsin bąąh dah dahidiidlo'. 
17:9:002:1	Ída'azįįd Púrim wolyéii
17:9:015:0	Jó, Jew dine'é éí Shúshangi kéédahat'ínígíí Éídar yiziłígíí binih dį́į́'ts'áadahgóó yoołkáałgo áłah nilį́į́ nít'éé', áádóó Shúshangi táadi neeznádiingo diné nideistseed, nidi binaalye'é éí t'áadoo yaa nídaast'įįd da. 
17:9:016:0	Aláahgo naat'áanii bee bóhólníihgo bił nahaz'ą́ą́góó Jew dine'é áłah nídaadleehgo ádích'ą́ą́h nidaaldzil nít'éé', índa Jew dine'é bi'ana'í dabijoołxáii éí tsosts'idiindóó ba'aan ashdladi míilgo nideistseed, nidi binaalye'é éí t'áadoo yaa nídaast'įįd da. 
17:9:017:0	Éídar yiziłígíí binih táá'ts'áadahgóó yoołkáałgo ádahóót'įįd. Áko dį́į́'ts'áadah yoołkááł góne' t'óó háádaasyį́į́' áádóó éí bijį́ ída'azįįdgo índa bił dahózhǫ́ǫgo yaa naaskai. 
17:9:018:0	Nidi táá'ts'áadah índa dį́į́'ts'áadahgóó yoołkáałgo Jew dine'é éí Shúshan kin haal'áadi áłah daazlį́į́', índa ashdla'áadah yoołkááł góne' éí t'óó háádaasyį́į́' índa t'áá éí bijį́ ída'azįįdgo áádóó bił dahózhǫ́ǫgo yaa naaskai. 
17:9:019:0	Éí bąą kin dah naazhjaa'dóó Jew dine'é kintahgóó kéédahat'íinii Éídar yiziłígíí binih dį́į́'ts'áadahgóó yoołkáałgo bił dahózhǫ́ǫgo áádóó ída'azįįdgo yaa naaskai áádóó nizhónígo bee ida'az'ą́, índa ch'iyáán ahidiníłnáago ałch'į' ádayiilaa. 
