54:2:001:1	Diyin God bich'į' nahadlá dooleełgi bee na'nitin
54:2:001:0	Áko áłtséhé góne' nihá laanaa nisingo kót'éego bee haasdziih: Diné t'áá ałtso bá nída'oohkąąh, bá sodadołzin, ahá sodadołzin áádóó ahééh danohsin; 
54:2:002:0	hasht'edadíníit'éego índa k'é daniidzingo Diyin God k'ehgo índa t'áá ałtsojį' nihił da'ílį́įgo dahinii'náa doo biniyé aláahgo naat'áanii índa bídahólníihii t'áá ałtso bá sodadołzin. 
54:2:003:0	Ákót'éego sodadołzingo Diyin God Yisdánihiiníiłii bił yá'át'ééh índa bił hóshǫ́. 
54:2:004:0	Éí diné t'áá ałtso yisdádookah índa t'áá aaníinii bił béédahodoozįįł yó'ní. 
54:2:005:0	Háálá Diyin God t'ááłá'í, áádóó Diyin God índa diné yá ata' sizíinii ałdó' t'ááłá'í, éí Christ Jesus, Diné Silį́į'ii. 
54:2:006:0	Christ éí diné t'áá ałtso bibąąhági át'éii bik'é ninályáii jidooleeł biniyé niná'ázhdeet'ą́, áko baa hoolzhiizh yę́ędą́ą́' baa hóóne'. 
54:2:007:0	Oodlą́ índa t'áá aaníinii éí doo Jew dine'é danilíinii bee nanishtin doo biniyé Diyin God yaa halne'ii índa yá yil'aadii nishłį́į doogo nishiníłtį́. Christ bee t'áá aaníí ádíshní, doo shiyooch'íid da.  
54:2:008:0	Áko diné dahodísinii t'áá ałtsogóó t'áadoo áháchį'í índa t'áadoo na'ahíyáti'í Diyin God yich'į' dah dadéelníihgo sodadilzin doo nisin. 
54:2:009:0	T'áá ákót'éego asdzání danilíinii ádaa ádahalyą́ągo, áádóó dahóyą́ągo éé' bidaałt'éii áádóó t'áá bita'ígi ádaat'éii yee háádadiit'įįh dooleeł nisingo bee haasdziih, t'áadoo bitsii' nideich'ąąhgo deibizhí, índa óola áádóó diichiłí t'áadoo yee nida'ádích'ąąhígo yá'át'ééh, índa éé' t'áá íiyisí da'ílíinii t'áadoo yee háádadiit'įįhígóó yá'át'ééh. 
54:2:010:0	Nidi asdzání éí Diyin God deidísinii yá'át'éehgo ó'oo'níiłii bee béédaho'dílzin doo. 
54:2:011:0	Asdzání jílíinii jidéesxéelgo t'áá aaníí óhojíłníihgo íhwiizhdooł'ááł. 
54:2:012:0	Asdzání éí diné nazhnitin dooleełgi áádóó binazhnit'áa dooleełgi doo bee hadi'deesh'áał da; t'óó jidéesxéel doo. 
54:2:013:0	Háálá Ádam áłtsé ályaa, áádóó índa Íiv. 
54:2:014:0	Áádóó Ádam doo bi'deesdlo' da, nidi asdzání éí bi'deesdlo'go Diyin God yee has'áanii doo yik'eh hóół'įįd da. 
54:2:015:0	Ákondi asdzání jílíinii, t'áá áłahjį' oodlą́ bee dzizį́įgo, áádóó ayóó'í'jó'níigo, índa diyingo jiináago, ádaa áhojilyą́ągo éí ni'jiiłchíihgo yisdájiigháah doo. 
