54:1:001:1	K'é ha'níinii
54:1:001:0	Diyin God Yisdánihiiníiłii áádóó Bóhólníihii Jesus Christ bee nihił chodahoo'íinii yee hooł'a'go shí Paul éí Jesus Christ yá yil'aadii nishłį́. 
54:1:002:1	Na'nitin doo t'áá aaníinii bits'ąą ádaa áháyą́
54:1:002:0	Timothy, oodlą́ bee t'áá aaníí shiye' nilíinii bich'į' naaltsoos áshłééh:Diyin God nihiTaa' índa Jesus Christ nihiBóhólníihii bibee ajooba' áádóó bibee aa a'ááh hasinii índa bibee ach'į' hózhǫ́ náhásdlį́į'ii yee nik'ijidlíi doo. 
54:1:003:0	Masedóniyagóó dah diishááh yę́ędą́ą́', Éfesasgi sínídáa doogo baa nániisiskan yę́ę t'ahdii t'áá ákónidishníigo baa nánooshkąąh. Éfesasgi diné nida'nitinígíí ła', Na'nitin łahgo át'éii ts'ídá t'áadoo bee nida'nohtiní, bididííniił. 
54:1:004:0	Índa, Hane' t'óó ádaalyaii áádóó náás da'ahílchíihii doo ałtso baa hóne' ádaat'éii t'áadoo baa nitsídaahkeesí, bidiníi doo, háálá saad bee na'ídíkidii t'óó náás anoo'ahii át'é, áko Diyin God yee hoo'áałii oodlą́ bee nídidoolyéełgi doo náás ííléeh da. 
54:1:005:0	Nidi díí biniyé na'nítin, hajéí chin bąąh ádingo áádóó t'áá ákogi ájít'į́įgo bee ádaa ákoznidzingo índa t'áá aaníí ajoodlą́ągo ayóó'ájó'níi doo. 
54:1:006:0	Ła' éí díí deisiihgo ats'áhaaskai, áko biniinaa yáti' t'áadoo nánídlíinii yee yádaałti'. 
54:1:007:0	Bee haz'áanii Mózes baa deet'áanii bee na'nishtin doo, daznízin, nidi ááhdajiníinii índa bidziilgo bee yádajiłti' dooleełígíí doo bik'idazh'diitįįhgóó ádajiní. 
54:1:008:0	Jó, bee haz'áanii bik'ehgo choo'į́įgo t'áá éí bee haz'áanii yá'át'éehii át'éego nihił béédahózin. 
54:1:009:0	Kót'éego nihił béédahózin: diné ts'ídá t'áá ákogi ááníiłii bee haz'áanii doo bá ályaa da, nidi doo yik'ehgóó ádaaníiłii índa doo ak'eh dahół'íinii bá ályaa, áádóó doo Diyin God k'ehgo ádaat'éii índa bąąhági ádaaníiłii ałdó' bá ályaa, doo bił dahodiyinii índa Diyin God yee da'ódziihii, bizhé'é índa bimá nideiłtseedii, diné nideiłtseedii bá ályaa, 
54:1:010:0	na'ageh yee tsi'nidaakaii, diné t'óó baa yáhásingo t'áá bí ahaa ninádaaldeehii, diné deini'įįhii, dabiyooch'íidii, ádee hadahididziihgo t'áá ádzaagóó nidahalne'ii, índa t'áá ákogi át'éego na'nitinii yits'ą́ą́jí danilíinii ałdó' bá ályaa. 
54:1:003:1	Diyin God yee a'ááh nízinii éí Paul yaa ahééh nízin
54:1:011:0	T'áá ákogi át'éego na'nitinígíí éí Diyin God baa ha'niihii baa hane' yá'át'éehii ayóó át'éii bik'ehgo át'éii át'é. Éí baa hashne' doogo sha'ahoosdlíí'. 
54:1:012:0	Christ Jesus nihiBóhólníihii bee adziil sheiníláii bich'į' baa ahééh nisin, háálá shaa dzólíigo shaa nitsíkeesgo binaanish nilíinii yiniyé nishiníłtį́. 
54:1:013:0	T'ah doo ooshdląąh yę́ędą́ą́' Jesus t'óó baa'ihgo baa yááłti' áádóó atííł'įįd índa yéédzíí', nidi Diyin God shaa a'ááh niizį́į́', háálá doo ooshdlą́ą́góó índa doo shił bééhózingóó íít'įįd. 
54:1:014:0	NihiBóhólníihii bibee ajooba', oodlą́ bee a'ódlí índa ayóó'ó'ó'ní Christ Jesus bee hólóonii bóltą'go shilááh néés'ąąd. 
54:1:015:0	Diyin God bich'į' diné ádił nida'iilzíihii Christ Jesus yisdábidiyoonił yiniyé nihokáa'jį' níyá, ha'nínígíí éí t'áá aaníí, áádóó t'áá ádzíłtso doo hoł naaki nilį́į́góó nízhdidooléełgo yą́ą́h nilį́. Jó, shí éí ts'ídá aláahgo Diyin God bich'į' ádił ni'iilzíihii nishłį́. 
54:1:016:0	Nidi díí biniyé Diyin God shaa a'ááh niizį́į́', aláahgo bąąhági ááníiłii nishłį́į nidi, shinahjį' Jesus Christ nízaadgóó ha'ólnínígíí ííshjání áyiilaa, áko dabiidoodląąłígíí éí bee béédahózin dooleełgo iiná doo ninít'i'ii bee dahólǫ́ǫ dooleeł. 
54:1:017:0	Doo nihonít'i'góó hoogáałii biyi' Aláahgo Naat'áanii, doo daatsaahii, doo yit'íinii, t'áá bí t'éí Diyin God [hóyáanii], hool'áágóó ahóyéel'áágóó ił nilį́į doo, índa baa ha'niih doo! T'áá ákót'ée doo. 
54:1:018:0	Shiye' Timothy, na'ííníshłíigo ánidishní, T'áá bítséedi bee naa hóóne'ii bik'ehgo yá'át'éehii yéego bich'ą́ą́h nanibaah. 
54:1:019:0	Ne'oodlą' bidziilgo índa t'áá ákogi ánít'į́įgo bee ádaa ákonínídzin doo. Éí ła' doo deiniizį́į́'góó tsinaa'eeł neheestǫ'ígíí nahalingo bi'oodlą' dayííłchxǫ'. 
54:1:020:0	Éí bitahdóó Haimeníyas índa Alezáander Diyin God doo t'óó baa'ihgo baa yájíłti' daígíí bíhwiizhdooł'ááł biniyé Séítan bich'į' ho'níłnii'. 
