54:4:001:1	Doo t'áá aaníinii yee nida'nitinii
54:4:001:0	T'áadoo bahat'aadí Níłch'i Diyinii kóníigo yaa halne': Át'ah náás hoolzhishgóó ła' níłch'i binda'adlo'ii índa níłch'i bida'iiníziinii binda'nitin dayíists'ą́ą'go Christ dayoodláanii yits'áhidookah. 
54:4:002:0	Éí diné dabiyooch'íidgo t'óó ádahodil'į́įgo nida'nitinii éí t'áá aaníinii áádóó doo t'áá aaníí danilíinii yee ádaa ákodadínóodzįįł yę́ę, doo yee ádaa ákodanoozį́į́' át'ée da daazlį́į́'. 
54:4:003:0	Éí, Iigeh dooda, daaní índa, Ch'iyáán ła' doo jiiyą́ą da, ałdó' daaní. Nidi da'oodlání t'áá aaníinii bił béédahózinii éí ch'iyáán yaa ahééh danízingo deiyą́ą dooleełgo Diyin God bá áyiilaa. 
54:4:004:0	Diyin God ádayiilaii t'áá ałtso yá'ádaat'ééh. Áko baa ahééh hasingo daadánígíí doo ła' nahjį' kódoolníił da, 
54:4:002:1	Christ Jesus yá'át'éehgo yá naal'a'í
54:4:005:0	háálá Diyin God bizaad bee índa sohodizinígíí bee diyingo ádaalne'. 
54:4:006:0	Díí na'nitin ałk'isóó danilíinii bidááhdóó nihíníiłgo bee nanítin, áko yá'át'éehgo Jesus Christ yá naal'a'í nílį́į doo, índa oodlą́ saad éí na'nitin yá'át'éehii bik'ehgo hinínánígíí bee hółdzilgo sínízį́į doo. 
54:4:007:0	Nidi hane' t'óó ádaalyaii, doo Diyin God bits'ą́ą́dę́ę́' ádaat'éii bits'ą́ąjį' í'díínílzin. Diyin God k'ehgo iiná bee na'ádínítaahgo bóhooł'aah. 
54:4:008:0	Háálá hats'íís bidziil dooleeł biniyé na'ádízh'nítaah éí t'óó kónízahíjį' ílį́, nidi Diyin God k'ehgo jiináa doo biniyé na'ádízh'nítaahgo éí t'áá ałtsojį' ílį́, éí k'ad jiinánígíí áádóó náábíkéédę́ę́' náájii'nánígíí bą́ą́h ílį́įgo bee haz'ą́. 
54:4:009:0	Kóhá'nínígíí éí t'áá aaníí, áádóó t'áá ádzíłtso doo hoł naaki nilį́į́góó nízhdidooléełgo yą́ą́h nilį́. 
54:4:010:0	Jó, díí biniyé t'áá awołí bee nideiilnish áádóó nihá nahałt'i', háálá Diyin God hináanii bee nihił chodahoo'į́; bí t'éiyá diné t'áá ałtso yisdáyiiníiłii nilį́, daboodláanii íiyisí yisdáyiinííł. 
54:4:011:0	Díí bee hahídziih índa bee na'nítin. 
54:4:012:0	Kónít'į́įgo ániid nanináhígíí biniinaa t'áadoo nílínígóó doo ła'da naa nitsíkees da doo, nidi yá'át'éehgo yáníłti' áádóó bohónéedzą́ągo áánííł, t'áá ałtsojį' ayóó'í'ííní'níigo, [Níłch'i Diyinii bik'ehgo hinínáago,] iinídlą́ągo, ts'ídá t'áá ákogi ánít'éego, kónít'éego da'oodlání yik'ehgo dayíkáah dooleełii bá íínísin. 
54:4:013:0	Níyáajį' Diyin God bizaad bee ak'e'ashchíinii diné bich'į' yíníłta', áádóó bee bich'į' yáníłti' índa bee na'nítingo ádíínílzin. 
54:4:014:0	Hastóí da'oodlání yá aląąjį' naazíinii nik'i dah dadeesnii'go, ná sodadilzin yę́ędą́ą́' Diyin God neidiní'áanii bee naa hóóne'ii doo baa ná'áhodílt'į́į da dooleełígíí éí dooda. 
54:4:015:0	Díí haleebee nabik'ítsíníłkeesgo baa naniná, t'áá sínízį́į́ nít'éé' baa ádinít'aah, áko náás yínáłígíí diné t'áá ałtso ná dayoo'į́į doo. 
54:4:016:0	T'áá ni ádaa áhólyą́, bee na'nítinígíí ałdó' baa áhólyą́ągo yínítą', háálá díí baa nanináago yisdádíínááł, índa danółts'ą́ą'ii yisdádookah.
