40:27:001:1	Jesus , Pilate Ts'ą' Giiyihiłchįį
40:27:001:0	Vanh dąį' gwanlii gwiizhit giinkhih kįh dilk'ii nąįį ts'ą' Israel kįh dilk'ii nąįį haa nats'ahts'ą' Jesus ęhdaa tr'igwigwehee'aa geegiginkhe' .
40:27:002:1	Judas , Niindhat
40:27:002:0	Ch'iitsii tły'ah haa digiiyiłchaa ts'ą' gihłeegiihiłchįį ts'ą' Pilate , Roman nilii Judea nahkat gwa'an gwats'ą' k'eedeegwaadhat nilii ąįį antłeegiiyahchįį .
40:27:003:0	Nijin Judas , Jesus gwantł'ahchįį ąįįtł'ęę giiyęhdaa tr'igwihee'aa łee gwiky'aanjik dąį' gwiizųų t'iizhik t'ii'in łee giky'aanjik ts'ą' 30 silver laraa giiyintł'eelii chy'aa giinkhih kįh dilk'ii ts'ą' Israel kįh dilk'ii nąįį haa antł'ineeyinlii .
40:27:004:0	Ts'ą' t'inyąą , “ Tr'agwaanduu shizhit łee , dinjii vatr'agwaanduu gwakwaa ąįį vęhdaa tr'igwirehee'aa eenjit gwantł'ąhchįį łee , ” nyąą . “ Jaghaii , neenjit ninjich'ireheedhat ąįį nats'an t'oonchy'aa ! ” giiyahnyąą .
40:27:005:0	Judas , Khadigiriinjii Zheh gwizhit laraa datthak goots'eehiłjil ts'ą' cheehoozhii ąįįtł'ęę t'oohłii neehoozhii ts'ą' diyeech'ilchaa .
40:27:006:0	Giinkhih kįh dilk'ii nąįį zhit laraa tineegwigwįłjik ts'ą' t'iginyąą , “ Jii t'ee dinjii vadaa laraa t'inchy'aa , ts'ą' Khadigiriinjii Zheh laraa dhidlii zhit duuyeh gwizhit neerilii goo'aii dii-Law zhit jyaa digwinyąą ginyąą . ”
40:27:007:0	Ąįį laraa deegiheelyaa geegiginkhe' ąįįtł'ęę giiyaa nan deek'it Potter gwideek'it goozhii ąįį giiyaa oiinkwat , ąįį Jerusalem kwaiik'it gwachoo gwizhit juu aakin nadhat nąįį giheetsii geenjit t'igiizhik .
40:27:008:0	Ąįį geh'an juk tth'aii hee “ Dinjii Vadaa Dehk'it ” goaazhii ts'ą' Jii dęhtły'aa digiheentł'oo gwats'ą' jyąhts'ą' gwizhrįh googoozhrii .
40:27:009:0	Jeremiah , Vit'eegwijyąhchy'aa Eenjit Ginkhii inli' ts'ą' deenyą' gwik'it t'igwiizhik . “ Ąįį 30 silver laraa t'ee laraa jyaa daanchy'aa haa Israel gwich'in nąįį giiyeenjit goiinkwat ,
40:27:003:1	Pilate Ąįį Jesus Oahkat
40:27:010:0	ąįį laraa haa potter gwideek'it googoiinkwat , ’ shįį , Jeremiah ihłii , K'eegwaadhat deiinyąą shahnyąą gwik'it t'iinyą' t'ihnyąą . ”
40:27:011:0	Jesus , Roman k'eedeegwaadhat ąįį Israel nahkat eenjit kįh dhidii Pilate ąįį andaa nadhat giiyiłtsąįį ts'ą' yuahkat , “ Jews nąįį eenjit King inlii ? ” yahnyąą . “ Nan ąįį jyaa dinyąą t'oonchy'aa . ” Jesus yahnyąą .
40:27:012:0	Gaa nijin giinkhih kįh dilk'ii nąįį ts'ą' Israel kįh dilk'ii ąįį nąįį haa gwiizųų giiyeeginkhii dąį' gooveenjit k'eegwiichy'aa gaa t'inyąą kwaa .
40:27:013:0	Ts'ą' Pilate t'iiyahnyąą , “ Gwiizųų datthak neegigiinkhii , ąįį nik'ee gaviintth'ak ? ”
40:27:004:1	Jesus Vęhdaa Tr'igwirehee'aa Ginyąą
40:27:014:0	Gaa Jesus ginjik ch'ihłak gaa yats'an ąhtsii kwaa , ąįį geh'an Pilate łyaa geegoolii kwaa .
40:27:015:0	Nijin Passover ch'ara'aa nineegwiidhat dąį' Judea gwats'an Roman k'eedeegwaadhat zhat łigiijil nąįį eenjit juu zheegwaazhrąįį gwats'an chinoozhi' giindhan , ąįį ch'ihłak gooveenjit chineegahchik gwagwaa'įį .
40:27:016:0	Izhit zhat dąį' dinjii zheegwaazhrąįį dhidii ąįį juu nąįį datthak giiyaandaii ąįįt'ee Barabbas oozhii .
40:27:017:0	Ąįįts'ą' nijin dinjii nąįį khaihłan niinjil dąį' Pilate gavahkat , “ Juu shrit chanoołchyaa shohnyąą , Barabbas akwat Jesus Christ oozhii ? ”
40:27:018:0	Jesus itr'igii'ee , geh'an Jews kįh dilk'ii nąįį gwantł'eegiiyąhchįį ąįį Pilate gaandaii geh'an jyaa dinyąą .
40:27:019:0	Ąįįts'ą' t'ee Pilate , ch'aroahkat zheh gwizhit dhidii gwizhit va'at yats'ą' neech'idiin'ąįį ts'ą' t'iiyahnyąą . “ Jii dinjii vatr'agwaanduu gwakwaa t'inchy'aa , ts'ą' veenjit k'eegwiichy'aa gwiizųų t'anoo'ya' shrǫ' , k'ehdąį' khaa , gineiihłyaa zhit veh'an gwintł'oo khaiinjich'ashahohthat t'inchy'aa . ”
40:27:020:0	Giinkhih kįh dilk'ii nąįį ts'ą' Israel kįh dilk'ii nąįį haa zhit dinjii łeeljil nąįį jyaa dagahnyąą , “ Pilate , oohkat ts'ą' Barabbas ! chanaahchįį ts'ą' Jesus ąįį vęhdaa tr'agwaroo'aa dohnyąą , ” googahnyąą .
40:27:021:0	Ąįįts'ą' t'ee Pilate ąįį zhat dinjii nąįį oahkat . “ Juu shrit nakhweenjit chanoołchyaa shohnyąą ? ” Gavahnyąą . Datthak ts'ą' “ Barabbas , ” ginyąą .
40:27:022:0	“ Akwaa ji' Jesus , Messiah oozhii ąįį deehihłyaa ? ” Pilate , gavahnyąą ? “ Nihk'ataa'ee cross kat gohtsak ! ” datthak ginyąą .
