40:19:001:1	Juu Da'at akwat Dakai' Akhoonyąą Nąįį Eenjit Jesus Geech'ǫąąhtan
40:19:001:0	Nijin Jesus jii kwaii datthak t'iinyą' , ąįįtł'ęę Galilee nahkat gwats'an , chan hee Jordan han ndųhts'ąįį Judea nahkat goo'aii ąįį zhit gwats'ą' haazhii .
40:19:002:0	Dinjii lęįį yaa łeeljil nąįį ts'ą' juu yaa adaa nąįį zhazhat gooveenjit gwinzii neegooviłtsąįį .
40:19:003:0	Goodhaii nigihadhal gwik'eegwagwandaii geenjit Pharisee lat nąįį giits'ą' haajil ts'ą' jii giiyųąhkat , “ Dii-law zhit khan dinjii jidii niindhan geenjit da'at akhooheenjyaa lee t'oonchy'aa ? ” giiyahnyąą .
40:19:004:0	Jesus , ąįį t'agavahnyąą , “ Tr'ookit dąį' gwats'an zhit juu Diiniłtsąįį ąįįt'ee dzaa nankat dinjii ts'ą' tr'injaa haa iłtsąįį , ąįį nik'ee Dęhtły'aa Choh kat jyaa digwinyąą gooh'in ?
40:19:005:0	Vit'eegwijyąhchy'aa jyaa nyąą , “ Jii geh'an t'ee dinjii dahan ąįįts'ą' diti' haa iłeeheehaa ts'ą' da'at haa nihłaa t'igiheechy'aa ts'ą' neekwaii giinlii chy'ah ch'ihłak zhrįh giheelyaa gooviłtsąįį t'igiinchy'aa .
40:19:006:0	Vit'eegwijyąhchy'aa nihłaa neegoovahahchyaa geh'an neekwaii ginlii kwaa ts'ą' juk ch'ihłak zhrįh ginlii t'igiinchy'aa , ch'ihłee gaa ch'akai' ts'ą' ch'a'at haa Vit'eegwijyąhchy'aa nihłeegoovahchįį ąįį nihts'an tr'agoogahahchyaa kwaa t'oonchy'aa . ”
40:19:007:0	Pharisee nąįį jyaa t'igiiyahnyąą , “ Akwaa ji' jaghaii Moses dinjii nąįį law antł'eiin'ąįį , ąįį ch'akai' dęhtły'aa da'at antł'eehahchal ts'ą' t'ee va'at t'ohłii neeheedyaa gwahahtsyaa ? ”
40:19:008:0	Jesus , t'agavahnyąą , “ Datthak ts'ą' geenakhwaraahtan geenjit nakhwakiitth'an dach'at geh'an Moses nakhwa'at akhahoohjyaa gwiłtsąįį t'inchy'aa . Gaa dzaa nankat datthak gwiłtsąįį dąį' jyaa doonchy'aa kwaa t'oonchy'aa .
40:19:009:0	Ąįįts'ą' t'ee jii nakhwaagwahaldak , juu dinjii va'at adultery t'ii'in kwaa gaa nihk'it akhoonyąą ts'ą' ch'izhii tr'injaa noonjik ji' , ąįį dinjii adultery t'ii'in t'oonchy'aa . ”
40:19:010:0	Vitsyaa nąįį t'igiiyahnyąą , “ Dinjii ąįįts'ą' da'at haa gooveenjit jyaa doonchy'aa ji' gooroonjii kwaa ts'ąįį gwit'eegwaahchy'aa łee hee . ”
40:19:011:0	Jesus t'agavahnyąą , “ Jii ginjik juu nąįį datthak eenjit t'inchy'aa kwaa , gaa Vit'eegwijyąhchy'aa ąįį juu gwitee tr'iinlii nąįį zhrįh eenjit t'oonchy'aa .
40:19:002:1	Jesus , Tr'iinin Tsal Nąįį Kat Naanjik Goovaagweheezyaa Geenjit
40:19:012:0	Jii t'ee jaghaii dinjii lat nąįį gogoonjii kwaa . Goolat nąįį tr'iinin gahahtsyaa kwaa jyąhts'ą' googoodlit . Ch'izhii nąįį dinjii nąįį dzaa nankat dinjii nąįį tr'iinin gahahtsyaa kwaa googahtsii ts'ą' ch'izhii dinjii nąįį Zheekat Gweegwinii'ee khit geetr'agwagwahah'yaa geenjit gwagoonjii kwaa . Juu jii geech'oorahtan gwik'it t'ihee'yaa geenjit gadhan ji' gwik'it t'ii'in . ”
40:19:013:0	Dinjii nąįį tr'iinin tsal Jesus ts'ą' gahaadlii gook'aa nahaandal ts'ą' gook'aa khadigiheejyaa geenjit , gaa vitsyaa nąįį jii geenjit shruk haa dinjii nąįį ch'ats'ą' t'agahnyąą .
40:19:014:0	Gaa Jesus ąįį t'agoovahnyąą , “ Tr'iinin shats'ą' hijyaa nąįį , zhyaa goovoh'in , jii tr'iinin k'it t'iinchy'aa dinjii nąįį t'ee Zheekat Gweegwinii'ee goots'an nilii t'oonchy'aa . ”
40:19:003:1	Dinjii Valaraa Gwanlii
40:19:015:0	Ts'ą' tr'iinin tsal nąįį k'ąą naanjik ąįįtł'ęę gihłeehoozhii .
40:19:016:0	Ch'ihłan dąį' dinjii ch'ihłak , Jesus ts'ą' haazhii ts'ą' yuahkat , “ Geech'ǫąąhtan , gwandaii ndaanąą'ąį' kwaa shi'yaa geenjit jidii gwinzii t'ishi'yaa goo'aii ? ” yahnyąą .
40:19:017:0	“ Jaghaii jidii gwinzii ji' geenjit shǫąąhkat ? Vit'eegwijyąhchy'aa zhrįh nizįį t'oonchy'aa , gwandaii ndaanąą'ąį' kwaa zhit goiihndaii nindhan ji' Moses va-law kat deegwinyąą gwik'eegwahthat . ” Jesus yahnyąą .
40:19:018:0	“ Moses va-law kat jidii shrik eeginkhii t'iinyąą ? ” dinjii yahnyąą . Jesus , t'iiyahnyąą , “ Dinjii ęhdaa tr'agoon'aa shrǫ' ! Nakąį' akwat na'at nilii kwaa haa oonchį' shrǫ' ! Ch'ooan'įį shrǫ' ! Ninee'ok dinjii nąįį eenjit oiints'it shrǫ' !
40:19:019:0	Nahan ąįįts'ą' niti' haa yinjiikhadhoh'ee ! Deegwahtł'oo ideet'ohthan googwahtł'oo nakhwanee'ok dinjii nąįį eenjit ch'eet'igwiniindhan akhwa'įį ! ”
40:19:020:0	Ąįį dinjii t'iiyahnyąą , “ Jii datthak gwik'it t'ishi'ya' , ts'ą' geeghaih chan deehishi'yaa goo'aii ? ”
40:19:021:0	Jesus t'iiyahnyąą , “ Łyaa dinjii nizįį oihłi' niindhan ji' , oo'an heehindii ts'ą' nik'eiich'ii datthak laraa t'įį hinlii ts'ą' ąįį laraa neeshraahchy'aa nąįį teiinlii . Jyaa dinizhik ji' zheekat gaayiigwahantsyaa neenjit gwehee'aa . Ąįįtł'ęę shatąįį hinkhaii ts'ą' shitsyaa inlii . ”
40:19:022:0	Nijin zhit dinjii jii gwiitth'ak dąį' valaraa gwanlii geh'an tr'igwidii haa gihłeehoozhii .
40:19:023:0	Jesus ditsyaa nąįį t'ahnyąą , “ Jii t'ee łyaa gwik'it gwanlii t'ihnyąą , dinjii valaraa gwanlii Zheekat Gweegwinii'ee gwizhit nihdeeheehaa geenjit łahchy'aa gwagwantrii t'oonchy'aa .
40:19:024:0	Chan hee nakhwaa neegwaaldak , Camel ąįį tthah tsal tł'i'tsii gwinkee heekhaa , ąįį zhit ts'ąįį gwagwantrii kwaa gaa Vit'eegwijyąhchy'aa Veegwinii'ee izhit dinjii valaraa gwanlii nihdeeheehaa , ąįį ts'ąįį łyaa gwagwantrii t'oonchy'aa . ”
40:19:025:0	Nijin vitsyaa nąįį gwigwiitth'ak dąį' łyaa gwintł'oo gooveenjit nindal deegwidlii , ts'ą' t'iginyąą . “ Akwaa ji' juu dee neeheezhii diinyąą t'iinyąą ? ” giiyahnyąą .
