40:1:001:1	Jesus Christ Goots'an Deedhaa Nąįį
40:1:001:0	Jii nąįį t'ee , Jesus Christ goots'an deedhaa , Jesus Christ , t'ee yeenii King David ts'an deedhaa , ts'ą' King David chan Abraham ts'an deedhaa .
40:1:002-006:0	Jii nąįį t'ee Abraham ts'an digeedhaa , ts'ą' izhit gwats'an King David gwats'ą' datthak digeedhaa nąįį t'inchy'aa : Abraham , Isaac , Jacob , Judah ąįįts'ą' vachaa nąįį haa , ąįįtł'ęę Perez ts'ą' Zerah haa ( goohan ąįįt'ee , Tamar ) , Hezron , Ram , Amminadab , Nahshon , Salmon , Boaz , ( Boaz ąįįt'ee vahan Rahab ) , Obed ( vahan Ruth ) , Jesse ąįįt'ee King David viti' nilii . Jii nąįį t'ee King David ts'an digeedhaa , Israel gwich'in nąįį Israel nahkat gwats'an tr'agooriinlii , ts'ą' Babylon kwaiik'it gwachoo gwats'ą' goorahaadlii dąį' , t'agwarahnyąą : King David , Solomon . ( Solomon , vahan ąįįt'ee Uriah va'at inli' chy'aa t'agahnyąą ) ,
40:1:007-011:0	Rehoboam , Abijah , Asa , Jehosaphat , Jehoram , Uzziah , Jotham , Ahaz , Hezekiah , Manasseh , Amon , Josiah , ąįįts'ą' Jehoiachin ąįįts'ą' vachaa nąįį haa .
40:1:012-016:0	Israel gwich'in nąįį Babylon gwats'an daganahkat gwits'ee neegahoojil gwats'an Jesus vigweheelyaa gwats'ą' datthak digeedhaa nąįį t'ee jii nąįį t'arahnyąą : Jehoiachin , Shealtiel , Zerubbabel , Abiud , Eliakim , Azor , Zadok , Achim , Eliud , Eleazar , Matthan , Jacob , ts'ą' Joseph , jii Joseph , ąįįt'ee Mary oonjik , ts'ą' t'ee Mary , Jesus vahan nilii . Jesus t'ee Christ ąįį oozhii .
40:1:002:1	Jesus Vagoodlit Dąį'
40:1:017:0	Ąįįtł'ęę t'ee Abraham gwats'an King David gwats'ą' diiti' 14 nihzhyaaneedijii nąįį goodlit , ąįįts'ą' King David gwats'an , nijin Babylon kwaiik'it gwachoo gwats'ą' Israel gwich'in nąįį gahaadlii dąį' gwats'an chan diiti' 14 nihzhyaaneedijii nąįį goodlit , izhit gwats'an chan Messiah vigweheelyaa gwats'ą' chan diiti' 14 nihzhyaaneedijii nąįį goodlit .
40:1:018:0	Jii t'ee nats'ahts'ą' Jesus Christ vagoodlit dąį' deegwiizhik . Vahan Mary ąįįts'ą' Joseph haa nihłarooheendal nihłagaiinyą' , Mary tth'aii hee gaa dinjii haa dhichįį kwaa gwiizhik Ch'anky'aa Shroodiinyąą k'iighai' tr'iinin hee'yaa goodlit .
40:1:019:0	Joseph , dinjii khit gwinzii t'ee'ya' nilii , ąįįts'ą' dinjii nąįį tee Mary ts'an oozhii ąhtsii gitr'ii'ee , ts'ą' gweentak hee yuuheendal kwaa gwahałtsyaa yiindhan .
40:1:020:0	Tth'aii hee jyąhts'ą' gininjich'ahthat , gwiizhik naachįį ts'ą' Vit'eegwijyąhchy'aa vizheekat gwich'in gineiinlyaa zhit yats'ą' igwiilkįį , ts'ą' jyaa yahnyąą , “ Joseph , King David ts'an dindhaa ts'ą' Mary oohiindal geenjit noonjat shrǫ' ! Mary Ch'anky'aa Shroodiinyąą k'iighai' tr'iinin hee'yaa goodlit t'oonchy'aa .
40:1:021:0	Gwidinji' hee'yaa t'inchy'aa , ąįįts'ą' Jesus voozhri' hahtsyaa ts'ą' dinjii vats'an nilii nąįį neehahshii eenjit , ts'ą' gootr'agwaanduu gwats'an neegoohahshii . ”
40:1:022:0	K'eegwaadhat , ąįį yeenii Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii Isaiah k'iighai' jyaa nyąą , ąįįt'ee juk łi'deegwidlii haa gwik'it goodlit .
40:1:023:0	“ Nich'it , ch'ihłok gaa dinjii haa dhichįį kwaa gaa vizhit tr'iinin gweheelyaa ts'ą' tsyaa tsal heelyaa ts'ą' Immanuel varahaanjyaa t'inchy'aa gwinyąą . ” ( Immanuel it'ee “ Vit'eegwijyąhchy'aa diihaa nilii ” gwinyąą , t'igwinyąą . )
40:1:024:0	Joseph khakee'ąįį ąįįtł'ęę Mary ts'ą' haazhii ts'ą' nihłagoonjik . Vit'eegwijyąhchy'aa vizheekat gwich'in deeyahnyąą gwik'it t'iizhik .
40:1:025:0	Gaa nihk'it Mary haa dhichįį kwaa , dahthee tr'iinin gwidinji' gweheelyaa gwats'ą' datthak jyaa dinchy'a' , ąįįtł'ęę Joseph , tsyaa tsal vagoodlit dąį' Jesus yuuzhri' iłtsąįį .
