40:6:001:1	Nats'ąą Dinjii Gwat'aahchy'aa Nąįį Ts'igwinyąą Ąįį Eech'ǫąąhtan
40:6:001:0	“ Nijin gwik'injuhkhit geenjit k'eegwiichy'aa t'akhwa'in dąį' dinjii gwanlii tee nakhwagahaah'yaa geenjit jyaa dakhwa'ya' shrǫ' ! Dinjii gwanlii tee jyaa dakhwa'in ji' Zheekat Nakhwati' duuyeh nakhwan neegǫǫnkwat t'oonchy'aa .
40:6:002:0	“ Nijin dinjii neeshraahchy'aa antł'aanjii dąį' dinjii nąįį nagahah'yaa gwa'an noo'ya' shrǫ' ! Dinjii nizįį adaa'įį nąįį goorahah'yaa geenjit Jews tr'igiinkhii zheh akwat tąįį gwinjik gwa'an neeshraahchy'aa nąįį antł'eegaanjii , deegii'in gwigweheechy'aa eenjit antł'eegaanjii diikhoh'e' giindhan geh'an t'igii'in . Łyaa nakhwaagwahaldak , deegii'in ąįį ch'adąį' hee geenjit googwaroonkwat t'oonchy'aa .
40:6:003:0	Gaa , nijin neeshraahchy'aa nąįį ts'ohnyaa dąį' , zhit juu łi'haa zhyaa nijyaa nilii ąįį gaa vaagwandak shrǫ' .
40:6:002:1	Khadigiriinjii Geenjit Geech'ǫąąhtan
40:6:004:0	Gweentak t'ini'in ji' jyąhts'ą' gwik'iighai' Zheekat Nakhwati' zhrįh gaaheendaii ts'ą' nineegooheekwat t'inchy'aa . ”
40:6:005:0	“ Nijin khadigiinjii dąį' dinjii nizįį adaa'įį nąįį k'it t'anoo'ya' shrǫ' , ndak nagadhat ts'ą' tąįį gwinjik dinjii gwanlii gwa'an ts'ą' Jews tr'igiinkhii zheh gwizhit khadigigiinjii , juu nąįį datthak gavaahaa'yaa geenjit jyaa digii'in , łyaa nakhwaagwahaldak ch'adąį' hee datthak geenjit googwaroonkwat t'igiinchy'aa .
40:6:006:0	Gaa nijin khadigiinjii dąį' nizheh gwizhit naraah'in kwaa gwa'an gwats'ą' hinkhaii , Zheekat Nakhwati' tr'ąąh'in kwaa , ąįį vats'a' gweentak khadigiinjii ji' t'ee nineegooheekwat t'inchy'aa .
40:6:007:0	“ Juu ch'ik'itiltsį' kwaii ts'ą' khadigiinjii nąįį k'it khadagohjyaa shrǫ' , ginjik deegwinyąą gaagiindaii kwaa haa khagigidiinjii , gook'eegwaadhat gavaheetth'ak giindhan ts'ą' niighyuk khadigigiinjii ,
40:6:008:0	gook'it t'ohchy'a' shrǫ' ! Nakhwati' jidii t'oochy'aa oohohkat gwehkįį ch'adąį' hee gaandaii t'inchy'aa .
40:6:009:0	Jyąhts'ą' khadagohjii , ‘Diiti' zheekat gwizhit Noozhri' shroodiinyąą nilii ts'ą' narahoh'e' ,
40:6:010:0	Niveegwiginiin'ee gwik'it gooli' deeyiindhan dzaa nankat ts'ą' ,
40:6:011:0	zheekat haa gwik'it gooli' ! Drin gwiteegwaanchy'aa shih tr'ihee'aa diits'an ąhtsii .
40:6:012:0	Diitr'agwaanduu diineejit oo'an gwihinlii , ąįįts'ą' juu diits'ą' tr'agwaanduu t'ee'ya' nąįį chan gwik'it gooveenjit oo'an gwireheelyaa .
40:6:013:0	Ąįįts'ą' tr'agwaanduu t'agǫǫ'ya' gwiindhan gwits'į' an-diinoaan'ee , ąįį tr'aanduu diits'ą' gwiizųų t'ihee'yaa ąįį gwits'į' diik'aahtii . ’
40:6:014:0	“ Dinjii nakhwats'ą' tr'agwaanduu tr'agwagwah'in nąįį gooveenjit oo'an gwahohłii ji' Zheekat Nakhwati' chan nakhwatr'agwaanduu oo'an gweheelyaa t'inchy'aa .
40:6:003:1	Adach'ara'aa Kwaa Ąįį Geenjit Geech'ǫąąhtan
40:6:015:0	Gaa ninee'ok dinjii nąįį nakhwats'ą' tr'agwaanduu t'ii'in gooveenjit oo'an gwahohłii kwaa ji' , Zheekat Nakhwati' chan duuyeh tr'agwaanduu t'akhwa'in nakhweenjit oo'an gwihilii t'inchy'aa . ”
40:6:016:0	“ Nizįį adaa'įį nąįį adach'agaa'aa kwaa ts'ą' khadigigiinjii nąįį k'it t'akhwa'ya' shrǫ' . Nijin dach'agaa'aa kwaa haa khadigigiinjii dąį' goonin tr'igwidii k'it t'inchy'aa ąįį gook'it t'ohchy'a' shrǫ' . Ąįįts'ą' dinjii goohaah'yaa gwa'an goovehdeiingaii k'it t'igii'in ts'ą' neegihiidal goorahah'yaa geenjit ąįį gook'it t'akhwa'ya' shrǫ' . Łi'didlii haa nakhwaagwaldak , ch'adąį' hee datthak googwaroonkwat t'oonchy'aa .
40:6:017:0	Nijin khadigiinjii geenjit ch'ihłee ch'in'aa kwaa dąį' , ninin gwinzii k'eech'ahąhtryaa ts'ą' nikiighai' chan gwinzii ahshruk .
40:6:004:1	Zheekat Gwizhit Gwinzii T'igwii'in Geenjit Jiintsii Dhidlii
40:6:018:0	Jyąhts'ą' gwik'iighai' , khadigiinjyaa geenjit ch'ihłee ch'in'aa kwaa , ąįį ch'izhii nąįį gaageheendaii kwaa geenjit gaa diikhwan zhrįh tr'aadii dąį' jyaa digwii'in ąįį zheekat Nakhwati' tr'ąąh'in kwaa zhrįh nakhwah'in ąįį nakhwaneegwahookwat t'inchy'aa . ”
40:6:019:0	“ Dzaa nankat , k'eiich'ii lęįį khaihłan nǫhłyaa shrǫ' , jyaa dakhwazhit ji' moths ts'ą' tsuh haa an yahahtsyaa ts'ą' dinjii ch'an'įį nąįį giits'ą' łeegwagwahahnaii ts'ą' neech'igeheen'įį t'oonchy'aa .
40:6:020:0	Gaa zheekat ideenjit khaihłan nigwiinlii , izhit khahthaa tsal ( moths ) akwat tsuh haa an heelyaa kwaa ts'ą' duuyeh ch'an'įį nąįį yats'ą' łeegwahnaii ts'ą' giiyuunjii t'oonchy'aa .
40:6:005:1	Nakhweech'eegoonzhrii Haa Ch'ohdrii K'it T'ohchy'aa , Sheenjit Gwizhrįh Gwiindhan Haa Gwadhoh'ąįį Ąįį Tǫǫ K'it T'ohchy'aa T'oonchy'aa .
40:6:021:0	Nijin khaihłan nagohłii izhit t'ee nakhwadrii dha'aii t'oonchy'aa . ”
40:6:022:0	“ Nakhwandee t'ee nakhwazhin eenjit ch'ahdrii k'it t'inchy'aa . Nakhwandee haa gwinzii gweech'in ji' nakhwazhin datthak adrii k'it t'inchy'aa ts'ą' datthak gwinzii .
40:6:006:1	Vit'eegwijyąhchy'aa ąįįts'ą' K'eiich'ii Gwadal Kwaii Eenjit Geech'ǫąąhtan .
40:6:023:0	Gaa nakhwandee haa gwinzii gweech'in kwaa ji' nakhwazhin datthak tǫǫ gwizhit dha'aii t'oonchy'aa . Ąįį nakhwazhit tǫǫ gwanlii ji' t'ee tǫǫ ts'ą' tr'agwaanduu haa heelyaa t'inchy'aa . ”
40:6:024:0	“ Khaihkwaii neekwaii nąįį duuyeh eenjit gwitr'it t'agwah'in t'oonchy'aa . Ch'ihłak eet'ihinghyaa ts'ą' ch'ihłak itr'ihiin'ee . Ch'ihłak ts'ą' łi'didlii hinlyaa gaa ch'ihłak ts'ą' łi'didlii hinlyaa kwaa . Duuyeh Vit'eegwijyąhchy'aa ts'ą' laraa haa nihłaa k'eegwaadhat an'įį t'oonchy'aa .
