40:10:001:1	Jesus , Vitsyaa 12 Nąįį
40:10:001:0	Jesus , ditsyaa 12 nąįį khaihłan niinlii ts'ą' t'aih goots'an iłtsąįį , ch'anky'aa iizųų dinjii nąįį ts'an tr'igiheelyaa ts'ą' jidii ts'ik nihłehjuk t'iichy'aa haa giłts'ik nąįį datthak ts'ą' tr'igiheendal geenjit .
40:10:002:0	Jii Tr'ihił'e' 12 nąįį t'ee jyąhts'ą' goovoozhri' : tr'ookit Simon oozhii gaa Peter neegiiyahnyąą ąįį vachaa Andrew James ts'ą' vachaa John ąįį Zebedee vidinji' giinlii .
40:10:003:0	Philip ts'ą' Bartholomew , Thomas ts'ą' Matthew , Matthew t'ee tax eenjit laraa oonjii inli' , James t'ee , Alphaeus vidinji' ts'ą' Thaddaeus chan .
40:10:002:1	Vitsyaa 12 Nąįį Hił'e'
40:10:004:0	Simon t'ee Zealot nilii ( “ Dinjii łyaa danahkat geet'indhan nilii ” ąįį voozhri' t'ee jyaa gwinyąą t'igwinyąą ) ts'ą' Judas Iscariot , jii dinjii t'ee Jesus gwantł'ąhchįį t'inchy'aa .
40:10:005:0	Jesus , Ditsyaa 12 nąįį nihky'aa gooveehił'e' ts'ą' giheedaa gwehkįį deegihee'yaa gavaa gwaandak , “ Jews nilii kwaa nąįį goonahkat ts'ą' Samaria kwaiik'it kwaii gwats'ą' hohjyaa shrǫ' .
40:10:006:0	Gaa , Israel gwizhit dinjii nąįį divii haa tr'igweendaii k'it t'igiinchy'aa nąįį ts'ą' hohdaa yuu !
40:10:007:0	Hohjyaa ts'ą' jii jyaa dohnyąą ts'ą' goondak , ‘Zheekat Gweegwinii'ee ąįį gwats'ą' nahgǫǫ t'oonchy'aa ! ’
40:10:008:0	Iłts'ik nąįį chan shrineehohłik , dinjii niindhat nąįį ineegoohohdaii , juu gwatthąį' ahjat ( leprosy ) haa iłts'ik haa khaiinjich'iighit nąįį shrineegavohłik , dinjii vizhit ch'anky'aa iizųų nąįį chan chineegavǫhłii . Nakhwagwarookwat kwaa haa jyaa dakhwa'in geenjit t'aih nakhwats'an dhałtsąįį .
40:10:009:0	Gold , silver , akwat copper laraa nilii kwaii nakhwatseet'it neehoozhik shrǫ' .
40:10:010:0	Nihky'aa hohdaa geenjit ohtsuu , akwat ch'adak ik neekwaii , kwaiitryah , akwat toh haa neehoozhik shrǫ' ! Gwitr'it t'agwah'in nąįį jidii haa gwigweheendaii deegaahchy'aa gavantł'ee tr'iheelyaa goo'aii t'oonchy'aa .
40:10:011:0	“ Nijin kwaiik'it gwachoo akwat kwaiik'it gwatsal gwa'an neekhwadal dąį' juu shaa gǫǫnch'į' noonyąą nąįį haa gwiinch'įį , dahthee neehiindyaa gwats'ą' datthak vaa gwiinch'įį .
40:10:012:0	Nijin zheh nihdǫhdal dąį' ‘Tsinehdan nakwaa oolį' ! ’ dohnyąą .
40:10:013:0	Nijin zheh nihdǫhdal dąį' ąįį juu zhat gwich'įį shagoiinch'i' noonyąą ji' , ‘Juu dzaa zheh gwizhit gwich'įį nąįį tsinehdan goovaa oolį' ! ’ diinyąą , gaa zhat goiinch'į' nagoonyąą kwaa ji' , ‘Tsinehdan noohaa oolį' dihnyąą ąįį noohihdal ! ’ diinyąą .
40:10:014:0	Nijin kwaiik'it k'eekhwadal ts'ą' dinjii nideenakhwachįį kwaa ts'ą' nakhwaginjik chan goołk'įį kwaa ji' , ąįį zheh akwat kwaiik'it gihłeekhwajyaa gwiizhit nakhwakwai' kat łųh nǫhghat .
40:10:003:1	Khaiinjich'agoorahahkhit Geenjit Gwats'ą' Gęhdaa
40:10:015:0	Łyaa nakhwaagwaldak t'ihnyąą , datthak ts'ą' shiginjik akhoonyąą geh'an Ch'aroohahkat Drin ji' Vit'eegwijyąhchy'aa nakhwakwaiik'it andaa Sodom , ts'ą' Gomorrah nahkat nąįį neeshraahchy'aa gavahoonjyaa t'oonchy'aa . ” Jesus gavahnyąą .
40:10:016:0	“ Ch'oodǫǫhk'įį , zhoh naatł'ii nąįį tee divii gwats'ą' nakhwaahihłyaa t'ishi'in . Ąįįts'ą' gyųų choh k'it gwak'ǫǫhtii haa khai'gwidlii gooveelin nihdąhoondik , ts'ą' chiitsal doves k'it gooveezhuu t'ohchy'aa .
40:10:017:0	Jii dinjii nąįį eenjit gwak'ǫǫhtii , zheegwaazhrąįį gwats'ą' nakhwagahahchyaa ts'ą' ch'aroahkat zheh gwizhit chan nihdeenakhwagahahchyaa ts'ą' viitrii haa chan Jews tr'igiinkhii zheh gwizhit nakhwagahahtrii t'igiinchy'aa .
40:10:018:0	Nakhwarahahkat geenjit shįį , shęh'an , Kings jii nahkat gwats'ą' k'eedeegwaadhat nąįį andaa khadhoo'ee ts'ą' Gwandak Nizįį eegwahoondak ąįįts'ą' juu Jews nilii kwaa nąįį chan Gwandak Nizįį eegavaagahoondak gwizhrįh goo'aii t'oonchy'aa .
40:10:019:0	Nijin narahaakat , geenjit gwats'ą' neerahiłchįį ji' deehiinjyaa ts'ą' jidii eeginkhii kwaii datthak eenjit tr'agoiindii shrǫ' . Nijin zhat nigwiindhat ji' deehinjyaa datthak nantł'eegwihih'aa t'oonchy'aa .
40:10:020:0	Ginjik haa gihinkhyaa ąįį nats'an t'inchy'aa kwaa . Zheekat Niti' ąįį Vach'anky'aa Shroodiinyąą nizhit t'inchy'aa ąįį vik'iighai' gihiinkhyaa t'oonchy'aa .
40:10:021:0	Dinjii nąįį dagachaa gaa gwantł'ee gahahchyaa goovęhdaa tr'igwirehee'aa geenjit . Ąįįts'ą' ch'iti' nąįį chan digigii nąįį gwik'it t'agahah'yaa t'oonchy'aa . Ch'iyehghan nąįį gaa googii nąįį gwantł'ee googahahchyaa goovęhdaa tr'agwarahee'aa geenjit .
40:10:022:0	“ Shįį , shęh'an juu nąįį datthak nakhwatr'ihee'ee . Gaa juu adootą' ts'ą' akhagohnyąą kwaa ji' t'ee neehohshii t'oonchy'aa .
40:10:023:0	Nijin kwaiik'it gwizhit khaiinjich'anakhwagahthat nakhwagahtsii dąį' ch'izhii kwaiik'it gwats'ą' gal hohjyaa . Jii t'ee łyaa nakhwaagwaldak t'ihnyąą , Israel kwaiik'it gwizhit datthak duuyeh tr'agoh'in gęhdaa tr'ohjii t'oonchy'aa , tth'aii hee gwitr'it t'agoh'in gwiizhit Gwidinji' neeheedyaa t'oonchy'aa ,
40:10:024:0	“ Zhit juu geeraahtan ąįį juu geech'ǫąąhtan andaa veegoo'aii kwaa ts'ą' zhit juu slave nilii chan zhit juu yats'ą' k'eedeegwaadhat andaa veegoo'aii kwaa t'oonchy'aa . ”
40:10:004:1	Vit'eegwijyąhchy'aa Zhrįh Varahaanjat Goo'aii
40:10:025:0	Juu geeraahtan , ąįį juu geeyųąąhtan k'it t'iheechy'aa geenjit gwitr'it t'agwah'in ji' geenjit shoo oolį' . Ąįįts'ą' juu slave nilii ąįį juu yats'ą' k'eedeegwaadhat k'it t'inchy'aa dhidlit ji' geenjit shoo oolį' . Juu yizhehk'aa gwats'ą' k'eedeegwaadhat Beelzebul ( Satan ) oozhii ji' , ąįį vizhehk'aa nąįį datthak gwandaa gwiizųų goovaagweheelyaa t'oonchy'aa . ”
40:10:026:0	“ Ąįįts'ą' jii nankat dinjii nąįį oonjat shrǫ' . Jidii nagogwąąh'įį ąįį kwaii gwizhrįh nigweheedaa ts'ą' jidii geehoh'it gwigwił'ąįį kwaii datthak gwik'igahaandal gweheelyaa .
40:10:027:0	Jidii tǫǫ gwizhit nakhwaagwaldak ąįį drin ch'aadrii gwizhit chan hee geegahohkhyaa gwizhrįh . Ąįįts'ą' jidii gweentak nakhwaa gwaraandak chan zheh gwakat gwats'an shraa haa geegahohkhyaa gwizhrįh goo'aii .
40:10:028:0	Zhit juu nakhwatthąį' ęhdaa tr'agwa'ak ąįį oonjat shrǫ' , duuyeh gwik'it nizhin ęhdaa tr'agwagwa'ąįį t'igiinchy'aa gaa Vit'eegwijyąhchy'aa ąįį nakhwazhin ts'ą' nakhwanky'aa haa an oiłtsyaa niindhan ji' ( hell ) oozhak gwit'eh goo'aii kwaa gwizhit an yahahtsyaa ąįį voonjat .
40:10:029:0	Neek'ik neekwaii laraa tsoo tsal ch'ihłak t'įį tr'iheelyaa lee t'oonchy'aa ? Ts'ą' Gwiti' gwik'it t'iindhan kwaa ji' ch'ihłak gaa duuyeh nankat neet'aaghyii , t'oonchy'aa .
40:10:030:0	Ąįįts'ą' Vit'eegwijyąhchy'aa nakhwakiighai' daanchy'aa gaa gaandaii t'inchy'aa
40:10:005:1	Juu Christ Haa Hihshyaa Nyąą Nąįį , ts'ą' Juu Vaa Hihshyaa Kwaa Yahnyąą Nąįį Eegwaraandak
40:10:031:0	Neek'ik lęįį andaa ts'ą' khadhoo'ee t'oonchy'aa geh'an noojat shrǫ' . ”
40:10:032:0	“ Juu dinjii gwanlii gwitee shats'an nilii nyąą ji' shįį chan Zheekat Shiti' vandaa nihthat ji' shats'an ǫhłįį vakhaihjyaa t'oonchy'aa .
40:10:006:1	Tsinehdan Haa Nakwaa Gaa Shrii Choh Veek'i' Neekwaii Gwanlii Haa .
40:10:033:0	Gaa juu dinjii gwanlii gwitee shitr'ii'ee nyąą ji' shįį chan Zheekat Shiti' vandaa nihthat ji' vitr'iin'ee vakhaihjyaa t'inchy'aa . ”
40:10:034:0	“ Tsinehdan haa dzaa nankat gwats'ą' hihshii nohthan ? Nakwaa , tsinehdan haa dzaa nankat gwats'ą' hoiizhii t'ishi'in kwaa , gaa dinjii nąįį nihłigiighan hałtsyaa geenjit dzaa gwats'ą' hoiizhii t'ishi'in .
40:10:035:0	Ch'izhehk'aa nąįį datthak nihts'ą' nits'ich'agahahthat t'oonchy'aa . Jii nąįį t'ee nihts'ą' nits'ich'agahahthat t'igiinchy'aa : ch'iti' ts'ą' didinji' haa , nich'it tsal ts'ą' vahan haa , ąįįts'ą' daughter in law ts'ą' mother in law nąįį haa .
40:10:036:0	Nizhehk'aa gwizhit dinjii nąįį nitr'ihee'ee t'oonchy'aa .
40:10:037:0	“ Juu shandaa diti' akwat dagahan haa eet'iindhan nąįį shitsyaa giheelyaa , geenjit gaa gaveegoo'aii kwaa ts'ą' zhit juu shandaa digii nąįį eet'iindhan nąįį chan shitsyaa giheelyaa geenjit gaa gaveegoo'aii kwaa t'igiinchy'aa .
40:10:038:0	Juu da-cross ichyaa kwaa ts'ą' shatąįį haazhii t'ee shitsyaa heelyaa geenjit veegoo'aii kwaa t'oonchy'aa .
40:10:007:1	Vit'eegwijyąhchy'aa , Zheekat Jidii Diinahtł'eehee'aa Hal'ąįį .
40:10:039:0	Juu dagwandaii , diyinji' haa intsai' ji' t'ee yaa shrihteegwehee'aa . Gaa juu shęh'an niindhat ąįįt'ee dagwandaii , diyinji' haa neehahshii . ”
