40:25:001:1	Nich'it Ch'ihłoaatin ( 10 ) Nąįį Eenjit Geech'ǫąąhtan
40:25:001:0	“ Izhit ji' , Zheekat Gweegwinii'ee , jii jyaa t'igweheechy'aa t'oonchy'aa . Ch'ihłan nich'it ( 10 ) nąįį khwaiidaak'a' kwaii tee gwigwįłjik ts'ą' zhit juu gooheendal goo'aii , ts'ą' gahaajil .
40:25:002:0	5 nąįį gwagoonzhii , ts'ą' ch'izhii 5 nąįį chan googwizhi' kwaa .
40:25:003:0	Nich'it googwizhi' kwaa nąįį khwaiidaak'a' eenjit gah khwaii neegahaazhik kwaa .
40:25:004:0	Gaa nich'it googwizhi' nąįį khwaii gwizhit neegeheenjaa geenjit ch'ityah choh goonjik dahaa neegahaazhik .
40:25:005:0	Zhit juu veegwarahahchyaa goo'aii , ąįį eenjit nagogwal'in , akhai' niighyuk nigiiyuul'in , ts'ą' geełchųų .
40:25:006:0	“ Khan hee tǫhtł'an gwats'ą' gwaadhal gwiizhit khashraatr'iintrat gwigwiitth'ak , ‘Aanaii , dzaa juu veegwarahahchyaa nąįį vats'a' hohjyaa , ’ gwinyąą gwigwiitth'ak .
40:25:007:0	Gwiizhit nich'it ( 10 ) nąįį khakigaazhii ts'ą' dagakhwaii daak'a' shrineegiinlik .
40:25:008:0	Ąįįtł'ęę zhit nich'it vigwizhi' kwaa nąįį zhit nich'it vigwizhi' gwanlii nąįį jyaa dagaanyąą , ‘Diikhwaii daak'a' kwaii nikyaa , nakhwakhwaii lat diinantł'ohjyaa . ’
40:25:009:0	Zhit vigwizhi' gwanlii nąįį jyaa googahnyąą , ‘Łyaa nakwaa , datthak diineenjit khwaiidaak'a' gadhan kwaa t'oonchy'aa , ch'arookwat zheh gwats'ą' hohjyaa ts'ą' kwaii daak'a' ohkwat . ’
40:25:010:0	Ąįįts'ą' t'ee nich'it vigwizhi' kwaa nąįį khwaiidaak'a' goohookwat geenjit ch'ookwat zheh gwats'ą' gahaajil , gihiljii gwiizhit zhit juu veegwarahahchyaa zhat k'idik dąį' , zhit nich'it 5 zhat dilk'ii nąįį giiyaach'ihee'aa geenjit giiyaanihdeiinjil , ąįįtł'ęę gindeiinvyaa an ineegahjik .
40:25:011:0	“ Ąįįtł'ęę nich'it vigwizhi' kwaa 5 nąįį zhat k'ineegiidal ts'ą' gazhral , ‘K'eegwaadhat , K'eegwaadhat ! Nihdeediiniinlii , ’ giiyahnyąą .
40:25:012:0	Gaa goodii ginkhe' , ‘Łi'haa nakhwaashandaii kwaa t'oonchy'aa ! ’ ” goovahnyąą .
40:25:002:1	Dinjii Eenjit Gwitr'it T'agwah'in Tik Nąįį Agwandak Ąhtsii Haa Geech'ǫąąhtan .
40:25:013:0	Ąįįts'ą' t'ee Jesus ndaanaahjik ts'ą' t'inyąą , “ Nijin ji' t'igwehee'yaa gaakhwandaii kwaa jyąhts'ą' geh'an adak'ǫǫntii ts'ą' gwak'ǫǫhtii . ”
40:25:014:0	“ Izhit zhat ji' Zheekat Gweegwinii'ee jii k'it jyaa digweheechy'aa . Ch'ihłan dinjii ch'ihłak khaihtak gwa'an k'eeheedik geenjit dizheh gihłeehaazhii , ditsyaa nąįį aanaii ahnyąą ts'ą' jii jidii shats'an kwaii datthak k'ǫǫhtii goovahnyąą .
40:25:015:0	Gooteegwagwaanchy'aa ts'ą' deegihee'yaa gagadhan ąįį goots'an gwiłtsąįį : ch'ihłak gold laraa ghoo 5 , 000 yats'an iłtsąįį , ch'izhii chan 2 , 000 yats'an iłtsąįį , ts'ą' ch'izhii chan 1 , 000 yats'an iltsąįį . Ąįįtł'ęę khaihtak gwa'an k'eeheedik geenjit gihłeehaazhii .
40:25:016:0	Vitsyaa , 5 , 000 laraa ghoo antł'eiinlii ąįį gwagwahkhan gwandaa yaa laraa neehahtsyaa geenjit niyinlii ts'ą' chan 5 , 000 laraa yaa niłtsąįį .
40:25:017:0	Ąįį gwik'it vitsyaa juu 2 , 000 laraa ghoo antł'eiinlii chan 2 , 000 laraa yaa niłtsąįį .
40:25:018:0	Gaa vitsyaa juu 1 , 000 laraa ghoo ts'an iłtsąįį ąįį oo'at gwa'an nanzhit k'eedeegwaadhat valaraa gwit'eh inlii .
40:25:019:0	“ Ąįį k'eedeegwaadhat niighyuk hiljii tł'ęę ditsyaa eek'inidik ts'ą' laraa goovantł'eiinlii dahtsii giłtsąįį li' geenjit goovahkat .
