40:13:001:1	Jii Jesus Vagwandak T'ee Dinjii Gwahąąhshįį Eenjit Gwanzhįh Gwit'ilii
40:13:001:0	Zhat drin Jesus zheh gihłeehaazhii ts'ą' van vee gwats'ą' haazhii , izhit geech'oohahchyaa geenjit naadii .
40:13:002:0	Dinjii gwanlii haa vaagwiltł'ak ts'ąįį tr'ihchoo zheiinzhii ts'ą' naadii , gwiizhit vanvee dinjii lęįį neelzhii .
40:13:003:0	Gwinlęįį goovaagwahandak geenjit gwandak ąhtsii zhit geegoovąąhtan ts'ą' jyaa nyąą , “ Ch'ihłan dąį' dinjii ch'ihłak gwanzhįh deek'it gwa'an gwats'ą' haazhii , ts'ą' gweheełshii .
40:13:004:0	Ąįįts'ą' gwanzhįh gwit'eiinlii gwiizhit valat kwaii tąįį gwinjik gwa'an an-nihłik niinjil ts'ą' chiitsal kwaii datthak giiyiin'al .
40:13:005:0	Valat kwaii łųh vitee kii gwanlii ąįį gwinzii vitee łųh kwaa izhit niinjil . Łųh gwanlii kwaa geh'an khan hahshii ,
40:13:006:0	gaa nijin shree ndak nee'aa dąį' , ąįį gwanzhįh gwintsal hiłshii iłk'in ts'ą' nanzhit nahgwan niłshįį geh'an gwanzhįh navagaii aanaii .
40:13:007:0	Gwanzhįh valak kwaii khoh teiinjil ts'ą' gwitee niłshįį gaa khoh yinghan .
40:13:002:1	Jaghaii Jesus Gwandak Ąhtsii Zhit Geech'ǫąąhtan
40:13:008-009:0	Gaa valak kwaii chan nan nizįį kat niinjil ts'ą' gwinzii niłshįį , valat gaa vakat gwanzhįh 100 niłshįį , ch'izhii chan 60 ts'ą' ch'izhii chan 30 . Ch'oodǫǫhk'įį , nakhwadzee gwanlii ji' ! ” ts'ą' Jesus t'agoovahnyąą .
40:13:010:0	Ąįįtł'ęę Jesus vitsyaa nąįį giits'ą' haajil ts'ą' giiyųąhkat , “ Nijin dinjii nąįį ts'ą' ginkhii dąį' jaghaii gwandak ąhtsii zhit geech'ǫąąhtan ? ” Giiyahnyąą .
40:13:011:0	Jesus jyaa gavahnyąą , “ Zheekat Gweegwinii'ee nagwaan'įį nakhwantł'eegwiriin'ąįį t'oonchy'aa , gaa geedan ąįį nakwaa .
40:13:012:0	Zhit juu jidii gwii'įį , ąįį gwandaa vantł'ee neegwireheelyaa t'oonchy'aa , jyąhts'ą' gwik'iighai' gwandaa t'ąąnchy'aa hee'yaa ts'ą' vandaa t'agwahaanchy'aa , ąįįts'ą' juu vaa ch'akwaa , akwat , jidii tsal zhrįh gwii'įį ji' gaa , vits'į' neerahoondal t'inchy'aa .
40:13:013:0	Jii geh'an gwandak vaageech'oorahtan t'aałchy'aa t'ishi'in , nijin goots'ą' giihkhii dąį' . Gwinzii googwąąh'in ji' gaa gwinzii goovaa gweheechy'aa kwaa eenjit ąįįts'ą' chan gwinzii ch'agoołk'įį ji' gaa deegwinyąą t'igwinyąą gaageheendaii kwaa eenjit . ”
40:13:014:0	Ąįį geh'an yeenii Vit'eegwijyąhchy'aa Eenjit Ginkhii , Isaiah deiinyą' ąįįt'ee gooveenjit t'iinyą' , ‘Jii dinjii nąįį gwinzii ch'igiheetth'ak gaa deegwinyąą t'igwinyąą gaageheendaii kwaats'ą' dagandee haa gwagwah'in gaa gwinzii goovaagweech'in kwaa .
