40:7:001:1	Dinjii Nats'ąą Deerahoonjyaa Goo'aii
40:7:001:0	“ Dinjii neenjit oozųų shrǫ' , jyąhts'ą' gwik'iighai' Vit'eegwijyąhchy'aa chan jyaa nooheenjyaa kwaa .
40:7:002:0	Dinjii neenjit iizųų geh'an Vit'eegwijyąhchy'aa inzųų nahoonjyaa t'oonchy'aa ąįįts'ą' nats'ąą dinjii intł'eehaandal googwahtsii chan Vit'eegwijyąhchy'aa nintł'eehaandal t'oonchy'aa .
40:7:003:0	Ąįįts'ą' chan jaghaii , nachaa gwik'injiighit vindee zhit gał tsal dha'aii nah'in eenjit gwintł'oo ninjich'iindhat gwiizhit nindee zhit dachan choh dhihtin ąįį gwadrąįį ninjich'iindhat kwaa ?
40:7:004:0	Nats'ahts'ą' nandee dachan choh dhitin gwiizhit nachaa gwik'injigwiighit zhit ‘Ąįį gał tsal vindee dha'aii neenjit hoihchyaa ! ’ vahaiinjyaa ?
40:7:005:0	Deegwiłtł'oo dee zhyaa nizįį adaan'įį ( hypocrite ) t'ini'in ! Ąįį nindee dachan choh dhitin ąįį tr'ookit khaniinchįį , ąįįtł'ęę hee gwinzii naa gweheechy'aa ts'ą' gwinzii gwąąh'in k'iighai' nachaa gwik'injiighit vindee gał tsal dha'aii khaiinchįį .
40:7:002:1	Ch'oahkat , Vankantii , ts'ą' Ganlaanaii
40:7:006:0	“ Jidii shroodiinyąą nilii , łąįį antł'ohtsit shrǫ' . Jyaa nizhik ji' , nats'ą' łihts'eedagahaa'ee ts'ą' nak'aa gal gahahdaa t'igiinchy'aa . Na-pearls ąįį pigs ideekwaii gwats'ą' hohjyaa shrǫ' dagakwai' haa zhat giiyeeheetal t'inchy'aa . ”
40:7:007:0	“ Vit'eegwijyąhchy'aa oohkat ji' nakhwantł'eeyehee'aa , ts'ą' vinkeegǫh'in ji' vagwahoh'aa t'inchy'aa ts'ą' vats'ą' ganloonaii ji' nakhweenjit gideerihideenchyaa t'inchy'aa .
40:7:008:0	Juu k'eegwiichy'aa ch'oahkat t'ee vintł'eegwahaatth'aa , ts'ą' juu k'eegwiichy'aa gwinkeegwaah'in chan yagwahah'aa , ts'ą' juu yats'ą' ganlaanaii chan veenjit gindeiinvyaa eetr'ooheendal t'inchy'aa .
40:7:009:0	Nakhwatee ch'iti' nilii ąįį vidinji' łųhchy'aa yahnyąą ji' duuyeh kii ( ghoo ) yantł'ah'ąįį t'inchy'aa !
40:7:010:0	Ąįįts'ą' chan łuk yahnyąą ji' gyųų choh yantł'eehahchyaa lee t'inchy'aa !
40:7:011:0	Deegwiłtł'oo ohsųų googaa , nakhwagii nąįį jidii k'aiich'ii nizįį nakhwagahnyąą goovantł'ohłii , gwiizhit zheekat Nakhwati' jidii vohnyąą ąįį gwandaa dagwahtł'oo nizįį haa nakhwantł'eehaandal gaakhwandaii .
40:7:003:1	Gindeiinvyaa Zhit Gwinkeeraheedaa Ąįį Łyaa Gwiints'ik .
40:7:012:0	“ Jii t'ee Moses va-law ts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį geech'agoahtan zhit t'ee jyaa diginyąą , ‘Zhit ch'izhii dinjii nąįį nats'ahts'ą' nats'ą' dinjii gooli' gavoiinyąą gwik'it nan chan goots'ą' dinjii inlii . ’ ”
