40:20:001:1	Jak Choh ( grapes ) , Tr'ąąhshii Gwa'an Tr'agwah'in Nąįį
40:20:001:0	“ Zheekat Gweegwinii'ee ąįįt'ee jii k'it t'oonchy'aa . Ch'ihłan dinjii ch'ihłak jak choh nahshii gwideek'it gwii'įį ąįįts'ą' vanh dąį' hee khakee'ąįį ts'ą' dinjii nąįį lat keegwaah'in , giiyeenjit jak choh tr'ąąhshii gwideek'it gwa'an tr'agwagwahaah'yaa geenjit .
40:20:002:0	Dinjii lat yeenjit gwitr'it t'agwahah'yaa nąįį agwąh'ąįį . Drin ch'ihłak gwizhit silver laraa ch'ihłak haa googwarahookwat nyąą , izhit gwanaa dąį' drin ch'ihłak dinjii tr'agwah'in dąį' ( silver ) laraa ch'ihłak haa googwagookwat gwagwah'įį ts'ą' t'ee jak choh nahshii gwa'an gwitr'it t'agwahah'yaa geenjit gwats'ą' gavaahaadlii .
40:20:003:0	Ąįįtł'ęę 9 o'clock gwandaa chan hee nijin ch'arookwat zheh goodlii gwa'an gwits'eehoozhii akhai' ch'izhii dinjii lat nąįį zhyaa zhik gwa'an nigeelzhii gavaah'in .
40:20:004:0	‘Nakhwan chan jak choh tr'ąąhshii deek'it gwa'an sheenjit tr'agoh'in ji' t'ee gwinzii nakhwagohoihkwat t'oonchy'aa , ’ gavahnyąą .
40:20:005:0	Ąįįts'ą' t'ee tr'agwagwahaah'yaa geenjit oo'an gahaajil . Ąįįts'ą' ( 12 : 00 o'clock ) drin tł'an nigwiindhat dąį' chan hee dinjii neekwaii , tr'agwagwahaah'yaa geenjit oonjik , ąįįtł'ęę 3 o'clock nagwaanąįį dąį' chan hee gwik'it t'ineezhik .
40:20:006:0	Ąįįtł'ęę chan hee khaiinjii 5 : 00 o'clock nagwahaaghyii gwizhit oondaa neehoozhii akhai' ch'izhii dinjii nąįį zhyaa zhat gwa'an nigeelzhii goovah'in ts'ą' t'agavahnyąą , ‘Jaghaii zhyaa drin datthak zhat gwa'an nadhoozhii ? ’
40:20:007:0	‘Ch'ihłee gaa tr'agwah'in diinahnyąą kwaa . ’ giiyahnyąą . ‘Akwaa ji' oo'an hohjyaa ts'ą' jak choh nahshii gwideek'it gwa'an sheenjit tr'agoh'in . ’ gavahnyąą .
40:20:008:0	Nijin khaa nagwaanąįį dąį' zhit juu gwanzhįh deek'it ts'an gwaah'įį . Ąįį dinjii yeenjit gwitr'it t'agwah'in nąįį ts'ą' k'eedeegwaadhat t'ahnyąą . Zhit juu tr'agwah'in nąįį aanaii gooveiinyąą ts'ą' googoiinkwat , zhit juu t'ohju' zhat tr'igwihił'ya' nąįį tr'ookit googoiinkwat . Ąįįts'ą' juu vanh dąį' hee tr'igwihił'ya' nąįį , ji' gwaa'ai' gwitsii gahaaky'aa goovahtsii .
40:20:009:0	Ąįįtł'ęę dinjii nąįį 5 : 00 o'clock gwats'an tr'agwah'in nąįį silver laraa ch'ihłak haa googwaroonkwat .
40:20:010:0	Ąįįts'ą' zhit dinjii nąįį vanh dąį' gwats'an tr'agwah'ya' nąįį chan gwandaa googoorahookwat giindhan , akhai' geedan chan silver laraa ch'ihłak goovantł'eerinlii .
40:20:011:0	Dagalaraa goonjik , ts'ą' zhit juu eenjit tr'agwagwah'ya' ąįįts'ą' zhigaants'įį .
40:20:012:0	Ts'ą' jyaa digiiyahnyąą , ‘Jii dinjii nąįį one hour gwizhrįh tr'agwagwah'ya' gwiizhit diikhwan ąįį drin datthak shree nindhaa zhit tr'agwarah'ya' gwiizhit gook'it diigoinkwat ! ’ ginyąą .
40:20:013:0	Ąįį juu eenjit tr'agwagwah'ya' ąįį t'agavahnyąą , ‘Shoodǫǫhk'įį shijyaa nąįį , nakhwaninjigoolzhii kwaa t'oonchy'aa geh'an , silver laraa ch'ihłak drin datthak geenjit gwarookwat t'oonchy'aa ts'ą' ąįį eenjit tr'agwahoh'yaa dohnyąą ijii . ’ goovahnyąą .
40:20:014:0	Akǫ' t'ee nakhwalaraa ǫhjii ts'ą' nakhwazheh gwits'eekhwajyaa , jii dinjii gǫhju' zhat tr'igwihił'ya' ąįį chan deegwahtsii nakhwagoiikwat gwagwahtsii vagoohinkwat t'inchy'aa .
40:20:015:0	Łyaa shalaraa haa ch'iihshrii ąįį geenjit gatr'oo'ee ? Akwat shalaraa dooł'yaa nihthan gwik'it t'ahał'yaa t'oonchy'aa ? ’ ” nyąą .
40:20:002:1	Jesus Juk T'ee Tik Agwaanchy'aa Niheedhaa Geeginkhii
40:20:016:0	Ąįįts'ą' t'ee Jesus ginkhii ndaanaahjik ts'ą' t'inyąą , “ Jyąhts'ą' geh'an juu ji' khaii nilii ąįį tr'ookit heelyaa , ąįįts'ą' juu tr'ookit nilii chan ji'-khaiin nineerahahchyaa t'oonchy'aa . ”
40:20:017:0	Jesus Jerusalem , gwats'ą' geedaa gwiizhit ditsyaa 12 nąįį geh'at gwa'an geedan zhrįh nagaviinlii , ts'ą' t'agavahnyąą .
40:20:018:0	“ Ch'oodǫǫhk'įį ! Jerusalem gwats'ą' tr'iheedaa ts'ą' izhit ji' t'ee , giinkhih kįh dilk'ii nąįį ąįįts'ą' Law eech'ǫąąhtan nąįį haa Gwidinji' goovantł'eehahchyaa . Tr'agwaanduu t'ii'in giihaanjyaa ts'ą' giiyęhdaa tr'igwihee'aa geenjit .
40:20:003:1	Ch'ahan K'eegwiichy'aa Geenjit Ch'oahkat
40:20:019:0	Ąįįtł'ęę chan Jews nilii kwaa nąįį antł'eegiiyahahchyaa ts'ą' giiyeheedlaa , ts'ą' giiyahahtrii , ąįįtł'ęę cross kat gigiiyahahtsak , gaa drin tik nagwiindhat ąįįtł'ęę neegweheendaii t'inchy'aa . ”
