40:9:001:1	Jesus , Dinjii Neehidik Kwaa Neehidik Niłtsąįį
40:9:001:0	Jesus tr'ihchoh zhit neezhįį ts'ą' van ndųhts'ąįį dakwaiik'it gwits'eehoozhii ,
40:9:002:0	Izhit zhat dinjii neehidik kwaa , chyah kat ndaka'ee giits'ą' nąąhchįį , nijin Jesus , deegwiłtł'oo gwik'injigwiighit gii'įį gavaah'in dąį' ąįį dinjii neehidik kwaa ąįį jyaa dahnyąą , “ Shidinji' nat'aii neegwiilii ts'ą' natr'agwaanduu datthak neenjit oo'an gwahoiilii t'oonchy'aa . ” yahnyąą .
40:9:003:0	Ąįį gwiizhik , Law eech'ǫąąhtan lat zhat dilk'ii nąįį adats'ą' giginkhii , “ Jii dinjii Vit'eegwijyąhchy'aa vinehts'į' ginkhii ! ” t'inyąą .
40:9:004:0	Gaa Jesus , nats'ahts'ą' ninjich'agadhat gavaandaii ts'ą' t'agavahnyąą . “ Jaghaii zhyaa tr'agwaanduu ninjich'ǫhthat ?
40:9:005:0	Jii jidii shrit ts'ąįį t'avarahaanjyaa ąįį ts'ąįį googwantrii kwaa , ‘Natr'agwaanduu neenjit oo'an gwarahaadlii , ’ akwat ‘Ndak nineenjii ts'ą' inkhaa ? ’
40:9:006:0	Jii geenjit gwik'injinakhwahałdaa , Gwidinji' dzaa nankat tr'agwaanduu oo'an gweheelyaa eenjit t'aih di'įį gaahahkhwandaii geenjit . ” Ts'ą' dinjii neehidik kwaa jyaa dahnyąą , “ Ndak nineenjii , ts'ą' nichyah noiinjii ts'ą' oo'an nizheh gwits'eehindii ! ”
40:9:007:0	Ąįįts'ą' t'ee zhit dinjii ndak needhikhin ts'ą' oo'an dizheh gwits'eehoozhii .
40:9:002:1	Jesus , Matthew Oozhrii
40:9:008:0	Nijin dinjii nąįį gwagwah'ya' dąį' , łahchy'aa gwint'aii gihiłghaa ts'ą' dzaa dinjii nąįį tee dinjii t'aih ts'an ąhtsii geenjit Vit'eegwijyąhchy'aa deegihił'e' .
40:9:009:0	Jesus zhat gwats'an gihłeehoozhii ts'ą' k'ii'an ahaa , gwiizhit tax eenjit laraa oonjii nilii Matthew oaazhii , didehk'it gwizhit dhidii neeł'in ts'ą' t'ahnyąą , “ Shatąįį hinkhaii ! ” ts'ą' Matthew ndak niinzhii ts'ą' yaahaazhii .
