40:22:001:1	Geegwarahchįį Dąį' Ch'ara'aa Gwarahtsii Gwagwandak Haa Geech'ǫąąhtan .
40:22:001:0	Jesus , chan hee gwandak ąhtsii zhit geech'ǫąąhtan haa dinjii nąįį ts'ą' ginkhii .
40:22:002:0	“ Zheekat Gweegwinii'ee t'ee jyaa doonchy'aa . Ch'ihłan k'eedeegwaadhat choo ( King ) didinji' goohaanjik geenjit ch'arehee'aa gwahtsii .
40:22:003:0	Ditsyaa nąįį ąįį juu ineech'ehił'al nąįį aanaii goovohnyąą nyąą , gaa oo'ee gwarǫh'ya' giindhan kwaa .
40:22:004:0	Ąįįts'ą' t'ee ch'izhii ditsyaa haa neech'idiin'ąįį juu ineech'ahah'aa nąįį jyaa dagahaanjyaa geenjit , ‘It'ee ch'arehee'aa : sha-aak'ii ts'ą' aak'ii gii tthąį' nizįį kwaii khadiriint'uu ts'ą' datthak shragwaazhit . Nihłeegwarahchįį ch'arehee'aa , aanaii . ’ goovaihnyąą nyąą .
40:22:005:0	Gaa juu ineech'ehił'al nąįį gwats'ą' tr'ahoojyaa giindhan kwaa ts'ą' digwigwitr'it gineegiitii . Ch'ihłak gwanzhįh deek'it gwats'ą' haazhii , ts'ą' ch'izhii chan dach'arookwat zheh gwats'ą' haazhii .
40:22:006:0	Gwiizhit ch'izhii nąįį k'eedeegwaadhat choo vitsyaa nąįį ahtsik ts'ą' googahkhwąį' ts'ą' goovęhdaa tr'igwiin'ąįį .
40:22:007:0	( King ) k'eedeegwaadhat choo łyaa zhyants'įį , ąįįts'ą' diniveet'ah'in nąįį oo'an hił'e' . Juu dinjii aghan nąįį ęhdaa tr'igwigwehee'aa ts'ą' goo-kwaiik'it gwachoo neegwagwahahk'an geenjit .
40:22:008:0	Ąįįtł'ęę ditsyaa nąįį aanaii ahnyąą ts'ą' jyaa dagoovahnyąą , ‘It'ee nihłeegwarahchįį ch'arehee'aa , gaa ąįį juu ineech'ahał'aa nąįį duuyeh gooneech'ał'aa .
40:22:009:0	It'ee oo'at tąįį gwinjik gwinchyaa gwa'an dinjii lęįį nąįį dzaa gwats'ą' hohjyaa ts'ą' ch'oh'aa goovohnyąą . ’ nyąą .
40:22:010:0	Ąįįts'ą' t'ee vitsyaa nąįį oo'at tąįį gwinjik gwa'an dinjii lęįį khaihłan nigiinlii , dinjii nizįį ts'ą' dinjii iizųų haa nihk'it ts'ą' nihłeegwarahchįį ch'arehee'aa zheh gwizhit dinjii deedąą'ąį' goodlit .
40:22:011:0	“ ( King ) k'eedeegwaadhat choo oozhat gwizhit juu ineech'ahah'aa nąįį nah'in akhai' dinjii ch'ihłak nihłeegwarahahchyaa geenjit needeegwaazhii kwaa łee nah'in .
40:22:012:0	‘Shijyaa , nihłeegwarahchįį geenjit needeegwanzhii kwaa gwiizhit nats'ahts'ą' dzaa nihdeiinzhii ? ’ yahnyąą ts'ą' ( King ) k'eedeegwaadhat choo yuahkat . Gaa ąįį dinjii yidii ginkhii kwaa .
40:22:013:0	Tł'ęę t'ee k'eedeegwaadhat choh ( King ) ditsyaa nąįį jyaa dahnyąą . ‘Jii dinjii vanli' ts'ą' vakwai' haa dohchyaa ts'ą' chiitąįį tǫǫ gwats'ą' cheet'eehohkhii . Izhit t'ee gwintł'oo heetree ts'ą' dagho' nihts'ą' łǫǫn'al haa neeyik'ii k'it t'ihee'yaa . ’ ” yahnyąą .
40:22:002:1	Taxes Tr'ooheekwat Gach'oogwaahkat
40:22:014:0	Ts'ą' Jesus ndaanich'igįįnkhee , “ Lęįį nąįį aanaii arahnyąą , gaa nitsya' zhrįh gwitee tr'iriinlii t'oonchy'aa . ” nyąą .
40:22:015:0	Pharisee nąįį gihłeegahoojil ts'ą' nats'ąą Jesus goohahkat haa goodhaii nigiihahthal geenjit geegiginkhii .
40:22:016:0	Tł'ęę t'ee digitsyaa lat nąįį ts'ą' Herod vitsyaa lat nąįį haa giits'ą' hił'e' . Jyaa digiiyahnyąą , “ Geech'ǫąąhtan , łi'didlii haa geech'ǫąąhtan naagwiindaii . Dinjii nąįį łi'didlii haa Vit'eegwijyąhchy'aa deegoo'ya' gavoonyąą ąįį gwik'it t'igihee'yaa geenjit geegoovąąhtan . Jidii k'it t'inchy'aa dinjii giinlii ąįį gwiinchyaa kwaa geh'an dinjii nąįį nats'ahts'ą' ninjich'agadhat ąįį geenjit tr'igwiindii kwaa .
40:22:017:0	Diihaa gwandak , Caesar , Rome nahkat gwats'ą' k'eedeegwaadhat , vats'a' taxes tr'ookwat ji' dii-law inehts'į' t'igwii'in lee t'igwii'in ? Googwarahookwat kwaa akwat googwarahookwat , jidii shrit ? ”
