55:1:001:1	K'é ha'níinii
55:1:001:0	Shí Paul , Diyin God íinízinii binahjį' Jesus Christ yá yil'aadii nishłíinii , Christ Jesus bee iiná bee nihoot'áanii bik'ehgo hashne' dooleełgo shi'dool'aad .
55:1:002:1	Paul éí Diyin God bich'į' ahééh nízin áádóó Timothy yiyahoniiłįįh
55:1:002:0	Timothy shiye' ayóó'óósh'níinii bich'į' naaltsoos áshłééh : Diyin God aTaa' áádóó Christ Jesus nihiBóhólníihii bibee ajooba' áádóó bibee aa a'ááh hasinii índa bibee ach'į' hózhǫ́ náhásdlį́į'ii yee nik'ijidlíi doo .
55:1:003:0	T'áá dashizhé'é yę́ę ádáát'įįdígi át'éego t'áá ákogi ánísht'éego bee ádaa ákonisdzingo Diyin God bá choosh'į́ . Éí bich'į' ahééh nisingo t'áá yoołkááł bik'eh ná sodiszingo nénáshniih .
55:1:004:0	Ninák'eeshto' bénáshniihgo nándzoołtse' laanaa nisin , áko éí t'áá íiyisí baa shił hózhǫ́ǫ doo biniyé .
55:1:005:0	T'áá aaníí iinídlą́ągo bee nééhéshnííh . Nimá sání Lois áádóó nimá Yónis átsé t'áá aaníí oodlą́ą́ nít'éé' , índa ni ałdó' k'ad t'áá aaníí iinídlą́ągo shił bééhózin .
55:1:006:0	Éí bąą sodizin bee nik'i dah díshnii'dą́ą́' Diyin God yee nik'ijisdli'go niih yiyííláhígíí nídiiłtłáadgo yéego diltłi'go íínísin dooleełígíí bééniyiishnííh .
55:1:007:0	Háálá Diyin God hasti'go nitsáhákees doo nihaidiní'ą́ą da , nidi bee adziil , áádóó ayóó'ó'ó'ní , índa ádaa áháyą́ągo nitsáhákees nihaidiní'ą́ .
55:1:008:0	Éí bąą nihiBóhólníihii bá hólne'ígíí t'áadoo baa yáníníziní , índa shí t'áá éí biniinaa awáalyaaí nishłíinii ałdó' t'áadoo shaa yáníníziní , nidi Diyin God bibee adziilii ba'íínílíigo łahdóó hane' yá'át'éehii bá ti'hoyínííh .
55:1:009:0	Diyin God yisdánihijíínil , áádóó doo t'áá nihí baa nidasiikai bik'ehgo da , nidi t'áá hó binahodziz'áanii áádóó hwe'ajooba' bik'ehgo diyingo dahinii'náa doo biniyé nihíká ázhdííniid . Éí t'ah doo hahalzhíísh yę́ędą́ą́' Christ Jesus bee nihaazhdiní'ą́ .
55:1:010:0	Áádóó binahodziz'áanii índa hwe'ajooba' éí Yisdánihiiníiłii Jesus Christ níyáhígíí bee k'ad nihich'į' bééhózingo ájiilaa . Christ éí aniné bibee adziilii k'éé'ayííłchǫ' , áádóó iiná índa doo da'dootsaałii hane' yá'át'éehii yee bééhózíní áyiilaa .
55:1:011:0	Díí hane' yá'át'éehii yaa halne'ii áádóó yee yil'aadii índa yee na'nitinii nishłį́į doo biniyé doo Jew dine'é danilíinii bich'į' nishi'deeltį́ ,
55:1:012:0	áko éí bąą yéego ti'hooshnííh . Nidi doo baa yánísin da , háálá hwiisisdląądii hwééhasin , áko beiníłką́ąjį' bee ha'iisélí'ígíí baa áhojilyą́ągo bízhneel'ą́ągo shił bééhózin .
55:1:013:0	Oodlą' índa ayóó'ó'ó'ní Christ Jesus bits'ą́ą́dę́ę́' hólóonii bee saad t'áá ákogi át'éii bínaniníłtą́ą'ii yínítą' .
55:1:014:0	Éí t'áá aaníinii bee na'ahoosdlíi'ii Níłch'i Diyinii nihii' dahólóonii bee baa áhólyą́ .
55:1:015:0	Éízhadi da'oodlání kéédahat'íinii shits'ádahaaskaigo nił bééhózin , Fijélas áádóó Hermájiiniiz nidi , atah shits'ání'áázh .
55:1:016:0	Anesíforas ha'áłchíní t'áá bił Bóhólníihii haa a'ááh nízin doo , háálá hó t'áá ahą́ą́h shik'i náhojiłtah nít'éé' . Awáalyaaí nishłínígíí t'áadoo baa yázniizį́į' da ,
55:1:017:0	nidi Romegi jiníyá yę́ędą́ą́' t'áá íiyisí bízhneedlį́įgo hashizneeztą́ą'go shik'ízhníyá .
55:1:018:0	Ánihwiit'aah beiníłką́ądi Bóhólníihii haa a'ááh dínóozįįł ! Jó , Éfesasgi nijil'a'go t'áá ałtsoní bee shíká aníjílwo'ii ałdó' nił bééhózin .
