55:3:001:1	Nihoogháahjį' yoołkáałgo diné kódaat'ée doo
55:3:001:0	Díí baa ákonínízin doo ! Nihoogháahjį' yoołkáałgo yéego ach'į' nahwii'náa doo .
55:3:002:0	Háálá diné ayóó'ádadó'níi doo , béeso yíchą́deídéelni' doo , ádaa daha'niih doo , be'áshodahódli' doo , bizadahóchį' doo , bishchíinii doo yik'eh dahół'į́į da doo , doo ahééh danízin da doo , doo bił dahodiyin da doo ,
55:3:003:0	doo ayóó'áda'ó'níi da doo , doo ach'į' bá nídahójǫǫh ádaat'ée da doo , t'áá ádzaagóó aa nidahalne' doo , na'ageh yee tsi'naaldeeh doo , báádahadzid doo , yá'ádaat'éehii deijoołáa doo ,
55:3:004:0	yóó'ada'ahidiit'aah doo , t'áá bizááká nidaakai doo , ayóó ánísht'é danízin doo , Diyin God ayóó'ádayó'níi doo yę́ęgi honeenida yíchą́dayídéelni' doo ,
55:3:005:0	Diyin God k'ehgo dahináanii nidahalin nidi diyin k'ehgo iiná bibee adziil doo deinízin da doo . Diné ákódaat'éhígíí bits'ąą ádaa áhólyą́ .
55:3:006:0	Éí bitahdóó asdzání bąąhági át'éii bii' daahéełii índa adáhonooní t'áá da'níł'ąą ádaat'éii nidabini'aahii dabighangóó diné ła' bił yah anídaakahgo nidabiłnééh .
55:3:007:0	Éí na'nitin t'áá bóhólníhígíí dayíists'ą́ą'go yídahooł'aah , nidi na'nitin t'áá aaníinii ts'ídá doo bił béédahoozį́į́' ádaat'ée da .
55:3:008:0	Diné éí Jániiz índa Jámbriiz wolyéii Mózes yik'ijį' naasdzil yę́ęgi át'éego díí diné ałdó' t'áá aaníinii yik'ijį' nidaaldzil , diné nichxǫ́'ógo nitsídaakeesii , áádóó bida'oodlą' doo ákót'éégóó biniinaa Diyin God doo binízinii danilį́ .
55:3:002:1	Paul éí Timothy yąąh niiníláii
55:3:009:0	Éí Jániiz índa Jámbriiz bidoo'áháyą' bee bééhózin yę́ęgi át'éego éí diné bidoo'ádahayą' diné t'áá ałtso bił béédahózin doo , áko t'áadoo ła'deidoolíłí da .
55:3:010:0	Nidi ni éí shina'nitin nił bééhózin , ááshníiłii , índa biniyé hinishnáanii , she'oodlą' át'éegi , nízaadgóó ha'ííníshníigi , shibee ayóó'ó'ó'níinii , shiha'ahóní át'éegi ,
55:3:011:0	shich'į' naho'diilnáago , ti'hwiisénii'ii ałdó' nił bééhózin . Ántiyakgi áádóó Aikóniyamgi índa Lístragi atíshi'dool'įįd , índa atíshi'dil'į́įgo bich'į' ha'iisisniidii baa ákoninizį́į́' ! Nidi éí t'áá ałtso bits'ąą Bóhólníihii yisdáshííłtį́ .
55:3:012:0	Christ Jesus bił łá'í nishłį́įgo Diyin God k'ehgo iiná bee hinishnáa dooleeł daznízinii t'áá ádzíłtso atídaho'dil'į́į doo ,
55:3:013:0	nidi diné doo yá'ádaashóonii índa yóó'ada'nii'áahii binda'adlo'go índa bida'deesdlo'go t'óó yówehda bąąhági ádaaníił dooleeł .
55:3:014:0	Nidi ni , bíhwiinił'ą́'ígíí índa yisínídląądígíí bidziilgo bee sínízį́ . Háálá bits'ą́ą́dóó bíhwiinił'ą́ą'ii nił bééhózin ,
55:3:015:0	áádóó t'áá awéé' nílį́į́dę́ę́' Diyin God bizaad bee ak'eda'ashchíinii nił bééhoozinígíí bee aho'ni'niyąądgo éí Christ Jesus yinídlánígíí bee yisdádíínáałgi yíneel'ą́ągo yínaniniłtin .
55:3:016:0	Diyin God bizaad bee ak'e'ashchíinii t'áá ałtso Diyin God ił halne'go bee ak'eda'ashchį́ , éí na'nitin biniyé , adidooteh biniyé , k'éhézdon ninádoodlóós biniyé , índa t'áá ákogi é'ét'é bóhoo'aah biniyé choo'į́ ,
55:3:017:0	áko Diyin God bá diné chojoo'íinii doo bee hach'į' anáhóót'i'í da doo , índa t'áá ałtsojį' yá'át'ééh ájooníił doo biniyé hasht'e'ázdólzin doo .
