41:9:001:1	Jesus, Ch'ijuk Vigweheechy'aa ts'ą' Vaa Ch'eegwąhndit
41:9:001:0	Ts'ą' chan t'agoovahnyąą, “Łi'haa nakhwaagwaldak t'ihnyąą, juk nakhwatee nakhwalat nąįį nigiheedhaa gwats'ą' Vit'eegwijyąhchy'aa vat'aii jiintsii haa Veegwinii'ee zhit needyaa gwagwahah'yaa t'oonchy'aa.” 
41:9:002:0	Drin nihk'iitik (6) gwahaadhat tł'ęę, Jesus, Peter, James, ts'ą' John nąįį haa ddhah choo kat tthan goo'aii gwa'an gwats'ą' gavahaadlii. Aakin giiyah'įį gwizhit Jesus gavandah ch'ijuk vigweech'in naanaii, 
41:9:003:0	ts'ą' vagwach'aa łyaa ch'ąhndit ts'ą' daagąįį dhidlit. Jii nakat dinjii ch'ihłak gaa deegwahtł'oo yik'eech'ahtryaa ji' gaa duuyeh gwandaa daagąįį yahtsii. 
41:9:004:0	Ąįįtł'ęę vitsyaa tik nąįį deenaadąį' gwats'an Vit'eegwijyąhchy'aa Eenjit Ginkhii neekwaii, Elijah ts'ą' Moses haa Jesus ts'ą' giginkhii googwah'in. 
41:9:005:0	Peter, Jesus jyaa dahnyąą, “Shigeech'ǫąąhtan, dzaa tr'iilk'įį łyaa gwinzii t'igwinchy'aa łee. Trał haa zheh tik gwarahahtsyaa ch'ihłak ąįį neenjit, ch'ihłak chan Moses ąįįts'ą' ch'ihłak chan Elijah.” 
41:9:006:0	Peter ts'ą' ch'izhii nąįį gąąnjat nagaanaii ts'ąįį deeheenjyaa gaa gaandaii kwaa. 
41:9:007:0	Ts'ą' zheek'ǫh goodlii ts'ą' vagwank'oh gookat t'iizhit, gwiizhit gwideezhuh zheek'ǫh gwats'an jyaa nyąą. “Jii t'ee Shidinji' t'inchy'aa, łyaa veet'iihthan t'inchy'aa, oodǫǫhk'įį!” 
41:9:008:0	Gwagwahkhan geelin gwa'an datthak gaa ch'ihłak gaa gaah'in kwaa, gaa Jesus, zhrįh gaah'in. 
41:9:009:0	Ąįįtł'ęę ddhah kat gwats'an k'iidąą neegeedaa gwiizhit Jesus jyaa dakhwa'in goovahnyąą, “Dzaa deegwiizhit gǫǫh'ya' ch'ihłak gaa haagoondak shrǫ', Gwidinji' ch'ichį' ts'an neegweheendaii gwats'ą' geegǫǫndak shrǫ'.” 
41:9:010:0	Gaa nihłihts'ą' geegiginkhii, ts'ą' nihłigwaakat, “Ch'ichį' gaa neegwiindaii nyąą deenyąą t'inyąą?” Ąįįts'ą' deegavahnyąą gwik'it t'igiinchy'aa ts'ą' giik'eegwahthat. 
41:9:011:0	Ąįįtł'ęę vitsyaa nąįį giiyųąhkat, “Jaghaii Law eech'ǫąąhtan nąįį Elijah tr'ookit k'ineeheedik ginyąą t'iginyąą?” 
41:9:012:0	Jyaa gavahnyąą, “Elijah adan tr'ookit neeheedyaa t'oonchy'aa, datthak shrigweheelyaa ts'ą' tr'iilęįį nigwehee'aa t'inchy'aa. Jaghaii Dęhtły'aa Choh zhit Gwidinji' gwintł'oo khaiinjich'iheedhat ts'ą' giits'į' t'iheechy'aa ts'ą' gwadanakhwatł'oo gwinyąą? 
41:9:002:1	Jesus, Tsyaa Tsal, Ch'anky'aa Iizųų Vizhit Shrininlik
41:9:013:0	Nakhwaagwahaldak, łi'haa Elijah ch'adąį' hee k'inidik, ts'ą' dinjii nąįį dooł'ya' giiyuunyąą datthak gwik'it t'igiiyah'ya'. Dęhtły'aa Choh zhit nats'ahts'ą' gwadanakhwatł'oo datthak gwik'it t'igiiyah'ya' t'oonchy'aa.” 
41:9:014:0	Nijin ch'izhii vitsyaa nąįį dilk'ii gwits'ee gahoojil dąį', dinjii lęįį nąįį, ąįįts'ą' Law eech'ǫąąhtan lat nąįį haa vitsyaa eelin łigeeljil googwąąh'in, ts'ą' nihzheedagąąn'ee łee. 
41:9:015:0	Nijin dinjii nąįį Jesus gaah'in dąį', tr'ahaah'yaa łyaa giiyuunyąą kwaa ts'ą' shoo ginlii haa giits'ą' galhiłjil. 
41:9:016:0	“Jidii eenjit nihzheedǫǫ'ee?” Jesus gavahkat. 
41:9:017:0	Dinjii łeeljil gwitee gwats'an dinjii ch'ihłak jyaa nyąą, “Geech'ǫąąhtan, shidinji' vizhit ch'anky'aa iizųų t'inchy'aa, ts'ą' ginkhii kwaa ąįį veenjit gwinzii neegwahahtsyaa geenjit nats'ą' hoołchįį. 
41:9:018:0	Nijin ch'anky'aa iizųų neeyuundak dąį' nankat gwats'ą' t'eehaadhak, ąįįts'ą' viyik gwats'an goghoh tr'aatuu, ts'ą' dagho' chan nihts'ą' oon'al ts'ą' naghwa'aadhak. Nitsyaa nąįį ch'anky'aa iizųų vizhit gwats'ąnh gihłeehohchįį gavaihnyąą gaa khyų' t'igii'in.” 
41:9:019:0	Jesus ditsyaa nąįį jyaa dahnyąą, “Łyaa nakhwagwik'injigwiighit kwaa łee shakhwandaii nahoihnyąą! Deegwąhkhyuk zhyaa nakhwaa t'ihihchy'aa shoohnyąą? Ąįį chyaatsal dzaa shats'ą' hohchįį!” 
41:9:020:0	Jesus ts'ą' nigiiyąąhchįį, ch'anky'aa iizųų Jesus niił'in gwagwahkhan tsyaa tsal gwint'aii daatrat iłtsąįį ts'ą' nankat nat'aanąįį ts'ą' neekhiital gwiizhit goghoh viyik gwats'an tr'aatuu.  
41:9:021:0	“Deegwąhkhyuk jyaa dinchy'aa?” Jesus yiti' oahkat. “Tr'iinin tsal, nilii dąį' gwats'an jyaa dinchy'aa t'inchy'aa. 
41:9:022:0	Yęhdaa tr'igwihee'aa eenjit ch'anky'aa iizųų gwinlęįį kǫ' ts'ą' chųų zhit t'eeyahahthal gwik'eegwandaii. Khan gwik'it ni'yaa ji' neeshraahchy'aa diinoiinyaa ts'ą' diits'inyaa!” yahnyąą. 
41:9:023:0	“Aahą', nakhwan gaa nakhweenjit gach'agwadhan t'oonchy'aa! Dinjii gwik'injiighit dąį', jidii datthak veenjit gach'agwadhan t'oonchy'aa.” Jesus nyąą. 
41:9:024:0	Viti' zhat gwagwahkhan khashraa'iintrat, “Gwik'injihkhit, gaa jyaa dagwahtł'oo gwik'injihkhit kwaa t'oonchy'aa, gwandaa gwik'injihihkhit eenjit shits'iinyąą!” yahnyąą. 
41:9:025:0	Ts'ą' nijin Jesus dinjii lęįį łeeljil nąįį zhat gooveelin nijyaa nigweeł'in dąį' ch'anky'aa iizųų ts'ą' gwint'aii khaginkhee, “Ch'anky'aa ch'iitth'ak kwaa ts'ą' viginjik kwaa inlii, jii tsyaa tsal vizhit tr'iinkhaii ts'ą' chan ch'ihłok gaa vizhit neenoozhit shrǫ'!” yahnyąą. 
41:9:026:0	Ch'anky'aa iizųų, gwat'aii azhral ts'ą' tsyaa tsal gwilęįį neet'eehaadhak ts'ą' daatrat yiłtsąįį ąįįtł'ęę yats'an khaiinzhii. Ąįį tsyaa tsal niindhat k'it viyiichy'aa, ts'ą' “Niindhat t'inchy'aa!” datthak giiyahnyąą. 
41:9:027:0	Googaa, Jesus, tsyaa tsal anli' oonjik ts'ą' ndak ninęęyiłkhin ąįįts'ą' ndak nadhat yiłtsąįį. 
41:9:028:0	Ąįįtł'ęę nijin Jesus zheh nihdeiinzhii dąį', ąįį zhit gwizhit tthan goo'aii vitsyaa nąįį giiyųąhkat, “Jaghaii diikhwan khyų' ch'anky'aa iizųų, kharahchįį?” giiyahnyąą. 
41:9:003:1	Jesus Chan Hee Niheedhaa Geeginkhii
41:9:029:0	Ts'ą' t'agoovahnyąą, “Geeghaih nakwaa, ts'ą' jii ch'anky'aa iizųų k'it t'inchy'aa t'ee khadigiriinjii haa gwizhrįh kharahchik t'inchy'aa.” Jesus nyąą. 
41:9:030:0	Jesus ts'ą' ditsyaa nąįį haa zhat gwats'an gihłeegahoojil ts'ą' Galilee gwideetaa nigiinjil. Jesus nijin dhidii dinjii nąįį yaandaii geet'iindhan kwaa, 
41:9:031:0	ditsyaa nąįį gǫąąhtan geh'an jyaa goovahnyąą, “Gwidinji' tr'ahaahkhwaa geenjit dinjii nąįį antł'eegiihahchyaa ts'ą' drin tik gwahaadhat ąįįtł'ęę neegweheendaii t'oonchy'aa.” 
41:9:004:1	Juu Ch'andaa Hil'ee
41:9:032:0	Gaa jii geech'ǫąąhtan deegwinyąą t'igwinyąą gaagiindaii kwaa, ąįįts'ą' chan giiyuuhaahkat eenjit gatr'agogwaanyąą. 
41:9:033:0	Capernaum kwaiik'it k'eegiidal, ts'ą' zheh nihdeegiinjil tł'ęę Jesus, ditsyaa nąįį oahkat, “Nijin k'ii'ee tąįį gwinjik tr'eedaa dąį', jidii eegoohkhii t'oohnyąą?” gavahnyąą. 
41:9:034:0	Gaa giidii ginkhe' kwaa geh'an nijin k'ii'ee tąįį gwinjik geedaa dąį' nihzheedagąąn'ee ts'ą' “Juu ch'andaa hil'ee?” ginyąą. 
41:9:035:0	Jesus naadii ts'ą' ditsyaa 12 nąįį aanaii t'ahnyąą, “Juu adan tr'ookit oihłi' yiindhan ji' dinjii tee datthak khazhak nadahaachyaa tł'ęę ji' gwizhrįh tr'ookit heelyaa, ąįįts'ą' juu nąįį datthak eenjit gwitr'it t'agwahah'yaa gwizhrįh ąįįtł'ęę tr'ookit veegwehee'aa t'oonchy'aa.” nyąą. 
41:9:036:0	Tr'iinin tsal oonjik ts'ą' goots'ą' nąąhchįį, ts'ą' goots'ą' nadhat gwiizhit danli' haa yeelin needhanjik ts'ą' t'agavahnyąą, 
41:9:005:1	Juu Diits'į' T'inchy'aa Kwaa, T'ee Diineenjit T'inchy'aa.
41:9:037:0	“Juu tr'iinin tsal shoozhri' zhit shoo nilii haa oonjik t'ee shįį chan sheenjit shoo nilii t'oonchy'aa. Juu sheenjit shoo nilii t'ee shįį zhrįh sheenjit shoo nilii kwaa gaa zhit juu dzaa gwats'ą' shihił'e' chan eenjit shoo nilii t'inchy'aa.” 
41:9:038:0	John, jyaa yahnyąą, “Geech'ǫąąhtan, dinjii ch'ihłak noozhri' zhit ch'anky'aa iizųų dinjii ts'an gihłeehiłchįį tr'ąąh'ya' ts'ą' jyaa ni'in kwaa varahnyąą, diitee gwats'an nilii kwaa geh'an.” 
41:9:039:0	Gaa Jesus t'iiyahnyąą, “Jyaa dakhwa'in kwaa, vohnyą' shrǫ', juu shoozhri' zhit gwigwee'in t'agwah'in zhat gwagwahkhan duuyeh k'eegwiichy'aa tr'agwaanduu shats'ą' t'ii'in t'oonchy'aa. 
41:9:040:0	Juu diits'ą' nich'itsahthat kwaa, ąįįt'ee diineenjit nadhat t'oonchy'aa. 
41:9:006:1	Dinjii Tr'agwaanduu Tr'agwah'in Tr'ahahtsyaa Kwaa.
41:9:041:0	Jii t'ee łyaa nakhwaagwaldak t'ihnyąą, juu Christ vats'an ǫhłįį geh'an chųų nakhwantł'eiinkaii, jidii tsal gaiiyiigwigwiłtsąįį łyaa goots'an heelyaa.” Jesus goovahnyąą. 
41:9:042:0	“Jii tr'iinin k'it t'inchy'aa shik'injiighit ąįį juu tr'agwaanduu t'ii'in yahtsii ji', ąįį juu jyaa dii'in yahtsii vak'oh chan kii choo diriłchaa ts'ą' chųų choh kat oondaa t'eerihiiłnaii ji' ts'ąįį gwandaa vidivee gweheezyaa. 
41:9:043:0	Ąįįts'ą' nanli' tr'agwaanduu t'ini'in nahtsii ji' vik'eech'iint'ii! Nanli' ch'ihłak kwaa haa gwandaii ndaanąą'ąį' kwaa gwats'ą' hoiizhii ts'ąįį gwinzii. Izhit kwaa ji' nanli' neekwaii gwanlii haa hell gwizhit kǫ' nikyaa kwaa zhit hinkhaii ąįį zhit ts'ąįį gwiizųų. 
41:9:044:0	(Izhit gwizhit gyųų khit ninghit kwaa ts'ą' gwatthąį' a'aa, ts'ą' kǫ' ak'an ts'ą' nikyaa kwaa!) 
