41:10:001:1	Jesus Juu Da'at akwat Dakai' Akhoonyąą Nąįį Eenjit Geech'ǫąąhtan
41:10:001:0	Ąįįtł'ęę zhat gwats'an gihłeehoozhii ts'ą' Judea nahkat gwats'ą' haazhii, ts'ą' Jordan han ndųhts'ąįį niinzhii. Chan hee dinjii lęįį vaa łineeljil ts'ą' gweedhaa datthak geegoovąąhtan gwik'it chan hee geegoovąąhtan. 
41:10:002:0	Pharisee lat nąįį giits'ą' haajil ts'ą' goodhaii nigiihaahthal geenjit giiyųąhkat, “Diihaa gwandak, jii dii-law zhit dinjii khan da'at akhooheenjyaa lee t'oonchy'aa?” giiyahnyąą. 
41:10:003:0	“Moses va-law nakhwantł'eiin'ąįį zhit deekhwa'yaa nakhwarahnyąą?” nyąą ts'ą' Jesus gavaahkat. 
41:10:004:0	“Dinjii, da'at akhahoonjyaa geenjit dęhtły'aa diheentł'oo ąįįtł'ęę da'at antł'eeyahahchal, Moses va-law kat jyaa digwinyąą t'oonchy'aa.” giiyahnyąą. 
41:10:005:0	“Geenakhwaraahtan geenjit nakhwaa googwantrii ts'ą' nakhwakiitth'an dach'at geh'an Moses jii law nakhweenjit daantł'oo.” Jesus gavahnyąą. 
41:10:006:0	Gaa tr'ookit dąį' Vit'eegwijyąhchy'aa jii nan datthak iltsąįį dąį' Dęhtły'aa Choh zhit jyaa digwinyąą, ‘Vit'eegwijyąhchy'aa dinjii ts'ą' tr'injaa haa iłtsąįį t'oonchy'aa. 
41:10:007:0	Jyąhts'ą' geh'an zhit dinjii, dahan ts'ą' diti' haa ihłeeheehaa ts'ą' da'at haa t'iheechy'aa. 
41:10:008:0	Ąįįts'ą' jii neekwaii nąįį ch'ihłak giheelyaa.’ Juk gwats'an neekwaii giheelyaa kwaa gaa ch'ihłak zhrįh giheelyaa. 
41:10:009:0	Vit'eegwijyąhchy'aa nihłaa nagoovahchįį geh'an dinjii ch'ihłak gaa nihts'an tr'agoogahahchyaa kwaa t'oonchy'aa.” 
41:10:010:0	Nijin zheh nihdineegeejil dąį' jii Jesus deihnyą' eenjit vitsyaa nąįį giiyųąhkat. 
41:10:011:0	Ąįįts'ą' jyaa gavahnyąą, “Juu dinjii, da'at akhoonyąą ts'ą' ch'izhii tr'injaa noonjik ji' ąįį dinjii, da'at ts'ą' adultery t'ii'in t'ii'in. 
41:10:002:1	Jesus, Tr'iinin Tsal Nąįį Ts'iheenjyaa Eenjit Gookat Naanjik.
41:10:012:0	Ąįį gwik'it, juu tr'injaa, dakai' akhoonyąą ts'ą' ch'izhii dinjii neeyuunjik ji' ąįį tr'injaa, dakai' ts'ą' adultery t'ii'in t'ii'in.” gavahnyąą. 
41:10:013:0	Dinjii lat tr'iinin tsal nąįį Jesus ts'ą' gahaadlii, gook'aa nahaandal geenjit, gaa vitsyaa nąįį jyaa dakhwa'in kwaa googahnyąą. 
41:10:014:0	Gaa nijin jyaa gii'in, Jesus gwąąh'in dąį' vik'įį goodlit ts'ą' ditsyaa nąįį t'ahnyąą, “Tr'iinin shats'ą' hijyaa nąįį, zhyaa goovoh'in, juu tr'iinin k'it t'inchy'aa nąįį t'ee Vit'eegwijyąhchy'aa Veegwinii'ee goots'an nilii t'inchy'aa. 
41:10:015:0	Łyaa nakhwaagwahaldak t'inyąą, juu Vit'eegwijyąhchy'aa Veegwinii'ee, tr'iinin tsal k'it goonjii kwaa ji' duuyeh nihdąhkhaii.” 
41:10:003:1	Dinjii Valaraa Gwanlii
41:10:016:0	Ąįįtł'ęę digin haa tr'iinin tsal nąįį eelin nooljik ts'ą' goots'iheenjyaa geenjit gook'aa naanjik. 
41:10:017:0	Jesus gihłeehidii gwiizhik dinjii ch'ihłak yats'ą' naangik ts'ą' yats'ą' nikiigwiintthaii, ąįįtł'ęę yuahkat, “Geech'ǫąąhtan nizįį inlii, gwandaii ndaanąą'ąį' kwaa shi'yaa geenjit deeshi'yaa goo'aii?” yahnyąą. 
41:10:018:0	“Jaghaii nizįį shaiinyąą?” Jesus yuahkat. “Ch'ihłak gaa nizįį kwaa gaa Vit'eegwijyąhchy'aa zhrįh nizįį t'oonchy'aa. 
41:10:019:0	Moses va-law kat jyaa digwinyąą gaakhwandaii, ‘Dinjii ęhdaa tr'agoiin'aa shrǫ'! Nakąį' akwat na'at nilii kwaa haa oiinchį' shrǫ'! Ch'ǫįį'įį shrǫ'! Ch'izhii dinjii eenjit oonts'it shrǫ'! Ninjigoonzhii shrǫ'! Niti' ts'ą' nahan haa yinjiihooh'ee.’” 
41:10:020:0	“Geech'ǫąąhtan, tsyaa tsal ihłii dąį' gwats'an jii datthak gwik'it t'ishi'ya'!” jii dinjii yahnyąą. 
41:10:021:0	Jesus ch'eet'igwiniindhan haa yindee ts'ą' gwinzii yah'in ts'ą' t'iiyahnyąą, “Jii k'eegwiichy'aa ch'ihłak t'ini'in gwat'aahchy'aa, oo'an nizheh gwits'eehindii ts'ą' nik'eiich'ii datthak laraa t'įį gwantł'eiinlii ąįįtł'ęę, ąįį laraa juu neeshraahchy'aa nąįį antł'eiinlii, jyaa dinizhit ji' zheekat gaiiyiigwahahtsyaa neenjit gwehee'aa. Ąįįtł'ęę shatąįį hinkhaii ts'ą' shitsyaa inlii.” 
