41:14:001:1	Jesus Giiyęhdaa Tr'igwihee'aa Gwik'eegwagwandaii
41:14:001:0	Passover ch'aga'aa gwagwahtsii ts'ą' łųhchy'aa vitee łųh vaaniituu kwaa gihee'aa nigweheedhaa gwats'ą' drin neekwaii, gweedhaa gwiizhit giinkhih kįh dilk'ii nąįį ts'ą' Law eech'ǫąąhtan nilii nąįį haa nagwąą'įį zhit Jesus gooheendal ts'ą' giiyęhdaa tr'igwihee'aa gwik'eegogwandaii. 
41:14:002:1	Bethany Kwaiik'it gwizhit Jesus Viki' Kat Gwanzhįh Chų' Neegaanjaa.
41:14:002:0	“Passover ch'aga'aa gwagwahtsii gwiizhit tr'ooheendal kwaa nihłagaanyąą jyaa digwiizhit ji' duulee dinjii nąįį datthak diits'ą' nich'itsahahthat.” ginyąą. 
41:14:003:0	Nijin Bethany kwaiik'it gwizhit Simon, gwehkįį vatthąį' ahjat (leprosy) haa iłts'ik dąį' ąįį Jesus yizheh gwizhit neech'a'aa gwiizhit tr'injaa alabaster tyah zhit gwanzhįh chų' daatł'oo gwinzii vagwaatsan neeha'ak. Ąįį alabaster tyah łeełnaii ts'ą' Jesus kį' kat neeyaanjaa. 
41:14:004:0	Dinjii zhat dilk'ii nąįį lat shoh iłtsąįį kwaa ts'ą' t'inihłagaanyąą, “Jaghaii jii gwanzhįh chų' gwinzii vagwaatsan zhyaa an ąhtsii? 
41:14:005:0	Khan $300 denarii gwandaa ji' gaa giiyeehǫǫkwat t'inchy'aa, ąįįtł'ęę neeshraahchy'aa nąįį ts'an tr'ahahtsyaa.” ginyąą ts'ą' geenjit ch'ats'ą' t'igiiyahnyąą. 
41:14:006:0	Gaa Jesus jyaa nyąą, “Vandeegoh'ąįį kwaa! Łyaa gwinzii shats'ą' t'iizhik geenjit jaghaii vandeegoh'ąįį? 
41:14:007:0	Gweedhaa datthak neeshraahchy'aa nąįį nakhwaat'eheechy'aa nijin goots'ohnyąą goovohnyąą ji' goots'ahohjyaa t'oonchy'aa, gaa shįį ąįį duuyeh gweedhaa datthak nakhwaa t'inchy'aa t'oonchy'aa. 
41:14:008:0	Jidii t'ihee'yaa gadhan gwik'it t'iizhik t'ii'in, jii gwanzhįh chų' gwinzii vagwaatsan shakat naanjaa ąįįt'ee gęhdaa gwandaa shanarahahdal geenjit shrigwilik t'ini'in. 
41:14:003:1	Judas, Jesus Gwintł'eehahchyaa Geenjit Gwinzii Gwiłtsąįį.
41:14:009:0	Łyaa nakhwaagwaldak t'ihnyąą, jii nankat datthak nijin gwa'an Gwandak Nizįį eeragwaandak gwa'an giiyeegiheekhyaa, adan deezhik khik vineegwahaandaii geenjit.” 
41:14:010:0	Ąįįtł'ęę Judas Iscariot, Jesus vitsyaa 12 ch'ihłak nilii, Jesus gwintł'eehahchyaa geenjit giinkhih kįh dilk'ii nąįį ts'ą' haazhii. 
41:14:004:1	Jesus, Ditsyaa Nąįį Haa Passover Ch'aga'aa Gwagwahtsii Neech'aga'aa
41:14:011:0	Nijin deenyąą giiyiitth'ak dąį' łyaa shoh giinlii, ts'ą' laraa giiyantł'eeheelyaa geenjit giiyaa gwinzii gwiłtsąįį. Ąįįtł'ęę Judas nats'ahts'ą' gwintł'ee yahahchyaa gininjich'ahthat. 
41:14:012:0	Tr'ookit drin łųhchy'aa vitee łųh niituu kwaa nigwiindhat dąį', Jesus vitsyaa nąįį giits'ą' haajil ts'ą' giiyųąhkat, “Passover ch'arehee'aa geenjit nijin tr'iilęįį gwarahahtsyaa?” giiyahnyąą. 
41:14:013:0	Jesus ditsyaa neekwaii nąįį jyaa dahnyąą: “Kwaiik'it gwachoo gwats'ą' hoh'oo, izhit dinjii tyah zhit chųų neehakat nakhwats'ą' tr'iheehaa t'oonchy'aa, ąįįts'ą' vatąįį hoh'oo. 
41:14:014:0	Jidii zheh gwizhit nihdeiinzhii, ąįį zhit gwizhit juu zheh gwats'ą' k'eedeegwaadhat ąįį jyaa vohnyąą. ‘Geech'ǫąąhtan, jii jyaa dohnyąą diinahnyąą gwik'it t'anarahnyąą t'igwinyąą, ąįį nijin shitsyaa ąįįts'ą' shįį haa Passover ch'ara'aa gwarahahtsyaa deegwaajii?’ 
41:14:015:0	Ąįįtł'ęę, yeedak zheh dagoo'aii gwik'eenakhwahaahtyaa, izhit vakaii'aa vakat ch'arehee'aa dha'aii, ąįį zhit jidii t'ahohchy'aa datthak geenjit shragahohłyaa.” 
41:14:016:0	Vitsyaa neekwaii nąįį kwaiik'it gwachoo gwats'ą' gahaa'oo, Jesus deegoovahnyąą datthak gwik'it t'oonchy'aa ts'ą' Passover ch'agehee'aa gwagwahahtsyaa eenjit shrii nigwigwiin'ąįį. 
41:14:017:0	Nijin khaa nagwaanąįį dąį', Jesus ts'ą' ditsyaa nąįį haa zhat gwats'ą' gahaajil. 
41:14:018:0	Nijin ch'aga'aa giilk'ii gwiizhit Jesus jyaa gavahnyąą, “Łyaa nakhwaagwahaldak, dzaa nakhwatee ch'ihłee juu shaaneech'a'aa gwintł'ee shahahchyaa t'oonchy'aa.” 
41:14:019:0	Vitsyaa nąįį datthak ideenjit tr'igwigwidii ts'ą' gootee gwagwaanchy'aa ts'ą' giiyahkat, “Shįį adan ihłii kwaa, hee?” giiyahnyąą. 
41:14:020:0	Jesus, jyaa goovahnyąą, “Nakhwatee 12 ǫhłįį ts'ą' ch'ihłee, juu k'ik ghoo zhit shaa łųhchy'aa tahtsik ąįįt'ee adan nilii. 
41:14:005:1	K'eegwaadhat, Ninjigwadhat Goots'an Ąhtsii
41:14:021:0	Dęhtły'aa Choh kat Gwidinji' niheedhaa gwinyąą gwadanakhwatł'oo, gaa zhit juu dinjii, Gwidinji' niheedhaa eenjit gwantł'eehahchyaa łyaa veenjit googwantrii gwiizųų ts'ą' vagoodlit kwaa ji' ts'ąįį vidivee gweheezyaa.” 
41:14:022:0	Ch'aga'aa gwiizhik Jesus łųhchy'aa oonjik ts'ą' mahsį' nyąą haa khagideedi' ąįįtł'ęę datthak khadeeyeenzhuu ts'ą' ditsyaa nąįį teeyiłtsik “Jii łųhchy'aa ǫhjii ts'ą' ch'oh'aa, jii t'ee shatthąį' t'inchy'aa.” gavahnyąą. 
41:14:023:0	Ąįįtł'ęę chųų tyah oonjik, Vit'eegwijyąhchy'aa ts'ą' khagideedi' ts'ą' mahsį' nyąą, ąįįtł'ęę goovantł'eeyinkaii ts'ą' datthak giits'an ch'eenį'. 
41:14:024:0	Jesus jyaa nyąą, “Jii t'ee shadaa, lęįį nąįį atr'agwaanduu oo'an gweheelyaa geenjit gwantł'eerinkaii t'inchy'aa ts'ą' Vit'eegwijyąhchy'aa deehee'yaa nyąą gwik'it t'iizhik gwigweheechy'aa geenjit. 
41:14:025:0	Łyaa nakhwaagwahaldak, dahthee Vit'eegwijyąhchy'aa Veegwinii'ee gwats'ą' hihshyaa ts'ą' jak chų' k'eejit shininjyaa gwats'ą' jii jak chų' duuyeh neeshinįį t'oonchy'aa.” 
41:14:006:1	Jesus, Peter Vaashandaii Kwaa Yahaanjyaa Yahnyąą
41:14:026:0	Ąįįtł'ęę Vit'eegwijyąhchy'aa deegihił'e' haa ch'igiinli' ts'ą' Taih Vakat Olives Nahshii ts'ą' gahaajil. 
41:14:027:0	Jesus, ditsyaa nąįį t'ahnyąą, “Datthak ts'ą' shihłeegalhohdaa ts'ą' akhashoohohjyaa t'oonchy'aa, Dęhtły'aa Choh zhit jyaa digwinyąą gwik'it, ‘Vit'eegwijyąhchy'aa divii k'ąąhtii hahkhwaa ts'ą' zhit divii nąįį datthak shrihtee gahaajil.’ nyąą. 
41:14:028:0	Gaa gwihįhdaii geenjit nineedhiikhin ąįįtł'ęę nakhwats'įį Galilee gwats'ą' hihshyaa t'oonchy'aa.” 
41:14:029:0	Peter ąįį jyaa yahnyąą, “Datthak nihłeegalgihiłjil ji' gaa shįį, duuyeh akhanoihnyąą t'oonchy'aa!” 
41:14:030:0	Jesus Peter jyaa dahnyąą, “Naagwaldak, juk khaa rooster neekwat hahchik gwehkįį tik agwaanchy'aa shaanandaii kwaa hiinjyaa t'oonchy'aa.” 
41:14:007:1	Jesus, Gwanzhįh Deek'it Gethsemane gwizhit Khagidiinjii
41:14:031:0	Peter gwint'aii yizheediin'ee ts'ą' t'iiyahnyąą, “Naa nihihthaa ji' gaa nihk'it duuyeh jyaa dihnyąą t'oonchy'aa!” yahnyąą. Ąįįts'ą' ants'ą' vitsyaa nąįį datthak chan jyaa ginyąą. 
41:14:032:0	Gethsemane geek'iidal, ts'ą' Jesus ditsyaa nąįį t'ahnyąą, “Dzaa dook'įį khadigiihihjyaa gwiizhit.” nyąą. 
41:14:033:0	Ts'ą' Peter, James, ts'ą' John haa dahaa haadlii, gwintł'oo tr'igwidii gwizhit khaiinjich'iighit.  
41:14:034:0	Ąįįts'ą' t'agavahnyąą, “Shidrii zhit tr'igwidii nitsii dha'aii ts'ą' vaa an hihłyaa k'it t'ihchy'aa, dzaa t'ohchy'aa ts'ą' sheenjit gwak'ǫǫhtii.” 
41:14:035:0	Geh'at niighit kwaa gwats'ą' haazhii ts'ą' nikiigwiintthaii ts'ą' dinin nankat gwah'ee ts'ą' khagidiinjii, ts'ą' jyaa nyąą, “Shiti' gwik'it goo'aii ji' geenjit jii khaiinjich'isheheeghit kwaa geenjit gwideetaa shahahchįį.” nyąą. 
41:14:036:0	“Shiti'!” nyąą ts'ą' khagidiinjii, “Jidii datthak neenjit gach'agwadhan gaashandaii, jii khaiinjich'igwiidhat chųų tyah shats'an neegoiinjii, gaa jidii nihthan eenjit kwaa, gaa nan'ąįį jidii niindhan eenjit.” 
41:14:037:0	Oo'an ditsyaa tik akhoonyąą nąįį giłchųų łee googwąh'ąįį. Peter ąįį jyaa dahnyąą, “Simon, dhinchįį? Hour ch'ihłak gwats'ą' gwizhrįh khach'oohaan'ya' gaa gwats'ą' giindhan kwaa?” 
41:14:038:0	Datthak ts'ą' t'agavahnyąą, “Gwak'ǫǫhtii ts'ą' khagadǫhjii, jyąhts'ą' gwik'iighai' tr'agwaanduu t'akhwa'yaa hohkhyaa kwaa geenjit. Nakhwayinji' ąįį gwik'it t'asho'ya' niindhan gaa zhit nakhwatthąį' ąįį vat'aii kwaa.” 
41:14:039:0	Chan gihłeehoozhii ts'ą' khagidiinjii, gwehkįį deenyą' chy'aa gwik'it t'inyąą. 
41:14:040:0	Ąįįts'ą' chan hee ditsyaa tik nąįį ts'eehoozhii, akhai' giłchųų łee gooneegwah'ąįį. Khyų' digindee nihky'aa gootą' ąįįts'ą' deegiiyahaanjyaa, gaa giiyaandaii kwaa. 
41:14:041:0	Juk it'ee tik, aanchy'aa goots'ą' nineezhii ts'ą' t'agoovahnyąą, “Tth'aii hee noozhii ts'ą' dhohchųų? It'ee jyaa dagwahtsii gwizhrįh t'ahoo'yaa! Gooh'in! Juk t'ee zhat nigwiindhat Gwidinji' tr'agwaanduu gwitr'it t'agwah'in nąįį antł'eetr'ahahchyaa t'oonchy'aa. 
41:14:008:1	Jesus Giiyuunjik
41:14:042:0	Ndak nǫhjyaa ts'ą' tr'ahoojyaa, jii dinjii gwantł'ee shahahchyaa dzaa zhat t'inchy'aa nǫh'in.” 
41:14:043:0	Ts'ą' gwagwahkhan Jesus tth'aii hee ginkhii gwiizhit Judas, vitsyaa 12 nąįį ch'ihłak nilii k'idik, dinjii lęįį nąįį shrii choo ts'ą' gał haa teegwagwahtą' yaa neehiidal, giinkhih kįh dilk'ii nąįį, ts'ą' Law eech'ǫąąhtan nąįį, ts'ą' Israel kįh dilk'ii nąįį haa googihił'e' t'igii'in. 
41:14:044:0	Ąįį juu gwantł'ee yahahchyaa ąįį dinjii lęįį łeeljil nąįį t'ahnyąą, “Dinjii haaltsu' t'ee adan vohtthan t'inchy'aa. Ǫhjii ts'ą' gihłeehohchįį, gwiizhit gwint'aii ohtą'.” nyąą. 
41:14:045:0	Judas zhat k'idik gwagwahkhan Jesus ts'ą' haazhii, “Shigeech'ǫąąhtan!” yahnyąą ts'ą' yiilts'ų'. 
41:14:046:0	Ąįįtł'ęę Jesus goonjik ts'ą' gwinzii giik'aahtii ts'ą' gwint'aii giiyųųntą'. 
41:14:047:0	Gaa juu zhat neelzhii ch'ihłak shriichoo khaiintin ts'ą' ndak khii giinkhih choh vi-slave dzee gadahtrat. 
41:14:048:0	Ąįįtł'ęę Jesus jyaa goovahnyąą, “Law łaahnaii iizųų ihłii k'it, shriichoo ąįįts'ą' gał choo haa shahohndal geenjit neehoozhik? 
41:14:049:0	Drin gwiteegwagwaanchy'aa Kharigidiinjii Zheh gwizhit nakhwaa t'ihchy'aa ts'ą' geenakhwaałtan googaa shǫhjii kwaa, gaa Dęhtły'aa Choh zhit nakhweenjit gwadanakhwatł'oo gwik'it t'igweheenjyaa goo'aii.” 
41:14:050:0	Ąįįtł'ęę vitsyaa nąįį datthak gihłeegalgihiljil ts'ą' akhagiiyuunyąą. 
41:14:051:0	Tsyaa ch'ihłak, Jesus tąįį neehihdik, zhat khaii ik daagąįį zhrįh naatsuu, giiyahoondal gwik'eegwagwandaii, ts'ą' giiyąhtsit, 
41:14:009:1	Jesus, Israel Kįh Dilk'ii Nąįį ts'ą' Nigiiyąąhchįį
41:14:052:0	gaa vagwach'aa kwaa ts'ą' t'ohłii neehilgit ts'ą' zhat di'ik akhoonyąą. 
41:14:053:0	Ąįįtł'ęę Jesus, ndak khii giinkhih choh vizheh gwats'ą' giiyihiłchįį, izhit it'ee ginkhii kįh dilk'ii nąįį, Israel kįh dilk'ii nąįį, ts'ą' Law eech'ǫąąhtan nąįį łagaajil. 
41:14:054:0	Gwiizhit Peter niighit gwats'an gootąįį ahaa ts'ą' ndak khii giinkhih choh vizheh tthał gwineedhi'ęę gwizhit nihdeiinzhii, ąįį zhit niveet'ah'in nąįį haa dhidii ts'ą' gwaak'a' gwats'ą' needaaghwaii. 
41:14:055:0	Giinkhih kįh dilk'ii nąįį, ts'ą' Israel kįh dilk'ii nąįį haa datthak zhat giilk'ii ts'ą' juu oots'it haa Jesus gwiizųų t'iizhit heenjyaa keegwagwąh'in, ąįį gwik'iighai' giiyęhdaa tr'igwigwehee'aa geenjit gaa dinjii agwagwąh'ąįį kwaa. 
41:14:056:0	Dinjii, lęįį nąįį oots'it haa giiyeeginkhii gaa googwandak kwaii nihk'it t'iichy'aa kwaa. 
41:14:057:0	Tł'ęę dinjii lat nąįį ndak nagakhin ts'ą' goots'it haa Jesus eegiginkhii, 
41:14:058:0	“Jii jyaa nyąą tr'iitth'ak giiyahnyąą, ‘Jii Kharigidiinjii Zheh dinjii gwiłtsąįį shrahtee gwahaałtsyaa gaa drin tik gwizhit jidii dinjii gwiłtsąįį kwaa nineegwihihthal nyąą.’” 
