41:11:001:1	Jerusalem Gwich'in Nąįį Shoo Haa Jesus Kat Gahaajil
41:11:001:0	Nijin Jerusalem gwats'ą' niighit kwaa geedaa gwiizhit Bethphage kwaiik'it ts'ą' Bethany kwaiik'it geeghaih Taih Vakat Olives Nahshii ąįį zhit k'eegiidal ąįį zhit gwats'an Jesus, ditsyaa neekwaii nąįį oo'an dits'ii goovihił'e', 
41:11:002:0	ts'ą' t'agoovahnyąą, “Zhit kwaiik'it goo'aii gwats'ą' ho'oo. Izhit nihdǫǫ'oo gwagwahkhan donkey gii tsal zhat dakhwachaa hǫǫh'yaa. Ąįįt'ee gwehkįį neegiihahchik kwaa. Gwats'an tr'oochįį ts'ą' dzaa gwats'ą' hohchįį. 
41:11:003:0	‘Jaghaii jii jyaa dakhwa'in?’ Nakhwarahnyąą ji', ‘K'eegwaadhat yat'ąąhchy'aa ts'ą' yat'ąąhchy'a' gwagwahkhan gwantł'ee neeyahahchyaa t'oonchy'aa.’ vohnyąą.” 
41:11:004:0	Ąįįts'ą' gwats'ą' gahaajil ts'ą' donkey gii tsal gindeiinvyaa k'it tąįį gwinjik geeghaih dakhwachaa agwagwąh'ąįį ts'ą' gwats'an deeneegiiyin'at gwiizhit, 
41:11:005:0	zhat gwa'an dinjii neiilzhii nąįį t'agoogahnyąą. “Ąįį donkey gii tsal jaghaii danoh'at t'akhwa'in?” googahnyąą. 
41:11:006:0	Jesus, dohnyąą gavahnyąą, gwik'it t'agoogahnyąą, ts'ą' zhyaa gihłeegahoo'oo ts'ą' zhyaa googah'in. 
41:11:007:0	Ąįį donkey gii tsal Jesus ts'ą' giihiłchįį ts'ą' digi'ik giikat deedhidlii ts'ą' Jesus yakat daandii.  
41:11:008:0	Dinjii lęįį nąįį digi'ik tąįį gwinjik gideekwaii nilii ts'ą' ch'izhii nąįį chan tąįį geeghaih ah ch'at'an choo nilii ąįį khagit'ii tąįį gwinjik gideekwaii nilii. 
41:11:009:0	Juu yits'ii haajil ts'ą' juu yatąįį adaa haa gazhral ts'ą' jyaa ginyąą, “Vit'eegwijyąhchy'aa jiintsii deerahoh'ee! Juu K'eegwaadhat voozhri' zhit ahaa ąįį Vit'eegwijyąhchy'aa vaa oolį'! 
41:11:010:0	Vit'eegwijyąhchy'aa deerahoh'e'! Diitsii yeenii King David veegwinii'ee ts'an ahaa Vit'eegwijyąhchy'aa vaa oolį'.” 
