41:4:001:1	Jii Jesus Vagwandak T'ee Dinjii Gwahąąhshįį Eenjit Gwanzhįh Gwit'eiinlii
41:4:001:0	Galilee van vee gwa'an, chan hee Jesus geech'ooheełchya', gaa tr'ihkhit veelin dinjii gwanlii ts'ąįį tr'ihchoh zhinzhii ts'ą' naadii. Van vee gwats'ą' niighit kwaa tr'ihchoh dhitin, gwiizhit dinjii nąįį teeghaii nigeelzhii.  
41:4:002:0	Gwinlęįį goovaagwahandak geenjit gwandak ąhtsii zhit geegoovąąhtan ts'ą' jyaa nyąą, 
41:4:003:0	“Ch'oodǫǫhk'įį! Ch'ihłan dąį' dinjii ch'ihłak gwanzhįh dehk'it gwa'an gwats'ą' haazhii, ts'ą' gweheełshii. 
41:4:004:0	Ąįįts'ą' gwanzhįh gwit'eiinlii gwizhit valat kwaii tąįį gwinjik gwa'an an-nihłik niinjil ts'ą' chiitsal kwaii datthak giiyiin'al.” 
41:4:005:0	Valat kwaii łųh vitee kii gwanlii ąįį gwinzii vitee łųh kwaa izhit niinjil. Łųh gwanlii kwaa geh'an khan hahshii, 
41:4:006:0	gaa nijin shree ndak nee'aa dąį', ąįį gwanzhįh gwintsal hiłshii iłk'in ts'ą' nanzhit nahgwan niłshįį geh'an gwanzhįh navagaii aanaii. 
41:4:007:0	Gwanzhįh lat kwaii chan khoh nahshii tee niinjil, ts'ą' khoh gwandaa niłshįį ts'ą' khoh yiiłkhwaii, ąįįts'ą' vats'an tr'ihee'aa niłshįį kwaa. 
41:4:008:0	Gaa gwanzhįh valat kwaii nankat łųh nizįį kat niinjil ts'ą' gwanzhįh gwinzii niłshįį ts'ą' vats'an tr'ihee'aa lęįį kwaii niłshįį. Valak kwaii ants'ą' tik daatin (30) niłshįį, ants'ą' chan nihk'iitik daatin (60) ąįįts'ą' valat ch'ihłoaatin daatin (100), jyaa dagwahtł'oo gwiłshii.” 
41:4:002:1	Jii Gwandak Eegwaandak T'ee Jyaa Nyąą T'inyąą
41:4:009:0	Ąįįtł'ęę Jesus, t'agoovahnyąą, “Ch'oodǫǫhk'įį, nakhwadzee gwanlii ji'!” 
41:4:010:0	Nijin Jesus adan zhrįh dhidii dąį', gwehkįį juu gwaandak giiyiitth'ak lat nąįį, ts'ą' vitsyaa 12 Tr'ihił'e' nąįį haa giits'ą' haajil ts'ą' jidii eech'ǫąąhtan eenjit giiyųąhkat. 
41:4:011:0	“Vit'eegwijyąhchy'aa Veegwinii'ee ąįį nagwaan'įį nakhwantł'eegwirin'ąįį. Gaa ch'izhii dinjii nąįį datthak gwandak ałtsii haa geech'ǫąąłtan k'iighai' deihnyąą gwigweheetth'ak, t'oonchy'aa.” goovahnyąą. 
41:4:003:1	Gwanzhįh Nahshii Gwandak Eegwaandak, Ąįį Deegwinyąą T'igwinyąą Geegwaandak.
