41:2:001:1	Jesus, Dinjii Neehidik Kwaa Shrineiinlik
41:2:001:0	Drin gwintsya' gehgoo goodhat ąįįtł'ęę Jesus, Capernaum kwaiik'it gwits'eehoozhii, ts'ą' dizheh dhidii giiyahnyąą ts'ą' nijuk datthak giiyeeginkhii. 
41:2:002:0	Ąįįts'ą' dinjii lęįį nąįį giizheh gwizhit łeeljil ts'ąįį khyų' gaa nihdeegijyaa. Jesus Gwandak Nizįį eegoovaagwaandak, 
41:2:003:0	nijin dinjii dǫǫ nąįį zhak k'eegiidal dąį', dinjii neehidik kwaa Jesus ts'ą' nagahchįį. 
41:2:004:0	It'ee shrit dinjii gwanlii ts'ąįį khyų' gindeiinvyaa k'ii'an nihdeegiiyąąhchįį ąįįts'ą' zheh gwakat deegaajil ts'ą' nijin Jesus dhidii ąįį zhit zhat, gwakat yiichy'a' gwigwiłtsąįį k'iizhak chyah kat dinjii nihdeegahchįį.  
41:2:005:0	Jesus łyaa gwik'injigwiighit nitsii gii'įį goovah'in ts'ą' ąįį dinjii neehidik kwaa jyaa dahnyąą, “Shidinji', natr'agwaanduu datthak oo'an gwarahaadlii t'oonchy'aa,” yahnyąą. 
41:2:006:0	Law eech'ǫąąhtan lat zhat giilk'ii nąįį adagats'ą' ninjich'agadhat ts'ą' jyaa digiindhan, 
41:2:007:0	“Deenyąą zhyaa Vit'eegwijyąhchy'aa inehts'į' jyąhts'ą' ginkhii t'inyąą? Dinjii ch'ihłee gaa tr'agwaanduu oo'an gwihilii kwaa t'oonchy'aa! Vit'eegwijyąhchy'aa zhrįh jyaa dii'in t'oonchy'aa.” 
41:2:008:0	Zhat gwagwahkhan Jesus deegiindhan gavaandaii ts'ą' t'agoovahnyąą, “Jaghaii jyąhts'ą' geenjit ninjich'ǫhthat? 
41:2:009:0	“Jii dinjii neehidik kwaa, ąįį t'avarahaanjyaa, jidii shrit gwagwantrii kwaa, ‘Natr'agwaanduu neenjit oo'an gwarahaadlii,’ akwat ‘Ndak nininjii, ts'ą' nichyah noiinjii, ts'ą' inkhaa?’ 
41:2:010:0	Juk nakhwats'ą' googwahaałkyaa, nats'ąą Gwidinji' ihłii ts'ą' gootr'agwaanduu oo'an gwihihłyaa geenjit.” Ts'ą' dinjii neehidik kwaa jyaa dahnyąą, 
41:2:011:0	“Ndak nininjii, ts'ą' nichyah noiinjii ts'ą' oo'an nizheh gwits'eehindii!” 
41:2:002:1	Jesus, Dinjii Levi Oozhii Shaahinkhaii Ahnyąą
41:2:012:0	Zhat łąą ąįį dinjii goovandah needhikhin ts'ą' dichyah noonjik, ts'ą' zhat googwahkhan gihłeehoozhii. Łyaa zhyaa datthak ts'ą' goovaa geegwaroolii kwaa t'igwiizhik ts'ą' Vit'eegwijyąhchy'aa deegihił'e' ts'ą' jyaa ginyąą, “Łahchy'aa tth'aii ch'ihłok gaa jyąhts'ą' t'igwii'in gwaraah'in kwaa.” ginyąą. 
41:2:013:0	Jesus, Galilee van vee gwa'an chan hee gwits'eehoozhii, dinjii lęįį nąįį giits'ą' haajil ts'ą' zhat geegoovąąhtan. 
41:2:014:0	Zhat gwa'an neehidik, gwiizhit tax eenjit laraa oonjii nilii, Alphaeus vidinji' Levi didehk'it dhidii ąįį Jesus niyeeł'in ts'ą' t'iiyahnyąą, “Shatąįį hinkhaii!” ąįįts'ą' t'ee ndak niinzhii ts'ą' yaahaazhii. 
41:2:015:0	Zhat khaa Levi, Jesus ts'ą' ditsyaa nąįį haa shaa neech'oh'aa goovahnyąą, zhit juu yah tax eenjit laraa oonjii nąįį ts'ą' dinjii lęįį nąįį tr'agwaanduu googwitr'it gwanlii googahnyąą nąįį chan goovaa neech'aga'aa. 
41:2:016:0	“Law eech'ǫąąhtan nąįį, ts'ą' Pharisee chan ginlii nąįį, nijin Jesus, tax eenjit laraa oonjii nąįį ts'ą' dinjii tr'agwaanduu googwitr'it gwanlii googahnyąą nąįį haa neech'a'aa googwah'in dąį', giitsyaa nąįį oahkat, “Jaghaii tax eenjit laraa oonjii nąįį ts'ą' dinjii vatr'agwaanduu gwanlii varahnyąą nąįį haa neech'a'aa t'ii'in?” googahnyąą. 
41:2:003:1	Khadigireheejyaa Geenjit Adach'agaa'aa Kwaa Gwagwahtsii Geenjit Ch'agoahkat
41:2:017:0	Ts'ą' nijin Jesus gooviitth'ak dąį' jyaa dagoovahnyąą, “Dinjii juu iłts'ik kwaa, nąįį dinjii iłts'ik shrinilik, t'eegaahchy'aa kwaa, gaa dinjii iłts'ik nąįį zhrįh iłts'ik dinjii shrinilik t'eegaahchy'aa t'oonchy'aa. Dinjii nizįį nąįį gootr'agwaanduu gweheelyaa gwits'į' geenjit dzaa gwats'ą' hoiizhii t'ishi'in kwaa gaa zhit juu vatr'agwaanduu gwanlii haakhwandaii nąįį eenjit t'ishi'in.” 
41:2:018:0	Ch'ihłan gęhdaa gwandaa John chųų gwats'an ąhtsii vitsyaa nąįį ts'ą' Pharisee gootsyaa nąįį haa khadigiheejyaa geenjit ch'ihłee adach'agaa'aa kwaa. Dinjii lat nąįį Jesus gwaahkat, “Jaghaii John vitsyaa nąįį ts'ą' Pharisee gootsyaa nąįį adach'agaa'aa kwaa gwagwahtsii gwiizhit nitsyaa nąįį jyaa digii'in kwaa?” 
41:2:019:0	Jesus t'agoovahnyąą, “Dinjii, tr'injaa haa nihłeegoorahchįį dąį' juu goovaach'ihee'aa nąįį shih ehdan t'igiheechy'aa goovohnyąą? Duuyeh jyaa t'igiinchy'aa gaakhwandaii, dinjii goonjik gavaa dhidii gwiizhit jyaa t'igihee'yaa kwaa goo'aii. 
41:2:020:0	Gaa, nijin drin dinjii goonjik goołeerehiłchįį ji' t'ee adach'agaa'aa kwaa gwizhrįh goo'aii. 
41:2:021:0	“Dinjii ch'ihłak gaa duuyeh ch'adak ik k'eejit nilii kwaa kat gwach'aa k'eejit k'aahkaii t'oonchy'aa jyaa diizhik ji' zhit gwach'aa k'eełkaii ąįį natsal nahaadhal ts'ą' gwandaa łeeheech'aa t'inchy'aa. 
