41:8:001:1	Jesus, Dinjii 4,000 Nąįį Ach'ah'al
41:8:001:0	Izhit gwats'an niighyuk gwahaadhat kwaa ts'ą' chan hee dinjii nąįį łineeljil. Izhik dąį' dinjii nąįį, shih giihee'aa gii'įį kwaa nagwaanąįį, ts'ą' Jesus ditsyaa, nąįį aanaii ahnyąą ts'ą' jyaa gavahnyąą, 
41:8:002:0	“Jii dinjii nąįį, łyaa giveenjit tr'igwihdii, juk t'ee drin tik shaa t'igiinchy'aa, ts'ą' gihee'aa gii'įį kwaa. 
41:8:003:0	Goolat nąįį łyaa niighit gwats'an geedaa ts'ą' nakhwazheh gwits'ee khwajyaa gavaihnyąą ji' ch'aga'aa kwaa geh'an k'ii'an neegeedaa gwizhit duulee oo'an t'ee gahaadhal.” nyąą. 
41:8:004:0	Vitsyaa nąįį giiyųąhkat, “Dzaa nangwinjir gwa'an nijin gwats'an shih tr'ooheendal ts'ą' jii dinjii lęįį nąįį gooch'arahah'aa?” 
41:8:005:0	“Łųhchy'aa daanchy'aa akhwa'įį?” nyąą ts'ą' Jesus gavahkat.“Łųhchy'aa 7 tr'ii'įį.” giiyahnyąą. 
41:8:006:0	Nankat gwa'an dook'įį dinjii łeeljil, nąįį ahnyąą. Ąįįtł'ęę łųhchy'aa 7 oonjik ts'ą' Vit'eegwijyąhchy'aa mahsį' yeenjit nyąą, tł'ęę nihtr'ayaazhuu ts'ą' ditsyaa nąįį antł'eeyiinlii, ants'ą' dinjii nąįį tee giiyaadlii. 
41:8:007:0	Ąįįts'ą' chan łuk chy'ah tsal lat chan gii'įį. Jesus Vit'eegwijyąhchy'aa mahsį' yeenjit nyąą ts'ą' ditsyaa nąįį jii chan goovantł'ohtsit gavahnyąą. 
41:8:008-009:0	Dinjii 4,000 nąįį deegwahtł'oo ch'aroo'aa giindhan gwik'it ch'igin'al. Ąįįtł'ęę vitsyaa nąįį, 7 tł'ootyah, zhit deedaan'ąįį tr'ooniindhat tineegwigwįłjik. Ąįįtł'ęę Jesus, dinjii nąįį oo'an nakhwazheh gwits'eekhwajyaa goovahnyąą. 
41:8:002:1	Pharisee Nąįį Geegaroolii Kwaa Ni'in Giiyahnyąą
41:8:010:0	Ąįįtł'ęę gwagwahkhan, ditsyaa nąįį haa tr'ihchoh zhit neezhįį ts'ą' Dalmanutha, nahkat gwats'ą' gahaajil. 
41:8:011:0	Pharisee nąįį giits'ą' haajil ts'ą' giizheedaa'ee, “Zheekat gwats'an gwigwii'in diits'ą' gwagwaakįį,” goodhaiinarookhii giiyuunyąą eenjit jyaa giiyahnyąą. 
41:8:012:0	Gaa Jesus, veenjit gitr'igwii'ee, haa gwint'aii khaazhee ts'ą' jyaa nyąą, “Jaghaii zhyaa juk gweendaa dinjii ǫhłįį ts'ą' gwigwee'in gach'oohkat? Nakhwaagwaldak, duuyeh jii dinjii ǫhłįį ts'ą' jyaa doonchy'aa nakhwats'ą' gwagwaałkįį t'oonchy'aa.” 
41:8:003:1	Pharisee ts'ą' Sadducee Nąįį Haa Goołuh Niituu Gwagwandak
41:8:013:0	Goołeehoozhii ts'ą' tr'ihchoh zhit neezhįį ąįįtł'ęę van ndųhts'ąįį ditsyaa nąįį haa gwits'eehidii. 
41:8:014:0	Vitsyaa nąįį łųhchy'aa giit'ahaachy'aa aanchy'aa goohoondal gineegildee, ąįįts'ą' łųhchy'aa ch'ihłak zhrįh gii'įį. 
41:8:015:0	Jesus goots'ą' nich'idiin'ąįį, “Dak'oontii, Pharisee nąįį, ąįįts'ą' Herod Antipas nąįį haa goots'į' adak'ǫǫntii, łųhchy'aa zhit łųh niituu k'it t'igiinchy'aa t'oonchy'aa.” 
41:8:016:0	Nihłihtee giginkhii, ts'ą' vitsyaa nąįį jyaa nihłagaanyąą. “Łųhchy'aa tr'ii'įį kwaa geh'an jyaa nyąą t'inyąą,” giiyahnyąą. 
41:8:017:0	Jesus, deeginyąą gavaandaii ts'ą' gavaahkat, “Jaghaii zhyaa łųhchy'aa tr'ii'įį kwaa eenjit nihłihtee gookhii? Nik'ee juk deegwinyąą gaakhwandaii? Zhyaa deegwahtł'oo nakhwayinji' neeshraahchy'aa? 
41:8:018:0	Nik'ee chan ganoondaii? Nakhwandee gwanlii ji' nik'ee gooh'in? Nakhwadzee gwanlii ji' nik'ee chan ch'ootth'ok?” 
41:8:019:0	“Nijin łųhchy'aa 5 khandidhiizhuu dąį' dinjii 5,000 nąįį eenjit t'ishizhik łųhchy'aa tł'ootyah zhit daanchy'aa tr'ooniindhat?” “Tł'ootyah 12.” giiyahnyąą. 
41:8:020:0	“Ąįįts'ą' chan łųhchy'aa 7, dinjii 4,000 eenjit khandidhiizhuu dąį', tł'ootyah zhit daanchy'aa tr'ooniindhat?” Jesus gavahnyąą. “Tł'ootyah 7.” giiyahnyąą. 
41:8:004:1	Jesus, Bethsaida Kwaiik'it gwizhit Dinjii Vandee Kwaa, Shrineiinlik
41:8:021:0	“Gwiizhit tth'aii hee deegwinyąą t'igwinyąą gaakhwandaii kwaa?” gavahnyąą. 
41:8:022:0	Bethsaida kwaiik'it, k'eegiidal dąį', dinjii vandee kwaa Jesus ts'ą' giihiłchįį ts'ą' vakat naanjii giiyahnyąą, haa giits'ą' ch'oodiikwat. 
41:8:023:0	Jesus, ąįį dinjii vandee kwaa anli' oonjik ts'ą' kwaiik'it geh'at gwa'an gwats'ą' yihiłchįį. Yindee kat haa zhrik ąįįtł'ęę Jesus danli' haa yindee kat naanjik. “Nik'ee k'eegwiichy'aa gwąąh'in?” yahnyąą. 
41:8:024:0	Ąįį dinjii oodak yąąh'in ts'ą' t'iiyahnyąą, “Aahą', dinjii nąįį nał'in, gaa ts'iivii zhit gwa'an neehiidal k'it t'igii'in.” nyąą. 
41:8:025:0	Jesus, chan hee dinjii andee kat nanaanjik, akhai' gwint'aii aakin gwaa'įį naanaii ts'ą' gwandaa gwinzii gwąąh'in needhidlit ts'ą' nijuk datthak gwinzii vaagweech'in. 
41:8:005:1	Jesus t'ee Vit'eegwijyąhchy'aa Dzaa gwats'ą' Yihił'e' T'inchy'aa, Peter Nyąą
41:8:026:0	Ąįįtł'ęę Jesus, yizheh gwits'ee yihił'e' ts'ą', “Zhit kwaiik'it gwits'ee noozhi' shrǫ'!” yahnyąą. 
41:8:027:0	Ąįįtł'ęę Jesus, ts'ą' ditsyaa nąįį haa Caesarea Philippi kwaiik'it gwachoo gwa'an kwaiik'it gwatsal goodlii gwats'ą' gahaajil. Gwats'ą' geedaa gwiizhit gavahkat, “Dinjii nąįį juu ihłii shagahnyąą?” 
41:8:028:0	Vitsyaa nąįį t'iiyahnyąą, “Goolat nąįį, John chųų gwats'an ąhtsii, nagahnyąą. Ch'izhii nąįį chan Elijah inlii, nagahnyąą. Ąįįts'ą' ch'izhii nąįį chan Vit'eegwijyąhchy'aa Eenjit Ginkhii ch'ihłak inlii, nagahnyąą.” 
41:8:029:0	“Nakhwan ąįį yu'? Juu ihłii shoonyąą?” nyąą, ts'ą' gavahkat. “Christ inlii!” Peter yahnyąą. 
41:8:006:1	Jesus Khaiinjich'iheeghit ts'ą' Niheedhaa Geegwandak
41:8:030:0	“Ch'ihłak gaa juu t'ihchy'aa haa goondak shrǫ'!” Jesus gavahnyąą. 
41:8:031:0	Ąįįtł'ęę zhazhat Jesus, ditsyaa nąįį geehiiłchya', “Zhit Israel kįh dilk'ii nąįį, giinkhih kįh dilk'ii nąįį, ąįįts'ą' chan juu Law eech'ǫąąhtan nąįį jii nąįį shįį Gwidinji' ihłii gwik'injigeheeghit kwaa ts'ą' khaiinjich'ishagahahthat ts'ą' shagahaahkhwaa, ąįįtł'ęę googaa, drin tik gwahaadhat ąįįtł'ęę neegwihiindaii t'oonchy'aa.” 
41:8:032:0	Gwinzii deegwinyąą gwigweheetth'ak gwiky'aa goovaagwandak. Googaa, Peter tthan niyąąhchįį ts'ą' gwagwahkhan ginjik nint'aii haa yits'ą' ginkhii, “Jyąhts'ą' ginkhii kwaa!” yahnyąą. 
41:8:033:0	Gaa Jesus łihts'eediil'ee ts'ą' ditsyaa nąįį nah'in, gwiizhit Peter ts'ą' gwint'aii khaginkhee, “Satan, shihł'eehindii! Nats'ahts'ą' ninjich'indhat Vit'eegwijyąhchy'aa vats'an t'oonchy'aa kwaa gaa dinjii ts'an t'oonchy'aa.” yahnyąą. 
