4:2:001:0	And the Lord spake unto Moses and unto Aaron , saying ,
4:2:002:0	Every man of the children of Israel shall pitch by his own standard , with the ensign of their father's house : far off about the tabernacle of the congregation shall they pitch .
4:2:003:0	And on the east side toward the rising of the sun shall they of the standard of the camp of Judah pitch throughout their armies : and Nahshon the son of Amminadab shall be captain of the children of Judah .
4:2:004:0	And his host , and those that were numbered of them , were threescore and fourteen thousand and six hundred .
4:2:005:0	And those that do pitch next unto him shall be the tribe of Issachar : and Nethaneel the son of Zuar shall be captain of the children of Issachar .
4:2:006:0	And his host , and those that were numbered thereof , were fifty and four thousand and four hundred .
4:2:007:0	Then the tribe of Zebulun : and Eliab the son of Helon shall be captain of the children of Zebulun .
4:2:008:0	And his host , and those that were numbered thereof , were fifty and seven thousand and four hundred .
4:2:009:0	All that were numbered in the camp of Judah were an hundred thousand and fourscore thousand and six thousand and four hundred , throughout their armies . These shall first set forth .
4:2:010:0	On the south side shall be the standard of the camp of Reuben according to their armies : and the captain of the children of Reuben shall be Elizur the son of Shedeur .
4:2:011:0	And his host , and those that were numbered thereof , were forty and six thousand and five hundred .
4:2:012:0	And those which pitch by him shall be the tribe of Simeon : and the captain of the children of Simeon shall be Shelumiel the son of Zurishaddai .
4:2:013:0	And his host , and those that were numbered of them , were fifty and nine thousand and three hundred .
4:2:014:0	Then the tribe of Gad : and the captain of the sons of Gad shall be Eliasaph the son of Reuel .
4:2:015:0	And his host , and those that were numbered of them , were forty and five thousand and six hundred and fifty .
4:2:016:0	All that were numbered in the camp of Reuben were an hundred thousand and fifty and one thousand and four hundred and fifty , throughout their armies . And they shall set forth in the second rank .
4:2:017:0	Then the tabernacle of the congregation shall set forward with the camp of the Levites in the midst of the camp : as they encamp , so shall they set forward , every man in his place by their standards .
4:2:018:0	On the west side shall be the standard of the camp of Ephraim according to their armies : and the captain of the sons of Ephraim shall be Elishama the son of Ammihud .
4:2:019:0	And his host , and those that were numbered of them , were forty thousand and five hundred .
4:2:020:0	And by him shall be the tribe of Manasseh : and the captain of the children of Manasseh shall be Gamaliel the son of Pedahzur .
4:2:021:0	And his host , and those that were numbered of them , were thirty and two thousand and two hundred .
4:2:022:0	Then the tribe of Benjamin : and the captain of the sons of Benjamin shall be Abidan the son of Gideoni .
4:2:023:0	And his host , and those that were numbered of them , were thirty and five thousand and four hundred .
4:2:024:0	All that were numbered of the camp of Ephraim were an hundred thousand and eight thousand and an hundred , throughout their armies . And they shall go forward in the third rank .
4:2:025:0	The standard of the camp of Dan shall be on the north side by their armies : and the captain of the children of Dan shall be Ahiezer the son of Ammishaddai .
4:2:026:0	And his host , and those that were numbered of them , were threescore and two thousand and seven hundred .
4:2:027:0	And those that encamp by him shall be the tribe of Asher : and the captain of the children of Asher shall be Pagiel the son of Ocran .
4:2:028:0	And his host , and those that were numbered of them , were forty and one thousand and five hundred .
4:2:029:0	Then the tribe of Naphtali : and the captain of the children of Naphtali shall be Ahira the son of Enan .
4:2:030:0	And his host , and those that were numbered of them , were fifty and three thousand and four hundred .
4:2:031:0	All they that were numbered in the camp of Dan were an hundred thousand and fifty and seven thousand and six hundred . They shall go hindmost with their standards .
4:2:032:0	These are those which were numbered of the children of Israel by the house of their fathers : all those that were numbered of the camps throughout their hosts were six hundred thousand and three thousand and five hundred and fifty .
4:2:033:0	But the Levites were not numbered among the children of Israel ; as the Lord commanded Moses .
4:2:034:0	And the children of Israel did according to all that the Lord commanded Moses : so they pitched by their standards , and so they set forward , every one after their families , according to the house of their fathers .
