4:28:001:0	And the spake unto Moses , saying ,
4:28:002:0	Command the children of Israel , and say unto them , My offering , and my bread for my sacrifices made by fire , for a sweet savour unto me , shall ye observe to offer unto me in their due season .
4:28:003:0	And thou shalt say unto them , This is the offering made by fire which ye shall offer unto the ; two lambs of the first year without spot day by day , for a continual burnt offering .
4:28:004:0	The one lamb shalt thou offer in the morning , and the other lamb shalt thou offer at even ;
4:28:005:0	And a tenth part of an ephah of flour for a meat offering , mingled with the fourth part of an hin of beaten oil .
4:28:006:0	It is a continual burnt offering , which was ordained in mount Sinai for a sweet savour , a sacrifice made by fire unto the .
4:28:007:0	And the drink offering thereof shall be the fourth part of an hin for the one lamb : in the holy place shalt thou cause the strong wine to be poured unto the for a drink offering .
4:28:008:0	And the other lamb shalt thou offer at even : as the meat offering of the morning , and as the drink offering thereof , thou shalt offer it , a sacrifice made by fire , of a sweet savour unto the .
4:28:009:0	And on the sabbath day two lambs of the first year without spot , and two tenth deals of flour for a meat offering , mingled with oil , and the drink offering thereof :
4:28:010:0	This is the burnt offering of every sabbath , beside the continual burnt offering , and his drink offering .
4:28:011:0	And in the beginnings of your months ye shall offer a burnt offering unto the ; two young bullocks , and one ram , seven lambs of the first year without spot ;
4:28:012:0	And three tenth deals of flour for a meat offering , mingled with oil , for one bullock ; and two tenth deals of flour for a meat offering , mingled with oil , for one ram ;
4:28:013:0	And a several tenth deal of flour mingled with oil for a meat offering unto one lamb ; for a burnt offering of a sweet savour , a sacrifice made by fire unto the .
4:28:014:0	And their drink offerings shall be half an hin of wine unto a bullock , and the third part of an hin unto a ram , and a fourth part of an hin unto a lamb : this is the burnt offering of every month throughout the months of the year .
4:28:015:0	And one kid of the goats for a sin offering unto the shall be offered , beside the continual burnt offering , and his drink offering .
4:28:016:0	And in the fourteenth day of the first month is the passover of the .
4:28:017:0	And in the fifteenth day of this month is the feast : seven days shall unleavened bread be eaten .
4:28:018:0	In the first day shall be an holy convocation ; ye shall do no manner of servile work therein :
4:28:019:0	But ye shall offer a sacrifice made by fire for a burnt offering unto the ; two young bullocks , and one ram , and seven lambs of the first year : they shall be unto you without blemish :
4:28:020:0	And their meat offering shall be of flour mingled with oil : three tenth deals shall ye offer for a bullock , and two tenth deals for a ram ;
4:28:021:0	A several tenth deal shalt thou offer for every lamb , throughout the seven lambs :
4:28:022:0	And one goat for a sin offering , to make an atonement for you .
4:28:023:0	Ye shall offer these beside the burnt offering in the morning , which is for a continual burnt offering .
4:28:024:0	After this manner ye shall offer daily , throughout the seven days , the meat of the sacrifice made by fire , of a sweet savour unto the : it shall be offered beside the continual burnt offering , and his drink offering .
4:28:025:0	And on the seventh day ye shall have an holy convocation ; ye shall do no servile work .
4:28:026:0	Also in the day of the firstfruits , when ye bring a new meat offering unto the , after your weeks be out , ye shall have an holy convocation ; ye shall do no servile work :
4:28:027:0	But ye shall offer the burnt offering for a sweet savour unto the ; two young bullocks , one ram , seven lambs of the first year ;
4:28:028:0	And their meat offering of flour mingled with oil , three tenth deals unto one bullock , two tenth deals unto one ram ,
4:28:029:0	A several tenth deal unto one lamb , throughout the seven lambs ;
4:28:030:0	And one kid of the goats , to make an atonement for you .
4:28:031:0	Ye shall offer them beside the continual burnt offering , and his meat offering , ( they shall be unto you without blemish ) and their drink offerings .
