5:33:001:1	Mózes éí Ízrel dine'é danilíinii yik'ijisdli'
5:33:001:0	Díí bee ak'ihojidlíii bee Mózes éí Diyin God bits'ą́ą́dóó diné jílíinii t'ah doo dajitsaahgóó Ízrel dine'é bik'ijiidzisdli' .
5:33:002:0	Áko ájíní , Bóhólníihii éí Dził Sáínaidę́ę́' honíle' , Dził Síyerdóó hach'į' hahóóle' índa Dził Péírandóó bee adideezdláád ; éí neeznáadi mííl bidiyį́į́' yił yíkai ; nish'náájí bílák'eedóó bee haz'áanii diltłi'ii hach'į' kóyiilaa .
5:33:003:0	Aoo' , diné ayóó'áyó'ní ; éí t'áá ałtso bidiyį́į́' danilį́ . Éí nanijaahgo baa áhólyą́ ; niyaajį' dineezbingo t'áá ałtso nizaad nídeididoolééł .
5:33:004:0	Mózes nihich'į' yee haadzíi'ii éí bee haz'áanii Jéíkab dine'é áłah nádleehii bíí' dooleełii át'é .
5:33:005:0	Bóhólníihii éí Jéshurangi aláahgo naat'áanii nilį́įgo Ízrel dine'é aląąjį' naazíinii yił áłah silį́į́' .
5:33:006:0	Bíni'dii Rúben dine'é dahináa doo ; doo noonééłgóó doo t'áá díkwíhí dooleeł da .
5:33:007:0	Áádóó díí éí Júdah dine'é bee bik'ihojidlíii át'é : áádóó ání , Bóhólníihii nílíinii , Júdah biinéé' yísíníłts'ą́ą'go bidine'é bich'į' bił ninánít'aash ; bíni'dii ák'inaaldzil áádóó bi'ana'í bits'ąą baa áhólyą́ągo bíká anánílwo' .
5:33:008:0	Áádóó Líívai dine'é yaa yáłti'go ání , NiThámmim índa niYúrim bíni'dii nidiné diyinii yił hólǫ́ǫ doo ; éí Másahgi bínínítą́ą́' áádóó Méribah tóogi saad bíní'ááh nít'éé' .
5:33:009:0	Líívai dine'é bizhé'é áádóó bimá yaa yáłti'go ání , T'áadoo hoołtsą́ą da . Bik'isóó nidi t'áadoo yaa ákoniizį́į' da , índa ba'áłchíní nidi t'áadoo yééhoosįįd da . Áko nizaad ádaa deisįįd índa nibee aha'deet'áanii yik'eh dahół'į́į́ nít'éé' .
5:33:010:0	Éí bee nihoyí'aahii Jéíkab dine'é yee nideinitin doo , áádóó nibee haz'áanii Ízrel dine'é yee neinitin doo ; tsin bijeeh dilidgo łikání halchinii honílǫ́ǫgi nideidookááł áádóó nibikáá' náá'iiniihí bikáa'gi didlidgo nááhániihii náádeidiyoołnih .
5:33:011:0	Bóhólníihii nílíinii , bíi'ii bik'ijidlíi doo , áádóó bíla' yee binaanish ádayósinii nił yá'át'éeh doo ; bik'ijį' náádadiibahígíí áádóó dabijoołáhígíí biníí' gónaa diltłish bigháhíłgeedgo doo nídahiidoo'naał da .
5:33:012:0	Áádóó Bénjamin dine'é yaa yáłti'go ání , Bóhólníihii ayóó'ábó'níinii hasihgo bíighahgi kéédahat'į́į doo índa shá bíighah Bóhólníihii hak'iiní'į́į' doo , áádóó háásita'gi hólǫ́ǫ doo .
5:33:013:0	Jóseph dine'é yaa yáłti'go ání , Bóhólníihii éí hakéyah yik'ijidlíi doo ; yádiłhił biyi'dę́ę́' da'ílíinii hadah dahwiileehii áádóó dahtoo' índa nahasdzáán biyi'dę́ę́' tó hadaazlíinii yee yik'ijidlíi doo .
5:33:014:0	Jį́honaa'éí bee aneest'ą' ílíinii náhoodleełii índa tł'éhonaa'éí bik'ehgo náhoodleełii yee yik'ijidlíi doo .
5:33:015:0	T'áá náshiinídą́'ídi dził naaznilígíí bąąh agháago yá'ádaat'éehii nídahoodleełgo índa deílk'id danéełnéhígíí bąąh aneest'ą' da'ílíinii yee yik'ijidlíi doo .
5:33:016:0	Áádóó nahasdzáán bikáa'gi da'ílíinii bee ída'azįįdgo índa dówózhii biyi' hojílǫ́ǫ́ nít'ée'ii ach'oha'ní yee ak'ijidlíi doo . Bíni'dii bee ak'ihojidlíii Jóseph hatsiit'áajį' ahodooleeł , áádóó hatsiikáa'jį' ahodooleeł ; hak' isóó bits'ázdineesdlį́į'ii bitahgóó naat'áanii jílį́ .
5:33:017:0	Yee ayóó át'éii éí bidóola alą́ąjį' yizhchíinii nahalin ; bidee' éí béégashii ałchinii bidee' nahalin ; éí yee nahasdzáán nidahonees'ą́ą́góó ał'ąą dine'é t'áá ła' bizhi'ee iiniiłkaad doo . Íífreiyim dine'é neeznáadi mííl ádanéelą́ą'go áádóó Manáseh dine'é miil ádanéelą́ą'go ákódahodoolííł .
5:33:018:0	Áádóó Zébyulan dine'é yaa yáłti'go ání , Zébyulan dine'é nohłíinii , deínóhkááhgóó baa nihił nidahoozhǫǫh ; Ísakar dine'é nohłíinii , nihiníbaal yíl'áhígíí baa nihił nidahoozhǫǫh .
5:33:019:0	Dadine'é dziłghą́ą'jį' hágo deiłníi doo ; áadi nááhániihii t'áá ákogi ádaat'éii náádayiiłniih doo , háálá táłkáá'dóó ts'ídá łą́ągo da'ílíinii daboosání doo , índa séí bii' yódí nées'į́į'ii yik'ídadookah .
5:33:020:0	Géed dine'é yaa yáłti'go ání , Géed dine'é jílíinii k'ee'ąą jinoot'į́įłgo áhoolaii baa ha'niih ; náshdóítsoh bitsiijį' ditł'oii aa héestínígi át'éego agaan éí atsiizis t'áá bił nijiiłdlaadgo dziztį́ .
5:33:021:0	Áádóó t'áá hó ádá átsé náhozhdii'ą́ , háálá ákwii bee haz'áanii ííł'íinii bá haa yiszįįd , áádóó diné aląąjį' naazíinii yił yíkaigo Bóhólníihii bit'áá ákogi át'éii t'áadoo át'éhígóó ájiilaa , índa yee nihodiyii'aahii Ízrel dine'é bá hasht'ejósin .
5:33:022:0	Dan dine'é yaa yáłti'go ání , Náshdóítsoh bitsiijį' ditł'oii biyázhí nilį́ ; éí Béíshandóó ak'i dah dinóoljį́į́ł .
5:33:023:0	Áádóó Náftalai dine'é yaa yáłti'go ání , Náftalai dine'é nohłíinii , ach'oha'ní bee hwiih nohłį́įgo áádóó Bóhólníihii bibee ak'ihojidlí bee hwiih nohłį́įgo e'e'aahjigo índa shádi'áahjigo kéyah íí' dooleełii bee nihóhólníih doo .
5:33:024:0	Ásher dine'é yaa yáłti'go ání , Ásher dine'é éí áłchíní bee hak'idahojidlíi doo ; hak'isóó bíni' bidaałt'éii jílį́į doo ; bíni'dii ak'ah biih jidil'éés .
5:33:025:0	Béésh nitł'izii índa béésh łitsoii bee dáń'dílkał biniyé nidáádílkał bich'ą́ą́h dah nátį́hígíí ádaalyaa doo ; nihí deídíiskánígíigi át'éego danihidziil doo .
5:33:026:0	Jéshuran dine'é nohłíinii , nihiDiyin God át'éhígi t'áadoo ákójít'éhí da ; éí yá yikáá' náhodididleehii nihíká análwo' , áádóó k'os bikáa'di yee ayóó át'éii yił náhodididleeh .
5:33:027:0	Hool'áágóó Diyin God nilíinii bine' nidaohdzi'ii nilį́ ; éí hool'áágóó bigaan bits'áhoníyée'ii yee nanihijaah ; nihinááł nihi'ana'í ch'íiniiłkaad doo , áko ádidooniił , Ádaołdįįh .
5:33:028:0	Áko Ízrel dine'é hazhó'ó kéédahat'į́įgo t'áá sáhí hasih dahodiil'aah doo ; Jéíkab bits'ą́ą́dóó náás oochíłígíí éí kéyah bikáá' tł'oh naadą́ą́' índa wáin hólǫ́ǫgi kééhat'į́į doo ; yádiłhił biyi'dę́ę́' ałdó' dahtoo' bee nínáháltłoh doo .
5:33:029:0	Nihił dahózhǫ́ , Ízrel dine'é nohłíinii , háísh nihígi át'éego diné danilį́įgo Bóhólníihii yisdábíínil ? Éí naagé nihíká análwo'ii nilį́ , índa bí nihidiltłish aláahdi át'éego ánihósinii nilį́ ; nihi'ana'í łídanihidilchí ádahodil'į́į doo , índa dah daask'id bighą́ą'di bits'ą́ą́' bik'i naahkai doo .
