5:31:001:1	Jáshowa éí Mózes yitsásk'ehjį' ííyá
5:31:001:0	Áko Mózes éí Ízrel dine'é t'áá ałtso yich'į' díí saad yee yááłti' .
5:31:002:0	Áádóó ííłní , Díí jį́ neeznádiindóó ba'aan naadiin shinááhai , áko ch'ínáshdááh áádóó yah anáshdááh bi'oh neesh'ą́ sélį́į́' , áádóó ałdó' Bóhólníihii áshidííniid , Díí Jórdan tooh ha'naagóó doo díínáał da .
5:31:003:0	Bóhólníihii nihiDiyin God nihilą́ąjį' ha'naa nihodooleeł áádóó ał'ąą dine'é nihilą́ąjį' áyoołdįįł doo índa bikéyah nihíí' dooleeł , áko Jáshowa éí nihilą́ąjį' ha'naa nidoogááł ; jó , Bóhólníihii ákódííniid ni' .
5:31:004:0	Áádóó Bóhólníihii éí Ámor dine'é aláahgo binanit'a'í nilíinii Sáíhan áádóó Ag wolyéii índa bikéyah áyííł'įįdígi át'éego atíhodoolíiłgo áhodoołdįįł .
5:31:005:0	Áko Bóhólníihii éí nihinááł nihílák'e hodidoo'áałgo éí atídadoohłíiłgo bik'eh ó'oo'níiłii t'áá át'é bik'ehgo nihich'į' bee haasdzíi' ni' .
5:31:006:0	Nihidziilgo ída'díí'nółzin , áádóó chánah ída'díí'nółzin ; t'áadoo bik'ee nihił daayé'í , t'áadoo béédaałdzidí , háálá Bóhólníihii nihiDiyin God t'áá bí nihił hólǫ́ǫgo nihoo'ish doo ; doo ch'ééh nihá ádoot'įįł da , doodaii' doo yóó'anihididoo'áał da .
5:31:007:0	Áádóó Mózes éí Jáshowa hágo yidííniidgo Ízrel dine'é t'áá ałtso binááł ííłní , Nidziilgo í'díí'nílzin áádóó chánah í'díí'nílzin , háálá díí dine'é bił kéyahgóó nídidíínéełgo Bóhólníihii éí dabizhé'é yę́ę yeididoo'áałgo yich'į' yee ádee hadoodzíi'ii bíí' dadooleełgo biih díí'ish .
5:31:002:1	Tsosts'id nínáhah bik'eh bee haz'áanii náwóltah
5:31:008:0	Áádóó Bóhólníihii t'áá bí nilą́ąjį' hooleełígíí nił hólǫ́ǫ doo ; doo ch'ééh ná ádoot'įįł da , índa doo yóó'andidoo'áał da ; t'áadoo nił yé'í , doodaii' t'áadoo nąąh nááháka'í .
5:31:009:0	Áádóó Mózes díí bee haz'áanii yee ak'e'ashchį́įgo Líívai dine'é nááda'iiłniihii éí Bóhólníihii bitsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii deí'aahígíí áádóó Ízrel dine'é bitahgi aląąjį' naazíinii t'áá ałtso baazhdiní'ą́ .
5:31:010:0	Áádóó Mózes díí hach'į' yee haadzíi'go ání , T'áá tsosts'id nínáhahgo hodílzingo ééhidichííd baa náhálzhishgo áádóó chadaha'ohgi hodílzingo áłah nída'adleeh nídeit'aahgo
5:31:011:0	Ízrel dine'é t'áá ałtso Bóhólníihii nihiDiyin God binááł ninádahakahgo Bóhólníihii t'áá bí náhodidoo'áłígi ninádahałaahgo , díí bee haz'áanii éí Ízrel dine'é t'áá ałtso bich'į' nídeínółtahgo dayíists'ą́ą' doo .
5:31:012:0	Diné t'áá ałtso áłah áńdaoł'įįh ; éí hastóí áádóó sáanii áádóó áłchíní índa dé'éyóní nihikin hadaas'áagi nihił kééhat'ínígíí díí bich'į' nídeínółtah doo , áko éí dayíists'ą́ą' doo áádóó yídahooł'aah doo áádóó Bóhólníihii nihiDiyin God deidósin doo índa díí bee haz'áanii bits'ą́ą́dóó saadígíí t'áá ałtso ádaa deisįįhgo yik'eh ádaat'ée doo .
5:31:003:1	Bóhólníihii ts'ídá akée'di yee Mózes neineeztą́'ígíí
5:31:013:0	Áádóó bada'áłchíní t'ah doo bił éédahoozįįh da yę́ę éí deididoots'į́į́ł áádóó yídahooł'aahgo Bóhólníihii nihiDiyin God deidósin doo ; haadashą' nízádígi kéyah bikáa'gi kéédahonoht'į́į dooígíí bich'į' Jórdan tooh ha'naa nidoohnéełgo , éí kéyah baa doohnéełgo ádíí' ádadoohłííł .
5:31:014:0	Nít'éé' Bóhólníihii éí Mózes ííłní , Jó , dadíítsaałígíí beiníłką́ ; Jáshowa hágo bididííniiłgo níbaal bii' dahozdísinii góne' yah adooh'ash , áko hanaanish nilį́į dooleełii haa dadeesįįł . Áádóó Mózes índa Jáshowa bił ákǫ́ǫ́ dashdii'áazhgo níbaal bii' dahozdísin góne' Bóhólníihii bich'į' nizhní'áázh .
5:31:015:0	Áko Bóhólníihii éí níbaal bii' hodílzin góne' k'os yii' honíle' áádóó níbaal bii' hodílzin bich'é'étiin bidáahgi k'os dah yildoh .
5:31:016:0	Áádóó Bóhólníihii éí Mózes ííłní , Jó , danizhé'é yę́ę bił da'íłhosh doo áádóó díí dine'é nídahididookahgo dé'éyóní kéyahgi kéédahat'íinii bidiyin dabidi'níinii bee ahída'aldahii yikéé' naa nánoojahgo ałtah nihidooldah áádóó yóó'ashididoo'ááł índa shibee aha'deet'áanii bee bił ahadadi'nisht'áanii nideidiyootih .
5:31:017:0	Áko éí bijį́ bee hashké nísdzinii bee hach'į' hashké dínéesdzįįł áádóó yóó'ahodideesh'ááł índa doo honísh'į́į da doo ; ádazhdoodįįł índa doo yá'ádaashóonii áádóó ach'į' nahwii'ná t'óó ahayóí hak'i dahiildóoh doo , áko kódajiníigo yoołkáał doo , Díí doo yá'ádaashóonii nihik'i nídahoodleeh . Da' nihiDiyin God doo nihitahgóó hólǫ́ǫ daígíísh bee át'é ?
5:31:018:0	Éí bijį́įdi t'áádóo nídí doo honísh'į́į da doo , háálá doo yá'ádaashóonii t'áá át'é ádajiilaago diyin dabidi'níinii bikéé' yóó'adadziiskai .
5:31:019:0	Éí bąą k'ad díí sin bee ak'e'íłchíigo , éí bee Ízrel dine'é bínabiníłtin , áádóó bizadahidííleeł , áko díí sin bee hojitaałgo Ízrel dine'é bizhdiilkaalgo shá bił hojilne' doo .
5:31:020:0	Jó , kéyah bikáá' abe' índa tsés'ná bitł'izh bee áda'azįįdii dahazhé'é yę́ę baa dideesh'áałgo bee ádee hadeesdzíi'ii biih hóó'eezhgo da'jiiyą́ą doo áádóó hwiih dajílį́į doo índa dazhdínóolk'ah , áko diyin dabidi'níinii bich'į' dah dahizhdidookah áádóó bá chodajoo'į́į doo índa dashiji'į́įgo shibee aha'deet'áanii k'ídazhdootih .
5:31:021:0	Áádóó kót'ée doo : doo yá'ádaashóonii índa ach'į' nahwii'ná t'óó ahayóí hak'éídiildohgo , díí sin yee dahataałgo hodadiilkaalgo oo'íinii k'ehgo yádaałti' doo , háálá ha'áłchíní bizálátahdóó doo baa hodiyoo'nah da ; jó , baa nitsídadzikeesii bik'ehgo ádajit'íinii shił bééhózin ; azhą́ k'ad kéyah hach'į' bee ádee hadeesdzíi'ii t'ah doo biih hash'ééshgóó nidi hwééhonisin .
5:31:022:0	Áko t'áá éí bijį́ Mózes díí sin yee ak'e'ashchį́ áádóó éí yee Ízrel dine'é dahataał dooleełgo yíneineestą́ą́' .
5:31:023:0	Áádóó Nan biye' Jáshowa wolyéii binaanish dooleełii yeidiní'ą́ągo ííłní , Nidziilgo í'díínílzin áádóó chánah í'díí'nílzin , háálá Ízrel dine'é éí kéyah baa dideesh'áałgo bee ádee hadeesdzíi'ii biih díí'ish , áko nił honishłǫ́ǫ doo .
5:31:024:0	Áádóó ákódzaago Mózes éí díí bee haz'áanii bits'ą́ą́dóó daasaadígíí naaltsoos bii' bee ak'e'jishchį́įgo hazhó'ó hasht'ejiilaago
5:31:025:0	Mózes éí Líívai dine'é bich'į' díí bee hadzoodzíí' ; Bóhólníihii bitsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii yaa ádahalyą́ągo nidei'áii ábijiní ,
5:31:026:0	Díí naaltsoos bii' bee haz'áanii bee ak'e'ashchínígíí nídooh'aahgo Bóhólníihii nihiDiyin God bitsits'aa' dílzinii bíighahgi ninoh'aah ; nihidiilkaalgo yáłti' doo biniyé ákwii si'ą́ą doo .
5:31:027:0	Háálá shił bééhózingo ayóogo nidaałteeh áádóó nihízhą́ da'ílį́ ; jó , díí jį́ t'ah hinishnáago nihił honishłǫ́ǫgo Bóhólníihii bik'ijį' danohłį́įgo nidaałteeh . Shikéé' áhásdįįdóó lá t'ah yówehgo ákónáádaaht'į́į doo ni .
5:31:028:0	Nihidine'é yá aląąjį' naazíinii índa nihinanit'a'í danilíinii shaa áłah ádaohłééh , áko díí saad bee hadeesdzihgo deididoots'į́į́ł áádóó yá'ąąsh índa nahasdzáán bíká ádíshníigo oo'íinii k'ehgo nihik'ijį' yáłti' doo .
5:31:004:1	Mózes biyiin
5:31:029:0	Háálá kót'éego shił bééhózin : shikéé' áhásdįįdóó t'áá nihí t'áá íiyisí ádadidoołchxǫǫłgo bik'ehgo wołdah dooleełii nihich'į' bee haasdzíi'ii t'óó bits'áhóhkáahgo doo yá'ádaashóonii náás hoolzhishgóó nihik'i hwiileeh doo , háálá Bóhólníihii binááł doo yá'ádaashóonii baa nidaohkaigo Bóhólníihii dasoo'įįdgo t'áá nihí nihíla' bee nihinaanish ádeínóhsinii biniinaa bá dahodoołchįįł .
5:31:030:0	Áádóó Mózes éí Ízrel dine'é áłah nilínígíí t'áá ałtso da'íists'ą́ą'go saad bee díí sin ályaii bee hadziidziihgo ałtso bee bich'į' yájííłti' .
