5:27:001:1	Dził Ííbal bighą́ą'di bee haz'áanii bee ak'e'doolchííł
5:27:001:0	Mózes éí Ízrel dine'é hastóí aląąjį' naazíinii yił naazį́įgo diné yich'į' hadaasdzíi'go ádaaní , Díí jį́ bik'eh ó'oo'níiłii bee nihich'į' hadeiidziihígíí t'áá ałtso bik'eh dahonoł'į́į doo .
5:27:002:0	Áko Bóhólníihii nihiDiyin God éí kéyah nihaidiní'ánígíí bich'į' Jórdan tooh ha'naa ninooná bijį́ ákwii tsé dantsaii adahidoohtsih áádóó dadoohdlish .
5:27:003:0	Éí bikáa'gi saad t'áá ałtso díí bee haz'áanii át'éego bee ak'e'ashchį́įgo tsé'naa ninoonáago ádadoohłííł , áko Bóhólníihii nihiDiyin God éí kéyah nihaidiní'ánígíí bikáa'gi abe' áádóó tsés'ná bitł'izh bee áda'azįįd ; éí danihizhé'é yę́ę biDiyin God Bóhólníihii éí kéyah yee nihá nihoní'áanii át'é .
5:27:004:0	Éí bąą ákót'ée doo : Jórdan tooh ha'naa ninoonáago éí tsé adahidoohtsihígíí Dził Ííbalgi díí jį́ nihich'į' bee haasdziih , áádóó éí tsé dadoohdlish .
5:27:005:0	Áadi Bóhólníihii nihiDiyin God bá bikáá' náá'iiniihí tsé bee ádadoohłííł ; béésh bee na'anishí doo bee bindadoołnish da .
5:27:006:0	Bóhólníihii nihiDiyin God bá bikáá' náá'iiniihí tsé doo hasht'e'nibí'ílne'ii bee ádadoohłííł , áádóó Bóhólníihii nihiDiyin God bich'į' didlidgo nááhániihii náádahidoołnih .
5:27:007:0	Áádóó áadi hózhǫ́ǫ́jí nááhániihii náádahidoołnihgo da'doohsį́į́ł , índa Bóhólníihii nihiDiyin God binááł nihił nidahoozhǫǫh doo .
5:27:008:0	Áko saad t'áá ałtso díí bee haz'áanii át'éego t'áá bééhózínígo éí tsé bikáa'gi bee ak'e'ashchį́įgo ádadoohłííł .
5:27:009:0	Áádóó Mózes índa Líívai dine'é nááda'iiłniihii danilíinii éí Ízrel dine'é t'áá ałtso yich'į' hadaasdzíi'go ádaaní , Ízrel dine'é nohłíinii , ádahodoołzéehgo da'íísółts'ą́ą́' . Díí jį́ Bóhólníihii nihiDiyin God bidine'é dasoolį́į́' .
5:27:002:1	Dził Ííbalgi hóyée'go ha'iisdzíí'
5:27:010:0	Éí bąą Bóhólníihii nihiDiyin God áníinii bik'eh dahonoł'į́įgo bibik'eh ó'oo'níiłii índa yee nihwiiz'áanii bik'eh ádanoht'ée doo ; éí díí jį́ nihich'į' bee haasdzíí' .
5:27:011:0	Áádóó t'áá éí bijį́ Mózes éí hazhó'ó diné áyidííniidgo ání ,
5:27:012:0	Díí dine'é éí Dził Gérazim bighą́ą́'dóó diné yik'ideizhdoodliił yiniyé deidoozįįł : Jórdan tooh ha'naa ninoonáago Símiyan áádóó Líívai áádóó Júdah áádóó Ísakar áádóó Jóseph índa Bénjamin áadi deidoozįįł .
5:27:013:0	Áko díí dine'é éí Dził Ííbal bighą́ą́'dóó hóyée'go diné yá hadahadziih yiniyé deidoozįįł : Rúben áádóó Géed áádóó Ásher áádóó Zébyulan áádóó Dan índa Náftalai áadi deidoozįįł .
5:27:014:0	Áádóó Líívai dine'é yádaałti'go Ízrel dine'é hastóí danilíinii t'áá ałtso ayóó íits'a'go yich'į' hadadoodzih :
5:27:015:0	Díí diné hóyée'go bá ha'doodzih : éí t'áadoo le'é naask'ęę'go , doodaii' doolyį́į'go e'elyaii ájiilaii éí Bóhólníihii bił t'óó baa'ihii át'éego da'iichįįhii yinaashnishii béé'jiidlaii nahont'ingi niiníláii ákóbidi'doo'niił : áko diné t'áá ałtso ádadidooniił , T'áá ákót'ée doo .
5:27:016:0	T'áá háiida hazhé'é , doodaii' hamá doo hoł nilíinii hóyée'go há ha'doodzih : áko diné t'áá ałtso ádadidooniił , T'áá ákót'ée doo .
5:27:017:0	T'áá háiida bił kééhojit'íinii bikéyah bináhásdzo bee bééhózinii nahjį' kójiilaii hóyée'go há ha'doodzih : áko diné t'áá ałtso ádadidooniił , T'áá ákót'ée doo .
