5:23:001:1	Áłah nádleehii bits'ádabi'dii'níiłii
5:23:001:0	Diné ła' bicho' ayęęzhii haa'nilígíí , doodaii' bicho' k'ígizhígíí éí Bóhólníihii baa áłah ná'oodleełgi doo yah adoogáał da .
5:23:002:0	Wótashki' éí Bóhólníihii baa áłah ná'oodleełgi doo yah adoogáał da , índa hats'ą́ą́dóó neeznáadi ałk'i ná'ázhchį́įjį' nidi Bóhólníihii bich'į' nahadlá biniyé áłah ná'oodleełjį' doo yah anídaakah da doo .
5:23:003:0	Áman dine'é , doodaii' Mó'ab dine'é ła' Bóhólníihii bich'į' nahadlá biniyé áłah ná'oodleełjį' doo yah anídaakah da doo ; hats'ą́ą́dóó neeznáadi ałk'i ná'ázhchį́įjį' nidi Bóhólníihii bich'į' nahadlá biniyé áłah ná'oodleełjį' doo yah anídaakahgóó ahóyéel'áa doo .
5:23:004:0	Háálá noonáádę́ę́' ch'iyáán áádóó tó ts'ídá t'áadoo bee nihíká ajííjée' da ; jó , Ííjip kéyahdóó ch'éénohnáádóó wóshdę́ę́' nidi , áádóó Mesopotéímiyagi Pííthordę́ę́' Bíyor biye' Béílam hóyée'jį' nihá hadoodzih biniyé t'óó dadzooskan .
5:23:005:0	Azhą́ ákódzaa nidi Bóhólníihii nihiDiyin God éí Béílam doo t'áá k'ad yidiizts'ą́ą' da , nidi Bóhólníihii nihiDiyin God éí hóyée'jį' ha'oodzí'ígíí nihá ak'ihojidlí áyiilaa , háálá Bóhólníihii nihiDiyin God ayóó'ánihó'ní .
5:23:006:0	Bee bił hasht'edahodít'éii áádóó yá'át'éehgo bá áhooníił dooleełígíí t'áadoo bá hádaoht'ínígo nihí dayéełkaahgo ahool'áa doo .
5:23:007:0	Íídam dine'é t'áadoo dajiinohłáhí , háálá éí nihik'is nilį́ . Ííjip dine'é t'áadoo dajiinohłáhí , háálá bikéyah biyi' dé'éyóní danohłį́į́ nít'éé' .
5:23:002:1	Anaa' biniyé dah oonéełgi doo yá'áshóonii ádingo áhólzin
5:23:008:0	Bitsóóké , doodaii' binálíké danilínígíí táadi ałk'i ná'áshchį́įdi éí Bóhólníihii bich'į' nahadlá biniyé áłah ná'oodleełjį' yah anídaakah doo .
5:23:009:0	Nihida'ana'í bik'ijį' nídahidoohbáahgo doo yá'ádaashóonii t'áá ałtso bits'ąą ádaa ádahołyą́ .
5:23:010:0	Nihitahdóó diné ła' ajiłhoshgo hwíígąsh haanahgo biniinaa doozh diyin da jileehgo , éí níbaal haal' áádóó ch'ízhdoogááł áádóó doo yah anízhdoodáał da ,
5:23:011:0	nidi kót'ée doo : yaa adeez'ą́ągo tá'ádizdoogis áádóó i'íí'ą́ągo níbaal haal'áhí góne' yah anízhdoodááł .
5:23:012:0	Nii'oh nídaahkah biniyé nihiníbaal haal'á bits'áhwiiní'ą́ądi bá haz'ą́ągo ádeínóhsin doo .
5:23:013:0	Nihibee na'abaahii gish bił nidaahjaah doo ; éí nii'oh nídaahkahgo bee háádahoyohdzi'go ákóyaa nida'ayohchįįh áádóó bik'éédahoohdzi' doo .
5:23:003:1	Ał'ąą ádaat'éii bá bee nahaz'áanii
5:23:014:0	Háálá Bóhólníihii nihiDiyin God éí nihiníbaal haal'áhígi nihitahgi hólǫ́ , áko yisdánihiinííł áádóó nihi'ana'í nihílák'ee yidii'aah ; éí bąą nihiníbaal haal'áagi hodiyin dooleeł , áko doo yá'áshóonii doo ła' nihitahgi yiidoołtséeł da , áádóó doo nihits'ą́ą́' dah hodidooleeł da .
5:23:015:0	Áko naalte' éí yá naal'a'í yits'ą́ą́' yóó'eelwodii nihaa yílwodgo yá naal'a'í doo baa nídadoołtéeł da .
5:23:016:0	Nihił kééhat'į́į doo ; nihitahgi nihikin hadaas'áagi łahgo náhodii'aah , t'áá bił yá'áhoot'éhígi kééhat'į́įgo ádadoohłííł ; t'áadoo bide ádahwíínóhsiní .
5:23:017:0	Áko Ízrel dine'é bitsi'ké doo ła' ałjiłnii nilį́įgo nihitaagháa da doo índa biye'ké doo ła' diné t'áá bí ahaa nináldeehii danilį́į da doo .
5:23:018:0	Áko ałjiłnii bich'į' nahalyéii , doodaii' diné t'áá bí ahaa nináldeehii bich'į' nahalyéii éí Bóhólníihii nihiDiyin God bihodiyin haz'ą́ąjį' doo bee ádee hadadidoohdzih da , háálá éí t'áá áłah ákó'él'íinii Bóhólníihii nihiDiyin God bił t'óó baa'ih .
5:23:019:0	Ínáóltą'í binahjį' nikwá'ásiní doo béeso ba'díínił da : béeso , doodaii' ch'iyáán , doodaii' t'áá ha'át'íhída éí ínáóltą'í binahjį' doo a'dííléeł da .
5:23:020:0	Dé'éyóní éí ínáóltą'í biniyé béeso bada'ayohníiłgo t'áá áko , nidi nihikwá'ásiní éí ínáóltą'í t'áágééd béeso bada'ayohníił doo ; ákót'éego Bóhólníihii nihiDiyin God éí baa nidaahkaii t'áá ałtso yik'ijidlíigo kéyah biih wohnéehgo ádíí' ádadoohłííł .
5:23:021:0	Bóhólníihii nihiDiyin God bich'į' ádee hadadidoodzihgo t'áadoo baa nida'áhodołziidí , háálá Bóhólníihii nihiDiyin God éí ts'ídá t'áádóo nídí ákódaoht'į́į doo nihó'ní , doodago éí ádił nida'ayohsíih doo .
5:23:022:0	Nidi doo ádee hadasoohdzíí'góogo éí doo bee ádił nida'ayohsíih da doo .
5:23:023:0	Bee ádee hadadoohdzí'ígíí hazhó'ó baa ádahołyą́ągo bida'oohłííł ; t'áá nihí ádeinohsingo náádahołniihii Bóhólníihii nihiDiyin God bich'į' ádee hadahidoohdzíi'go bee nidahosoo'ánígíí bida'oohłííł .
5:23:024:0	Bił kéédahoht'íinii bich'il na'atł'o'ii yíl'áhígi nidahisoohkaigo t'áá nihí danohsinígi ánéelt'e'go dadoohsį́įłgo t'áá áko , nidi nihe'ásaa' doo bii' hééł ádadoohłíił da .
5:23:025:0	Bił kéédahoht'íinii bitł'oh naadą́ą́' yíl'áhígi nidahisoohkaigo tł'oh naadą́ą́' bineest'ą' daohnizhgo nihílák'ee hadeezbingo daohnizh ; éí daohsą́ągo t'áá áko , nidi bił kéédahoht'íinii bitł'oh naadą́ą́' yíl'áhígíí bee iigéshí bee t'áadoo dahogéshí .
