5:9:001:1	Bóhólníihii éí ał'ąą da'ana'í Kéínangi kéédahat'íinii íidoołdįįł
5:9:001:0	Ízrel dine'é danohłíinii , hazhó'ó da'íísółts'ą́ą́' ; díí jį́ Jórdan tooh ha'naagóó ana'í nihiláahdi ayóó ádaat'éii áádóó ayóó ádabóodziilii dabikéyah ádíí' ádadoohłííł biniyé bich'į' ha'naa ninohnééh , kin hadaas'áago ayóó ádaat'éii áádóó k'asdą́ą́' yá bídaneel'ą́ągo tsé ditą́ągo ahéédaastł'inii t' áá bił .
5:9:002:0	Dadine'é ayóó ádaat'éii áádóó ayóó ádaniłnéezii , éí Ánakim ba'áłchíní ádaat'į́įgo béédahonohsin áádóó , Háishą' Éínak dine'é yíneel'ą́ągo yidááhdóó yidoozįįł ? ha'níigo baa dahosidoots'ą́ą́' .
5:9:003:0	Éí bąą díí jį́ díí bik'ida'doohtįįh : Bóhólníihii nihiDiyin God kǫ' ó'oołdįįłígi át'éego nihilą́ąjį' ha'naa nihodooleełgo áhodoołdįįł . Nihidáahjį' yi'iiłníihgo ch'ídahidínóołkał , áádóó t'áadoo hodina'í ałtso ádadoołdįįł ; jó , Bóhólníihii ákónihidííniid .
5:9:004:0	Bóhólníihii nihiDiyin God nihinááł ałtso ch'íbiniiskaadóó bik'ijį' t'ááká t'áá nihiyi'ídi kódadohní yíila' , T'áá ákogi ánísht'éhígíí bąą Bóhólníihii díí kéyah shíí' dooleełgo shił yiih yí'áázh . Ákondi díí dine'é doo yá'ádaashónígi ádaaníłígíí bąą nihilą́ąjį' Bóhólníihii ch'íbininíłkaad .
5:9:005:0	T'áá ákogi ádanoht'éhígíí áádóó nihijéí doo binda'adlo'ígíí doo bee kéyah nihíí' dadooleełii biih wohnéeh da , nidi díí dine'é doo yá'ádaashónígi ádaaníłígíí bąą nihilą́ąjį' Bóhólníihii nihiDiyin God ch'íbiniiłkaad , áko bí éí saad yee ádee hadoodzíi'ii chánah íidoolíiłgo , danihizhé'é yę́ę , éí Éíbraham , Áízak índa Jéíkab yich'į' yee ádee hadoodzíí' .
5:9:002:1	Hórebgi Ízrel dine'é éí Bóhólníihii yich'į' nidaalteeh
5:9:006:0	Éí bąą díidíígíí bik'ida'doohtįįh : Bóhólníihii nihiDiyin God díí kéyah yá'át'éehii nihíí' dadooleełgo nihaidiní'ánígíí éí t'áá ákogi ádanoht'éhígíí doo binahjį' nihaidee'aah da , háálá diné doo nabídídzilii danohłį́ .
5:9:007:0	Díí béédaołniih áádóó baa dayoohnééh lágo : Bóhólníihii nihiDiyin God bánídahołchįįhgo hashké nániidzįįhgo honoojíigi tádooná ; t'áá níléí Ííjip kéyahdę́ę́' dah dooná bijį́į́dóó kojį' oonáajį' nidaałteehgo Bóhólníihii bik'ijį' danohłį́į́ nít'éé' .
5:9:008:0	Áádóó ałdó' Dził Hórebgi Bóhólníihii bádahoshoołchįįdgo nihich'į' hashké niidzį́į́' , áko Bóhólníihii nihich'į' báhóóchįįdgo ánihidoołdįįłgo ádaahłaa .
5:9:009:0	Tsé dilkǫǫhii hasht'eelyaii bikáa'gi bik'e'ashchíinii nídideeshnił biniyé dziłghą́ą́'góó hasíyáh yę́ędą́ą́' , Bóhólníihii bibee aha'deet'áanii nihił áyiilaago , tsé dilkǫǫhii bikáa'gi yee ak'e'ashchį́įgo áyiilaii nídiishníiłgo dziłghą́ą'di dízdiin jį́ índa dízdiin tł'éé' azlį́į́' ; t'áadoo bááh ła' yíyą́ą' da , doodaii' t'áadoo tó ła' yishdlą́ą' da .
5:9:010:0	Tsé naaki dilkǫǫhgo hasht'eelyaaígíí bikáa'gi Diyin God bíla' yee ak'e'ashchínígíí Bóhólníihii sheinínil ; éí bikáa'gi saad bee ak'e'ashchį́įgo dziłtsį́įdi áłah nohłį́ yę́ędą́ą́' kǫ' bii'dóó Bóhólníihii nihich'į' yee yááłti'ígíí bikáá' ályaa .
5:9:011:0	Kódzaago dízdiin jį́ áádóó dízdiin tł'éé' bíighah azlį́į'go tsé dilkǫǫhii naakigo hasht'eelyaaígíí bikáa'gi bik'e'ashchį́įgo Bóhólníihii sheinínil ; t'áá éí bee aha'deet'áanii tsé dilkǫǫhii bikáa' gi bee ak'e'ashchį́ .
5:9:012:0	Áko Bóhólníihii áshidííniid , Nídiidááh , tsxį́įłgo hadáánídááh , háálá nidine'é Ííjip kéyahdę́ę́' ch'ííní'eezhígíí t'áá bí ádadoolchxǫ' ; yik'ehgo deíkáah dooleeł biniyé bich'į' bee hahásdzíi'ii t'áadoo hodina'í yits'ákaigo óola deidííłhį́į'go e'elyaii ádayiilaa .
5:9:013:0	Náá'áłdó' Bóhólníihii shich'į' hanáánáádzíi'go áshidííniid , Díí dine'é nísh'į́įgo , shoo , díí diné t'áá íiyisí doo nibída'didzilii danilį́ .
5:9:014:0	T'áadoo shiníníłtł'aaí ; shíni'dii áhodeeshdįįł , áádóó yádiłhił biyaagi yízhí bee hwéédaho'dílzinígíí éí k'éé'deeshchxǫǫł , áádóó haláahgo nits'ą́ą́dóó dine'é ayóó ábóodziilii índa ayóó át'éii ádeeshłííł .
5:9:015:0	Niséyizgo dziłghą́ą́'dę́ę́' hadah nihéénísdzá ; nít'éé' dził t'ahdii dook'ą́ą́ł , índa bee aha'deet'áanii tsé naakigo dilkǫǫhgo hasht'eelyaii bikáa'gi bik'e'ashchínígíí shílák'ee sinilgo nááshjih .
5:9:016:0	Áko niséghal , nít'éé' shoo , Bóhólníihii nihiDiyin God bich'į' ádił da'soołziih lá ; óola doolyį́į'ii bee béégashii yáázh be'elyaii ádaahłaago ákódaahdzaa lá . Bóhólníihii yee nihich'į' haadzíi'ii t'áadoo hodina'í bits'á noojéé' lá .
5:9:017:0	Áko tsé naaki yishjih yę́ę nihídíłtsxisgo nihinááł ałtso diitaa' .
5:9:018:0	Áko t'áá átséédą́ą́' íisdzaa yę́ęgi át'éego Bóhólníihii bich'į' tsé'yaa shishjoolgo dízdiin jį́ áádóó dízdiin tł'éé' azlį́į́' ; t'áadoo bááh ła' yishání índa t' áadoo tó ła' yishdlání , háálá nihibąąhági át'éii t'áá át'é bee ádił da'íínółzíihgo Bóhólníihii binááł ts'ídá doo yá'áshónígi ádaaht'ínígíí bee Bóhólníihii bádahoshoołchįįdgo hashké niidzį́į́' .
5:9:019:0	Áko shí éí hashké niidzį́'ígíí bééshísdzííd , háálá t'áá íiyisí doo bił hóózhǫǫdgóó , Bóhólníihii nihich'į' báhóóchįįdgo ánihi'niiłdįįd nít'éé' , ákondi náá'áłdó' shí Bóhólníihii shidiizts'ą́ą́' .
5:9:020:0	Áko Bóhólníihii éí Éran yich'į' t'áá íiyisí báhóóchįįdgo áho'niiłdįįd nít'éé' ; t'áá éí bijį́ Éran ałdó' bá sodeeszin .
5:9:021:0	Áádóó béégashii be'elyaii ádaahłaago bee ádił da'soohdzí'ígíí dííłid áádóó ch'íníłk'ą́ągo łeezh dibahígi át'éego íishłaa , índa dibahgo íishłaaígíí dziłdę́ę́' tó ch'ínílínígíí biih yíłkaad .
5:9:022:0	Áádóó ałdó' Táberah nahós'a'gi áádóó Másah nahós'a'gi índa Kíbrath-hatéí'avah nahós'a'gi Bóhólníihii bádahoshoołchįįdgo hashké nídabinoołdzįįh nít'éé' .
5:9:023:0	T'áá ákót'éego ałdó' Bóhólníihii kóníigo , Kéyah nihaa diní'ánígóó dohnéehgo nihíí' ádaahłééh , nihiłníigo , Kéídesh-barníya hoolyéédóó adanihiis'a' , áko nít'éé' Bóhólníihii nihiDiyin God bibik'eh ó'oo'níiłii bich'į' nídadoołtee' , áádóó t'áadoo deisoohdląąd da , índa biinéé' doo deínółts'ą́ą' da nít'éé' .
5:9:024:0	T'áá nihéédahosésįįd yę́ędóó wóshdę́ę́' Bóhólníihii bich'į' nidaałteehgo bik'ijį' danohłį́įgo hodideeshzhiizh .
5:9:025:0	Kót'éego t'áá átséédą́ą́' íisdzaa yę́ęgi át'éego Bóhólníihii bich'į' tsé'yaa shishjoolgo dízdiin jį́ índa dízdiin tł'éé' ná'iisíkan , háálá Bóhólníihii ánihi'niiłdįįdgo haadzíí' nít'éé' .
5:9:026:0	Éí bąą Bóhólníihii bich'į' sodiszingo ádíshní , Dooládó' Bóhólníihii Diyin God nílíinii , nidine'é índa níí' danilíinii doo adííłdįįł da ; jó , t'áá ni bee ayóó ánít'éhígíí bee bik'é niná'íínídlá , áádóó nidziilii ayóó át'éhígíí bee Ííjip kéyahdę́ę́' ch'ííní'eezh .
5:9:027:0	Ná nidaal'a'í yę́ę Éíbraham áádóó Áízak índa Jéíkab béénílniih ; díí dine'é doo nibída'didzilii áádóó doo yá'ádaashóonii índa ádił da'ílzíihii t'áadoo bee baa nitsíníkeesí .
