5:12:001:1	T'ááłáhígi t'éiyá nahadlá bá haz'ą́
5:12:001:0	Díí yee nihwiiz'áanii áádóó yee nihodii'aahii bik'eh dahonoł'į́į doo ; éí danihizhé'é yę́ę biBóhólníihii Diyin God éí kéyah ádíí' ádadoohłíiłgo nihaidiní'ánígíí biyi' nihídeídíiską́ą́góó nahasdzáán bikáa'gi kéédahoht'į́įgo bik'eh ánóht'ée doo .
5:12:002:0	Kéyah nihíí' dooleełígíí bikáá' t'áá ałtsogóó ał'ąą ana'í danilíinii bidiyin dabidi'níinii yá nidaal'a' yę́ęgóó ts'ídá ałtso nidahidoołchxǫǫł ; dziłghą́ą́'góó áádóó dah daask'idgóó índa tsin dadootł'izh naazkaadii t'áá át'é biyaagóó yich'į' nidahałáhígíí ałtso nidahidoołchxǫǫł .
5:12:003:0	Áádóó bibikáá' nááda'iiniihígíí naa'adahidoołtł'ił , áádóó bitsé nidaashch'ąą'go yadaa'áago ádaalyaii yich'į' nidahałáhígíí dadidoohséí , áádóó tsin bee e'elyaii ádaalyaii adahididoołk'ą́ą́ł , áádóó eda'alyaii bidiyin dabidi'níinii nidahidoohtsxił , índa éí nahaz'ánígóó dabízhi' ałtso nahjį' kódadoohłííł .
5:12:004:0	Ana'í nidahałáhígi át'éego nihí éí t'áá ádzaagóó t'áadoo Bóhólníihii nihiDiyin God bich'į' nidahohłáhí .
5:12:005:0	Nidi Bóhólníihii nihiDiyin God t'áá bí náhodidoo'áłígi nidine'é t'áá ałtso bitahgóó Bóhólníihii t'áá bí bízhi'ígíí dólzingo íidoolíiłgi nída'oohkąąhgo ahínáohkah doo .
5:12:006:0	Índa ákwii didlidgo náádahołniihii , áádóó nááhidoonihgo náádahołniihii , áádóó t'áadoo le'é neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' , Bóhólníihii baa nídahidoh'aahii , áádóó bił yádi'diilnihgo náádahołniihii , áádóó bee ádee hadasoohdzíi'go náádahołniihii , áádóó t'áá nihí ádeinohsingo náádahołniihii , índa nihilį́į́' áádóó nihidibé alą́ąjį' nidahaazhchíinii náádahołniihii ninádahohjih doo .
5:12:007:0	Ákwii Bóhólníihii nihiDiyin God binááł nída'ohdį́įh doo . Nihí áádóó niha'áłchíní bił baa nidaahkaígíí t'áá ałtso baa nihił nidahoozhǫǫh doo ; éí Bóhólníihii nihiDiyin God yee nihik'ijidlí .
5:12:008:0	Nihí éí díí kwe'é t'áá ałtso díí jį́ baa nideiikaígíí doo baa nidaahkai da doo ; jó , t'ááłá'í jinítínígo , Díí t'áá ákóne' ásht'į́ , daznízingo baa nidajikai .
5:12:009:0	Jó , háá' áyį́į́h áádóó kéyah íí' dooleełii éí Bóhólníihii nihiDiyin God nihaidee'aahígíí t'ah doo biih wohnéeh da .
5:12:010:0	Nidi Jórdan tooh ha'naa ninoonáago , áádóó ákwii kéédahoht'į́į doo biniyé Bóhólníihii nihiDiyin God éí kéyah nihaidiní'ánígíí ádíí' ádadoohłíiłgo áádóó ákwii nihinaagóó nihi'ana'í kéédahat'íinii t'áá ałtso yits'ąą nihaa áhályą́ągo háádahołyį́įhgo t'áadoo nitsihadáhí kéédahoht'į́įgo
5:12:011:0	ákwii haz'ą́ągi Bóhólníihii nihiDiyin God t'áá bí náhodidoo'áłígi bízhi' dólzin doo ; áadi náádahołniihii t'áá ałtso nidahohjáah dooígíí nihich'į' bee haasdziih : éí didlidgo náádahołniihii , áádóó nááhidoonihgo náádahołniihii , áádóó t'áadoo le'é neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' Bóhólníihii baa nídahidoh'aahii , áádóó bił yádi'diilnihgo náádahołniihii , índa t'áá bee ádee hadasoohdzíi'ii ts'ídá yá'át'éehii t'áá ałtso Bóhólníihii bich'į' ádee hadasoohdzíi'go náádahołniihii nidahohjáah doo .
