5:2:001:1	Honoojíidi nihwéédahaasxaígíí
5:2:001:0	Naanísiikai áádóó Tónteel Łichíí' bich'į'go honoojíígóó dah dii'ná , Bóhólníihii áshidííniidígíí bik'ehgo , áko Dził Síyer hoolyéii binéi'néełgo lą'í yiską́ .
5:2:002:0	Nít'éé' Bóhólníihii shich'į' haadzíi'go ání ,
5:2:003:0	Díí dził binááhnéełgo nízaadgóó ahoolzhiizh ; k'ad náhookǫsjigo dah doohnééh .
5:2:004:0	Áádóó diné bich'į' handziihgo ábidiní , Nihik'isóó danilíinii Íísa dine'é éí Síyergi kéédahat'ínígíí bíighahgóó ch'ínóhnéehgo nihéédadooldzííł ; éí bąą hazhó'ó ádaa dahonohsą́ .
5:2:005:0	T'áadoo bił na'ahíyádaałti'í ; jó , bikéyah doo ła' nihaa dideesh'áał da ; t'ááłá'í adées'eez bíighahgo nidi dooda , háálá Íísa dine'é éí Dził Síyer hoolyéhígi bíí' dadooleełgo baa hodiní'ą́ .
5:2:006:0	Béeso bee ch'iyáán baa nidahołniihgo dabinołkiin doo , áádóó ałdó' béeso bee éí tó doodlį́įłii baa nidahołniihgo daahdlą́ą doo .
5:2:007:0	Háálá Bóhólníihii nihiDiyin God éí baa nidasoohkaígíí t'áá át'é yik'ijisdli' , áádóó díí ayóó át'é honoojí biyi' wohnéełgo bił bééhózin ; nihił hólǫ́ǫgo dízdiin nááhai ; t'áadoo bídin danohłínígóó hoolzhiizh .
5:2:008:0	Áádóó nihik'isóó danilíinii Íísa dine'é éí Dził Síyergi kéédahat'į́įgo bíighah ch'ínii'náago halgaigóó atiinígíí dah dii'ná áádóó Íílathgi kin haal'áhígíí índa Ííziyan-gííbergi kin haal'áhígíí bik'ee'ąą ahéénii'náago Mó'ab kéyah honoojíí góne' ii'ná .
5:2:009:0	Áko Bóhólníihii áshidííniid , Mó'ab dine'é bich'į' dahodiyółnááł lágo , áádóó doo bik'iidoohjah da ; éí bikédaayah doo nihaa dideesh'áał da , háálá Ar hoolyéegi Lat ba'áłchíní ahii' háá'ahiyoolchíiłii kéyah baa diní'ą́ .
5:2:010:0	Ákwii Íímim dine'é kéédahat'į́į́ nít'éé' ; éí diné ayóó ádaat'éii áádóó t' óó adahayóí nít'éé' índa Ánakim dine'égi ádaníłnééz nít'éé' .
5:2:011:0	Éí Ánakim dine'égi át'éego ałdó' yé'iitsoh dabidi'níí nít'éé' , nidi Mó'ab dine'é éí Íímim dine'é deiłníí nít'éé' .
5:2:012:0	Hórim dine'é ałdó' bítséedi Dził Síyergi kéédahat'į́į́ nít'éé' , nidi Íísa dine'é haghadahodeest'ą́ągo t'óó ádahasdįįd ; ákwii kéédahojit'į́į́ nít'éé' yę́ęgi bighan ádahoolaa ; Ízrel dine'é dajílíinii Bóhólníihii éí kéyah haidiní'ą́ągo hóó' daazlį́'ígi át'éego kéyah bíí' daazlį́į́' .
5:2:013:0	K'ad tį' , Zííred yíldzis góyaa tó nílínígíí ha'naa ninohnééh , dííniid , áko Zííred yíldzis góyaa tó nílínígi ha'naa ninii'ná .
5:2:014:0	Kéídesh-barníya hoolyéédóó dah dii'náago Zííred yíldzis góyaa tó nílínígóó t'áá yii'néełgo tádiindóó ba'aan tseebíí nááhai . Oonéłígíí bitahgi diné nidaabaahii ałtso daneeznáajį' díigi át'éego naasdee' ; Bóhólníihii ábidííniidígi ádahoodzaa .
5:2:015:0	Háálá t'áá aaníí Bóhólníihii bik'ijį' nilį́įgo oonéłígíí bitahgi diné nidaabaahii ánábíłdįįhgo ałtso ábísdįįdjį' ákónábiil'įįh nít'éé' .
5:2:016:0	Kódzaago Ízrel dine'é bitahgi diné nidaabaahii ádabi'disdįįdgo ałtso daneeznáago
5:2:017:0	Bóhólníihii kóníigo shich'į' haadzíí' ,
5:2:018:0	Díí jį́ Ar hoolyéhíjį' ha'naa ninohnééh ; éí Mó'ab kéyah bibąąhgóó áhoolyé .
5:2:019:0	Ámon dine'é bit'áahjį' oonáago bich'į' dahodiyółnááł lágo , áádóó t'áadoo bił na'ahíyádaałti'í ; jó , Ámon dine'é bikéyah doo t'áá k'ad nihíí' íishłaa da , háálá éí Lat ba'áłchíní náás ahoolchíiłii bíí' dadooleełgo baa diní'ą́ .
5:2:020:0	( Éí ałdó' yé'iitsoh bikéyahgo bá yáti' nít'éé' . Ałk'idą́ą́' ákwii yé'iitsoh kéédahat'į́į́ nít'éé' . Ámon dine'é bizaad k'ehgo yé'iitsoh Zamzámim deiłníí nít'éé' ;
5:2:021:0	éí diné ayóoda ádaat'éii áádóó t'óó adahayóí nít'éé' índa Ánakim dine'égi ádaníłnééz nít'éé' , nidi Ámon dine'é nilíinii dabinááł Bóhólníihii ábísdįįdgo yighadahodeest'ą́ągo kéédahat'į́į́ nít'éé' yę́ęgóó bighan ádahoolaa .
5:2:022:0	T'áá ákót'éego Bóhólníihii éí Íísa ba'áłchíní náás ahoolchíiłii Síyergi kéédahat'ínígíí dabinááł Hórai dine'é íísdįįd . Áko yighadahodeest'ą́ągo díí jį́į́góó ákwii dabighan .
5:2:023:0	Áádóó Éívim dine'é éí Hazíírim hoolyéegi kin dah naazhjaa'góó , t'áá Géíza kin haal'áajį' kéédahat'į́į́ nít'éé' . Éí Káftor hoolyéédę́ę́' Káftor dine'é danilíinii ádabisdįįdgo kéédahat'į́į́ nít'éé' yę́ęgóó dabighan ádahoolaa . )
5:2:024:0	Hasht'e'ádadołnéehgo Árnan tooh nílínígíí ha'naa ninohnééh ; jó , Héshban kin haal'áádóó aláahgo naat'áanii Ámor dine'é nilíinii Sáíhan wolyéii bikéyah t'áá bił nihaa diní'ą́ ; k'ad nihíí' ádaohłééh , áádóó bich'į' anaa' danohdzin doo .
5:2:002:1	Ízrel dine'é éí Sáíhan áádóó bidine'é yik'eh dadeesdlį́į́'
5:2:025:0	Díí jį́ nihits'á dahazyée'go áádóó yádiłhił biyaagi ał'ąą dine'é nihik'ee bił daayée'go ádeeshłííł , áádóó nihaa dahodiits'a'go nihik'ee bitah dahoditłid doo , índa nihiniinaa yínííł yik'ee ti'dahooníih doo .
5:2:026:0	Áko honoojí Kédiimath hoolyéhídóó dah adiił'a'go éí Héshban kin haal'áádóó aláahgo naat'áanii Sáíhan wolyéii bich'į' saad bee k'é wósh'níinii bił i'ííł'a'go ádíshní ,
5:2:027:0	Nikéyah bikáá' atiingóó hadiishnéehgo nish'náajigo , doodaii' nishtł'ajigo t'áadoo haashnéhí nikéyahgóó hadideeshnéłígíí bee shadi'ní'aah .
5:2:028:0	Béeso bee ch'iyáán naa nahashniihgo éí yishą́ą doo . Béeso bee tó naa nahashniihgo éí yishdlą́ą doo . Áko t'áá ni' ákǫ́ǫ́ hadideeshnéłígíí bee shadi'ní'aah .
5:2:029:0	Íísa ba'áłchíní náás ahoolchíiłii Síyergi kéédahat'ínígíí índa Mó'ab dine' é danilíinii Ar hoolyéegi kéédahat'ínígíí ádashiilaaígi át'éego Jórdan tooh ha'naadi Bóhólníihii nihiDiyin God kéyah nihaidiní'ánígíí biih yii'náajį' , ni ałdó' shadi'díí'ááł .
5:2:030:0	Nidi Héshban kin haal'áádóó aláahgo naat'áanii Sáíhan wolyéii bíighahgóó ch'ídii'néłígíí t'áadoo yee nihadi'ní'ą́ą da . Háálá Bóhólníihii nihiDiyin God éí háni' yiyííłtł'is áádóó hajéí doo biníhóó'áágóó áhoolaa . Nihílák'ee hodidoo'áłígíí biniyé doo ájóne' át'éégóó díísh jį́į́góó ákóhósin .
5:2:031:0	Nít'éé' Bóhólníihii áshidííniid , Jó , Sáíhan wolyéii áádóó bikéyah nihaa hodinish'aah ; ádíí' ádaohłééh áádóó bikéyah íí' dooleełii danihíí' dooleeł .
5:2:032:0	Áko Sáíhan wolyéii áádóó bidine'é yił nihik'ijį' nídadiibaa'go Jéíhazgi nihik'iijéé' .
5:2:033:0	Áádóó Bóhólníihii nihiDiyin God nihich'į' ho'níłnii'go hó áádóó haye'ké índa hodine'é ałtso bił ádahosiildįįd .
5:2:034:0	Áko íídą́ą́' hakin hadaas'áhígíí ałtso dasiilná , áádóó t'áá hakin hadaas'áhígi hastóí áádóó sáanii índa áłchíní ałtso ádahosiildįįd . T'ááłá'í nidi doo ła' jidziihgóó ádahwiilyaa .
5:2:035:0	T'áá hazhó'ó alį́į́' dooígíí t'éiyá ádá áádasiilzįįd , áádóó kin hadaas'áhígíí naalye'é bąąh da'oogą́ą'ii ádá nídahaadláá' .
5:2:036:0	Aró'er hoolyéego kin haal'áhídóó éí Árnan tooh bidáa'jį' áádóó tooh bibąąhgóó kin haal'áhídóó t'áá Gíliyadjį' łahgo nahontł'ago kin haal'áii nihá ádingo nii'ná , háálá Bóhólníihii nihiDiyin God éí t'áá ałtso yee nihadi'yii'aahgo ákódeiidzaa .
