5:24:001:1	Ałts'á'iit'aash bá bee haz'áanii
5:24:001:0	Diné ła'da hwe'asdzą́ą́ dooleełii nízhdiiłtį́ áádóó bá'dzízyehgo , nít'éé' doo yaa bił hózhǫ́ǫ́góó baa ákozniizį́į'go , háálá doo i'didéehii ła' bił hazhdeel'į́į́' ; éí naaltsoos bik'ehgo ałts'á'iit'aashígíí bá hazhdidoolíiłgo áádóó bazhdoołtsosgo haghandóó béézh'doołnih .
5:24:002:0	Áko haghandóó dah diiyáádóó bik'ijį' diné náánáła' ye'asdzą́ą́ náádoodleeł .
5:24:003:0	Nít'éé' akée'di bahastiin silį́'ígíí náábijoosłxáa'go naaltsoos bik'ehgo ałts'á'iit'aashígíí há haididoolííł áádóó haidoołtsosgo bighandóó t'óó hwéé'doołnih , doodaii' akée'di hahastiin silį́'ígíí be'asdzą́ą́ jílį́į dooleełii daaztsą́ągo
5:24:004:0	átséédą́ą́' hahastiin nít'é'ígíí bighandóó ch'íhoníł'a'ígíí doo bił ahaa nínáázhdoot'ash da , háálá ákóhát'į́įgo Bóhólníihii bił t'óó baa'ih ; ázhdoolchxǫ'dóó bik'ijį'go ákót'é . Áko kéyah bikáá' doo ádił ni'iidzííh ádoohłíił da ; jó , éí Bóhólníihii nihiDiyin God nihaidiní'ánígíí ádíí' ádadoohłíiłii át'é .
5:24:002:1	Ał'ąą ádaat'éii bá bee nahaz'áanii
5:24:005:0	Diné ła' ániid be'asdzą́ą́ hazlį́į'go doo anaa'góó doogáał da , áádóó doo ha'át'éegoda naanish bee bóhólníihgo óolzin da doo , nidi be'asdzą́ą́ silį́'ígíí yił hóshǫ́ǫ doo biniyé bighangi naagháago t'ááłá'í nídoohah .
5:24:006:0	Diné ła'da tsédaashjéé' , doodaii' tsédaashch'íní doo ąąh nizhdoo'áał da , háálá ákódziidzaii diné yee hináanii ąąh nizh'nílá .
5:24:007:0	Diné ła' bikwá'ásiní éí Ízrel dine'é ła' hanaalte' biniyé jini'įįhgo , doodaii' naalte' biniyé naalyéhígi át'éego haa nahaniihgo éí azhni'įįhígíí hodi'yoolyééł . Kót'éego nihitahdóó doo yá'áshóonii nahjį' kódaoł'į́į doo .
5:24:008:0	Naałniih łóód ats'íís yiyáanii naałdzidii bits'ąą ádaa ádahołyą́ągo haleebee baa ákodanoohsįįh , áko Líívai dine'é nááda'iiłniihii éí yee nidanihinitinígíí t'áá ałtso bich'į' bee haasdzíi'ii bik'ehgo ádaa daahsįįhgo bida'oł'į́ .
5:24:009:0	Shą́ą́' , Bóhólníihii nihiDiyin God éí wohnéełgo Míriyam yaa honíłnii'ígíí béédaołniih ; jó , éí Ííjip kéyahdę́ę́' ch'éénooh'náádóó bik'ijį' ákódzaa .
5:24:010:0	T'áá ha'át'íhída nikwá'ásiní bąąh ninooláago bighan góne' náádidíídlééł biniyé doo yah adíínáał da .
5:24:011:0	Nidi t'áá tł'óó'dę́ę́' sínízį́įgo nikwá'ásiní bąąh ni'ííníláhígíí nich'į' ch'éidoodlééł .
5:24:012:0	Éí diné bahojoobá'ígo ąąh niiníláhígíí doo t'áá niha'ałk'ee siłtsoozgo yidoołkáał da .
5:24:013:0	Ąąh niiníláhígíí t'áá e'e'ááh bik'eh baa náhíłtsóos doo , áko yee nánítéehgo naahaniih doo ; éí Bóhólníihii nihiDiyin God éí t'áá ákogi áhát'íinii át'éego nihaa nitsíkees doo .
5:24:014:0	Adeenáago nihá naal'a'í bahojoobá'ígo índa hojooba' has'áanii nilį́įgo t'áadoo bide ádahwíínóhsiní ; éí nihikwá'ásiní nilį́įgo , doodaii' dé'éyóní nilį́įgo nihikéyahgi kin naazhjaa'ígi hoł kééhat'į́įgo doo bide áhodzósin da .
