5:16:001:1	Táa'go áda'azįįd nideet'ánígíí
5:16:001:0	Ábiib nídízídígíí ts'ídá béédaołniih ; jó , ákóne' Bóhólníihii nihiDiyin God bich'į' atis'adeesdzá bee bééhániihii bee bich'į' ninádahołaah doo , háálá Ábiib nídízídígíí binih tł'ée'go Ííjip kéyahdę́ę́' Bóhólníihii nihiDiyin God ch'ínihiní'eezh .
5:16:002:0	Éí bąą Bóhólníihii nihiDiyin God bich'į' atis'adeesdzá bee bééhániihii néit'aahgo Bóhólníihii náhodidoo'áłígi nihidibé áádóó nihibéégashii ła' náádahołniih doo ; ákwii bízhi' dólzingo óolzin doo .
5:16:003:0	Díík'ǫsh bił bááh ályaii éí náádahołniihii t'áadoo bił daohsání ; tsosts'id jį́ díík'ǫsh t'áágééd bááh ályaii éí bááh ach'į' nahwii'náago ályaii nídaohdį́įh doo , háálá t'óó hatsxį́įłgo Ííjip kéyahdę́ę́' ch'ínooná . Kót'éego Ííjip kéyahdę́ę́' ch'ínoonánígíí náás nihídeídíiską́ą́góó béédaołniih doo .
5:16:004:0	Díík'ǫsh bił bááh ályaii nihikéyahgi tsosts'id jį́ t'ááká ła' t'áá nihee hólǫ́ yíila' , áádóó hahóóyá bijį́ i'íí'ą́ągo atsį' náádahoołnii'ígíí hoos'įįdjį' t'ááká ła' ch'ínółnééh lágo .
5:16:005:0	Atis'adeesdzá nááhániihii nihikin hadaas'áagi t'áadoo náádahołniihí ; éí kin hadaas'áii Bóhólníihii nihiDiyin God nihaidiní'ánígi t'áadoo nídaoł'aahí .
5:16:006:0	Nidi Bóhólníihii nihiDiyin God bízhi' dólzin dooleeł biniyé náhodidoo'áłígi ákwii atis'adeesdzá bee bééhániihgo nááhániihii e'e'áahgo náádahołniih doo ; Ííjip kéyahdę́ę́' ch'ínooná yę́ęjį' anáhwiilzhíishgo nídaoł'aah doo .
5:16:007:0	Bóhólníihii nihiDiyin God náhodidoo'áłígi nináda'ayołt'is áádóó nídaohdį́įh doo . Abínígo danihiníbaalígóó anídahohkáah doo .
5:16:008:0	Hastą́ą́h jį́ díík'ǫsh t'áágééd bááh ályaii daohsą́ą doo ; tsosts'id yiską́ą́ góne' Bóhólníihii nihiDiyin God bich'į' hodílzingo áłah náhdleeh doo ; ákóne' t'áá ha'át'éegoda doo nidoołnish da .
5:16:009:0	Tsosts'idi háá'áyį́į́h jį́ ni'iileehígíí nídeínółtah doo ; tł'oh naadą́ą́' bee higéshí bee tł'oh naadą́ą́' higéésh hahalzhishdóó níléí tsosts'idi háá'áyį́į́h jį́ ni'iileehígíí nídeínó łtah doo .
5:16:010:0	Atis'adeesdzá bééhániihgo néit'aahdóó tsosts'idi damį́įgo ná'ádleeh biiłkáhí Bóhólníihii nihiDiyin God bich'į' hodílzingo áłah náhdleehgo nályééh , éí t'áá nihí ádeinohsingo nááhániihii át'éego ałdó' bich'į' náádahołniih doo ; Bóhólníihii nihiDiyin God nihik'ijisdli'ígi át'éego ádeínóhsin .
5:16:011:0	Bóhólníihii nihiDiyin God binááł nihił nidahoozhǫǫh doo ; nihí áádóó nihiye'ké áádóó nihitsi'ké áádóó diné nihá nidaal'a'í áádóó asdzání nihá nidaal'a'í áádóó Líívai dine'é nihitahgóó kéédahat'ínígíí áádóó dé'éyóní áádóó áłchíní bizhé'é ádaadinii índa asdzání bąąh áhásdįįdii nihitahgóó kéédahat'ínígíí éí Bóhólníihii nihiDiyin God bízhi' dólzingo óolzin doo biniyé náhodidoo'áłígi bił nihił nidahoozhǫǫh doo .
5:16:012:0	Áko Ííjip kéyahdi naalte' danohłį́į́ nít'éé' yę́ę nibéédahołníih dooleeł áádóó díí yee nihwiiz'áanii ádaa daohsįįhgo bik'eh dahonoł'į́ .
5:16:013:0	Chaha'ohgi hodílzingo áłah ná'ádleeh tsosts'id jį́ nídaoł'aah doo ; éí tł'oh naadą́ą́' háádaołch'ih áádóó ch'il na'atł'o'ii dashoołjizhdóó bik'ijį' ákóda'ół'į́į doo .
5:16:014:0	Hodílzingo áłah ná'ádleehgo nihił nidahoozhǫǫh doo ; nihí áádóó nihiye'ké áádóó nihitsi'ké áádóó diné nihá nidaal'a'í áádóó asdzání nihá nidaal'a'í áádóó Líívai dine'é áádóó dé'éyóní áádóó áłchíní bizhé'é ádaadinii índa asdzání bąąh áhásdįįdii nihitahgóó kéédahat'ínígíí bił nihił nidahoozhǫǫh doo .
5:16:015:0	Tsosts'id jį́ Bóhólníihii nihiDiyin God bich'į' hodílyingo áłah ná'ádleeh Bóhólníihii náhodidoo'áłígi nídaoł'aah doo , háálá Bóhólníihii nihiDiyin God nihik'iizhdoodliiłgo łą́ągo nínádanołt'į́hígíí t'áá át'é áádóó nihindaanishígíí t'áá át'é nihá bilááh ánáyoodlíił doo ; éí bąą t'áá íiyisí nihił nidahoozhǫǫh doo .
5:16:016:0	Nínáhahjį' táadi nihí diné danohłíinii t'áá ánółtso Bóhólníihii nihiDiyin God binááł Bóhólníihii náhodidoo'áłígi bich'į' nináhkah doo ; díík'ǫsh t'áágééd bááh ályaii áádóó tsosts'idi damį́įgo ná'ádleeh biiłkáhí índa chaha'ohgi hodílzingo áłah nída'adleehgi Bóhólníihii binááł náádahaniihii doo t'áágééd nídaahkah da doo .
5:16:002:1	Ts'ídá t'áá ákogi át'éego bee óhólníihii
5:16:017:0	Nidi diné t'ááłá'í jinítínígo t'áá bídajíighahígo Bóhólníihii nihiDiyin God yee hak'ijisdli'ii bik'ehgo baa nídahizhdi'aah doo .
5:16:018:0	Ándahwii'aahii áádóó bídahólníihii nihikin dah naazhjaa'góó nidahidoohnił ; Bóhólníihii nihiDiyin God nihaidiní'ánígíí biyi' nihidine'é bik'ehgo ákódadoohłííł , áko ts'ídá t'áá ákogi át'éego diné yá nidahodii'aah doo .
5:16:019:0	T'áá ákogi át'éego ánihodiyiit'aah t'áadoo bił ná'ílnaadí ; t'áadoo ła' ał'ohgo diné baa nitsídaohkeesí ; bee nani'diiniihii doo nídidííléeł da , háálá bee naho'diiniihígíí diné hóyáanii yíni' ííłdingo áyiił'įįh , áádóó diné t'áá ákogi ááníiłii bizaad wooch'ííd ádeile' .
5:16:020:0	T'áá ákogi ádaat'éii bik'ehgo deínóhkáah doo , áko dahinohnáa doo , áádóó Bóhólníihii nihiDiyin God éí kéyah nihaidiní'ánígíí ádíí' ádadoohłííł .
5:16:021:0	Bóhólníihii nihiDiyin God bibikáá' náá'iiniihí ádá ádadoohłíłígíí bíighahgi tsin bee e'elyaii doo ła' nidíítį́įł da .
5:16:022:0	Tsé bee e'elyaii ła' daboohsįįh lágo , jó , Bóhólníihii nihiDiyin God nilíinii éí yijoołxá .
