5:6:001:1	Bik'eh ó'oo'níiłii aláahdi át'éii
5:6:001:0	Díí bik'eh ó'oo'níiłii áádóó yee nihwiiz'áanii índa yee nihodii'aahii Bóhólníihii nihiDiyin God nihich'į' yee haadzíi'go bee nidanihinishtinii ádaat'é , áko bik'eh ádanoht'éego kéyah nihíí' dooleełii biih woonáago áadi bida'íínóhsin doo ,
5:6:002:0	áádóó ts'ídá haleebee Bóhólníihii nihiDiyin God dadíínóhsingo yee nihwiiz'áanii áádóó bibik'eh ó'oo'níiłii nihich'į' bee haasdzíi'ii t'áá át'é bik'eh dahonoł'į́ ; nihí áádóó nihiye'ké índa nihinálíké bił nihe'iina' dadoołt'i'góó bik'eh ánóht'éego as'ahgóó anihídayiiłkaah doo .
5:6:003:0	Éí bąą Ízrel dine'é nohłíinii , hazhó'ó da'íísínółts'ą́ą́' áádóó bik'eh dahonoł'į́įgo ádaa daahsįįh . Áko nihá yá'át'éehgo áhooníił doo áádóó ayóó át'éego k'ee'ąą nooht'į́įł doo ; t'áá danihizhé'é yę́ę biDiyin God Bóhólníihii nihá yee nihoní'ánígíí bik'ehgo kéyah haz'ą́ągi abe' áádóó tsés'ná bitł'izh bee áda'azįįdgo nihił haz'ą́ą doo .
5:6:004:0	Ízrel dine'é nohłíinii , da'íísínółts'ą́ą́' ; Bóhólníihii nihiDiyin God t'áá bí t'éí Bóhólníihii nilį́ .
5:6:005:0	Áko Bóhólníihii nihiDiyin God ayóó'ádeínóh'níigo nihijéí t'áá át'é bee áádóó nihii' sizíinii t'áá át'é bee índa nihe'adziil t'áá át'é bee ayóó'ádeínóh'ní .
5:6:006:0	Díí saad díí jį́ bee nihich'į' yáshti'ii nihijéí bii' dahólǫ́ǫ doo .
5:6:007:0	Áádóó haleedí bee éí saadígíí bee niha'áłchíní nidanohtin , áádóó nihighan góne' bił nidahísóotą́ągo éí saad baa yádaałti' , áádóó bił tádadohkááhgóó áádóó danohjeehgo índa nídahidoohjeehgo bee bich'į' yádaałti' .
5:6:008:0	Áko díí saad bee ééhózin biniyé nihíla' índa nihítáa'gi bídahaastł'ǫ́ǫgo bee béédaałniih doo .
5:6:002:1	Ák'eh ha'į́ yóweh ho'doo'niid
5:6:009:0	Áádóó nihikin bich'é'étiin bá siláii índa yah ada'iiztiingi nihidáń'dítį́hí bikáa'gi bee ak'ida'ołchi' doo .
5:6:010:0	Kót'éego Bóhólníihii nihiDiyin God nilíinii kéyah yiih nihidoo'ishgo danihizhé'é yę́ę éí Éíbraham áádóó Áízak índa Jéíkab yich'į' yee ádee hadoodzí'ígíí éí kin hadaas'áii ayóó ádahoot'é áádóó ayóó ádahónóolningo doo nihí ádaohłaa daígíí nihaididoo'áałgo
5:6:011:0	áádóó t'áá ałtsoní yá'ádaat'éehii kin bii' t'áadoo hadadoołbįįdii hadadeezbingo áádóó tó hadahadleeh t'áadoo hadahisoonilii nihee dahólǫ́ǫgo áádóó ch'il na'atł'o'ii deíl'áii índa áliv tsin deíl'áii t'áadoo k'idadoola'ii nihee dahólǫ́ǫgo éí t'óó daohsą́ągo hwiih danohłį́įgo
5:6:012:0	ádaa dahonohsą́ągo t'ááká Bóhólníihii baa dayoohnééh lágo ; jó , bí Ííjip kéyahdi naalte' danohłį́ yę́ędóó ch'ínihiní'eezh .
5:6:013:0	Bóhólníihii nihiDiyin God dadíínóhsin áádóó bá nidaał'a' índa bízhi' bee ádee hadahidohdziih .
5:6:014:0	T'ááká diyin dabidi'níinii bikéé' dah dahidoohkááh yíila' ; jó , éí dadine'é nihinaagóó kéédahat'íinii dabidiyin .
5:6:015:0	( Háálá Bóhólníihii nihiDiyin God nihitahgóó Diyin God łe'nízinii nilį́ . ) Áko Bóhólníihii nihiDiyin God doo nihich'į' báhodoochįįłgo nahasdzáán bits'ąą ánihidoołdįįł da .
5:6:016:0	T'áá Másahgi nabídanootą́'ígi át'éego t'ááká Bóhólníihii nihiDiyin God nabídanohtaah yíila' .
5:6:017:0	Jó , Bóhólníihii nihiDiyin God bibik'eh ó'oo'níiłii áádóó yee hahaasdzíi'ii índa yee nihodiiz'áanii nihich'į' yee haadzí'ígíí haleebee bik'eh dahonoł'į́ .
