5:21:001:1	Diné yiyiisxíinii doo bééhózinii ádoolníiłgi
5:21:001:0	Ła' kéyahgi ho'diisyį́įgo éí Bóhólníihii nihiDiyin God éí kéyah nihaidiní'ánígíí ádíí' ádadoohłíiłii bikáa'gi dzígaidi dziztį́įgo ła'da hak'íníyáago , nidi diné hwiisxíinii doo bééhózingóó ,
5:21:002:0	áko nihadahastóí aląąjį' naazíinii áádóó ándahwii'aahii nidahidookahgo ho'diisyíinii dziztínídóó kin hadaas'áhíjį' yídadí'nóoł'ąął .
5:21:003:0	Áádóó kót'ée doo : kin haal'áhídóó áhánígi ho'diisyį́įgo kin haal'áhídóó hastóí aląąjį' naazíinii éí béégashiitsa'ii ániid naagháhígíí t'ah doo bee adiníishii áádóó t'ah doo bizéédéetįįhgo bee adiníishii ła' nídeididoolóós .
5:21:004:0	Áádóó kin haal'áádóó hastóí aląąjį' naazíinii éí ch'íldzis góyaa tó nílínígi doo nináhwiidla'ígi áádóó doo k'éédílyéhígi béégashiitsa'ii nideidoolóosgo bik'os k'ídeidootih .
5:21:005:0	Áko Líívai dine'é biye'ké nááda'iiłniihii yich'į' nidookah , háálá Bóhólníihii nihiDiyin God nábidiinilgo nidaal'a' áádóó Bóhólníihii bízhi' bee ak'ihojidlí yee yádaałti' ; yee hadahadziihígíí yee ałgha'dit'áhígíí áádóó atí'ahe'el'ínígíí t'áá át'é hasht' éédayoodlííł .
5:21:006:0	Kin haal'áádóó hastóí aląąjį' naazíinii t'áá ałtso bił haz'ánídóó áhą́dígi diné bi'diisyį́įgo éí ch'íldzis góyaa béégashii bik'os k'ídeizti'ígíí bik'ijį' bíla' táádeidoogis .
5:21:007:0	Áádóó ándadidoo'niiłgo ádadidooniił , Díí diné bidił doo bits'ánílį́įgo ádeiilyaa da , doo nidi nihinááł áhóót'įįd da .
5:21:008:0	Bóhólníihii nílíinii , nidine'é Ízrel nilíinii t'ą́ą́' nááhíníłnii'ígíí baa a'áhí niizįįh áádóó t'áadoo biniinaanígóó diné bidił deezna'ígíí nidine'é Ízrel nilíinii t'áadoo bik'ijį' síníł'ání . Áko díí diné bidił bąąh háána'ígíí doo bee ła'da bik'íhát'áah da doo .
5:21:002:1	Asdzání yisnááh danilíinii ádoolníiłgi
5:21:009:0	Kót'éego t'áadoo baanígóó nihiníi'gi diné dił bits'ánílį́įgo ádaalne'ígíí nahjį' nidahidoh'aah ; Bóhólníihii binááł ts'ídá t'áá ákóne' ádaaht'į́į dooleeł .
5:21:010:0	Áko nihi'ana'í bik'iiojée'go áádóó Bóhólníihii nihiDiyin God nihílák'ee bidíí'ą́ągo índa yisnááh ádaahłaago
5:21:011:0	áádóó dasoołnánígíí bitahgi asdzání ła' ayóó ánóolninii hadííníl'į́į'go áádóó bidáahjį' sínílį́į'go , Éí she'asdzą́ą́ ádeeshłííł , nínízingo ,
5:21:012:0	áko nighangóó bił nídíít'ashgo áadi bitsii' yik'iidooshih áádóó bíláshgaan yidiyoogish .
5:21:013:0	Áádóó bi'éé' yii' sitį́įgo bi'disnánígíí haididoo'niłgo nighangi sidáa doo , áádóó t'ááłá'í nídeezidjį' bimá áádóó bizhé'é yaa atínídindleeh doo , áádóó bik'ijį' bá'dííyehgo bahastiin dííleeł , índa bí éí ne'asdzą́ą dooleeł .
5:21:003:1	Alą́ąjį' yizhchíinii bá bee haz'áanii
5:21:014:0	Áko kót'ée doo : doo baa nił hózhǫ́ǫ́góó bíni'dii béé'dííłnihgo t'áá bí nízingóó adoogááł , nidi béeso doo bee nahidiyííłnih da , doo hwee adíít'įįł da , háálá bidáníínílnihgo ne'asdzą́ą́ íinilaa nít'éé' .
5:21:015:0	Diné ła'da hwe'asdzą́ą́ naakigo ła' ayóó'ájó'níigo áádóó ła' jijoołáago , áko ayóó'ájó'nínígíí áádóó jijoołáhígíí t'áá áłah há ashchį́įgo áádóó haye' alą́ąjį' há yizhchíinii éí jijoołáhígíí biyáázh nilį́įgo ,
5:21:016:0	áko kót'ée doo : hwee hólóonii haye'ké baazhdee'aahgo ayóó'ájó'nínígíí biyáázh doo átsé baazhdidoo'áał da , háálá jijoołáhígíí biyáázh t'áá aaníí alą́ąjį' yizhchíinii nilį́ .
5:21:004:1	Aye' naalteehii
5:21:017:0	Nidi hwe'asdzą́ą́ jijoołáhígíí biyáázh alą́ąjį' há yizhchíinii baa ákoznízingo hwee hólóonii t'áá át'é naakidi ahą́ą́h nániiláago baazhdidoo'ááł , háálá bitsxe'ii bineest'ą' bee deezt'i'ii nilį́ ; alą́ąjį' bi'dizhchíinii nilį́įgo bíi'ii bíí' dooleełgo bee bá haz'ą́ .
5:21:018:0	Diné ła' haye' bízhą́'ílį́įgo áádóó naalteehgo índa bizhé'é , doodaii' bimá bizaad doo yik'eh hół'į́į́góó , áko nít'éé' bich'anáhojishkeeh , nidi doo hwíists'ą́ą́'góó
5:21:019:0	bizhé'é áádóó bimá éí kin haal'áagi kééhat'į́įgi hastóí aląąjį' naazíinii yah a'atiiníjį' yich'į' niidoolóós .
5:21:020:0	Áko kin haal'áádóó hastóí aląąjį' naazíinii áyididooniił , Díí nihiyázhí bízhą́'ílį́ áádóó naalteehii nilį́ índa doo nihik'eh hół'į́į́góó dibidii áádóó adláanii nilį́ .
5:21:005:1	Ał'ąą ádaat'éii bá bee nahaz'áanii
5:21:021:0	Áádóó kin haal'áagi kééhat'ínídóó diné danilíinii t'áá ałtso tsé yee hoł nidazdoołniiłgo dazdootsaał ; ákót'éego nihitahdóó doo yá'áshóonii nahjį' kódaoł'į́į doo , áko Ízrel dine'é t'áá ałtso da'íists'ą́ą'go bił daayée' doo .
5:21:022:0	Áádóó diné ła'da ádił asiihgo aniné yą́ą́h nilį́ í'diilyaago , áádóó bidi'yoolyéełgo tsin bąąhjį' dabidi'doodlohgo
5:21:023:0	éí bits'íís doo tł'éé' bíighah dah hidíłtį́į da doo , nidi t'áá éí bijį́ yóó'ábidi'doolnííł , háálá dah bi'diidlo'ígíí éí Diyin God hóyée'jį' bá haadzí'ígíí át'é , áko Bóhólníihii nihiDiyin God éí kéyah nihaidiní'ánígíí ádíí' ádadoohłíiłii doo dadoołchxǫǫł da .
