5:29:001:1	Mó'ab kéyahgi Bóhólníihii éí Ízrel dine'é yił aha'deet'ą́
5:29:001:0	Díí saad bee aha'deet'áanii Bóhólníihii éí Mózes yich'į' yee haadzíi'go ání , Mó'ab kéyahgi Ízrel dine'é bił hasht'edadííliił ; Dził Hórebgi Bóhólníihii éí Ízrel dine'é yił ahada'deest'áanii ałdó' íidííłtsoł .
5:29:002:0	Áádóó Mózes éí Ízrel dine'é t'áá ałtso hágo yidííniidgo ííłní , Bóhólníihii áát'įįdii t'áá át'é danóoł'į́į'go Ííjip kéyahdi aláahgo naat'áanii Féro áádóó bá nidaal'a'í t'áá ałtso índa bikéyah t'áá át'é nihinááł atíyííł'įįd .
5:29:003:0	Na'íhonitaah ayóó át'éii bik'e'da'íyée'ii danóoł'į́į́' ; éí bee ééhózinii índa álílee ayóó át'éii ádaat'éhígíí át'é .
5:29:004:0	Azhą́ ákót'ée nidi Bóhólníihii éí díí t'ah doo nihaidee'aah da : éí ajéí bee baa ákohodínóodzįįłii , doodaii' anáá' bee dínóol'įįł ii , doodaii' ajaa' bee íídóolts'įįłii .
5:29:005:0	Dízdiin nááhaijį' honoojíígóó tánihidish'éésh nít'éé' ; nihi'éé' t'áadoo nihik'i nidahaazt'óod da índa nihikee' t'áadoo dadiizhaazh da .
5:29:006:0	Bááh nidi t'áadoo daoyą́ą' da , wáin nidi t'áadoo daohdlą́ą' da , doodaii' tó tsi' na'iiłáii t'áadoo daohdlą́ą' da , áko Bóhólníihii nihiDiyin God nishłį́įgo nihił béédahodoozįįł .
5:29:007:0	Áádóó kojį' ch'ínoonáago Héshbandóó aláahgo naat'áanii Sáíhan wolyéii índa Béíshandóó aláahgo naat'áanii Ag wolyéii nihich'į' nídiibaa'go nidasiiltsxeed .
5:29:008:0	Áko bikéyah bighadasidiit'ą́ągo Rúben dine'é áádóó Géed dine'é índa Manáseh dine'é ałníí'dóóígíí bíí' dadooleełgo baa dadiniit'ą́ .
5:29:009:0	Éí bąą díí saad bee aha'deet'áanii bik'eh ádanoht'éego bida'íínóhsin , áko baa nidaahkaígíí t'áá át'é yá'át'éehgo nihá ááníił doo .
5:29:010:0	Díí jį́ t'áá ánółtso Bóhólníihii nihiDiyin God binááł nidasoozį́ ; nihidine'é dah dabí'éeshii áádóó nihá aląąjį' naazíinii índa nihinaat'áanii éí Ízrel dine'é danilíinii t'áá ałtso bił nidasoozį́ .
5:29:011:0	Niha'áłchíní yázhí áádóó nihida'asdzą́ą́ índa nihiníbaal haal'áagi dé'éyóní nidaakaii éí nihá chizh nídeidiyiiłniihdóó nihá tó ninádayiiłjiidjį' nihool'áago bił nidasoozį́ .
5:29:012:0	Áko Bóhólníihii nihiDiyin God bił ahadadi'noht'aah , éí ádee hadoodzíi'go Bóhólníihii nihiDiyin God díí jį́ nihił aha'deet'aah .
5:29:013:0	Éí chánahgo díí jį́ dine'é t'áá bí ádá niidee'nilii ánihidoolííł áádóó nihiDiyin God nilį́į doo biniyé nihich'į' yee haadzíí' índa danihizhé'é yę́ę Éíbraham áádóó Áízak índa Jéíkab yich'į' yee ádee hadoodzíí' .
5:29:014:0	Doo t'áá nihí t'éiyá díí aha'deet'áanii índa ádee ha'didziihii nihił áshłéeh da .
5:29:015:0	Nidi Bóhólníihii nihiDiyin God binááł kǫ́ǫ́ díí jį́ nihił naazínígíí áádóó díí jį́ doo nihił dahólǫ́ǫ daígíí bił ahadadi'nisht'aah .
