5:1:001:1	Bóhólníihii éí Ízrel dine'é Hórebdi yee yá nihoní'áanii Mózes nináyósta'
5:1:001:0	Mózes díí saadígíí bee Ízrel dine'é t'áá ałtso bich'į' bee hadzoodzíí' : éí Jórdan tooh ha'a'aahjigo k'íhoneezláá góyaa Tónteel Łichíí' binaashiijí éí Péíran honoojí áádóó Tófel áádóó Léíban áádóó Hazíírath índa Dáízahab nahós'a'gi hadzoodzíí' .
5:1:002:0	Dził Hórebdóó Dził Síyerjí ahééhonít'i'go áádóó Kéídesh-barníyajį' joogáałgo ła'ts'áadah yiłkááh .
5:1:003:0	Nít'éé' dízdiin náhááh góne' áádóó ła'ts'áadah nídízííd binih índa ła'a jį́į́ góne' Mózes éí Bóhólníihii t'áá bí bibik'eh ó'oo'níiłii haidiní'ánígíí bik'ehgo Ízrel dine'é t'áá ałtso bich'į' bee hadziisdzíí' .
5:1:004:0	Éí Ámor dine'é aláahgo binanit'a'í Sáíhan wolyéii Héshban kin haal'áagi kééhat'į́į́ nít'é'ígíí áádóó Béíshan nahós'a'dóó aláahgo naat'áanii Ag wolyéii Áshtarath kin haal'áagi Édriyaigi kééhat'į́į́ nít'é'ígíí nidzistseedóó bik'ijį' :
5:1:005:0	Jórdan tooh ha'a'aahjigo Mó'ab dine'é bikéyahgi Mózes kójíníigo díí bee haz'áanii baa ch'íhojii'aahgo hahoolzhiizh ;
5:1:006:0	Dził Hórebgi Bóhólníihii nihiDiyin God kóníigo nihich'į' haadzíí' , Díí dziłgi kééhoht'į́įgo nízaad nihoolzhiizh ;
5:1:007:0	k'ad dah doohnéehgo Ámor dine'é bikéyah deílk'idgóó áádóó k'ídahoneezláagi kéédahat'ínígíí bitahgóó , dadzígaigóó áádóó dah daask'idgóó áádóó dahoníts'aa'góó áádóó shádi'áahjigo áádóó tónteel bibąąhgóó Kéínan dine'é bikéyahjigo áádóó Lébanan kéyahgi dził daní'áágóó índa ayóó át'é Yufréítiiz wolyéego tooh nílínígíí bich'į'go dadohnééh .
5:1:002:1	Áńdahwii'aahii nii'nil
5:1:008:0	Shoo , t'áá nihilą́ąjį' kéyah nihá hasht'eishłaa ; kéyah biih doohkahgo nihíí' ádadoohłíiłii Bóhólníihii éí danihizhé'é yę́ę yich'į' yee ádee hadoodzíí' ; éí Éíbraham , Áízak áádóó Jéíkab bada'áłchíní náás ahidoolchíiłii yeidiní'ą́ .
5:1:009:0	Íídą́ą́' shí nihich'į' haasdzíi'go ádíshní , T'áá sáhí nihaa áháshyą́ągo doo bíneesh'ą́ą da .
5:1:010:0	Bóhólníihii nihiDiyin God ayóó át'éego k'ee'ąą nihidínéest'ą́ ; jó , díí jį́ yá biyi'di sǫ' yíl'áhígi ánóohłą́ą́' soolį́į́' .
5:1:011:0	Danihizhé'é yę́ę éí Bóhólníihii Diyin God k'ad ánóohłą́'ígíí łá'í nootínígo míildi ákónánóohłą́ą'go ánihidoolííł , áko nihik'ijidlíi dooleełgo t'áá íídą́ą́' yee nihá nihoní'ą́ .
5:1:012:0	Shide ádahwíínóhsinígíí áádóó shide áhoot'é ádashíínóhsinígíí índa na'ahíyádaałti'ígíí haash yit'éego t'áá shí t'éí bííníshghah doo ?
5:1:013:0	Ał'ąą dine'é danohłínígíí nihitahdóó diné dahóyáanii áádóó ak'idi'yiitįįhii índa béédaho'dílzinii nídadoohníiłgo nihindant'áago ádeeshłííł .
5:1:014:0	Áádóó shich'į' hadasoohdzíi'go ádadooniid , Bee nihich'į' háínídzí'ígíí bida'ííníilzingo yá'át'ééh .
5:1:015:0	Áko ał'ąą dine'é danohłíinii nihá aląąjį' naazíinii nihá ninínil ; éí diné dahóyáanii áádóó béédaho'dílzinii nihindant'áa doogo nihá ninínil ; éí míilgo ádazhnéelą́ą'ii áádóó neeznádiingo ádazhnéelą́ą'ii áádóó ashdladiin ádazhnéelt'e'ii índa neeznáá dazhníjaa'ii hondant'áa doo , áko ał'ąą dine'é danohłíinii nihitahgi nihee bídahólníih doo biniyé ninínil .
