5:15:001:1	Náhááh bii' ééhidichídígíí
5:15:001:0	Tsosts'id náhááh góne' ąąh hadasooł' áhígíí t'óó bik'indadi'yohzóoh dooleeł .
5:15:002:0	Ąąh háá'á bik'ińda'deesdzooígíí kót'éego bee haz'ą́ą doo : t'áá háiida bił kééhojit'íinii bąąh hajííł'áhígíí t'óó bá bik'inízdoozoh . Bił kééhojit'íinii , doodaii' hak'is bąąh hajííł'áhígíí doo bee bizhdiilkaal da doo , háálá Bóhólníihii ąąh háá'á t'óó aa hidit'aahgo yee nihoní'ą́ .
5:15:003:0	Doo Ízrel dine'é nilíinii t'áá nich'į' niná'doodléełgo bee bidinilkaal doo , nidi Ízrel dine'é nilíinii bąąh háíníł'áhígíí t'óó bá bik'ińdíízoh .
5:15:004:0	Áko nihitahgi doo ła'da bahojoobá'í da doo , háálá Bóhólníihii nihiDiyin God nilíinii kéyah nihíí' dadooleełgo nihaidiní'ánígíí biyi' Bóhólníihii t'áá íiyisí nihik'ijidlíi doo .
5:15:005:0	Bóhólníihii nihiDiyin God hazhó'ó biinéé' deísółts'ą́ą'go díí bik'eh ó'oo'níiłii t'áá át'é bee nihich'į' haasdziihígíí ádaa dasoosįįdgo t'éiyá nihik'ijidlíi doo .
5:15:006:0	Áko Bóhólníihii nihiDiyin God yee nihoní'áanii bik'ehgo nihik'ijidlíi doo , áádóó ał'ąą ana'í t'óó ahayóígíí bich'į' béeso a'iiníiłii danohłį́į doo , nidi bí éí doo nihada'iiníił da doo , índa ał'ąą ana'í t'óó ahayóígíí bindanoht'áa doo , nidi bí éí doo nihindant'áa da dooleeł .
5:15:007:0	Nihitahgóó té'é'į́ yik'ee naagháii nihik'isóó danilíinii ła' nilį́įgo , éí nihikéyah Bóhólníihii nihiDiyin God nihaidiní'ánígi nihikin hadaas'áagi łahgo kééhat'į́įgo doo bich'į' nihijéí doołtł'is da , doodaii' doo t'óó bídadínóołyęsh da .
5:15:008:0	Nidi bich'į' nihił dahadlee'go yídin nilínígíí bíighahgo béeso baa nída'ohniłgo bił yá'át'éeh doo .
5:15:009:0	T'ááká yíila' nihijéí bee nichxǫ́'ígo tsídóhkeesgo kódóhniih lágo , Tsosts'id náhááh góne' ąąh háá'á bik'ińda'didzóóh baa nááhoolzhíísh . Áko nihik'is té'é'į́ nilį́įgo t'óó nabídanołyęęshgo áádóó doo t'áá k'ad bada'sooláágóó t'óó nihik'ijį' nilį́įgo Bóhólníihii yíká áníi doo , índa bí biniinaa ádił da'soołziih doo .
5:15:010:0	T'áádóo nídí bich'į' nihił dahadlee' áádóó bich'į' danihíłtłeehígíí t'áadoo bik'édí danohłíní ; ákódaoht'į́įgo Bóhólníihii nihiDiyin God nihinaanish nilíinii índa t'áá ádaohłíłígíí t'áá ałtso yił nihik'ijidlíi doo .
5:15:002:1	Naalte' danilíinii baa áháyą́ągi
5:15:011:0	Háálá kéyahgi badahojoobá'íígíí áłahjį' nihił dahólǫ́ǫ doo ; éí bąą díí nihich'į' bee haasdziihgo kódíshní , Nihik'isóó danilíinii badahojoobá'íii áádóó hojooba' nahas'áanii nihikéyahgi nidaakaígíí bich'į' nihił dahadlee' doo .
5:15:012:0	Áádóó nihidine'é éí Hííbrew dine'é nilį́įgo hastiin , doodaii' asdzánída nihinaalte' danilį́į doo biniyé nihich'į' nidabi'diiniihgo hastą́ą́h nínáhahjį' nihá ninádaal'aah doo , nidi tsosts'id náhááh góne' béédahidohchíid doo .
