12:4:001:1	Asdzání bąąh áhásdįįdii be'ak'ahígíí
12:4:001:0	Nít'éé' Diyin God yá dahalne'ii bídahooł'aahígíí ła' be'asdzą́ą́ léi' Iiláísha yich'į' yéego haadzíi'go ání, Shahastiin ná naal'a'í daaztsą́; éí Bóhólníihii yidósin nít'ée'go nił bééhózin. Nidi k'ad bąąh hayííł'áhígíí shiyáázh nidilt'éego binaalte' nilį́į dooleeł yiniyé níyá. 
12:4:002:0	Iiláísha áháłní, Ha'át'íísh ná baa nideeshaał? Shił hólne', ha'át'íísh nighan góne' hólǫ́? Áko ájíní, Asdzání ná naal'a'í nishłíinii shighan bii' ha'át'íhída doo shee hólǫ́ǫ da nidi ak'ah t'éiyá tóshjeeh yázhí bee si'ą́. 
12:4:003:0	Nít'éé' ání, Nílááh, bił kééhót'íinii t'áá ałtso dabighandę́ę́' dabitóshjeeh t'áágééd naaznilígíí t'óó ahayóigo nada'ónííł. 
12:4:004:0	Áko yah ííníyáago ni áádóó niyáázh nidilt'éego ádá da'didoołkał áádóó tóshjeeh t'áá ałtso ak'ah biih dahidííził; hadadéébįįdígíí éí nahjį' nihidíínił. 
12:4:005:0	Kót'éego Iiláísha bits'ą́ą́dóó dashdiiyáago hó áádóó hayáázh nidilt'éego ádá da'dazdeeskaal; éí tóshjeeh yázhí há nináyiizhjaa'go ak'ah bii' yadajiiziid. 
12:4:006:0	Nít' éé' tóshjeeh yázhí hadadéébįįdgo hayáázh ábijiní, Tóshjeeh yázhí ła' shaa náání'ah. Áko áháłní, Doo ła' náánást'ą́ą da. Áko ak'ah yadajiyiizídígíí ááhoost'įįd. 
12:4:002:1	Iiláísha áádóó Shúnemdóó asdzání
12:4:007:0	Áádóó Diyin God yá naal'a'í baazhníyáago bił hojoolne'. Áko ání, Nílááh, ak'ah naa nahóniihgo nąąh háá'áhígíí niná'ayídlé, áádóó ni áádóó na'áłchíní ak'ah yidziihígíí bee ákidaahdlá. 
12:4:008:0	Łah jį́įgo Iiláísha éí Shúnem kin haal'á bíighahgóó ch'ízhníyá, nít'éé' ákwii asdzání ayóó at'į́į́ léi' bááh dííyį́į́ł hałníigo yaa náhookąąh. Áko t'áá ákǫ́ǫ́ nízhdídááh bik'eh ákwii níjídáahgo bááh níjídį́į́h. 
12:4:009:0	Áádóó hahastiin ábijiní, Shoo, diné t'áá áłahjį' nihighan bíighahgóó ałnánádáhígíí éí Diyin God bits'ą́ą́dę́ę́' naagháago shił bééhoozin. 
12:4:010:0	Haa'íshą' nihikin bighą́ą́'dóó kin t'áá áłts'ísígo bá nidiit'áałgo tsásk'eh áádóó bikáá' adání áádóó bik'i dah asdáhí índa bee hool'iní ałdó' bá nidii'nił, áko nihaa nádáahgo ákwii nábiilkáah doo. 
12:4:011:0	Łah jį́įgo ákwii níyáago kin bá ályaaígi yah ííyáago neeztį́įgo hanáályį́į́'. 
12:4:012:0	Nít'éé' bá naal'a'í Giihéízai ííłní, Díí Shúnemdóó asdzání hágo bidiní. Hágo bizhdííniidgo hadááhdę́ę́' niníyá. 
12:4:013:0	Áko Giihéízai ábijiní, K'ad kóbidiní, Shoo, nizhónígo nihá hasht'ehwiinilaa, áko ha'át'íí lá ná ádoolnííł? Aláahgo naat'áanii daats'í, doodaii' siláo dah yinéełii binanit'a'í daats'í ná bich'į' ha'doodzih? Áádóó hajoodzíi'go ájíní, T'áá shí shidine'é bitahgi kééhasht'į́. 
12:4:014:0	Iiláísha ání, Ákoshą' ha'át'íí bá ádoolnííł? Giihéízai hanáánáádzíi'go ání, T'áá aaníí ba'áłchíní ádin índa bahastiin éí haastih. 
12:4:015:0	Áko Iiláísha ání, Hágo bidiní. Hágo bizhdííniidgo ch'é'étiindę́ę́' yiizį'. 
12:4:016:0	Áádóó ání, Kónáhoot'éhí kojį' anáhoolzhiizhgo niyáázh adíidííltsoł. Áko ájíní, Dooda, shinanit'a'í, Diyin God yá naal'a'í nílíinii, asdzání ná naal'a'í nishłíinii doo shidíníí'ah da. 
12:4:017:0	Nidi asdzání i'niiltsąąd áádóó Iiláísha t'áá áhodííniidígíí bik'ehgo nááhaigo t'áá áajį' anáhoolzhiizhgo hayáázh hazlį́į́'. 
12:4:018:0	Áádóó hayáázh dínéesą́ągo ła'a jį́ bizhé'é éí da'ayizhii yił da'ayizhgo ákǫ́ǫ́ yich'į' ííyá. 
12:4:019:0	Nít'éé' bizhé'é ííłní, Shitsiits'iin neezgai, shitsiits'iin neezgai! Áko há naal'a'í ábijiní, Bimá bich'į' nídíłteeh. 
12:4:020:0	Áádóó dah yidiiłtį́įgo bimá yaa néiníłtį́įgo hatsásk'eegi sidáago ałní'ní'ą́, nít'éé' daaztsą́. 
12:4:021:0	Áko dashdiiłtį́įgo Diyin God yá naal'a'í bitsásk'eh bikáá' nizhníłtį́, áádóó bidázhdi'ní łkaalgo dashdiiyá. 
12:4:022:0	Áko hahastiin hágo bizhdííniidgo ájíní, Diyin God yá naal'a'í bich'į' télii tsį́įłgo shił dooldlosh áádóó nídeeshdááł biniyé ná naal'a'í ła' télii sheidoolóós. 
12:4:023:0	Áko ání, Ha'át'íísh biniyé díí jį́ bich'į' deeshááł nínízin? T'ah doo dah yiitįįh da, doo nidi háá'áyį́į́h jį́ aleeh da. Nidi ájíní, T'áá áko. 
12:4:024:0	Nít'éé' télii yik'i dah aznilgo bá naal'a'í ííłní, Tsxį́įłgo shilą́ąjį' yílwoł; shiniinaa t'áadoo honiitłóhí yílwoł, át'ahálo nidishníigo t'éiyá. 
12:4:025:0	Ákohgo dashdiiyáago Dził Kármeldi Diyin God yá naal'a'í bich'į' joogááł nít'éé'.Nízaadę́ę́' joogáałgo hoołtsą́ągo bá naal'a'í Giihéízai ííłní, Shoo, níléídę́ę́' Shúnemdóó asdzání yigááł; 
12:4:026:0	bidááhgóó nídiilyeedgo ábidiní, Nitahásh yá'áhoot'ééh? Nahastiinísh bitah yá'áhoot'ééh? Ashkiishą' bitahásh yá'áhoot'ééh? Áko ájíní, T'áá yá'át'ééh. 
12:4:027:0	Nít'éé' dziłghą́ą'di Diyin God yá naal'a'í baazhníyáago bikee' dziiłtsood, áádóó Giihéízai nahjį' ahodoodzį́į́s biniyé áajį' niníyá. Nidi Diyin God yá naal'a'í ání, T'áadoo baa nánít'íní, háálá bii' sizíinii bide áhoot'é; éí Bóhólníihii shits'ąą neinił'ingo doo yee shił hoolne' da. 
12:4:028:0	Áko ájíní, Da' shinanit'a'íísh shiyáázh hodooleełgo bííkeed? Doo shidíníí'ah da, doósh dííniid da? 
