12:16:001:1	Éíhaz nant'áá nít'éé'
12:16:001:0	Remaláíyah biye' Pííkah éí aláahgo naat'áanii nilį́įgo tsosts'idts'áadah náhááh góne' Jótham biye' Éíhaz aláahgo naat'áanii silį́į́'. 
12:16:002:0	Éíhaz naadiin binááhaigo aláahgo naat'áanii silį́į́', áádóó hastą́'áadah nááhaijį' Jerúsalemgi nant'áá nít'éé', nidi t'áadoo t'áá ákogi ájít'į́įgo Bóhólníihii haDiyin God binááł jideeyáa da; hazhé'é David áátįįdígi t'áadoo ádziidzaa da. 
12:16:003:0	Nidi Ízrel dine'é aláahgo binanit'a'í nídaadleełii ádáát'įįdii bik'ehgo nijiyá. Jó, Bóhólníihii éí Ízrel dine'é bits'ąą ał'ąą dine'é ch'íiniiskaadígíí éí doo yíłdinígíí bik'ehgo haye' azhdííłk'ą́ą́'. 
12:16:004:0	Áádóó ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígóó áádóó dah daask'idgóó índa tsin dootł'izh naazkaadii t'áá át'é dabiyaagóó didlidgo nááhániihii áádóó tsin bijeeh dilidgo łikání halchingo nááhániihii nínáájiiłnih. 
12:16:005:0	Áko Síriya dine'é aláahgo binanit'a'í Ríízin áádóó Ízrel dine'é aláahgo binanit'a'í Remaláíyah éí Jerúsalemgi anaa' hodoołeeł yiniyé bisiláo yił nínáago Éíhaz yizénáshzhiizh, nidi doo bik'eh dazhdódle' át'ée da. 
12:16:006:0	Íídą́ą́' Síriya dine'é aláahgo binanit'a'í Ríízin éí Íílath kin shijaa'dóó Júdah dine'é ch'ídeineeskaadgo Síriya dine'é yá shónáyoost'e', áko Síriya dine'é Íílathjį' yah aheeznáago díí jį́įjį' ákwe'é kéédahat'į́. 
12:16:007:0	Nít'éé' Éíhaz éí Asíriya dine'é aláahgo binanit'a'í Tíglath-pilíízer yich'į' hane' yił nidaal'a'í ayííł'a' kóníigo, Ná naal'a'í nishłį́ áádóó niye' nishłį́; hágo, shaa nínáahgo Síriya dine'é aláahgo binanit'a'í áádóó Ízrel dine'é aláahgo binanit'a'í bighááshíłteeh, háálá shich'į' nídiibaa'. 
12:16:008:0	Áádóó Éíhaz éí Bóhólníihii bikin bii' sohodizin góne' béésh łigaii índa óola áádóó aláahgo naat'áanii bikin góne' naalye'é bik'ídajiiskaígíí éí aa yílyáii át'éego Asíriya dine'é aláahgo binanit' a'í yeinínil. 
12:16:009:0	Áko Asíriya dine'é aláahgo binanit'a'í háká aalwodgo Asíriya dine'é aláahgo binanit'a'í Damáskas kin haal'á góde aní'eezhgo yisná, áádóó diné deisnáago Ker hoolyéégóó adayiizh'eezh, áko Ríízin dayiisxį́. 
12:16:010:0	Áádóó aláahgo naat'áanii Éíhaz éí Damáskasgóó Asíriya aláahgo binanit'a'í Tíglath-pilíízer yił ahididoo'ash yiniyé ííyáago Damáskasgi bikáá' náá'iiniihí yiyiiłtsą́, áko aláahgo naat'áanii Éíhaz éí bikáá' náá'iiniihí ályaaígíí yi'iilaago áádóó bik'ehgo ádoolníłígíí béé'ályaago éí náá'iiłniihii Yuráíjah yich'į' yił i'ííł'a'. 
12:16:011:0	Áko náá'iiłniihii Yuráíjah éí bikáá' náá'iiniihí áyiilaa, t'áá Damáskasdę́ę́' aláahgo naat'áanii Éíhaz yiniyé hach'į' yił a'ííł'a'ígíí bik'ehgo bikáá' náá'iiniihí ájiilaa. Damáskasdę́ę́' aláahgo naat'áanii Éíhaz t'ah doo yíghááhgóó náá'iiłniihii Yuráíjah ákóyiilaa. 
12:16:012:0	Nít'éé' Damáskasdę́ę́' aláahgo naat'áanii níyáago bikáá' náá'iiniihí yiyiiłtsą́, áádóó aláahgo naat'áanii bikáá' náá'iiniihí yich'į' niníyáago yikáá' náá'iisnii'. 
12:16:013:0	Áko bikáá' náá'iiniihí yikáa'gi didlidgo nááhániihígíí áádóó ak'áán nááhániihígíí áádóó yanáadzi'go nááhániihígíí índa hózhǫ́ǫ́jí nááhániihígíí bidił yik'íístahgo nááyiisnii'. 
12:16:014:0	Áko Bóhólníihii bikin bii' sohodizin bidáahgi índa t'áá hó habikáá' náá'iiniihí bita'dóó béésh łitsoii bee bikáá' náá'iiniihí ályaaígíí éí Bóhólníihii bidáahgi si'ánígíí ałdó' néidii'ą́ągo habikáá' náá'iiniihí bíighahgi náhookǫsjígo nizhní'ą́. 
12:16:015:0	Aláahgo naat'áanii Éíhaz éí náá'iiłniihii Yuráíjah yich'į' haadzíi'go ání, Díí bikáá' náá'iiniihí nitsaaígíí bikáa'gi abínígo didlidgo nááhániihii índa e'e'áahgo ak'áán nááhániihii, áádóó aláahgo naat'áanii bá didlidgo nááhániihii índa ak'áán nááhániihii áádóó kéyahdóó diné t'áá át'é bá didlidgo nááhániihii índa ak'áán nááhániihii áádóó yanáadzi'go nááhániihii nááhíłniih, índa didlidgo náádahaniihii áádóó náádahaniihígíí bidił t'áá ałtso bik'ínídaniłtah, nidi bikáá' náá'iiniihí béésh łitsoii bee ályaaígíí éí na'ídíshkidgo chonáosh'įįh doo. 
12:16:016:0	Aláahgo naat'áanii Éíhaz yee haadzí'ígíí t'áá ałtso bik'ehgo náá'iiłniihii Yuráíjah yi'iilaa. 
12:16:017:0	Áádóó aláahgo naat'áanii Éíhaz éí bii' tá'ádígisí bá naaznilii bá nidaaz'áhígíí yąąh yiyííbį́į́' índa bii' tá'ádígisí yits'á yiiznil, áádóó bii' tá'ádígisí béésh łitsoii doolyį́į'go bee ályaaígíí éí biyaadóó béésh łitsoii bee béégashii ádaalyaii naazį́į́ nít'é'édóó nahjį' nizhní'ą́ągo tsé yá yiztł'ingo yikáa'gi dah yiz'ą́. 
12:16:018:0	Áko aláahgo naat'áanii éí háá'áyį́į́h jį́į́ góne' Bóhólníihii bikin bii' sohodizin góne' bá yah ahóót'i'ígíí índa tł'óó'dę́ę́' yah a'atiinígíí bee ályaa yę́ę Asíriya dine'é aláahgo binanit'a'í yá nahjį' kóyiilaa. 
12:16:019:0	Éíhaz łahjį' ádzaii éí yaa naayáhígíí Júdah dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
12:16:020:0	Éíhaz éí dahazhé'é yę́ę da'iiłhaazhígi át'éego ajiiłhaazh áádóó David yę́ę bikin haal'áagi yóó'ádaalyaaígi yóó'áho'diilyaa; nít'éé' haye' Heziikáíyah hatsásk'ehgi aláahgo naat'áanii silį́į́'.
