42:22:001:0	Now the feast of unleavened bread drew nigh , which is called the Passover .
42:22:002:0	And the chief priests and scribes sought how they might kill him ; for they feared the people .
42:22:003:0	Then entered Satan into Judas surnamed Iscariot , being of the number of the twelve .
42:22:004:0	And he went his way , and communed with the chief priests and captains , how he might betray him unto them .
42:22:005:0	And they were glad , and covenanted to give him money .
42:22:006:0	And he promised , and sought opportunity to betray him unto them in the absence of the multitude .
42:22:007:0	Then came the day of unleavened bread , when the passover must be killed .
42:22:008:0	And he sent Peter and John , saying , Go and prepare us the passover , that we may eat .
42:22:009:0	And they said unto him , Where wilt thou that we prepare ?
42:22:010:0	And he said unto them , Behold , when ye are entered into the city , there shall a man meet you , bearing a pitcher of water ; follow him into the house where he entereth in .
42:22:011:0	And ye shall say unto the goodman of the house , The Master saith unto thee , Where is the guestchamber , where I shall eat the passover with my disciples ?
42:22:012:0	And he shall shew you a large upper room furnished : there make ready .
42:22:013:0	And they went , and found as he had said unto them : and they made ready the passover .
42:22:014:0	And when the hour was come , he sat down , and the twelve apostles with him .
42:22:015:0	And he said unto them , With desire I have desired to eat this passover with you before I suffer :
42:22:016:0	For I say unto you , I will not any more eat thereof , until it be fulfilled in the kingdom of God .
42:22:017:0	And he took the cup , and gave thanks , and said , Take this , and divide it among yourselves :
42:22:018:0	For I say unto you , I will not drink of the fruit of the vine , until the kingdom of God shall come .
42:22:019:0	And he took bread , and gave thanks , and brake it , and gave unto them , saying , This is my body which is given for you : this do in remembrance of me .
42:22:020:0	Likewise also the cup after supper , saying , This cup is the new testament in my blood , which is shed for you .
42:22:021:0	But , behold , the hand of him that betrayeth me is with me on the table .
42:22:022:0	And truly the Son of man goeth , as it was determined : but woe unto that man by whom he is betrayed !
42:22:023:0	And they began to enquire among themselves , which of them it was that should do this thing .
42:22:024:0	And there was also a strife among them , which of them should be accounted the greatest .
42:22:025:0	And he said unto them , The kings of the Gentiles exercise lordship over them ; and they that exercise authority upon them are called benefactors .
42:22:026:0	But ye shall not be so : but he that is greatest among you , let him be as the younger ; and he that is chief , as he that doth serve .
42:22:027:0	For whether is greater , he that sitteth at meat , or he that serveth ? is not he that sitteth at meat ? but I am among you as he that serveth .
42:22:028:0	Ye are they which have continued with me in my temptations .
42:22:029:0	And I appoint unto you a kingdom , as my Father hath appointed unto me ;
42:22:030:0	That ye may eat and drink at my table in my kingdom , and sit on thrones judging the twelve tribes of Israel .
42:22:031:0	And the Lord said , Simon , Simon , behold , Satan hath desired to have you , that he may sift you as wheat :
42:22:032:0	But I have prayed for thee , that thy faith fail not : and when thou art converted , strengthen thy brethren .
42:22:033:0	And he said unto him , Lord , I am ready to go with thee , both into prison , and to death .
42:22:034:0	And he said , I tell thee , Peter , the cock shall not crow this day , before that thou shalt thrice deny that thou knowest me .
42:22:035:0	And he said unto them , When I sent you without purse , and scrip , and shoes , lacked ye any thing ? And they said , Nothing .
42:22:036:0	Then said he unto them , But now , he that hath a purse , let him take it , and likewise his scrip : and he that hath no sword , let him sell his garment , and buy one .
42:22:037:0	For I say unto you , that this that is written must yet be accomplished in me , And he was reckoned among the transgressors : for the things concerning me have an end .
42:22:038:0	And they said , Lord , behold , here are two swords . And he said unto them , It is enough .
