55:3:001:1	Khaiinkǫǫ Drin
55:3:001:0	Jii ganoondaii! Khaiinkǫǫ Drin zhit ji' gwagwantrii gwarahąąh'yaa t'oonchy'aa. 
55:3:002:0	Izhit nagwaanąįį ji', dinjii nąįį geedan zhrįh idininjich'agahahthat, laraa zhrįh chan eet'igehęęnghyaa, geedan zhrįh gwinzii ideegigiheekhyaa, khaiinjigihil'ee chan giheelyaa. Dinjii ts'ą' Vit'eegwijyąhchy'aa haa gwiizųų eegigeheekhyaa, digiiyehghan nąįį k'eegogwahthat kwaa, duuyeh chan mahsį' giindhan, K'eegwaadhat chan k'injigiheeghit kwaa, 
55:3:003:0	duuyeh dinjii eeshroonchy'aa, duuyeh chan neeshraahchy'aa giindhan, ch'izhii nąįį gwiizųų eegigeheekhyaa, idik'eegaantii kwaa ts'ą' jidii datthak zhit tr'ihkhit t'igii'in, chan gootr'eegwąhgąįį, nijin gwinzii dąį' chan gitr'igehee'ee, 
55:3:004:0	dinjii chan gwintł'eegahchik giheelyaa, niinjich'agadhat kwaa ts'ą' zhyaa k'ii'an googwitr'it gwanlii, tr'ihkhit khaiinjigihil'ee, shroonchy'aa ąįį Vit'eegwijyąhchy'aa andaa ts'ą' gwigwihił'ee giheelyaa. 
55:3:005:0	Gwik'injigiighit adagaa'įį gaa Vit'eegwijyąhchy'aa vat'aii haa goodrii zhit ch'ijuk t'igwinjii kwaa. Jii nąįį goots'į' adak'ǫǫntii. 
55:3:006:0	Goolat nąįį juu tr'injaa gwik'injiighit dhidlit nąįį zheh nideegiinjil ts'ą' goots'ą' k'eedeegwaadhat, googwitr'it gwiizųų gwiinli' ts'ą' gooyinji' t'aih kwaa geh'an khit tr'agwaanduu ninjich'agadhat ts'ą' tr'agwaanduu nihłehts'į' datthak t'asho'ya' giindhan. 
55:3:007:0	Jii tr'injaa nąįį khit gogoogwahaa'ee gwik'eegogwandaii gaa Vit'eegwijyąhchy'aa vihłi'deegwidlii ąįį agoogwaa'e' kwaa. 
55:3:008:0	Deenaadąį' gwanaa izhit gwik'it dinjii neekwaii Jannes, Jambres haa Moses ts'į' t'iginchy'aa. Ąįįts'ą' jii oots'it haa geech'ǫąąhtan nąįį chan gwik'it Łi'didlii ts'į' t'iginchy'aa, gooyinji' iizųų ts'ą' diigwik'iinjikhit akhagoonyąą. 
55:3:002:1	Jii Kwaii Jyaa Dini'in
55:3:009:0	Gaa ąįį nąįį duuyeh niighyuk gąhdal, juu nąįį datthak gwintł'oo tr'igwigwinjik goohaah'yaa geh'an, Jannes chan ts'ą' Jambres haa deegiizhik gwik'it. 
55:3:010:0	Gaa Timothy nan ąįį gwįhdaii gwizhit deeshi'ya' chan ts'ą' deeshi'in gwik'eegwįhdaii ts'ą' geech'ǫąąłchya'. Ąįįts'ą' dinjii nąįį eenjit ch'eet'igwiniindhan shi'įį, khit shaa gwiizųų dąį' gaa nihk'it akhagoiinyąą kwaa datthak gaanandaii. 
55:3:011:0	Zheegwaazhrąįį nasharąąhchįį ts'ą' gwintł'oo khaiinjich'ashagahthat dąį'. Antioch, Iconium ts'ą' Lystra kwaiik'it gwizhit gwinlęįį shats'ą' deegiizhik gaanandaii! Gaa K'eegwaadhat geenjit datthak shits'iinyą'. 
55:3:012:0	Juu Vit'eegwijyąhchy'aa chan ts'ą' Christ Jesus gwandaii datthak k'eegoołthat niindhan nąįį datthak khaiinjich'igiheedhat t'igwinyąą. 
55:3:013:0	Izhit gwiizhit dinjii iizųų chan ts'ą' yeek'ii'an geech'ǫąąhtan nąįį gwandaa giizųų giheelyaa, ąįį nąįį yeek'ii'an eegoohąąhchyaa ts'ą' geedan chan jidii eech'agǫąąhtan eenjit idik'iinjigiheeghit. 
55:3:014:0	Gaa nan ąįį ideenjit Łi'didlii gwik'iinjinghit geenaroahchya' akhagoiinyą' shrǫ', juu geenǫąąhchya' nąįį haanandaii. 
55:3:015:0	Ąįįts'ą' tr'iinin inlii dąį' gwats'an Vit'eegwijyąhchy'aa Viginjik Shroodiinyąą haanandaii ąįį ganandaii, ąįįt'ee ch'igwizhi' nintł'eehee'aa ts'ą' neenahahshii ąįįt'ee Christ Jesus k'iighai' gwik'iinjigwiighit tr'ii'įį. 
55:3:016:0	Dęhtły'aa Choh kat deegwinyąą t'ee Vit'eegwijyąhchy'aa vik'iighai' gwadanakhwatł'oo ts'ą' łi'didlii eech'aroohąąhchyaa eenjit łyaa dinjii gwiizųų t'ii'in dąį' jyaa dihee'yaa kwaa eenjit geegoorahahchyaa, ts'ą' dinjii gwiizųų vigwitr'it gwanlii dąį' nats'ahts'ą' gwinzii t'igihee'yaa eenjit jyaa goorahaanjyaa, Vit'eegwijyąhchy'aa nats'ąą gwaroondaii diinoonyąą eenjit chan geech'ǫąąhtan. 
55:3:017:0	Jyąhts'ą' gwik'it juu Vit'eegwijyąhchy'aa eenjit gwinzii gwitr'it t'agwah'in haa dinjii nąįį ts'iginyąą t'ee jidii tr'agwagwah'yaa eenjit t'eegąhchy'aa datthak gihee'yaa.
