55:2:001:1	Łi'didlii Haa Gwik'injiinghit
55:2:001:0	Nan chan shidinji' k'it t'anoihnyąą, ch'eegoonzhrįį zhit t'aih ni'įį ąįįt'ee diinantł'eeriin'ąįį, nijin Christ Jesus vaa t'oonchy'aa dąį'. 
55:2:002:1	Niveet'ah'in Nizįį K'eegwaadhat Eenjit Niveet'ah'in
55:2:002:0	Dinjii lęįį andah jidii geech'ǫąąłchya' kwaii datthak shįįtth'ak t'ee ch'izhii dinjii geech'ǫąąhchyaa haanandaii nąįį gwinzii gǫąąhtan. 
55:2:003:0	Christ viniveet'ah'in nizįį inlii k'it t'ini'in, ts'ą' shik'injinghit geh'an dinjii nąįį khaiinjich'anagahthat dąį' zhyaa gwąąh'in. 
55:2:003:1	K'eegwaadhat Eenjit Aagal
55:2:004:0	Niveet'ah'in ąįį nihłiriighan dhidii ts'ą' yats'ą' k'eedeegwaadhat ąįį shoo ołtsyaa gwizhrįh niindhan, ąįįts'ą' t'ee dizheh gwich'įį kwaa akwat geeghaih gwitr'it gwii'įį kwaa. 
55:2:004:1	K'eegwaadhat Eenjit Gwanzhįh Naahshii
55:2:005:0	Ąįįts'ą' chan, izhit gwik'it dinjii nihłeegalrahaajyaa gwitee aagal nilii, aagal dąį' ąįį deegwehee'yaa goo'aii gwinyąą gwik'it t'ii'in kwaa duuyeh crown tseh gaiiyiidaatsii. 
55:2:006:0	Dinjii gwąąhshii gwintł'oo dagwanzhih dehk'it eenjit gwitr'it t'agwah'ya' t'ee adan tr'ookit gwanzhįh ooheendal goo'aii. 
55:2:007:0	Jii gwandak eenaagwaldak gininjich'ahthat, K'eegwaadhat jidii datthak eenjit ganahandaii nahahtsyaa geenjit. 
55:2:008:0	Khit Jesus Christ vanandaii, diineenjit niindhat ąįįtł'ęę khakee'ąįį, yeenii dalak David ts'an deedhaa, Gwandak Nizįį zhit jyaa digwinyąą ąįį eech'oaałtan. 
55:2:009:0	Gwandak Nizįį eech'oołtan geh'an tee khaiinjich'ishighit, dinjii iizųų ihłii k'it ch'iitsii tły'ah shakat digiłchaa. Gaa Vit'eegwijyąhchy'aa viginjik ąįį ch'iitsii tły'ah haa dakhwachaa kwaa t'inchy'aa. 
55:2:010:0	Juu Vit'eegwijyąhchy'aa gwitee tr'agoovinlii nąįį eh'an khaiinjich'iighit geenjit jidii datthak nihk'it t'ishi'in, geedan chan Christ Jesus k'iighai' neegoohahshii gooheendal eenjit ąįįts'ą' yeendaa datthak vich'eegwąhndit zhit gwigweheendaii. 
55:2:011:0	Jii t'ee łyaa t'igwinyąą.“Vaa niriindhat ji',Vaa gwireheendaii gwizhrįh goo'aii. 
55:2:012:0	Veenjit khaiinjich'iriighit gaa nihk'it akhagaroonyąą kwaa ji',vaa khaihkwaii tr'iheelyaa.Vaagwiindaii kwaa gwinyąą ji',adan chan diihaandaii kwaa heenjyaa. 
55:2:005:1	Dinjii Gwitr'it T'agwah'in Ąįį Vit'eegwijyąhchy'aa Gwinzii Yeeginkhii
55:2:013:0	Gwik'iinjireheeghit kwaa ji' gaanihk'it Vit'eegwijyąhchy'aa deeshi'yaa nyąą chy'aa gwik'it t'ihee'yaa,ideenjit oots'it kwaa t'inchy'aa.” 
55:2:014:0	Ginkhii, juu nitr'igiinkhii zheh nineedal nąįį jii kwaii datthak eenjit khit gineegovąhdaii, Vit'eegwijyąhchy'aa vandah deegwinyąą t'igwinyąą geenjit nihzheedǫǫ'ee shrǫ' goovaiinyąą. Jyaa digwinyąą dąį' gwinzii gwarahtsii kwaa ts'ą' zhit juu ch'oołk'įį nąįį teegiheedaa t'oonchy'aa. 
55:2:015:0	Łyaa nat'aii datthak haa Vit'eegwijyąhchy'aa vik'eegwąhthat ji' jyaa nahaanjyaa, “Łyaa gwinzii t'inizhik.” Jyąhts'ą' t'ee gwinzii nigwitr'it gweheelyaa ts'ą' ga'oozhii hahłyaa kwaa. Gwinzii Vit'eegwijyąhchy'aa Viginjik łi'didlii eech'ǫąąhtan. 
55:2:016:0	Vit'eegwijyąhchy'aa vats'an t'inchy'aa kwaa kwaii eegoohkhyaa shrǫ' akwat zhyaa geenjit gwakwaa chan veegohkhyaa shrǫ'. Ąįį kwaii t'ee dinjii nąįį Vit'eegwijyąhchy'aa ts'į' teehilii. 
55:2:017:0	Jyąhts'ą' geech'agoahtan dąį' diitthąį' kat łit a'aa k'it t'oonchy'aa. Ąįįt'ee dinjii neekwaii Hymenaeus chan ts'ą' Philetus haa jyąhts'ą' geech'agǫąąhtan. 
55:2:018:0	Vit'eegwijyąhchy'aa Viginjik łi'didlii ąįį k'eegogwahthat kwaa, ts'ą' gwik'injiighit niindhat nąįį khakigaazhii ąįį chan jyaa dineegweheenjyaa kwaa ginyąą ts'ą' gwik'iinjiighit nąįį gwigwiitth'ak dąį' goolat nąįį gwintsal gwik'iinjigiighit kwaa giłtsąįį. 
55:2:019:0	Jidii Vit'eegwijyąhchy'aa diineenjit gwiłtsąįį duuyeh dits'į' neegǫǫnjii. Ąįįts'ą' jii kwaii vakat danahootł'oo: “K'eegwaadhat juu nąįį yaaniilzhii gaandaii. Ts'ą' juu K'eegwaadhat vaanihthat nyąą chan digwitr'it gwiizųų datthak akhagooheenjyaa gwizhrįh goo'aii.” 
55:2:020:0	Jii k'it t'oonchy'aa, zheh gwachoo gwizhit k'ik, tyah haa nihłehts'į' daazhyaa gwanlii. Valat kwaii Silver akwat Gold haa iltsąįį, valak kwaii chan traa ts'ą' łųhch'ant'ak (clay) haa iltsąįį. Valat kwaii drin gwiteegwąąnchy'aa vit'eegwaahchy'aa ts'ą' gold ts'ą' silver kwaii geetee gwizhrįh vit'eegwaahchy'aa. 
55:2:021:0	Izhit gwik'it, juu tr'agwaanduu gwitr'it t'agwah'in gwits'į' adak'ąąntii ji' adan chan geetee hee gwitr'it gwinzii eenjit vit'eegwahahchy'aa, gwiizųų t'ii'in akhagoonyąą ji' gwizhrįh K'eegwaadhat gwitr'it gwinzii datthak eenjit yit'eehaahchy'aa. 
55:2:022:0	K'eejit nąįį tr'agwaanduu t'ahǫǫ'ya' nohthan ąįį gwik'it nakhwagwitr'it gooli' shrǫ', gaa khit Vit'eegwijyąhchy'aa vaa gwinzii hohaa, gwik'iinjuhkhit, nakhwashroonchy'aa, tsinehdan ohlii. Ąįį juu łi'didlii ts'ą' shroodiinyąą haa K'eegwaadhat haagoondaii giindhan nąįį haa gwik'it t'akhwa'in. 
55:2:023:0	Tr'agǫhjik ky'aa nihłaa gohkhyaa shrǫ', ąįį ji' t'ee nihzheedagahaa'ee gaanandaii. 
55:2:024:0	K'eegwaadhat vitsyaa ch'izheedagahaa'aa kwaa goo'aii. Juu nąįį datthak ts'ą' giheezyaa goo'aii, gwik'igahaandal gwats'ą' datthak gwinzii geegoovohtan, 
55:2:025:0	ts'ą' ch'eeshroonchy'aa haa juu nats'ąįį nadhat nąįį gaa gǫąąhtan. Ąįį nąįį Vit'eegwijyąhchy'aa vik'iighai' datr'agogwaanduu akhagagooheenjyaa ts'ą' jii geenjit viginjik łi'didlii t'inchy'aa gwik'igahaandal. 
55:2:026:0	Ąįį nąįį Ch'anky'aa Tr'aanduu deegavoh'ya' gavoonyąą datthak gwik'it t'igii'in gaa vigyah zhit gaa tr'ineegii'al dąį' t'ee gwinzii ninjich'agadhat neegiili'.
