18:29:001:1	Job éí bił hózhǫ́ǫgo hináá nít'é'ígíí yénáálnii'
18:29:001:0	T'ah nááyówehgo Job t'ááłáhígi át'éego yááłtihgo ání, 
18:29:002:0	Diyin God shaa áhályą́ągo shíiníłką́ yę́ędą́ą́'ánísht'é yę́ęgi ánísht'ée laanaa. 
18:29:003:0	Diyin God bibee hool'iní bee shitsiits'iin bik'i'diidíingochahałheeł bii' yishááłdą́ą́' bibee adinídíinii bik'ehgo níyá, 
18:29:004:0	ániid naasháádą́ą́' Diyin Godk'é shó'níigo shiníbaal yaa áhályą́ą́dą́ą́', 
18:29:005:0	Aláahgo Ayóó'ábóodziilii t'ahdii shił hólǫ́ yę́ędą́ą́',sha'áłchíní shinaagóó t'ahdii nidaakai yę́ędą́ą́', 
18:29:006:0	t'áá ałtsoní bee áda'azįįdgo hinishná yę́ędą́ą́',tsé nidi biyi'dę́ę́' ak'ah shá hadaazlį́į́dą́ą́', 
18:29:007:0	kin haal'áago dáń'dítį́įhjį' náshdááh yę́ędą́ą́'ákwii dah náníshdaah yę́ędą́ą́' ánísht'é yę́ęgi ánísht'ée laanaa; 
18:29:008:0	dinééh dashiiłtséehgo shits'ąą nínádadit'į́į́h nít'éé',hadaastihii bił nishłį́įgo nídeidzįįhgo t'áá naazį́į łeh nít'éé'. 
18:29:009:0	Naat'áanii danilíinii dadidoołhiłgobizéé' dádadilnih nít'éé'. 
18:29:010:0	Ge', jidííniid nahalingo aląąjį' naazíinii t'óó dadéesyéél nít'éé'áádóó doo hada'atahee naazį́į łeh nít'éé'. 
18:29:011:0	Diné dashidiits'į́įhgo shaa dahaniih nít'éé';diné dashiiłtséehgo yá'át'éehgo shaa yádaałti' łeh nít'éé', 
18:29:012:0	háálá diné bahojoobá'ígíí daacha yę́ęínda áłchíní bizhé'é ádingo t'áadoo bíká oolyeedí da yę́ę yisdáhóójaa'. 
18:29:013:0	Diné k'adę́ę daatsaahii bee shaa hodoo'nihii bee shik'ihodzisdli'áádóó asdzání bąąh áhásdįįdii bijéí bił hózhǫ́ǫgo hataałgo áshłaa. 
18:29:014:0	T'áá ákogi át'éii ák'ísísti'go t'áá ákogi át'ééjí éé' bee hashi'diilyaa;doo haa dayit'éii bee hadiish'éé' índa shitsii' názt'i' nít'éé'. 
18:29:015:0	Diné doo da'oo'íinii bá anáá' nishłį́į́ nít'éé',índa diné doo nidaakaii bá ajáád nishłį́į́ nít'éé'. 
18:29:016:0	Diné badahojoobá'ígíí bizhé'é nishłį́į́ nít'éé';diné doo bééhasinii bee bik'éhát'áahii bá naashkaah nít'éé'. 
18:29:017:0	Diné doo yá'ádaashóonii dabiyaats'iin k'íshtihgodayótsa'ii bizéé' hááháshtł'iid nít'éé'. 
18:29:018:0	Kódíshníí nít'éé', T'áá shighandi dadeestsaałínda séí ayóó ánéelą́'ígi át'éego t'óó ahayóí shiidoołkááł. 
18:29:019:0	Shehétł'óól táyi'jigo taah noolzhee'índa tł'éé' bíighah shits'áoz'a' dahtoo' daabąąh łeh. 
18:29:020:0	Bee ił nishłíinii t'áá áłahjį' ániidí náádleeł,áádóó she'ałtį́į́' ałdó' áłahjį' ániidí náádleeł. 
18:29:021:0	Diné dashíists'ą́ą'ii shiba' ádaat'éegonabik'íyáshti'go dadéesxéél nít'éé'. 
18:29:022:0	Haasdzihgo doo shich'į' hanádziihí da nít'éé';shizaad dahak'ijį' naałtin nít'éé'. 
18:29:023:0	Níłtsą́ biba' nidzíiztą́ nahalingo shiba' nidaháaztą́ą łeh nít'éé';níłtsą́ nidayólí nahalingo yídin ádaanéehgo k'adę́ę dashidiits'į́įh łeh nít'éé'. 
18:29:024:0	Doo dashijoodlą́ą́góó t'óó hach'į' yishdloh łeh nít'éé';shił hózhǫ́ neeshningo doo shąąh nidahwiiłkaad da nít'éé'. 
18:29:025:0	Dajíkáah dooleełgóó há nidahidish'aahgo agháago naat'áaniigi át'éego dah sédáa łeh nít'éé';aláahgo naat'áanii bisiláo yitahgi kééhat'į́ nahalingo kééhasht'į́į́ nít'éé';yínííł danilį́įgo atínídadindleehii hayi'iyoołníihii nahonishłingo kééhasht'į́į́ nít'éé'.
