18:19:001:1	Job éí Diyin God bich'ą́ą́h adoogáałgo yoodlą́
18:19:001:0	Áádóó Job ánááhodoo'niidgo ání, 
18:19:002:0	Haa nízáágóó lá hinishnánígíí dadohłáashgosaad shik'ijį' dahidoołtáahgo shaa nídaaht'į́į doo? 
18:19:003:0	Neeznáadi la' t'óó shaa yáhásinígi át'éego shá hadasoohdzíí';doo nihił baa yádahasingóó doo shéédahonohsingóó yee' ída'doołyaa. 
18:19:004:0	Azhą́ t'áá aaníí asésiih lá nidi,éí t'áá adííghahígo yee' asésiih. 
18:19:005:0	Áko k'ad t'áá aaníí shich'į' ayóó ádanoht'éego áda'doołyaagoáádóó bee shich'į' nahwii'nánígíí bee shik'ijį' yádaołti'go 
18:19:006:0	díí baa ákodanohsįįh; Diyin God yee' nahjį' kóshiilaagoínda tł'óół naneesdizí shinéineeshee'go át'é. 
18:19:007:0	Jó, doo yá'át'éhígi ádashiłní, nidi ła'da doo shá yiyíists'ą́'í da;saad hoséłį́į́' nidi doo shá baa náhát'į́į da. 
18:19:008:0	Yishááłgóó shidáahdi shich'ą́ą́h adeest'i'go doo bitis dósha' át'ée da.Yishááłgóó chahałheełgo áhoolaa. 
18:19:009:0	Bee shaa ha'niihii ałtso shąąh néíst'įįd;bee shéého'dílzinii shaa néidiidlá. 
18:19:010:0	T'áá ałtsodę́ę́' atíshiilaa, áko k'ad áníshdin;tsin sikaad nahjį' hajíítą́ nahalingo shił chohoo'íinii nahjį' kóyiilaa. 
18:19:011:0	Áádóó ałdó' shich'į' t'óó báhádzidgo báhóóchįįdgobi'ana'í la' nishłíįgo shaa nitsízkééz. 
18:19:012:0	Bisiláo yinéełii shich'į' yiyííł'aad. Łeeyi' da'deezgeedgo ách'ą́ą́h daní'áago ádayiilaa,áádóó shiníbaal yinaagóó nidahaazná. 
18:19:013:0	Shik'isóó danilíinii doo nádiiníghánígóó shits'éininíłkaad.Diné bił ahéédahasinii nidi doo shich'į' nidaakai da daazlį́į́'. 
18:19:014:0	Shik'éí danilíinii doo shaa daókááh át'ée daínda diné hánígo shik'is danilíinii shaa dayooznah. 
18:19:015:0	Shighangi naháaztánígíí áádóó asdzání shinaal'a'í éí dé'éyóní nishłį́įgo shaa nitsídaakeesínda dabinááł doo bidine'é nishłį́į da nahonishłin. 
18:19:016:0	Diné shá naal'a'í, Hágo, bidííniidgo néisiskan nidi,t'áadoo shich'į' haadzíi' da. 
18:19:017:0	She'asdzą́ą́ éí shiza' niłchxonígíí doo yiníłdzil da,áádóó shidine'é t'áá ła' bił háíjé'ígíí nidi, doo shit'áahjį' dadikáah da. 
18:19:018:0	T'áá aaníí, áłchíní éí dashi'į́,áádóó nídiishnahgo shik'ijį' yádaałti' łeh. 
18:19:019:0	Hánígo diné shik'is danilíinii dashi'į́,áádóó diné ayóó ádeínísh'níinii shik'ijį' daazlį́į́'. 
18:19:020:0	Shikágí éí shits'in bąąh ni'dibał,áádóó t'áá tídzí'ahída shik'i hooldoh. 
18:19:021:0	Shaa a'áhí danoohsįįh, shik'isóó danohłíinii, shaa a'áhí danoohsįįh,háálá Diyin God atíshiilaa. 
18:19:022:0	Ha'át'íí lá biniyé Diyin God atíshíł'ínígi át'éego atídashooł'į́,áádóó ánísht'éhígíí haniih doo nihił daasihgóó ádaaht'į́? 
18:19:023:0	Dooládó' saad bee yáshti'ígíí naaltsoos bikáá' ádaalyaa laanaa da!Dooládó' naaltsoos bii' bee ak'e'ashchį́įgo bee niit'ą́ą laanaa da! 
18:19:024:0	Áádóó béésh nitł'izii bee tsé binída'ak'aashgo béésh dilyį́hí ákóne' ahidólyį́įhgo bee shizaad tsé bikáá' noo'níiłgoshizaad tsé bik'i sinilgo ahóyéel'áa laanaa. 
18:19:025:0	Jó, shił bééhózingo nááshiisnii'ii hiná,áádóó niidoołkáałjį' ayííłką́ągo bí t'éí nihokáa'gi ahidíízį́į doo. 
18:19:026:0	Áko shikágí ałtso atélyaadóó bik'ijį'shits'íís bee Diyin God yideestsééł. 
18:19:027:0	T'áá shí hwiideestsééł;shináá' bee hwiideestsééł; t'áá háiida éí dooda. 
18:19:028:0	Ádadooniidgo, Haa léit'éego atídahodiilnííł lá?T'áá bitł'ááhdę́ę́' bich'į' nahwii'nánígíí nihił béédahoozin dashíínóh'níigo 
18:19:029:0	diltłish béédadoołdzííł, háálá yéego bibee atí'él'íinii éí diltłish yee atí'oolííł.Áko ánihwiit'aah baa hodoolzhishgo nihił béédahodoozįįł.
