18:1:001:1	Job hodísinígíí bóhoneestą́ą́'
18:1:001:0	Diné léi' Job wolyéego Uz kéyahdi kééhat'į́; éí diné t'áadoo bee bik'íhót'ahí da nít'éé' áádóó t'áá ákogi ááníiłii nilį́į́ nít'éé' índa Diyin God yidósin áádóó bąąhági át'éii yá doolnih nít'éé'. 
18:1:002:0	Éí haye'ké tsosts'id há neheezhchį́ áádóó hatsi'ké táá' há neheezhchį́. 
18:1:003:0	Hadibé tsosts'idi mííl áádóó haghą́ą́'ask'idii táadi mííl áádóó habéégashii ahąąh naazį́įgo nida'ałbąąsígíí ashdladi neeznádiin áádóó hatéliitsa'ii ashdladi neeznádiin índa há nidaal'a'í t'óó ahayóí, áko díí diné bidziilgo dah oolééł; haa'a'aahjigo diné kéédahat'ínígíí t'áá ałtso yiláahgo át'éé nít'éé'. 
18:1:004:0	Áádóó haye'ké bitah hoolzhishgo t'ááłá'í nítínígo baa náhwiilzhíishgo bighandi áńda'azįįh, áko dabilahkéí tált'éhígíí hoł da'dooyį́į́ł áádóó hoł deidoodlį́į́ł biniyé hágo nídeidi'niih nít'éé'. 
18:1:005:0	Áko áda'azįįd ałtso yaa ninákahgo Job háká aná'áł'aahgo dazhdiyingo ánáhool'įįh áádóó t'óó haiłkááhdą́ą́' náádii'nahgo t'áá ádzíłtso há didlidgo náádahaniihii nááyiiłnih nít'éé', háálá áńdí'niih, Shiye'ké daats'í ádił da'asiih índa bijéí tł'ááhdę́ę́' Diyin God dayódziih dó'óshłí. Job haye'ké bá náá'jiiłnihgo hoolzhish nít'éé'. 
18:1:006:0	Ákohgo diyingo nidaal'a'í danilíinii Bóhólníihii yidááhdóó ádéédahodoolzįįł biniyé yíkai bijį́į́ góne'; níłch'i bida'iiníziinii binanit'a'í Séítan wolyéii ałdó' atah níyá. 
18:1:007:0	Áádóó Bóhólníihii éí Séítan áyidííniid, Háádę́ę'shą' yínááł? Ákohgo Séítan éí Bóhólníihii áyidííniidgo ání, Nahasdzáán bikáá'góó táhodishłeeh áádóó nahasdzáán bikáá'góó háádiishdááh. 
18:1:008:0	Áko Bóhólníihii éí Séítan áyidííniid, Shá naal'a'í Job wolyéiísh baa ákoninizį́į́'? Nahasdzáán bikáá'góó t'áadoo ła' ákójít'éhí da; éí diné t'áadoo bee bik'íhót'ahíii nilį́ áádóó t'áá ákogi ááníiłii nilį́ áádóó Diyin God yidósin índa bąąhági át'éii yá doolnihii nilį́. 
18:1:009:0	Ákohgo Séítan éí Bóhólníihii ánéidoo'niid, Da' Job joolyéiísh t'áadoo nilínígóó Diyin God jidósin? 
18:1:010:0	Bí áádóó ba'áłchíní índa bee hólóonii t'áá ałtso da' éísh anít'i' yine' nidaadzi' dooleełii doo bá íinilaa da? Yinaashnishii bá bik'ijiisínídli' áádóó kéyahgóó binaalye'é k'ee'ąą deeshzhiizh. 
18:1:011:0	Nidi k'ad, bee hólóonii t'áá ałtso bidinílchíidgo tídílééh, áko t'áá ninii'jį' níídóodzih. 
18:1:012:0	Bóhólníihii éí Séítan áyidííniid, Jó, bee hólóonii t'áá ałtso bee nóhólnííh, nidi t'áá bí sizį́įgi t'ááká bidóólchííd yíila'. Áádóó Bóhólníihii yits'ą́ąjį' Séítan dah hodiile'. 
18:1:013:0	Áádóó łah Job biye'ké áádóó bitsi'ké danilíinii bínaaí alą́ąjį'ígíí bighan góne' da'ayą́ áádóó wáin deidlą́ą́ nít'éé', 
18:1:014:0	áko naal'a'í ła' Job yaa yílwodgo ání, Béégashii ahąąh naazį́įgo bee nidahojiildlaad nít'éé' áádóó télii éí hanaagóó nida'ałchozh nít'éé' 
18:1:015:0	índa Sabíyadóó dine'é bik'i dah yizhjée'go adeiniiskaad, áko, t'áá aaníí, nidaal'a'í ałtso diltłish bee nidabidiztseedgo t'áá shí t'éiyá yisdááshwodgo nił hashne'. 
