18:26:001:1	Job ání, Diyin God éí ayóó át'éego bóhólnííh
18:26:001:0	Áádóó Job ánááhodoo'niidgo ání, 
18:26:002:0	Diné dziil bee ádinii yee' bíká íínílwod lá!Diné doo bidziilii yee' yisdéíníłtį́į́ lá! 
18:26:003:0	Diné hódzą́ bee ádinii yee' kót'éego dooleeł bidííníniidáádóó lą'ígóó ił ééhózin bee bich'į' háínídzíí' lá! 
18:26:004:0	Háísh bíniik'ehgo kót'éego hahínídzíí'?Háíyee' nitsíniiłkeesgo kót'éego hahídziih? 
18:26:005:0	Dazneeznánígíí há haz'ą́ądi áádóó tónteel bii'dóó áadi dahojílóonii hatah dahoditłid. 
18:26:006:0	Diyin God éí ch'į́įdiitah doo bich'ą́ą́h hólónígóó yoo'į́áádóó hool'áágóó atí'éł'ínígíí t'áadoo bahat'aadí hólǫ́. 
18:26:007:0	Yádiłhił biyi'di sǫ' doo naaznilgi náhookǫs yiníłbaal;nahasdzáán t'áadoo bótą'ígóó dah yiz'ą́. 
18:26:008:0	T'áá bí k'os diłhił bii' tó háidiłbį́į́h,áko k'os biyaadę́ę́' doo bighádlaad da. 
18:26:009:0	Bibikáá'dóó nahat'áii yinées'į́į́'áádóó t'áá bí k'osígíí yik'ínéíłtih. 
18:26:010:0	Tónteel bikáá' názbąsgo hodeezooígíí bee adinídíín éí chahałheeł yił ałts'ánéi'nił. 
18:26:011:0	Yá'ąąshdi áyah danii'áii daditłidáádóó Diyin God biditehgo t'óó bił adahayói łeh. 
18:26:012:0	Bibee adziil bee tónteel hasht'éidoołt'eeł;yik'idi'yiitįįhígíí bee ádaa ha'niihii atíyiił'įįh. 
18:26:013:0	BiNíłch'i Diyinii yee yót'ááh hiníláii ayóó áhonóolningo áhoolaa;bibee adziil yee tł'iish nooltł'ishgo yi'nahii áyiilaa. 
18:26:014:0	Shoo, díí éí Diyin God át'éii t'įįhdígo yee' daah'į́;t'įįhdígo yee' baa dahodoohts'a'.Nidi bibee adziilii bee ii'ni' diits'a'ígíísh háí yik'idi'dootį́į́ł?
