18:30:001:1	Job hojooba' át'éhígíí yaa yínííł nilį́
18:30:001:0	Nidi k'ad diné shikéédę́ę́' nidaakaii t'óó shá nidahałt'i'go shaa daadloh;dabizhé'é yę́ę éí łééchąą'í bił shidibé yaa ádahalyą́ą dooleełgi nidi doo baa jóshłíi da nít'éé'. 
18:30:002:0	T'áá aaníí, éí hastóí yee dabidziilii bąąh nást'įįdiihaash yit'éego chonáánáosh'į́į doo? 
18:30:003:0	Badahojoobá'ígo áádóó dichin danilį́įgo nidahaasgango biniinaahiłiijį́įhgo doo naagháhígóó ałnáádaajahgo honoojíidi ch'il behétł'óól dei'aał nít'éé'. 
18:30:004:0	Haza'aleeh hadeigéedgo índa ch'il naazkaadígíí behétł'óól hadeigéedgo dabich'iyą' nít'éé'. 
18:30:005:0	Diné bits'ą́ą́dóó ch'ídahoniiłkaadáádóó ani'įįhii bízhdílwoshígi át'éego hódadilwosh nít'éé'. 
18:30:006:0	Tsé danít'i'góó dabiníkoohgóó áádóó da'a'áángóóínda tsé daa'áángóó t'éiyá kéédahojit'į́į́ nít'éé'. 
18:30:007:0	Ch'iltahgóó hadahas'áa łehínda ch'il hooshahii nitsaii biyaagóó ahínídeiikah nít'éé'. 
18:30:008:0	Diné doo dahóyáanii, t'áá aaníí doo béédaho'dílzinii ba'áłchíní dajílį́įgot'áadoo biniyéhígóó nidajikai nít'éé'; éí nahjį' kódaho'diilyaa. 
18:30:009:0	Áko k'ad ákódabi'diilyaaígíí éí shaa nidadi'a';t'áá aaníí t'áá ádzaagóó nidashózhi'. 
18:30:010:0	Shik'ee dadiniih; doo shit'áhíjį' ádaat'ée da,áádóó shinii' yik'ídadidoozhahgi doo yich'į' ni' danilį́į da. 
18:30:011:0	Diyin God éí doo shitah hwiináágóóáádóó ádaa hojiinishbá'ígo áshiilaaígíí biniinaa doo shíká dáátiid da. 
18:30:012:0	Shinish'náádę́ę'go ániid nidaakaii ná'néehgo dideeshgoh biniyéshijátah nídadiltałgo yaa nínáádiikah;yee atída'ał'íinii shininádayiidlééh. 
18:30:013:0	Yishááłgóó nidahwiiłchxǫǫh;shich'į' nidahwiiłnáa dooígíí yíká da'íłkeed;t'áadoo yóweh bidóne'é da. 
18:30:014:0	Na'adzi'gi tó hak'i ch'ízníłhaal nahalingo shik'ijį' dah náníjah.Bik'e'íyée'ii bee shich'į' áhooníiłgo shik'ijį' nídiikai. 
18:30:015:0	Bik'eda'íyée'ii shik'ééhoodleeh;deeyolígíí nahalingo shikéé' nahaakai;k'os yóó'eelzhóód nahalingo bee ánísht'éii yę́ę háájí shį́į́ silį́į́'. 
18:30:016:0	Áko k'ad t'áá kódíjį' shii' sizíinii bił shá nihonít'i' nahalin;shich'į' nahwii'náago shíídíiską́. 
18:30:017:0	Tł'ée'go shits'in shił náhoniiłgah;doo shił honók'e' át'éégóó shił nahonigaah. 
18:30:018:0	T'áá íiyisí doo shitah hóóts'íídgóó shi'éé' shínídeidiiłjah;shizáníghą́ą́ gónaa shídiilkad nahalingo shik'i naazdon. 
18:30:019:0	Diyin God éí nahodits'ǫ' ashiyííłhan,áko łeezh dibahí índa łeeshch'iih nahonishłin sélį́į́'. 
18:30:020:0	Nich'į' sodiszingo doo shich'į' ééhonísįįh da;néisdzįįhgo t'óó shiníníł'į́į łeh. 
18:30:021:0	Shí'íts'ih sínílį́į́';níla' ayóó ábóodziilii bee atíshíł'į́. 
18:30:022:0	Níyol nááshidiiłtéehgo shił yiyołgo ánáshiinil'įįh;ayóó át'éego níyolígíí yááshiiłgohgo nínáshidíł'oł. 
18:30:023:0	Jó, díí shił bééhózin: dadeestsaałjį' yee',éí nihokáá' dine'é t'áá ałtso bá nihonít'i'ii bá haz'ą́ąjį' áajį' kóshidíílííł. 
18:30:024:0	Azhą́ ła' hak'i hoołdáazgo, Shíká oołyeed, didooniił nidi,doo ła' bíká adidoolnihí da. 
18:30:025:0	Diné bich'į' nahwii'náago bíyoołkáałiísh t'áadoo baa yícha da?Índa baa dahojoobá'ígíísh t'áadoo baa yínííł niséyáa da? 
18:30:026:0	Yá'át'éehii bíká ánísht'éego jó, doo yá'át'éehii da shaa honíle';adinídíín bíká ánísht'éego t'óó chahałheeł hazlį́į́'. 
18:30:027:0	Shitsą́ habéézh nahalingo doo áhodiiszéeh da;ach'į' nahwii'ná bii' shíyoołkááł. 
18:30:028:0	Jį́honaa'éí éí doo shiishį́į' da, nidi yínííł ánísht'é;áłah ílį́įgi néisdzįįhgo shíká i'doolwoł biniyé ná'ooshkąąh łeh. 
18:30:029:0	Mą'ii bik'is sélį́į́',índa tsídiitsoh ástrich wolyéii bił naashdeeh. 
18:30:030:0	Shikágí éí deijį́į'go nahgóó ahit'ood;kǫ' hózhdínił nahalingo shits'in daneezgai. 
18:30:031:0	Tsin tł'óół bąąh daneelzhee'go bee nida'a'néii bee naashnéego yínííł jílį́įgo atínízhdindlehígi íits'a' nádleeh,áádóó tsin bee í'dílzoołí bee naashnéhígíí atínáhodindleehgo hwiinéé' dadiits'a'ígi ánáánéits'a' łeh.
