48:3:001:1	Jew dine'é bibee haz'áanii éí doodago daats'í oodlą́ bee a'ódlí
48:3:001:0	Galéíshiyadi oodlání danohłíinii, ha'át'íí lá yówééh át'éego doo ádahosoołyąąd da lá! Tsin ałnáoszid bąąhjį' Jesus Christ bił o'oolkaalígíí t'áadoo bahat'aadí nihinááł baa hóóne' nidi, háí lá nihíni' nideizgizgo na'nitin t'áá aaníinii doo bik'eh dahonoł'į́į da dasoolį́į́'? 
48:3:002:0	Haa'íshą' díí t'éiyá bínanihídídéeshkił: Da' Jew dine'é bibee haz'áanii bik'eh dahonoł'ínígíísh binahjį' Níłch'i Diyinii nihee dahazlį́į́', éí doodago hane' yá'át'éehii dadoohts'a'go deinohdlánígíísh binahjį' nihee dahazlį́į́'? 
48:3:003:0	Ha'át'íí lá yówééh át'éego doo ádahosoołyąąd da! Da' Níłch'i Diyinii bee nínáádanihi'dizhchį́įgo dahisidoonaadgo k'adísh éí bee haz'áanii bik'eh hól'į́ bee hadaałt'é ída'dołnééh lá? 
48:3:004:0	Łą́ą́góósh t'áadoo biniyéhígóó ti'dahwiisoonii'? T'áá aaníí t'áadoo biniyéhígóogo ákót'é! 
48:3:005:0	Éí bąą Diyin God éí Níłch'i Diyinii nihii' hólǫ́ǫgo ánihósinii, áádóó nihitahgóó álílee k'ehgo ádahooníiłii yaa naagháii éí bee haz'áanii bik'eh dahonoł'íinii daats'í yinahjį' át'į́? Éí doodago hane' yá'át'éehii dadoohts'a'go deinohdlánígíí daats'í yinahjį' át'į́? 
48:3:006:0	Éíbraham éí Diyin God joosdląąd, áko t'áá ákogi át'éii jílį́įgo há haadzíí'. 
48:3:007:0	Éí bąą díí baa ákodanoosįįh: diné éí Diyin God yaa dadzólíhígíí t'áá ałtso Éíbraham ba'áłchíní danilį́. 
48:3:008:0	Náás hoolzhishgóó doo Jew dine'é danilíinii bi'oodlą' bee ts'ídá t'áá ákogi át'éego Diyin God bá hadoodzihgo t'áá átséedi Diyin God bizaad bee ak'e'ashchíinii bee bééhoozin. Jó, t'áá átséedi Diyin God bizaad bee ak'e'ashchíinii biyi'dóó hane' yá'át'éehii bee Éíbraham yił hoolne'go kóní, Ał'ąą dine'é t'áá ałtso ninahjį' bik'ihozhdoodliił. 
48:3:009:0	Áko Éíbraham éí Diyin God yoosdląądgo bik'ihojidlíhígi át'éego Diyin God dayoodlánígíí t'áá ałtso bik'idahojidlí. 
48:3:010:0	Nidi bee haz'áanii Mózes baa deet'áanii bik'eh dahoniil'į́įgo t'éí bee yisdádahidiikah dajinínígíí éí atídahodi'doolníiłgo há ha'oodzíí'. Háálá Diyin God bizaad bee ak'e'ashchíinii kóní,Bee haz'áanii biyi' bee ak'e'ashchíinii t'áá ałtso doo bik'eh ádajít'éiiáádóó doo bik'eh ádajooníiłii atídahodi'doolníiłgo há ha'oodzíí'.  
48:3:011:0	Áko t'áadoo bahat'aadí bee haz'áanii yik'eh hół'íinii binahjį' diné doo ła'da ts'ídá t'áá ákogi át'éego Diyin God bá hadoodzih da, háálá Diyin God bizaad bee ak'e'ashchíinii ání, Ts'ídá t'áá ákogi ájít'éii hwe'oodlą' bee a'ódlí bee jiináa doo. 
48:3:012:0	Nidi bee haz'áanii éí oodlą́ doo yił ółta' da, háálá kóní, Bee haz'áanii bi'jił'íinii t'áá éí bee jiináa doo. 
48:3:013:0	Bee haz'áanii bee hóyée'jį' nihá ha'oodzíí' yę́ę bits'ą́ąjį' Christ náánihiisnii'go éí nihá ha'oodzíi'ii Christ bik'ijį' silį́į́', háálá Diyin God bizaad bee ak'e'ashchíinii ání, T'ááłá'í jinítínígo tsin bąąhjį' nijiyííłtínígíí hóyée'jį' há hada'iisdzíí'. 
48:3:002:1	Bee haz'áanii Diyin God éí Mózes yeidiní'áanii áádóó Diyin God biYe' doogáałgo yee haadzíi'ii
