48:2:001:1	Paul áádóó Jerúsalemdi da'oodlání yá naazíinii
48:2:001:0	Áádóó dį́į́'ts'áadah nááhaidóó bik'ijį' índa Jerúsalem góde Bárnabas bił náánísht'áázh, Táítas ałdó' bił niikai. 
48:2:002:0	Diyin God shił ííshją́ą́ áyiilaii bik'ehgo ákǫ́ǫ́ níyá. Áko doo Jew dine'é danilíinii bitahgóó hane' yá'át'éehii baa hashne'ii da'oodlání yá naazíinii bee bił dahweeshne'. Nidi doo Jew dine'é danilíinii bił nahosisne'ii doo t'áadoo biniyéhígóó baa niséyáa da áádóó baa nináánáshdáa dooleełii bił t'áá da'áko doo biniyé t'áá bí t'éiyá bił dahweeshne'. 
48:2:003:0	Táítas, bił naash'aashígíí éí Gríik dine'é nilį́į nidi, bąąh náhidínóolgish doo bi'doo'niid da, 
48:2:004:0	nít'éé' ła' diné ałk'isóó ádahodil'íinii t'áadoo baa ákodaniidzį́'í yah aheeskai lá. Éí Christ Jesus binahjį' nihá honídlee'ígíí hadeidoosił biniyé naalchí'í k'ehgo t'áá nahonit'inee yah aheeskai lá. Éí Jew dine'é bibee haz'áanii biyaa ninádíníidahgo binaalte' nídazhdoodleeł danihó'ní. 
48:2:005:0	Nidi aají t'áá aaníinii hane' yá'át'éehii baa hane'ii t'áá nihá náás yit'ih dooleeł biniyé t'óó kónízahíjį' nidi t'áadoo hak'eh dahosiil'įįd da. 
48:2:006:0	Aląąjį' naazíinii ádajit'į́ dahodi'nínígíí, (doo haash yit'éegoda haa nitséskees da, Diyin God doo ła' a'ohgo yaa nitsékees da, ) aląąjį' naazíinii dahodi'nínígíí t'áadoo ha'át'éhígoda shighą́ą́h dazh'deeshjée' da. 
48:2:007:0	Nidi Peter éí Jew dine'é danilíinii, bąąh nídahineeshgizhii bee dabi'dééji'ii, bich'į' hane' yá'át'éehii bee ha'ahoosdlíi'go hąąh niilyáhígíigi át'éego shí ałdó' doo Jew dine'é danilíinii, doo bąąh nídahineeshgizhii dabi'dééji'ii bich'į' hane' yá'át'éehii bee sha'ahoosdlíi'go shąąh niilyáhígíí hoł béédahoozingo 
48:2:008:0	(jó, Peter éí Diyin God bibee adziilii haidiní'ą́ągo bąąh nídahineeshgizhii bitahgóó nahojilne'go nijil'a' doo biniyé yich'į' hóół'aad, t'áá ákót'éego ałdó' shí, doo Jew dine'é danilíinii bitahgóó nahashne'go naash'a' doo biniyé yich'į' shííł'aad) 
48:2:009:0	áádóó James, Peter índa John, da'oodlání bá aląąjį' naazíinii dahodi'níinii, díí hoł béédahoozingo índa Diyin God naash'a'go áshiilaaígíí baa ákodazniizį́į'go, éí shí índa Bárnabas doo Jew dine'é danilíinii bich'į' diit'ash, áádóó hó t'éí bąąh nídahineeshgizhii bich'į' jidookah biniyé bee ahadadi'niit'ą́ągo ahił daniidlį́įgo bee ahíláłk'e dadeelnii'. 
48:2:002:1	Paul Ántiyakdi Peter yideezteh
48:2:010:0	T'áá hazhó'ó badahojoobá'íígíí t'éiyá béédajilniihgo baa nitsídadzikees doo danihó'ní, áko ts'ídá éidíígíí t'áá k'adę́ę bi'iishłaa.  
48:2:011:0	Áádóó nááhodideeshzhiizhí Peter Ántiyakdi jiníyáago, ákwii hach'į' niníyáago áhodííniid, Doo ákǫ́ǫ́ ánít'į́į da. Háálá t'áadoo bahat'aadí t'áá ííłdįįd hak'i hodiit'ą́ągo nijighá. 
48:2:012:0	Háálá diné ła' Jerúsalemdę́ę́' t'ah doo James yits'ą́ą́dóó yíkááh yę́ędą́ą́' da'oodlání doo Jew dine'é danilíinii bił nída'jidį́į́h nít'éé', nidi éí yíkaidóó bik'ijį' doo bił nída'jidį́įh da dzizlį́į'go t'óó bits'ánídzídzá, háálá, Da'oodlání t'áá ałtso Jew dine'é bibee haz'áanii bik'ehgo bąąh nídahidínóolgish, daanínígíí yíkai. 
