48:6:001:1	Nihide ádahoot'éego ahíłká anáhjah
48:6:001:0	Shik'isóó, diné ła' bąąhági át'į́įgo bééhoozingo, Níłch'i Diyinii k'ehgo ádanoht'éii, a'ohgo áda'díínółzingo hasht'e'ninádadoohdlóós. Ádaa ádahołyą́, nihí ałdó' nihídahodínóotahgoda át'é. 
48:6:002:0	Nihide ádahoot'éego ahíłká anáhjah, ákódaaht'į́įgo Christ yee has'áanii bida'oł'į́įgo át'é. 
48:6:003:0	Háálá diné t'áadoo nilíní da nidi ayóó ánísht'é nízinii, éí ádina'adlo'go át'é. 
48:6:004:0	Nidi diné t'ááłá'í jinítínígo baa nijigháii ádá hadazdoolził, áko yá'át'éehgo baa nijigháá ládą́ą́' éí baa hoł hózhǫ́ǫ doo. Diné náánáła' yaa naagháii éí t'áá bí bíni'dii yaa naaghá. 
48:6:005:0	Háálá diné t'ááłá'í jinítínígo bá ho'diilzį'ii t'ááłahodit'éhee bá nidzizį́į doo. 
48:6:006:0	Diyin God bizaad bee nahodi'nitinii éí nahonitinii áádóó t'áá ałtso bee jiináanii bił ałts'ą́ą́' ajíłk'iiz doo. 
48:6:007:0	Nihida'dódleeh lágo; Diyin God doo bá nahat'i' da. Diné t'áá ha'át'íhída k'izhdííláhígíí t'áá éí ałdó' áłah ázhdoolííł. 
48:6:008:0	Háálá t'áá háiida t'áá hó hats'íís yidánoolníinii k'izhdííláhígíí t'áá éí áhodoołdįįłii ádá shóizhdoołt'eeł, nidi Níłch'i Diyinii bá k'izhdííláhígíí éí Níłch'i Diyinii bits'ą́ą́dóó iiná doo ninít'i'ii ádá shóizhdoołt'eeł. 
48:6:009:0	Áko haa'íshą' yá'ádaat'éehii baa nideiikaígíí t'áadoo ádadadiidláhí doo, háálá doo áá dahosiit'įįdgóó, baa hoolzhiizhgo da'diigish. 
48:6:002:1	Na'nitinii áádóó saad bee k'é ha'níinii naaltsoos bee niilt'i'ii
48:6:010:0	Éí bąą ashja'ósingo haa'íshą' diné t'áá ałtso baa dajiiniiba'go nizhónígo bindeiilnish doo, Christ dayoodlání danilíinii íiyisí agháago bindeiilnish doo. 
48:6:011:0	Jó, t'áá shí shíla' bee nitsaago nihich'į' ak'e'ashchíhígíí baa ákodanoohsįįh! 
48:6:012:0	T'áá ats'íís k'ehgo nitsídaakeesii t'óó bee ch'íshidit'áah dooleeł danízingo nihąąh nídahidínóolgishjį' yídanihiniłkad. Éíyee' Christ tsin ałnáoszid bąąhjį' ti'hooznii'ígíí biniinaa doo atíshidi'doolníił da danízingo ádaat'į́. 
48:6:013:0	Azhą́ bąąh nídahineeshgizhii nidi t'áá bí bee haz'áanii doo t'áá ałtso yik'ehgóó ádaat'ée da, nidi biyaa soonilii binahjį' ádaa daha'niih doo biniyé nihąąh nídahidínóolgishjį' nihídaalná. 
48:6:014:0	Nidi ts'ídá doo ádaa hósh'niih át'ée da, t'áá hazhó'ó nihiBóhólníihii Jesus Christ tsin ałnáoszid bąąhjį' nihá daaztsánígíí t'éiyá bee ádaa hodeesh'nih. Jó, éí bee nihokáá' bił nidahazt'i'ii shits'ą́ą́' tsin ałnáoszid bąąhjį' shich'į' bił o'oolkaal, áádóó shí ałdó' nihokáá' bił nidahazt'i'ii bits'ą́ą́' tsin ałnáoszid bąąhjį' shił o'oolkaal. 
48:6:015:0	Ąąh náhinilgish t'áadoo nilíní da índa doo ąąh náhinilgish ałdó' t'áadoo nilíní da, nidi Christ bee diné ániidí ánályaii t'éí ts'ídá ílį́. 
48:6:016:0	Kót'éego dajiináanii t'áá ádzíłtso Diyin God éí Ízrel dine'é náyiizlá'ígi át'éego náhwiizláa'ii hach'į' hózhǫ́ náhodoodleeł, áádóó Diyin God haa jooba' doo! 
48:6:017:0	Kodóó náásgóó t'ááká diné ła'da shich'į' ninááhoyółnáá' lágo, háálá shikáá'góó daasidgo naasháhígíí bee Bóhólníihii Jesus bíí' nishłį́įgo bééhózin. 
48:6:018:0	Shik'isóó, nihiBóhólníihii Jesus Christ bibee ajooba' nihii' naazíinii yił dahólǫ́ǫ doo. T'áá ákót'ée doo.
