54:4:001:1	Warnings against False Teachers
54:4:001:0	Now the Holy Spirit tells us clearly that in the last times some will turn away from the true faith ; they will follow deceptive spirits and teachings that come from demons .
54:4:002:0	These people are hypocrites and liars , and their consciences are dead .
54:4:003:0	They will say it is wrong to be married and wrong to eat certain foods . But God created those foods to be eaten with thanks by faithful people who know the truth .
54:4:004:0	Since everything God created is good , we should not reject any of it but receive it with thanks .
54:4:002:1	A Good Servant of Christ Jesus
54:4:005:0	For we know it is made acceptable by the word of God and prayer .
54:4:006:0	If you explain these things to the brothers and sisters , Timothy , you will be a worthy servant of Christ Jesus , one who is nourished by the message of faith and the good teaching you have followed .
54:4:007:0	Do not waste time arguing over godless ideas and old wives ' tales . Instead , train yourself to be godly .
54:4:008:0	“ Physical training is good , but training for godliness is much better , promising benefits in this life and in the life to come . ”
54:4:009:0	This is a trustworthy saying , and everyone should accept it .
54:4:010:0	This is why we work hard and continue to struggle , for our hope is in the living God , who is the Savior of all people and particularly of all believers .
54:4:011:0	Teach these things and insist that everyone learn them .
54:4:012:0	Do n't let anyone think less of you because you are young . Be an example to all believers in what you say , in the way you live , in your love , your faith , and your purity .
54:4:013:0	Until I get there , focus on reading the Scriptures to the church , encouraging the believers , and teaching them .
54:4:014:0	Do not neglect the spiritual gift you received through the prophecy spoken over you when the elders of the church laid their hands on you .
54:4:015:0	Give your complete attention to these matters . Throw yourself into your tasks so that everyone will see your progress .
54:4:016:0	Keep a close watch on how you live and on your teaching . Stay true to what is right for the sake of your own salvation and the salvation of those who hear you .
