58:11:001:1	Hwe'oodlą' át'éii
58:11:001:0	Ha'át'íida t'áádóo nídí hodooleełgo bíká hoł chohoo'į́įgo baa nitsídzíkeesii éí hwe'oodlą' wolyé , éí doo daat'íinii t'áá aaníí dahólǫ́ǫgo bééhózínígo ííł'į́ .
58:11:002:0	Ałk'idą́ą́' hastóí yę́ę bida'oodlą' binahjį' Diyin God yá'át'éehgo bá hahaasdzíí' .
58:11:003:0	Hodeeyáadi Diyin God bizaad bik'ehgo yádiłhił biyi'di dahiníláii dahazlį́į́' , áko k'ad deiit'íinii éí t'áá ádindę́ę́' ádaalyaago nihe'oodlą' bee bik'idadi'yiitįįh .
58:11:004:0	Éíbel bi'oodlą' bee Diyin God yich'į' nááyiisnii'ígíí éí Kéin nááyiisnii'ígíí t'ah biláhígi át'éego t'áá nídoolyéełgo nááyiisnii' . Éí bee Diyin God ts'ídá t'áá ákogi ájít'é , níigo yee há haadzíí' , háálá Éíbel náádziisnii'ii Diyin God há bił yílįįd . Azhą́ dadziztsą́ą nidi hwe'oodlą' bee t'ahdii yájíłti' .
58:11:005:0	Íínak hwe'oodlą' bee éí doo dazdootsaał da biniyé dego aho'dooltį́ . Áko t'áadoo nááho'diiltsą́ą da , háálá Diyin God nááhodiiłtį́ . Háálá t'ah doo nááho'diilteeh yę́ędą́ą́' Diyin God yił hóshǫ́ ha'níigo há ha'oodzíí' .
58:11:006:0	T'áá háiida hwe'oodlą' t'áágééd éí Diyin God ts'ídá doo bił hojíshǫ́ǫ le' át'ée da . Háálá t'áá háiida Diyin God baa deeshááł jinízinígíí éí Diyin God hólǫ́ǫgo índa t'áá éí hádaat'íinii yik'ijidlí jinízingo ts'ídá joodlą́ą doo .
58:11:007:0	Nóah hwe'oodlą' bee éí ádahodooníiłii t'ah doo ádahanééhdą́ą́' Diyin God ho'níłnii' , áko hozdósingo ha'áłchíní yisdádookah biniyé tsinaa'eeł hasht'ejiilaa . Ákót'éego nihokáá' dine'é bá nihozhní'ą́ , áádóó t'áá ákogi át'éii hwe'oodlą' bee shójoost'e' .
58:11:008:0	Éíbraham hwe'oodlą' bee , Kéyah níí' dooleełii bich'į' dínááh , Diyin God hodííniid yę́ędą́ą́' bik'eh hojííł'įįd , áko jideeyáágóó doo hoł bééhózingóó dashdiiná .
58:11:009:0	Hwe'oodlą' bee kéyah haa deet'áanii t'ah doo hóó' yileeh da nidi bii'góó tázhdííná . Kéyah haa deet'áanii t'áá éí Áízak índa Jéíkab ałdó' bíí' dooleełgo baa deet'ą́ . Ákwii níbaal bii' bił kéédahojit'į́į́ nít'éé' .
58:11:010:0	Háálá kin bitł'ááh nída'astł'ingo haal'áii t'áá éí Diyin God yinahaz'ą́ągo áyiilaii nijólíí nít'éé' .
58:11:011:0	Azhą́ Sarah hadzistihgo ni'iichííh hąąh nást'įįd nidi hwe'oodlą' bee azdí'nóoltsąął biniyé hadziilgo áho'diilyaa , [ áádóó hwe'awéé' hazlį́į́'] háálá Diyin God yee nihoní'áanii yi'doolíiłgo baa ákozniizį́į́' .
58:11:012:0	Éí bąą diné t'ááłá'í sizínígíí éí hádą́ą́' shį́į́ daaztsą́ nahalin nidi bits'ą́ą́dóó ba'áłchíní náás da'ahideeshchį́ , éí yádiłhił biyi'di sǫ' t'óó ahayóigi ánéelą́ą'go índa tónteel bibąąhgóó séí doo jóołta'ígi ánéelą́ą'go ba'áłchíní náás da'ahideeshchį́ .
58:11:013:0	Éidíígíí t'áá ádzíłtso da'joosdląądgo Diyin God yee nihoní'áanii t'áadoo hwee dahaleehí dazneezná . Ákondi hwe'oodlą' bee hwee dahodooleełgo baa ákodazniizį́į'go baa hoł dahóózhǫǫd . Índa nihokáa'gi dé'éyóní áádóó , T'óó tádadinéehii daniidlį́ , dajiníigo ádá hadadziisdzíí' .
58:11:014:0	Diné ákót'éego yádaałti'ii kéyah yikáa'gi kéédahat'į́į dooleełii t'áadoo bahat'aadí hádaat'į́ .
58:11:015:0	Kéyah yits'ą́ą́dóó ch'íheeskaii t'áá yaa nitsídaakeesgo , éí yich'į' t'ą́ą́' nídoo'néełgi t'áá aaníí t'áá bá ashja'ósin nít'éé' .
58:11:016:0	Nidi kwe'é kót'é , kéyah t'ah aláhídi át'éii éí yá'ąąshdiígíí deinízin . Éí bąą Diyin God haDiyin God nilį́įgo bi'dójíigo éí doo yaa yánízin da , háálá éí t'áá áłdįįd kin haal'áago há hasht'eyiilaa .
58:11:017:0	Éíbraham hwe'oodlą' bee Diyin God hach'į' yee nihoní'áanii bik'ehgo hwe'oodlą' bééhodoozįįł biniyé haye' t'ááłá'í há yizhchínígíí Áízak náájiiłniihgo baa nízdiidzá .
58:11:018:0	Éí kót'éego bee ha'oodzíí' , Áízak bits'ą́ą́dóó na'áłchíní náás ahoolchíiłii bíká ádahodoo'niid .
58:11:019:0	Jó , Éíbraham kwíinízingo biye' yaa nitsízkééz , Diyin God éí daneeznáanii nidi néididoołjahgo yíneel'ą́ , nízin , áko daneeznáanii náábi'diiljé'ígi át'éego biye' da'aztsą́ą́dę́ę́' náábi'diilzá nahalingo bílák'e náátłizh .
58:11:020:0	Hwe'oodlą' bee Áízak éí Jéíkab índa Íísa náásgóó bik'ihozhdoodliił biniyé sozdoolzin .
58:11:021:0	Jéíkab są́ ho'niiłhį́įgo hagish ádíyashniil'áago hwe'oodlą' bee Jóseph biye'ké t'áá áłah bik'ihojidlíi doo biniyé t'áá ał'ąą bá sozdoolzin .
58:11:022:0	Jóseph t'ah doo daatsaahgóó bi'oodlą' bee Ízrel dine'é Ííjipdóó ch'éédoo'néełgi yee haadzíí' , áádóó bits'íís yóó'ádoolníiłgi yíneineestą́ą́' .
58:11:023:0	Mózes yizhchį́ yę́ędą́ą́' bishchíinii bi'oodlą' bee táá' nídeezidjį' be'awéé' néidees'į́į́' . Háálá awéé' t'áá íiyisí nizhónígo yiyiiłtsą́ , áádóó aláahgo naat'áanii yee has'áanii doo bik'ee bił yée' da .
58:11:024:0	Mózes tsíłkę́ę́h dzizlį́į'go hwe'oodlą' bee Féro bitsi' biyáázh ho'di'níi dooleełgi doo jiniizį́į' da .
58:11:025:0	Diyin God bidine'é doo ákǫ́ǫ́ ádabi'dil'ínígíí bitahjí jílį́į dooleełgo nizhdiní'ą́ , Féro bighandi t'óó kónígháníjį' nidi bąąhági át'éii ił honeełniígíí éí doo yiniizį́į' da .
58:11:026:0	Christ biniinaa ódziih bik'ee ti'hoo'nííhjígo nizhdiní'ą́ , éí Ííjipdóó naalye'é da'ílíinii biláahgo át'éego ílį́įgo baa tsízdeezkééz , háálá náasdi hwee hodooleełii bíká jidéez'į́į́' .
58:11:027:0	Mózes hwe'oodlą' bee aláahgo naat'áanii báháchį'ii doo bik'ee hoł yée' da , áko Diyin God doo yit'íinii joo'į́ nahalingo ha'jólníigo Ííjipdóó dashdiiyá .
58:11:028:0	Hwe'oodlą' bee atis'adeesdzá bee hozdeesá áádóó ch'é'étiingi tsin ałch'ishjí nihidii'áhígíí dił bik'íjíłtahgo bee nahodzisá . Alą́ąjį' nidahaazhchíinii neidoołtsiłii éí Ízrel dine'é biye'ké doo neidoołtsił da biniyé éí bee nahodzisá .
58:11:029:0	Ízrel dine'é bida'oodlą' bee t'áá hóółtseigóó ádaat'į́ nahalingo Tónteel Łichíí' wolyéego siyínígíí tsé'naajį' ha'naa niheezná , nidi Ííjip dine'é t'áá ákót'éego yídaneeztą́ą́' nít'éé' t'óó tó ábísdįįd .
58:11:030:0	Ízrel dine'é bida'oodlą' bee tsosts'id jį́ Jériko kin haal'á ditą́ągo binaa ahéé'ítł'inii binínájí'néehgo naa'ahineezkaad .
58:11:031:0	Réíhab , ałjiłnii nilíinii , bi'oodlą' bik'ehgo doo ak'eh dahół'íinii t'áadoo yitah daaztsą́ą da , háálá k'é nídzingo naalchi'í yah ayíí'eezh .
58:11:032:0	Ha'át'íishą' baa nááháshne' doo ? Gídiyan , Bérak , Sámson , Jéfthah , David , Sámuel , áádóó Diyin God yá dahalne'ii baa anááho'niishne'go t'áá bi'oh i'doo'ááł .
58:11:033:0	Éí bida'oodlą' bee aláahgo naat'áanii bił nahaz'ą́ yik'eh dadeesdlį́į́' , t'áá ákogi át'éego nidaashnish , yee nihwiiz'áanii bee dahazlį́į́' , náshdóítsoh bitsiijį' daditł'ooígíí t'áadoo dabooldéel da ,
58:11:034:0	kǫ' bits'áhonigahii t'áadoo adabideesk'ą́ą' da , tsiidétáán deeníinii nidi t'áadoo bídahidéé'náa' da , doo dabidziilii t'óó dabidziil daazlį́į́' , anaa' náhoodleełgi ayóó át'éii daazlį́į́' , índa da'ana'í bisiláo baa yóó'adahaazhjéé' .
58:11:035:0	Bida'oodlą' bee sáanii danilíinii bits'ą́ą́' ádaasdįįdii náádabi'diiljée'go baa nídahaas'nil . Náádaała' éí yá'ąąshdi iiná t'ah aláhígo yá'át'éehii bee dahinii'náa dooleełgo náádidiijah danízingo , níík'eh nihe'oodlą' bee nisiidzį́ danízingo biniinaa béédahididoochiłę́ę t'óó bił nidadziisghaal .
58:11:036:0	Ła' éí ánahat'i' áádóó ná'níltsxis , ła' béésh da'ahólzha'í bee dah dabi'diistł'ǫ́ǫgo awáalyaa góne' ti'dahooznii' .
58:11:037:0	Ła' bił nidadziisne' , ła' ahádabidiishch'iizh , [ ła' nabídahodi'neestą́ą́' , ] ła' diltłish bee nidaaztseed , ła' t'áá íiyisí badahojoobá'ígo bąą dibékágí índa tł'ízíkágí dabi'ée'go , atídabi'dil'į́įgo , doo ákǫ́ǫ́ ádabi'dil'į́į́góó tádadookai .
58:11:038:0	Nihokáá' dine'é éí kódabi'diilyaaígíí bił kéédahojit'į́įgo doo bą́ą́h da'jílį́į da ! Dahalgaigóó áádóó daadziłgóó nidaakaigo tsé daa'áán góne' índa da'a'áán góne' kéédahat'į́į́ nít'éé' .
58:11:039:0	T'áá ádzíłtso hweda'oodlą' bee yá'át'éehgo hwéédahoozin . Nidi Diyin God yee nihoní'áanii t'áadoo hwíí' daazlį́į' da ,
58:11:040:0	háálá Diyin God wónáasdi nihá yá'át'éehii yinahaz'ą́ągo bąą , éí t'áá nihídingo doo hadaałt'é ádahodi'doolníił da lá .
