58:3:001:1	Jesus éí Mózes yiláahdi át'é
58:3:001:0	Éí bąą shik'isóó , Diyin God bidiyį́į́' danohłíinii , yá'ąąshdę́ę́' atah nihíká áhodoo'niidii , Christ Jesus hazhó'ó baa nitsídaahkees , éí na'nitin woodláanii bihidiikaígíí yiniyé yil'aadii índa yá aláahgo náá'iiłniihii nilį́ .
58:3:002:0	Ízrel dine'é dajílíinii éí Mózes baa hodzódlíigo hwee ádíhólníihgo Diyin God bá honaalnish nít'é'ígi át'éego Jesus éí Diyin God nihoníłtį́įgo haa hodzódlíigo Diyin God bá nijilnish .
58:3:003:0	Diné kin ájíł'íinii éí kin biláahgo diné bił jílį́ . T'áá ákót'éego Jesus éí Mózes yiláahgo aa ha'niih yą́ą́h nilį́ .
58:3:004:0	Jó , kin t'ááłá'í ní'ánígo diné ła' ádayiilaa , nidi Diyin God éí t'áá ałtsoní áyiilaa .
58:3:005:0	Mózes éí Ízrel dine'é binjilnishgo haa hodzódlíí nít'éé' . Naal'a'í jílį́įgo náásgóó Diyin God yee hahidoodzihii baa hojilne' nít'éé' .
58:3:002:1	Háá'áyį́į́h Diyin God ba'áłchíní bá hólóonii
58:3:006:0	Nidi Christ , éí haa hodzódlíigo Diyin God biYe' jílį́įgo , Diyin God ba'áłchíní bee hóhólnííh . Jó , nihí t'áá nihoolzhiizhjį' Diyin God hwee nihił chodahoo'į́įgo haa dadzííníidlíigo bee chánah daniidlį́įgo ha'áłchíní daniidlį́ .
58:3:007:0	Háálá t'áá Níłch'i Diyinii ánínígi át'éego bik'ehgo ádanoht'é , Díí jį́ Diyin God biinéé' dadoohts'a'go ,
58:3:008:0	shą́ą́' , honoojíidi ałghadazhdit'ááh yę́ędą́ą́'áádóó Diyin God nabídazhnitaahgo yoołkááł yę́ędą́ą́' t'ą́ą́zh'neezhjéé' yę́ęgi át'éego t'áadoo nihijéí dantł'izí . Doo ak'eh dahojíł'į́į́góó biniinaa t'ą́ą́zh'neezhjéé' .
58:3:009:0	Áadi azhą́ dízdiin nááhaijį' shinaanish dayoo'į́į́ nít'éé' nididanihizhé'é yę́ę shíkada'iisxilgo nashídaneeztą́ą́' .
58:3:010:0	Éí bąą éí oochíiłii bich'į' doo shił hóózhǫǫdgóó ádííniid , Diné t'áá bí t'áá áłahjį' bijéí yee ádił nida'ílzííh , ánísht'éii doo bił béédahózin da nít'éé' .
58:3:011:0	Áko t'óó báhádzidgo até'ésh'íinii binahjį' ádee hadeesdzíi'go ádííniid , Háá'áyį́į́h bee hooł'a'ígíí ts'ídá doo biih dazhdookah da .
58:3:012:0	Ádaa ádahołyą́ , shik'isóó , doo ádaa ádahołyą́ą́góó nihijéí bii' doo yá'át'ééhgóó nitsídaahkees doo , índa doo da'iinohdlą́ą́góó biniinaa Diyin God hináanii bits'áhidoohkah .
58:3:013:0	Nidi bąąhági át'éii yee anó'áahii doo ła' nihidoołtł'isgo jé'áhodołkałgo ánihidoolíłígíí biniyé t'ah jį́ ha'nínídą́ą́' t'áá ákwíí jį́ ahidiniłnáago chánah áda'ahíínółzin .
58:3:014:0	Háálá átséedi da'iisiidląądgo t'áá nidasiildįįdjį' baa da'iisiidlí'ígíí yéego dayíníitą'go Christ bił da'ahííníitą' doo .
58:3:015:0	Diyin God bizaad bee ak'e'ashchíinii kóní : Díí jį́ Diyin God biinéé' dadoohts'a'goshą́ą́' diné doo ak'eh dahojíł'į́į́góó biniinaa t'ą́ą́zh'neezhjéé' yę́ęgi át'éegot'áadoo nihijéí dantł'izí .
58:3:016:0	Ła' éí Diyin God bizaad deidiizts'ą́ą' nidi doo yik'eh dahół'į́į́góó t'ą́ą́' neezhjéé' . Ííjipdę́ę́' Mózes ch'íiní'eezhii doo t'áá ałtso t'ą́ą́' neezhjée' da .
58:3:017:0	Háishą' dízdiin nááhaijį' Diyin God hach'į' doo bił hóózhǫǫd da ? Honoojíidi bąąhági ádajit'į́įgo biniinaa nahózdįįdii lą́ą !
58:3:018:0	Áádóó , Háá'áyį́į́h bee hooł'a'ígíí ts'ídá doo biih dazhdookah da , níigo háishą' Diyin God hach'į' ádee haadzíí' ? Doo bik'eh dahojííł'įįdii lą́ą ni !
58:3:019:0	Doo da'joodlánígíí biniinaa háá'áyį́į́h Diyin God yee hooł'a'ígíí biih dahizhdookahgo ts'ídá doo bídajíighahgóó nihił béédahoozin .
