58:12:001:1	Bóhólníihii éí ba'áłchíní t'áá hashkée neinitin
58:12:001:0	Jó , da'oo'íinii t'áadoo bee néelą́'ígóó nihinás'áhígíí biniinaa , haa'íshą' nihí nidanihiníłtł'aii áádóó t'áá ha'át'íhída haneetehee bee bąąhági ádeiit'į́įgo ánánihoodlíłígíí nahjį' kódadiilnííł . Áko haa'íshą' jáák'eh nihá hasht'ehoolyaaígi ts'ídá t'ááłáhígi ádeiit'į́įgo ha'ahóní bee deidiiltih .
58:12:002:0	Jesus nihe'oodlą' yinaayáii áádóó hasht'eyoolíiłii bich'į' dadíníit'į́į'go deidiiltih . Jesus éí bił hózhǫ́ǫ dooleełígíí biniyé yáhásin nilíinii doo yaa ná'áhodílt'į́į́góó tsin ałnáoszid bąąhjį' ha'ólníigo ti'hoo'nííh yik'óoyá , índa Diyin God bibikáá'dóó nahat'áii binish'náájígo dah neezdá .
58:12:003:0	Doo dadínóołnah da , índa doo nihąąh nidahodiyookałígíí biniyé Jesus baa nitsídaahkees . Éí bąąhági ádaaníiłii bináádiijahgo t'óó yich'į' ha'ólníí nít'éé' !
58:12:004:0	Bąąhági át'éii lá bich'į' nidaałdzil ni , nidi t'ah doo biniinaa nihidił dadinéeh da .
58:12:005:0	Azhé'é ba'áłchíní neinitinígi át'éego Diyin God nanihineeztą́ą'ii daats'í baa deisoonah . Shą́ą́' , Diyin God kóní : Shiye' nílíinii , Bóhólníihii t'áá hashkée yína'niłtinii t'áadoo doo níníziní . Índa nándiiteehgo t'áadoo nąąh nááháka'í .
58:12:006:0	Háálá Bóhólníihii éí ayóó'áyó'níinii t'áá hashkée neinitin , áádóó t'ááłá'í nítínígo biye' nidahaleehii néiniłtsxis .
58:12:007:0	Azhé'é nilíinii t'áá hashkée ba'áłchíní neinitinígi át'éego Diyin God éí yínanihiniłtin , áko éí bich'į' hada'íínółní . Háí a'áłchíní shį́įshą' bizhé'é doo t'áá hashkée nabinitin da ?
58:12:008:0	Azhé'é danilíinii biye'ké t'áá ałtso t'áá hashkée nideinitin , áko nihí Diyin God doo t'áá hashkée yínanihinitingóogo doo t'áá aaníí ba'áłchíní danohłį́į da , nidi t'óó wótashki'gi ádanoht'é .
58:12:009:0	Nihizhé'é danilíinii t'áá hashkée nidanihineeztą́ą́' , áko nihił danilį́į́ nít'éé' . Ákót'é bąą níłch'i k'ehgo aTaa' nilíinii ts'ídá agháago bik'eh dahoniil'į́įgo iiná t'áá aaníinii nihee hólǫ́ǫ doo .
58:12:010:0	Nihizhé'é dajílíinii t'óó kónígháníjį' t'áá hó daznízinígi át'éego t'áá hashkéego nidanihizneeztą́ą́' , nidi Diyin God diyingo yee át'éii bił ałts'ą́ą́' da'niilk'iiz doo biniyé t'áá bí t'éiyá nihá yá'át'éehii biniyé t'áá hashkée nanihinitin .
58:12:002:1	Diyin God yee nihaa joozba'ii bits'ą́ąjį' kódaahne' lágo
58:12:011:0	T'áá háiida t'áá hashkéego nahodi'nitinígíí bik'ee jishch'íi'go doo baa hoł hózhǫ́ǫ da łeh , nidi binahjį' óhojiił'ą́ą́' ládą́ą́' , wónáasdi t'áá ákogi ájít'éego hoł hózhǫ́ǫgo jiináa doo .
58:12:012:0	Éí bąą nihigaan t'óó nihąąh nidahaaznilii áádóó nihigodta' doo daniłdzil da daazlį́į'ii bidziilgo ánídaahdle' !
58:12:013:0	Áádóó k'éhézdongo deínóhkáahgo áda'dołne' , áko na'nilwodii doo t'óó tsé'édin ádooníił da , nidi yá'át'ééh nídadoodleeł .
58:12:014:0	Diné t'áá ałtso bił k'é da'ahidoh'níi dooleełígíí , áádóó diyingo dahinohnáa dooleełígíí bidadoołkaal . T'áá háiida doo ákójít'į́į́góó éí Bóhólníihii doo yizdoołtséeł da .
58:12:015:0	Áyąądą́ą́' diné t'áá háiida t'ááká Diyin God bibee ajooba' t'áadoo shóyoołt'eeh da lágo , baa dahonohsą́ą le' , índa ayi' nahodik'ǫǫsh bihétł'óól nihich'į' hodiyółnáałgo nohłą́'í nihółchǫǫh lágo .
58:12:016:0	Ła'da na'ageh doo yee tsi'naagháa da dooleeł , doodaii' Íísa doo hodísin da yę́ęgi át'éego t'ááká doo ádá dahodíínółzin da yíila' . Jó , éí átsé yizhchíinii jílį́įgo bee hóhólníih dooleeł yę́ę t'ááłáhídi oodą́'ígíí bee haa nahaaznii' .
58:12:017:0	Áádóó bik'ijį' bee ak'ihojidlíii shíí' nídoodleeł jiniizį́į'go jichago bíká ájíít'įįd nidi , t'áadoo hwíí' silį́į' dago nihił béédahózin . Háálá łahgo ánízhdoodlíiłii doo bohónéedzą́ą da .
58:12:018:0	Ha'át'íhída ts'íseego baa ákohwiinidzinii doo baa dahisoohkai da . Ízrel dine'é Dził Sáínai wolyéii yiyaajį' eekai yę́ędą́ą́' dził kǫ' bił shizhóodgo áádóó łid bee chahałheeł , índa t'óó báhádzidgo níyol ,
58:12:019:0	áádóó dilní ayóó íits'a'go diits'a' , índa iinéé' diists'ą́ą'go éí bizaad doo yee hanáádoodzihgóó Ízrel dine'é nída'ookąąh ,
58:12:020:0	háálá , Azhą́ naaldlooshii nidi dził yit'áahjį' iigháahgo bił nizdoolniił , níigo yee haadzíi'ii doo bídazhneel'ą́ą da .
58:12:021:0	Éí níl'į́įgo t'óó báhádzidígi át'éego bik'ee hóyée'go Mózes ání , T'áá íiyisí bik'ee shił yée'go shitah hoditłid .
58:12:022:0	Nidi nihí , Dził Záíyan wolyéii , áádóó Diyin God hináanii bikin haal'áii , éí yá'ąąshdi Jerúsalem hoolyéhígíí baa dahisoohkai . Áadi diyingo nidaal'a'í doo jóołta' ánéelą́ą' da .
58:12:023:0	Áádóó átsé nidahaazhchíinii yá'ąąshdi bízhi' ádaalyaago bił dahózhǫ́ǫgo áłah nilínígíí , áádóó Diyin God éí diné t'áá ałtso yaa nídóot'įįłii , índa diné ts'ídá t'áá ákogi ádaat'éii biníłch'i hadaałt'éii baa dahisoohkai .
58:12:024:0	Áádóó Jesus , bee aha'deet'áanii ániidíii yee ata' sizíinii , índa bidił ak'éstahii éí Éíbel bidił biláahdi át'éego ílį́įgo baa hane'ii baa dahisoohkai .
58:12:025:0	Nihich'į' yáłti'ii ts'ídá hazhó'ó deísínółts'ą́ą́' . Háálá nahasdzáán bikáa'gi Ízrel dine'é yich'į' yáłti' nít'ée'ii doo deiniizį́į́'góó bąą doo daadzíí'góogo , jó áko , nihí ałdó' yá'ąąshdę́ę́' nihich'į' yáłti'ii doo daniidzingóó éí t'ah yówehígo doo dadiidzih da !
58:12:026:0	Íídą́ą́' Diyin God haadzíi'go nahasdzáán nahaasnáá' , nidi k'ad kóníigo nihoní'ą́ , Náá'áłdó' ts'ídá t'ááłáhídi doo nahasdzáán t'éiyá da , nidi yádiłhił ałdó' nahideesh'náałgo dadeeshhał .
58:12:027:0	Díí saad , Ts'ídá t'áá náánáłáhídi , hodoo'niidígíí , jó , éí nahaasná'ígíí éí ádaalyaii t'éiyá nahjį' kódoolníiłgo ááhyiłní , doo hidólnááł ádaat'éhígíí t'éiyá t'áá dahólǫ́ǫ doo .
58:12:028:0	Éí bąą haa'íshą' aláahgo bee óhólníihgo bił haz'áanii niłdzilgo doo hizhdół'nááł át'éii nihee dahazlį́'ígíí baa ahééh daniidzin doo , áko haa'íshą' baa hasti'go dílzingo baa bił hózhǫ́ǫgo Diyin God bich'į' nidahwiidláa doo ,
58:12:029:0	háálá nihiDiyin God éí kǫ' ó'oołdįįłígi át'éii nilį́ .
