58:1:001:1	Diyin God biYe' yinahjį' haadzíí'
58:1:001:0	Ałk'idą́ą́' Diyin God éí bá dahalne'ii binahjį' danihizhé'é yę́ę lą'ídi índa lą'ígóó yich'į' hahaasdzíí' ,
58:1:002:0	nidi díí nihooghááh bich'į' yoołkáłígíí biyi' t'áá bí biYe' yee nihich'į' haadzíí' . T'áá ałtsoní hóó' dooleełgo nihoníłtį́ , t'áá hó ałdó' hwee yádiłhił biyi'di dah hiníláii áyiilaa .
58:1:002:1	Christ éí diyingo nidaal'a'í biláahdi ájít'é
58:1:003:0	T'áá hó Diyin God yee ayóó át'éii bee bits'ádi'nílíidii bee hats'ádi'nídíín , índa Diyin God át'éhígíí ts'ídá t'áá éí jílį́įgo , t'áá náhwiiz'ą́ą́ nít'éé' hazaad ayóó ábóodziilii bee hoogááł . Nihibąąhági át'éii nihąąh táádzízgizdóó bik'ijį' aghánáhóó'áadi Diyin God Ayóó'át'éii binish'náájígo dasneezdá .
58:1:004:0	Diyingo nidaal'a'í dabízhi' ayóó ádanoolninii biláahdi át'éii yízhí ayóó ánóolninii Diyin God haidiní'ą́ . Éigi át'éego diyingo nidaal'a'í biláahdi ájít'é dzizlį́į́' .
58:1:005:0	Háálá Diyin God éí diyingo nidaal'a'í doo ła' kwíidííniid da , ShiYe' nílį́ , díí jį́ nishchíinii sélį́į́' . Áádóó ałdó' , Hó haTaa' nishłį́į doo , áko hó t'éí shiYe' jílį́į doo .
58:1:006:0	Áádóó náá'áłdó' , Diyin God éí áłtsé yizhchíinii nahasdzáán yikáa'gi yiníł'a'dą́ą́' ání , Bíni'dii Diyin God bidiyingo nidaal'a'í t'áá ałtso bich'į' nidahałáa doo .
58:1:007:0	Diyin God éí diyingo nidaal'a'í kwííłní , Bidiyingo nidaal'a'í níłch'i danilį́įgo , índa bá nidaal'a'ii kǫ' dah nídadino'ii danilį́įgo ánáyoodlííł .
58:1:008:0	Nidi biYe' nilíinii éí kwííłní , Diyin God nílíinii , bikáá'dóó nahó'áii bikáá'dóó hóó'áałgo hool'áágóó ahóyéel'á , bee nóhólníihgo bił haz'áanii biyi' nóhólníihgo bee nééhózingo naat'á gish éí ts'ídá t'áá ákogi át'éego dah yítį́į́ł .
58:1:009:0	Ts'ídá t'áá ákogi é'ét'é ayóó'ííní'ní índa bąąhági át'éii éí jiiníłá , éí bąą Diyin God , niDiyin God nilíinii nándiiłtį́įgo ak'ah nik'i yayiiziidgobił da'ahíínítą'ii biláahdi át'éego nił hózhǫ́ǫgo ániilaa .
58:1:010:0	Áádóó Diyin God ánáádí'ní , Bóhólníihii nílíinii , ni lą́ą hodeeyáadi nahasdzáán nee niłdzil , índa níla' bee yót'ááh hiníláii binishínílnishii át'é .
58:1:011:0	Éí ádadoodįįł , nidi ni t'éí honílǫ́ ; éí t'áá ałtso éé' nahalingo hadadootih ,
58:1:012:0	beeldléí nahalingo dadíídis , áko łahgo ádadoonííł . Nidi ni t'éí t'ááłáhígi ánít'é , índa nee nináháháahii doo nidoot'ih da .
58:1:013:0	Diyin God éí bidiyingo nidaal'a'í doo ła' kwíidííniid da , Nida'ana'í bik'i dííníl'eezgo ániishłaajį'shinish'náájí dah sínídá .
58:1:014:0	Ákoshą' diyingo nidaal'a'í ha'át'íí danilį́ ? Jó , níłch'i danilį́įgo Diyin God yá nidaal'a' áádóó yisdá'iildééh hwíí' dadooleełii háká anájah doo biniyé adabi'diis'a' .
