58:13:001:1	Kót'éego Diyin God bił hojíshǫ́
58:13:001:0	Christ bee t'áá ła' haoojée'go ayóó'áda'ahíínóh'níi doo .
58:13:002:0	Dé'éyóní danilíinii nihaa nídaakahígíí bich'į' nihá ádahwiinít'į́'ígo nihił danilį́į dooleełígíí béédaałniih , háálá ła' ákódaat'į́įgo diyingo nidaal'a'í ádaat'į́įgo doo bił béédahózingóó yaa dajoozba' .
58:13:003:0	Awáalyaaí danilínígíí t'áá bił awáalyaaí danohłį́ nahalingo baa nitsídaahkees , áádóó ti'dahooníhígíí ałdó' bił ti'dahoohnííh nahalingo baa nitsídaahkees , háálá nihí ałdó' ats'íís bee dahinohná .
58:13:004:0	Bíni'dii t'áá ádzíłtso agééh hoł danilį́į le' , áádóó ahé'áské dílzin le' . Na'ageh bee tsi'nidajikaii , índa dazh'diléii éí Diyin God há nihodiyoo'ááł .
58:13:005:0	Béeso t'áadoo bíchą́deídółni'go dahinohnání , áádóó nihee dahólónígíí nihił daasih le' . Háálá Diyin God ání , Ts'ídá doo nihik'i dínéeshchéeł da ; ts'ídá doo yóó'anihidideesh'áał da .
58:13:006:0	Éí bąą t'áadoo yé'í ádadii'níi doo , Bóhólníihii shíká análwo'í nilį́ , doo násdzid da doo ! Dinéshą' haa dashizhdoolííł ?
58:13:007:0	Diné nihá naazį́į́ nít'ée'ii béédaałniih . Éí Diyin God bizaad yee nihił dahoolne' . Haash yit'éego dahináá nít'éé' índa haash yit'éego nida'iisdįįd éí nabik'ítsídaałkees , áko bida'oodlą' yę́ę bida'oł'į́į le' .
58:13:008:0	Jesus Christ éí adą́ą́dą́ą́' áádóó díí jį́ índa hool'áágóó t'ááłáhígi áyéet'éego ahool'á .
58:13:009:0	Ał'ąą át'éego índa doo bééhózingóó na'nitin danilíinii t'áadoo yóó'adanihinii'áhí . Diyin God bee ajooba' hwe'oodlą' bitsxe'go áyiił'įįhjí yá'át'ééh , t'áadoo le'é daadą́ągo bee nida'nitinii t'áadoo yá'át'éehgo hodahideezyįįd da .
58:13:010:0	Jew dine'é yá nááda'iiłniihii níbaal bii' hodílzinii biyi' nidaal'a'ígíí éí bikáá' náá'iiniihí nihee hólónígíí bikáa'gi nááhaaznii'ii deidooyį́įłgo doo bee bá haz'ą́ą da .
58:13:011:0	Naaldlooshii dabidił éí aláahgo náá'iiłniihii ádił ni'iidzííhjí nááhániihii át'éego aláahgo hodiyingo haz'ą́ą́ góne' yah iikáah łeh , nidi dabitsį' níbaal haal'áhídóó bits'áhwiiní'ą́ądi dadidlid łeh .
58:13:012:0	Éí bąą Jesus ałdó' t'áá bí bidił yee diné dadiyingo áyoolíił doo biniyé Jerúsalem kin haal'áhígíí bits'áhwiiní'ą́ądi ti'hooznii'go daaztsą́ .
58:13:013:0	Jesus baa yáhásingo nihá tibidi'yoosnii' , áko nihí ałdó' baa yáhásingo bá ti'hwiidii'nihgo níbaal haal'áhídóó bits'áhwiiní'ą́ą́góó bich'į' deíníikáah doo .
58:13:014:0	Háálá kwe'é hool'áágóó kin haal'áii doo bii' kéédahwiit'į́į da , nidi hool'áágóó kin haal'áii bii' kéédahwiit'į́į dooleełígíí bíká dadéet'į́į́' .
58:13:015:0	Éí bąą haa'íshą' Jesus bee Diyin God baa dahwii'niihígíí t'áá áłahjį' bich'į' náádahiilniih doo . Bízhi' deíníijíigo bee bich'į' ahééh daniidzingo ádee hadahidiidziihii bineest'ą' át'é .
58:13:016:0	Yá'át'éehgo ádadoohníłígíí índa nihee dahólóonii náádaała' bił ałts'ą́ą́' da'nołk'iiz dooleełígíí baa dayoohnééh lágo , háálá ákójít'ínígíí éí nááhániihii Diyin God yaa bił hózhónígíí át'é .
58:13:017:0	Nihá aląąjį' naazíinii bik'eh dahonoł'į́ áádóó bídahwíínółnííh . Háálá éí nihii' naazíinii t'áá áłahjį' nihá yik'i hada'ídées'į́į'go yee nihindaalnishígíí Diyin God yee yił nídahalne' . Bik'eh dahonoł'į́įgo bił dahózhǫ́ǫgo nihindaalnishgo yá'át'ééh , doodaii' doo bik'eh dahonoł'į́į́góó éí yínííł danilį́įgo t'áadoo nihá nídoodleełí da .
58:13:018:0	Nihá sodadołzin . T'áá ákwii ádeiit'ínígíí baa ákodaniidzingo , t'áá ałtsojį' yá'át'éehgo dahinii'náa dooleełgo laanaa daniidzin .
58:13:002:1	K'é ha'níigo bee naaltsoos niilt'i'ii
58:13:019:0	T'áá tsį́įłgo Diyin God nihich'į' nihééshidooł'aałígíí bíká sodadołzin doogo baa nánihooshkąąh .
58:13:020:0	Diyin God , bits'ą́ą́dóó ach'į' hózhǫ́ náhásdlį́į'ii' , éí nihiBóhólníihii Jesus daaztsą́ą́dę́ę́' néidiisá . Jesus , dibé yaa áhályáanii ayóó át'éii , bidił bee aha'deet'ą́ doo ninít'i'ii ályaa .
58:13:021:0	Diyin God íinízinii bik'ehgo ádaahníił doo biniyé hadaałt'é ánihidoolííł . Éí Jesus Christ biniit'aa nihii' naalnishgo bił hóshǫ́ǫ doo . Hool'áágóó ahóyéel'áágóó baa ha'niih doo . T'áá ákót'ée doo .
58:13:022:0	Shik'isóó , hada'íínółní , saad bee chánah ádanihishłe'ígíí deídóołts'įįłgo baa nánihooshkąąh , háálá t'áá áłts'íísígo nihich'į' ak'e'shéłchį́ .
58:13:023:0	Nihik'is Timothy bá hóóshdlee'ígo béédoochidígíí nihił ch'ínísh'aah . Éí t'áá tsį́įłgo shaa níyáá ládą́ą́' akǫ́ǫ́ bił deesh'ashgo danihiidiiltsééł .
58:13:024:0	Nihá aląąjį' naazíinii t'áá ałtso áádóó Diyin God bidiyį́į́' t'áá ałtso shá k'é dabijiniih . Ítalidę́ę́' danilíinii k'é danihiłní .
58:13:025:0	T'áá ánółtso Diyin God bibee ajooba' yee nihik'ijidlíi doo . T'áá ákót'ée doo .
