58:7:001:1	Náá'iiłniihii Melkízedek át'éhígi át'éii
58:7:001:0	Melkízedek , éí Séílemgi aláahgo naat'áanii jílį́įgo , Diyin God Aláahgo Ayóó'át'éii bináá'iiłniihii jílį́ . Éíbraham aláahgo naat'áanii danilíinii neistseedę́ę́' náádáałgo Melkízedek bidááh níyá áádóó bá sodoolzingo bik'ijisdli' .
58:7:002:0	Áko Éíbraham bi'ana'í danilį́į́ nít'ée'ii binaalye'é t'áá ałtso neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' Melkízedek yeinínil . Melkízedek éí átséhé góne' bízhi' bik'ehgo ts'ídá t'áá ákogi é'ét'ééjí aláahgo naat'áanii nilį́ jiníigo ájíní , áádóó Séílem aláahgo yinanit'a'í nilį́įgo éí hózhǫ́ǫ́jí naat'áanii jiníigo ájíní .
58:7:003:0	Bizhé'é áádóó bimá éí t'áadoo ła' yééhósiní da , dabizhé'é yę́ę nidi t'áadoo ła' yééhósiní da , áádóó hojideezlį́į'gi índa nááho'diilyáhígíí nidi doo bééhózin da . Diyin God biYe' hool'áágóó náá'iiłniihii nahojílin .
58:7:004:0	Jó áko , dooládó' ayóó át'éii jílį́į da lágo baa nitsídaahkees ! Éíbraham nihizhé'é nít'ée'ii éí bi'ana'í danilį́į́ nít'ée'ii binaalye'é neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' Melkízedek baazhdiní'ą́ .
58:7:005:0	Líívai dine'é ahoolchíiłii , náá'iiłniihii danilíinii éí diné bee dahólónígíí neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' baa dahajáah doogo bee bá nahaz'ą́ , éí bidine'é danilíinii ákódaadzaa , Éíbraham bits'ą́ą́dóó ahoolchíiłii nidi ákódaadzaa .
58:7:006:0	Azhą́ Melkízedek éí Líívai da'ahílchíhígíí doo bits'ą́ą́dóó jílį́į da nidi , Éíbraham éí t'áadoo le'é neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' haidiní'ą́ , áko Éíbraham éí Diyin God bich'į' haadzíi'go ádee hadoodzíi'ii bik'ijisdli' .
58:7:007:0	T'áadoo naaki nilíní aláahgo át'éii éí a'ohgo át'éii yik'ijidlíigo bééhózin .
58:7:008:0	Líívai dine'é ahoolchíiłii , éí t'áadoo le'é neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' bich'į' nidahalyéhígíí éí danoonééł , nidi t'áá Diyin God bizaad bee ak'e'ashchíinii ánínígi át'éego Melkízedek éí hináanii nilį́įgo bich'į' na'iilyé .
58:7:009:0	Ła'da nidi kódidooniiłgo haz'ą́ , éí t'áadoo le'é neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' Líívai bich'į' nahalyéé nít'éé' . Azhą́ ákót'ée nidi Éíbraham biniit'aa Melkízedek yich'į' na'nílá .
58:7:010:0	Háálá Éíbraham éí Melkízedek bidááh níyáádą́ą́' Líívai t'ah doo hojileeh da nidi Éíbraham bits'ą́ą́dóó hozhdooleeł .
58:7:011:0	Líívai dine'é nááda'iiłniihii danilį́įgo Diyin God yee has'áanii Ízrel dine'é yeidiní'ą́ . Líívai dine'é nááda'iiłniihii bee hadaałt'é yiidleełgo ha'át'íísh biniyé náá'iiłniihii ła' doo Éran át'éé nít'é'ígi át'éii , nidi Melkízedek át'éé nít'é'ígi át'éii hánáádeiit'į́į doo ?
58:7:012:0	Háálá nááda'iiłniihii ła' nináhá'níiłgo bee haz'áanii ałdó' łahgo ádoonííł .
58:7:013:0	Jesus , baa yádeiilti'ígíí , doo Líívai dine'é bitahdóó jílį́į da , nidi náánáła' dine'é bitahdóó jílį́ , áko éí dine'é bitahdóó ła' bikáá' náá'iiniihí si'ą́ągi t'áadoo náá'dziisnii' da .
58:7:014:0	Háálá nihiBóhólníihii t'áadoo bahat'aadí Júdah bits'ą́ą́dóó oochíiłii nilį́įgo bééhózin , áko éí dine'é danilínígíí bitahdóó náá'iiłniihii danilį́į dooleełgi Mózes t'áadoo yeiníst'įįd da .
58:7:015:0	Áko díidíígíí ts'ídá wózhǫ́ t'áadoo bahat'aadí nihileeh : Melkízedek náá'iiłniihii át'éé nít'é'ígi át'éii dzizlį́į́' .
58:7:016:0	Éí doo diné bibee haz'áanii bik'ehgo náá'iiłniihii dzizlį́į' da , nidi iiná doo óodįįh át'éii bibee adziilii bik'ehgo náá'iiłniihii dzizlį́į́' .
58:7:017:0	Háálá kót'éego baa hóóne' , Melkízedek náá'iiłniihii nilíinii bik'ehgo hool'áágóó náá'iiłniihii nílį́ .
58:7:018:0	Jó , átséédą́ą́' bee haz'áanii doo bidziil da áádóó doo choo'ínígíí biniinaa nahjį' kólyaa .
58:7:019:0	Bee haz'áanii t'áadoo ha'át'íhída hadaałt'éego áyiilaa da . Áko k'ad bee haz'áanii biláahgo át'éii bíká nihił chohoo'íinii yee nihá haadzíí' . Éí bee Diyin God baa hiikááh .
