63:1:001:1	K'é ha'níinii
63:1:001:0	Da'oodlání yá aląąjį' sizíinii nishłį́įgo, asdzání éí Diyin God ats'ábiníłtíinii ba'áłchíní t'áá bił t'áá aaníinii binahjį' ayóó'óósh'níinii bich'į' naaltsoos áshłééh. Doo t'áá shí t'éiyá ayóó'ádanihósh'níi da, nidi t'áá aaníinii bił béédahózinii ałdó' t'áá ałtso ayóó'ádanihó'ní, 
63:1:002:0	háálá t'áá aaníinii nihii' dahólǫ́, áádóó hool'áágóó nihił hólǫ́ǫ dooleeł. 
63:1:002:1	T'áá aaníinii índa ayóó'ó'ó'ní
63:1:003:0	T'áá aaníinii índa ayóó'ó'ó'níinii bik'ehgo Diyin God aTaa' nilíinii índa Bóhólníihii Jesus Christ t'áá aTaa' biYe' nilíinii bibee ajooba' áádóó bibee aa a'ááh hasinii índa bibee ach'į' hózhǫ́ náhásdlį́į'ii yee nihik'ijidlíi doo. 
63:1:004:0	T'áá Diyin God aTaa' nilíinii bibik'eh ó'oo'níiłii yee nihá has'ánígi át'éego na'áłchíní ła' t'áá aaníinii yik'ehgo dayíkáahgo shił bééhoozinígíí t'áá íiyisí baa shił hózhǫ́. 
63:1:005:0	Áko lą́ą, shilah, bik'eh ó'oo'níiłii ániidíii doo bee nich'į' ak'e'ashchíi da, nidi da'iisiidląąd yę́ędóó bik'eh ó'oo'níiłii nihee dahazlį́'ígíí, t'áá éí bik'ehgo ayóó'áda'ahííníi'níi dooleełígíí baa nánooshkąąh. 
63:1:006:0	Ayóó'ó'ó'ní bee nił hashne'ígíí éí Diyin God bibik'eh ó'oo'níiłii t'áá át'é ts'ídá bik'eh dahoniil'į́į dooleełii ááhdishní. Bik'eh ó'oo'níiłii, Ayóó'áda'ahíínóh'ní, nínígíí éí hane' yá'át'éehii baa adaho'niine' yę́ędą́ą́' dasidoots'ą́ą́', éí bik'eh deínóhkááh. 
63:1:007:0	Doo t'áá aaníígóó nida'nitinii t'óó ahayóí nihokáá'góó deíkááh. Éí, Jesus Christ diné silį́į'go bi'dizhchį́, doo daaníígóó nida'nitin. Ákójíníigo nazh'nitinígíí éí bina'adlo'ii jílį́įgo Christ bi'ana'í jílį́. 
63:1:008:0	Éí bąą ádaa ádahołyą́, bee nidanihineetą́ą'ii t'áá ádzaaí ádaohłe' lágo, áko nihich'į' nidahidoolyéełii t'áá át'é nihich'į' nidahidoolyééł. 
63:1:009:0	T'áá háiida Christ bina'nitin doo bi'jósingóó, nidi t'áá biláahgo bee nazh'nitinígíí éí Diyin God doo hwii' hólǫ́ǫ da. T'áá háiida Christ bina'nitin bi'jósinígíí éí Diyin God aTaa' áádóó aYe' nilíinii hwii' hólǫ́. 
63:1:010:0	Christ bina'nitin doo yee na'nitinii nihaa níyáago t'áadoo niha'ałk'ee sidáhí doo, t'áadoo k'é deínóh'níní doo. 
63:1:003:1	K'é ha'níigo bee naaltsoos niilt'i'ii
63:1:011:0	Háálá k'é jó'níigo éí binaanish doo yá'át'éehii bił ałts'ą́ą́' ajíłk'iizgo át'é. 
63:1:012:0	T'óó ahayóígóó bee nihił hodeeshnihii hólǫ́, ákondi ak'e'ashchíigo éí doo bee nihił hodeeshnih da, nidi t'áá shí nihaa deesháałgo t'áá yíní át'éegi ahił nidahodiilnihígíí bíká shił chohoo'į́, áko nihíni' bíighahgo nihił dahózhǫ́ǫ doo. 
63:1:013:0	Nádí, Diyin God nábidiiłtíinii ba'áłchíní k'é daniłní. [T'áá ákót'ée doo.]
