17:7:001:1	Héíman yinahaz'áanii neeztł'ahgo t'áá bí dah bi'diidlo'
17:7:001:0	Áko aláahgo naat'áanii áádóó Héíman éí asdzą́ą́ naat'ááh Esther ída'íísįįdjį' yaa ní'áázh .
17:7:002:0	Áko naaki yiłkaah góne' ída'azįįdgi wáin yidlą́ągo aláahgo naat'áanii éí Esther ánéidoo'niid , Asdzą́ą́ naat'ááh Esther ha'át'íísh naa didoot'áałgo baa ná'iinikąąh ? Áko ha'át'íísh yíníkeed ? Aláahgo bee shóhólníihgo bił haz'áanii ałníí'dóó shííníkeedgo ná bohodoolnííł .
17:7:003:0	Ákohgo asdzą́ą́ naat'ááh Esther ánááhodoo'niid , Aláahgo naat'áanii nílíinii , bee ach'oha'néenii bee shaa nitsíníkees ládą́ą́' áádóó aláahgo naat'áanii bił yá'íít'ééh ládą́ą́' , bíni' she'iina' baa ná'iinishkąąh , shidine'é be'iina' bá ííníshkeed .
17:7:004:0	Jó , shí índa shidine'é nanihidi'dootsiłgo ánihidi'dooldįįł , áádóó nanihídoodįįł biniyé nidanihi'diiznii' . Diné danilíinii áádóó asdzání danilíinii naalte' biniyé nanihi'diiznii'go shí t'óó hasht'edinisht'ée doo nít'éé' , háálá nihí atínihi'diilyaaígíí éí aláahgo naat'áanii doo bída'iitį́įh da .
17:7:005:0	Ákohgo aláahgo naat'áanii Ahazawííras éí asdzą́ą́ naat'ááh Esther áyidííniid , Háísh át'į́ áádóó diné ákódooníiłgo tsídeezkézígíí háadishą' naaghá ?
17:7:006:0	Áko Esther ájíní , Díí Héíman doo yá'áshóonii nilį́įgo nihi'ana'í nilį́ . Ákohgo aláahgo naat'áanii índa asdzą́ą́ naat'ááh nilíinii binááł Héíman ayóó át'éego násdzííd .
17:7:007:0	Áko aláahgo naat'áanii éí báhóóchįįdgo wáin dajidlánídóó náhidiitahgo bighan binaagi hootso haz'ą́ą́ góne' ííyá , nidi Héíman éí Esther bich'į' hwe'iina' baa ná'iizhdookąął biniyé jiizį' , háálá aláahgo naat'áanii binahjį' doo yá'át'éehii bá ninázhnítłizhgo baa ákozniizį́į́' .
17:7:008:0	Áádóó aláahgo naat'áanii éí bighan binaagi hootso haz'ą́ą́dę́ę́' dah nídiidzáago wáin yoodlą́'ígi nádzá , áko Héíman éí Esther tsásk'eh yikáá' sitíníjį' naa'ajíítłizhgo aláahgo naat'áanii ádííniid , Da' t'áá shí shikin góne'ésh aláahgo naat'áanii be'asdzą́ą́ bił ninídeeł ? Aláahgo naat'áanii t'ahdii yáłti'go Héíman binii'jį' yik'ída'asti' .
17:7:009:0	Ákohgo naal'a'í ła' Harbóna éí aláahgo naat'áanii binááł ájíní , Shoo , Héíman bikingi tsin bąąh dah dahodi'yiidleehígíí tsosts'idiindóó ba'aan ashdla' ké silá áníłnéezgo áyiilaago nihidii'á . Éí Mórdiikai yá áyiilaa ; jó , éí yá'át'éehgo aláahgo naat'áanii yá haadzíí' nít'éé' . Ákohgo aláahgo naat'áanii ádííniidgo ání , Éí bąąh dahodoohłeeh .
17:7:010:0	Áko tsin bąąhjį' dah dahodi'yiidleehígíí Mórdiikai bá hasht'ejiilaaígíí bąąhjį' Héíman dahodiidlo' . Ákohgo aláahgo naat'áanii báhóóchįįdii bá náhoojǫǫd .
