17:1:001:1	Asdzą́ą́ naat'ááh Váshtai wolyéii éí aláahgo naat'áanii Ahazawííras doo yik'eh hóół'įįd da
17:1:001:0	Ákódzaago Ahazawííras bíyoołkááłdą́ą́' ( díí Ahazawííras nant'áago éí Índiya kéyahdóó Iithiyópiya kéyahjį' t'ááłáhídi neeznádiindóó ba'aan naadiin tsosts'idgo aláahgo bee ídahólníihgo bił nahaz'áanii bee bóhólnííh nít'éé' ) ,
17:1:002:0	éí yoołkááłdą́ą́' aláahgo naat'áanii Ahazawííras bibik'i dah asdáhí ayóó át'éii yikáá' dah sidáago , Shúshan kin haal'áagi bił haz'ą́ą́ nít'éé' .
17:1:003:0	Nant'áago táá' náhááh góne' hayaadóó aláahgo bídahólníihii áádóó hanaal'a'í danilíinii bá ída'jíísįįd ; Pérzha dine'é áádóó Míídiya dine'é bisiláo yindanit'a'í áádóó aghá dahideezíinii índa bee ídahólníihii bił nahaz'áanii binaat'áanii danilíinii t'áá ałtso haa áłah silį́į́' .
17:1:004:0	Ayóo ajit'į́įgo bee haa ha'niihii áádóó ts'ídá aláahgo bee hóhólníihii hólónígíí bá daníl'į́įgo t'óó ahayóí yiską́ ; t'áá éí neeznádiindóó ba'aan tseebídiin yiską́ .
17:1:005:0	Áko díí bíighah niiníłką́ągo Shúshan kin haal'áagi aláahgo naat'áanii bighan binaagóó hootsogo haz'ánígi aláahgo naat'áanii éí diné ayóó ádaat'éii índa ayáhígo ádaat'éii t'áá ałtso tsosts'id jį́ yá ída'asįįd .
17:1:006:0	Naak'ą' łigaii áádóó tátł'id nahalingo dootł'izhígíí índa yá nahalingo dootł'izhígíí ahéédaníbaal índa áłts'óózígo yisdizígíí łigaii dits'idgo ályaii áádóó tsídídééh nahalingo łichíi'go bee tł'óółts'ósí ályaa ; éí béésh łigaii nídaazbąsgo ádaalyaii bee dah dahidídlo' , áádóó tsé nitł'izii bídazdilidgo bee yada'iitł'ingo ádaalyaii , áádóó bik'i dah antéhé óola índa béésh łigaii bee ádaalyaa índa ni'góó sikaadii éí tsé dantł'izii dadilkǫǫhígíí , daalchíí' áádóó yá nahalingo dootł'izhígíí áádóó daalgaii índa daalzhinii , áádóó diichiłí ílíinii bee ályaa .
17:1:007:0	Óola bee adlání bee da'joodlą́ą́' ( éí óola bee adlání t'áá ał'ąą ádaat'éé nít'éé' ) , índa aláahgo naat'áanii bik'ehgo wáin bee ída'íízįįd .
17:1:008:0	Bee haz'áanii bik'ehgo t'éí da'jidlą́ą́ nít'éé' ; doo bóhodi'nilchéehgo ázhdoodlį́įł da , háálá aláahgo naat'áanii bee bóhólníihgo bił haz'ą́ągi diné t'ááłá'í nítínígo deinízinígíí bik'ehgo ádaat'į́į doogo yee haadzíí' .
17:1:009:0	Asdzą́ą́ naat'ááh Váshtai éí asdzání danilíinii yá ída'íísįįd . Éí aláahgo naat'áanii Ahazawííras bikin si'ą́ągi yaa na'azh'eezh .
17:1:010:0	Tsosts'id jį́ aleeh góne' aláahgo naat'áanii wáin bił honiiłdoigo bijéí bił nihoozhǫǫhgo díí yee haadzíí' : Miihóman , Bíztha , Harbóna , Bígtha , Abágtha , Zííthar índa Kárkas éí aláahgo naat'áanii Ahazawííras áhánígo tsosts'id yilt'éego bá nidaal'a'ígíí
17:1:011:0	éí asdzą́ą́ naat'ááh nilíinii naat'á ch'ah bich'ahgo aláahgo naat'áanii bidááhdóó bił nidazhdookah , áko bee yá'ájít'éehii éí diné danilíinii áádóó aláahgo bídahólníihii bich'į' ádééhozdoolzįįł , háálá asdzání baa dzólníinii jílį́ .
17:1:012:0	Nidi asdzą́ą́ naat'ááh Váshtai éí aláahgo naat' áanii bá nidaal'a'í yinahjį' yee haadzíi'ii bik'ehgo aláahgo naat'áanii yich'į' nidoogáłígíí doo yinízin da ; éí bąą aláahgo naat'áanii ayóo báhóóchįįd , áko báhóóchįįdígíí yee ádiniilchxii' .
17:1:013:0	Ákohgo aláahgo naat'áanii éí diné dahóyáanii dahwéelzhíísh bił béédahózinígíí yich'į' haadzíí' , ( jó , aláahgo naat'áanii éí bee haz'áanii áádóó ánihodiit'aah bił béédahózinii yił na'ak'íyádaałti' łeh ,
