17:2:001:1	Esther éí asdzą́ą́ naat'ááh ábi'diilyaa
17:2:001:0	Díí kódahóót'įįdóó bik'ijį' aláahgo naat'áanii Ahazawííras báhóóchįįdígíí bił hasht'ehodíít'e'go Váshtai áádóó áát'įįdígíí índa bee haz'áanii bee bihodiikaalgo ályaaígíí yénáálnii' .
17:2:002:0	Ákohgo aláahgo naat'áanii bá nidaal'a'ígíí ádabidííniid , Bíni' ch'ikéí bizhą́ą́ nidaakaii naat'áanii bá há'déest'į́į' doo .
17:2:003:0	Áko bíni' aláahgo naat'áanii bee bóhólníihgo bił nahaz'ą́ągi bídahólníhígíí ła' yik'i hidiilníihgo ch'ikéí bizhą́ą́ nidaakaii Shúshan kin haal'áagi asdzání danilíinii baa ádahayą́ądi áłah ádeidoolííł . Áadi aláahgo naat'áanii bá naal'a'í Hégeiyai éí asdzání danilíinii yaa áhályáanii nilį́įgo ch'ikéí áłah ályaii baa áhojilyą́ą doo , áádóó bíni'dii t'áadoo le'é bee chin ádąąh deidooldahígíí baazhdidoo'ááł .
17:2:004:0	Áko ch'ikę́ę́h bizhą́ą́ naagháii éí aláahgo naat'áanii yił hóshǫ́ǫ dooígíí éí Váshtai bitsásk'ehgi naat'ááh dooleeł . Díí aláahgo naat'áanii bił hóshǫ́ǫgo yik'eh ádzaa .
17:2:005:0	Íídą́ą́' Jew dine'é ła' Shúshan kin haal'áagi bighan ; éí Mórdiikai wolyé , Jéíyer biye' nilį́ áádóó Shímiyai yę́ę hanálí nít'éé' índa naakidi náhánálí Kish éí Bénjamin dine'é nilį́į́ nít'éé' .
17:2:006:0	Éí Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar éí Jerúsalem kin haal'áádóó hahonííłkaadgo Júdah dine'é aláahgo binanit'a'í Jekonáíyah yił yisnááh áhoolaa nít'éé' .
17:2:007:0	Hadásah yineesą́ągo éí hazhé'é yázhígo bitsi' Esther ałdó' wolyé , háálá bizhé'é áádóó bimá neezná . Ch'ikę́ę́h bizhą́ą́ naagháii t'óó dinilgááhí yee' áádóó nizhóní yee' , áko bizhé'é áádóó bimá neezná ; éí bąą Mórdiikai honeesą́ągo t'áá bí bitsi' jílį́įgo áhoolaa .
17:2:008:0	Ákódzaago aláahgo naat'áanii bibik'eh ó'oo'níiłii índa bibee haz'áanii bee ádá nihodiit'aahii áyiilaaígíí yaa dahodiizts'ą́ą'go ch'ikéí bizhą́ą́ nidaakaii t'óó ahayóí Shúshan kin haal'áagi , Hégeiyai aa áhályą́ nilíinii ba'ałk'ee áłah ádaalyaago Esther ałdó' aláahgo naat'áanii bighan góne' atah bi'deelt'e' índa asdzání yaa áhályáanii Hégeiyai haa áhályą́ą́ nít'éé' .
17:2:009:0	Áko ch'ikę́ę́h bizhą́ą́ naagháii bił hóshǫ́ áádóó hats'ą́ą́dóó ach'oha'né bee hazlį́į́' , áádóó t'áadoo le'é bee chin ádąąh yildééh dooígíí áádóó bikiiní baazhdiní'ą́ , áko aláahgo naat'áanii bił haz'ánídę́ę́' ch'ikéí nidaal'a'í tsosts'idgo , éí bee ájít'ée dooígíí áádóó ch'ikéí bizhą́ą́ nidaakaii yee ádaat'ée dooígíí nídii'nil índa agháago yá'áhoot'éehgo haz'ą́ągi bił niho'dee'nil .
17:2:010:0	Esther éí hadine'é danilíinii áádóó hak'éí danilíinii t'ah doo bee ádaa hojilne' da , háálá Mórdiikai éí doo ádééhozdoolzįįłgóó hach'į' haadzíí' .
17:2:011:0	Áko t'áá ákwíí jį́ Mórdiikai aa ádahayą́ bá haz'ánígóó nídídáahgo Esther haa jit'į́ índa haa jidoonííł nízingo ákǫ́ǫ́ nídídááh .
17:2:012:0	Áko ch'ikéí bizhą́ą́ nidaakaii t'ááłá'í nítínígo bitah hoolzhishgo aláahgo naat'áanii Ahazawííras yił yah ahikááh . Asdzání baa ádahayą́ągo naakits'áadah bee nídahidizíídóó bik'ijį' t'áá éí bik'ehgo ákódaal'į́į́ nít'éé' . ( Ákót'éego bida'didéehgo yoołkáłígíí bíighah ni'iileeh : ak'ah tsin bijeeh bee łikání halchinii mir wolyéii bee asdzání bida'didéehgo hastą́ą́h nídízi' áádóó spáis wolyéii ałdó' bee asdzání bida'didéehgo hastą́ą́h nínádízi' nít'éé' . )
17:2:013:0	Áko kót'éego ch'ikę́ę́h éí aláahgo naat'áanii yił yah iigháahgo ch'ikéí baa ádahayánídóó t'áá yinízinígíí éí yooléełgo aláahgo naat'áanii yił yah iighááh nít'éé' .
17:2:014:0	E'e'áahgo dah diighááh áádóó biiłkáhí índa e'asdzą́ą́ yíl'į́ baa ádahayą́ągo haz'áníjí náánádááh ; aláahgo naat'áanii bá naal'a'í Sheiyáshgaz , éí e'asdzą́ą́ daól'íinii yaa áhályáanii nilíinii yaa yighááh ; aláahgo naat'áanii éí doo bił yah anáázhdoodáał da , t'áá hazhó'ó aláahgo naat'áanii bił hojíshǫ́ǫgo háká áho'doo'niidgo t'éiyá ákǫ́ǫ́ jidoogááł .
17:2:015:0	Áko Mórdiikai bizhé'é yázhí Ábiheil wolyéii bitsi'go Esther hatsi' nilį́ nahalingo jineesą́ągo aláahgo naat'áanii bił yah azhdoogááł baa hoolzhiizhgo doo ha'át'íhígíida náájííkeed da , t'áá hazhó'ó aláahgo naat'áanii bá naal'a'í Hégeiyai éí asdzání yaa áhályáanii yee nahontįįhii bik'ehgo t'éiyá . Áko t'áá ałtso dabinááł Esther éí bee ach'oha'néenii hwee hazlį́į́' .
